objects,label
miniature charkha,0
day pass,1
cards,1
bus pass,1
bags,1
buildings,0
bottle,1
liquids,1
monorail,0
trips,0
rate,0
drinks,1
sweets,1
binoculars,1
swim clothes,1
bicycles,1
beaches,0
boat tour,0
drink,1
wallet,1
blanket,1
fun package,0
clothing,1
socks,1
your clothes,1
ticket,1
mobiles,1
seals,0
quick dinner,0
trainers,1
lifts,0
thick clothes,1
life flash,1
dry clothes,1
locker,1
empty bottle,1
eateries,1
warnings,0
paintings,0
footwear,1
alleys,0
flag,0
powders,1
historical houses,0
wheelchair,1
oil,1
water shoes,1
$,0
monument,0
comfortable walking shoes,1
songs,1
bug spray,1
rain gear,1
photos,0
runners,1
cloths,1
meal,1
pubs,0
floors,0
bomb,0
picknick,1
cab,0
beachwear,1
swimwear,1
foot wear,1
darker,1
fee,1
water,1
tea,1
sunblock,1
tunnels,0
glowworms,0
battery,1
paid £,0
VIP pass,1
cup,1
silhouette,0
tour guide,1
cell blocks,1
money,1
cool clothes,1
boat,0
sun cream,1
shaved ice,1
credit cards,1
pictures,0
headphones,1
chocolate,1
assist you-,0
noodle,1
paper cranes,0
seats,0
car,0
volunters,0
bearings,0
tram,0
bottled water,1
tissues,1
trouser,1
belongings,1
video,0
ship,0
markets,1
audio device,1
stuff,1
electronics,1
blueberries,1
decent clothes,1
umbrella,1
bamboo chicken,0
flip flops,1
hat,1
beer,0
mausoleum,0
meals,1
camera,1
bullet train,0
comfortable clothes,1
wand,1
comfortable shoes,1
foot traffic,0
water bottle,1
masks,1
warm clothes,1
timed tickets,1
train,0
sunscreen,1
landmark,0
comfy shoes,1
delicious food,1
bus,0
temples,0
snaps,0
audio tape,1
wind breaker,1
tradition,0
toilet paper,1
phone,1
wind gear,1
shoes,1
treasure,0
statues,0
pillars,0
walking shoes,1
stars,0
playcards,1
architecture,0
bag,1
flight,0
miniature replica,0
towel,1
pics,0
lights,1
soles if,0
audio tour,1
shades,1
gawp,0
towels,1
pull,0
structure,0
cash,1
credit card,1
hats,1
soap,1
light clothes,1
graffiti,0
treats,1
express pass,1
Hawaii blog,0
trail,0
sandwiches,1
sun bed,0
seat,0
senbei,0
Flight,0
nylon clothes,1
information sheets,1
purse,1
bridge,0
stayed,0
artists,0
valuables,1
ruins,0
delicacies,1
souvenirs,0
tickets,1
swim shoes,1
products,1
minaret,0
rapids,0
tables,1
heritage sights,0
cocktails,1
wipes,1
gas,0
gifts,1
rain,0
picture,0
stories,0
hiking shoes,1
gem,1
changing clothes,1
proper clothes,1
winter clothes,1
flask,1
Ganga river,0
countryside,0
skis,1
items,1
Rock,0
audio guide,1
sweater,1
lunch,1
aarti,0
Shoe,1
cherry trees,0
library,0
guided tour,0
tour,0
eatables,1
bullet,0
sunglasses,1
art works,0
ice cream,1
overs,0
Water sports,0
coffee,1
heaters,1
cage,0
guide,0
cherry blossoms,0
hiking boots,1
platforms,0
book,1
chappal,1
terrible,0
vehicle,1
landscape,0
sun sand,1
map,1
swimming goggles,1
formalities,1
artifacts,0
sneakers,1
wet clothes,1
picnics,1
fudge,0
light gear,1
headsets,1
auto rickshaw,0
snacks,1
writings,0
rupees,1
til,0
googles,1
hiking,0
birds,0
cable car,0
food,1
pass,1
coats,1
