,title,text
0,Markets,Worth a visit to the markets. Buy some tasty local food to take home. Sit and enjoy a coffee at Zuma Cafe.
1,Amazing markets ,"A wonderful place for lunch and to do a spot of food shopping. Wonderful fresh local produce at very good prices, but do wander the isles before you buy as the prices do vary! If you are a cheese lover, Stinky Cheese is the place to go, try the cheeses they are offering free tastes of and I bet you can't resit buying them!"
2,Always has a buzz ,"Always a must to visit when in Adelaide. So much fresh produce and delicious food options. Grab a coffee, some noodles & dumplings in China Town & some amazing cheese platter items for a lazy dinner. Our 2.5 yr old daughter loves the hustle and bustle too!"
3,Cheeses,"A very neat and clean market. Good to wander around for a couple of hours, have a juice and maybe a bite to eat."
4,Saturday must do,"Large range of fresh produce, heaps of places to grab a coffee or something to eat. Close to public transport and heaps of parking. Relaxing atmosphere with a variety of foods for everyone."
5,Adelaide Must Do,"Such a buzz. You can enjoy the best coffee and a meal and then buy great breads and cheeses, the freshest of fruits and vegetables, deli foods, meats, spices...essentially this place has it all. But it’s the atmosphere and the friendly vendors that make the market such a buzz.  You have to come here as part of the Adelaide experience."
6,To buy food,"A must for locals and visitors alike, fresh produce to take home or grab a mealSaturday breakfast people watching is the go."
7,Amazing ,"Super nice place to stroll around and shop for bread, olives, ham and cheese. Vibrant and lively. Candy place in market is a hit."
8,A fabulous market,"The market has free parking for one hour. Lots of places to buy fruit and veg. Prices are good. Cool places to have a coffee or some food.Can buy lots here. Fresh bread, coffee, meat, fish and groceries.Large seating area in one corner.Some fruit and veg sold cheap just before close."
9,Fantastic,"So much to see, so much to taste.  Fresh produce and friendly stall holders.  Great place to visit in Adelaide city."
10,A great place. ,"Loads of good food and wines on offer. A great variety of local produces on sales. Nice stalls selling delicious food for lunch. Fresh flowers, fruits and spices makes this place a beauty."
11,A hive of activity packed with fresh produce,"Loved the atmosphere, sights and sounds.  Good fresh produce and speciality items. Lots of food outlets to satisfy whatever you desire."
12,Great for locals and travellers,Nice place to go for shopping for fresh cheap veg. Lots of varities available. Sometimes get disappointed with unprofessional sales person.
13,Suits all Travellers & Local,Fabulous market with lots of high quality goods.   Lots of samples to try before you buy.   A great way to spend a few hours especially if the weather is not too good as it is uncover.   Good parking as well.
14,Wonderful market with lots of variety,"If you love food go to the Central markets. A quick free tram ride will get you there. Plenty of delights to devour from cheeses, meats, fruits and veg, French pastries and more. Grab a coffee and have a wander or sit and have a bite to eat."
15,Good Market In Town,A great market to visit while visiting Adelaide. So many choices of food outlets representing many countries with foods to take home or enjoy while dining there. We visited at midday on a Tuesday which was relatively quiet and relaxed. Our previous visit on a Friday night was packed with people but the atmosphere was lively.
16,Amazing,"Free admission. Adelaides main food and produce market but also a place to eat and mingle also. Crazy, busy on a Friday afternoon but that only adds to the experience. Peak period I estimate is 5.30-7.00 pm. Closes at 9, watch out for the bargains in the last 30 minutes. Allow 90 minutes to have a good look around. Easy to find, a few places to eat here as well as in surrounding area."
17,"Love, love, love!","So much to see,  taste and buy in the great of adelaide.  Fresh fruit,  great tea,  delicious food,  great gifts.  It's a must see"
18,"Feels like you are in the heart of Europe, but this is Adelaide.","We loved wandering the market!  We had some oysters, then shopped for unique foods to take home for gifts.  We had some lovely Aussie wines and shopped some more.  Then some Asian dumplings...a gin tasting...What a fun place- I highly recommend a stop here."
19,The Best Fresh Food Market in Australia,Great for locals and travellers alike.So many different stalls to choose from.Everything from flowers to delicatesean foods.One of the best markets I have been to
20,Heart of Adelaide.,What a wonderful spot for everyone. Great variety of fresh food at competitive prices. Check it out.
21,Great market for fresh foods & a bite to eat ,Excellent spot for a late brunch for travellers and to pick up supplies for substituting lunches and keeping costs while touring the cityGreat coffee from the specialists and live music on SaturdaysA good vibe and well worth visiting
22,It’s worth a visit ,"The one must do experience in Adelaide for me is to visit the market for breakfast. Fat toast, poached eggs, bacon and beans. Coffee to die for."
23,The place to visit,"The best touristy thing to do in Adelaide! Outstanding produce, food and local products. Arrive early to avoid the rush!"
24,Amazing market,Great place for foodies or you like to try different things. Good place to grab fruit and vege to street food to cheeses and flowers. Meat seafood anything you could possibly need!I wish Brisbane had something like this.A must for a visitor to Adelaide.Nice coffee. Desserts wow look devine. I wish i had more time here. Parking free first hour.
25,"wonderful, amazingly good!!","Central Market very good place and things to see and do, to eat and drink and buy souvenirs, talk to people very helpful, the City itself is a good about a square mile."
26,Good for a wander and lunch!,"All the family enjoyed the market. There was so much to see, taste and buy. Great quality food on sale and a great atmosphere. The market has been a highlight on our trip to Adelaide."
27,Variety,"Always a good place to visit, everything is fresh, and lots of food to choose from everything from chocolate, bread, veggies, flowers, nuts, you name it it’s there,  places to sit and rest and have a quick bite and a cuppa, would recommend to anyone travelling to Adelaide"
28,Foodie heaven ,It has everything! Enough said ! Best appreciated early before the crowds make parking and finding a table in the cafes harder . Parking on level 1 is easier than the entrance level 2 .
29,A must when visiting Adelaide ,What a wonderful way to spend an hour or more. Take advantage of any food purveyor who offers free samples.
30,Fun for the Inner Foodie,"Recommend a Christmas visit where you will discover everything you need for Christmas. Brunch, Lunch and Afternoon Tea is a must... So many choices for lovers of pasta and pizza Lucia’s is a must.  And coffee A salad at the big table or a coffee and cake... there are so many choices I can’t possibly list them all Make sure you visit the cheese shop in the middle of the market... where you can taste the cheese for free... international cheeses for tasting its a great experience for the kids as well. There are second hand book shops. Those travelling solo will enjoy a great people watching experience.. you will not feel alone. There are lots of people."
31,So much variety!!,"What a wonderful market, so many choices for snacks or things to buy and take home!! Excellent coffee from multiple vendors, the best chocolate cake I’ve ever eaten!! I’m sure you could find something to satisfy any craving at any time of day!!"
32,Outstanding ,Fantastic market would recommend a stroll thru....everything available from fresh meats and cheeses to wines and snacks
33,Fresh and cheap,"Totally and truly interesting market, with heaps of different products, fun to try new food, and excellent coffee."
34,Our Return in 2020,An amazing way to begin your morning with a history tour and grazing the Adelaide Central Market. Learnt so much about the markets 150 year history and the stall holders. Some being at the Market for many generations.Clarrise our Host was full of information and showed the group her love of the Market and its history.She spoke clearly and her manner was happy and calm. You could tell she had also built a great report with stall holders.A real asset to the business.
35,Must see! And visit! ,"Friday nighs in the markets is fantastic. a great chance to smell, taste and see the sights of Adelaide's great food options. taking the family for a walk around was great. love spending time with my family and always enjoy these times."
36,Busy Place,So many great stalls with a delicious array of local and imported produce.  Lots of eateries and cafes to choose from.
37,A feast for the senses,"Variety of food, grocery and shopping.  Live music on the weekends and amazing atmosphere. A must experience in Adelaide."
38,A Cornucopia of Produce,"lots of atmosphere , the smell of the goods make you hungry and plenty of places to eat from asian to italian  bakeries plus all of your fresh produce"
39,Market visit,"Wonderful spot to wander.  We only did a quick trip in and out. Got some fruit, lovely Turkish delight and fresh bread. I wish we had more time to do one of the market food tours - I hear these are excellent and well worth it."
40,Don't miss this highlight!!,Great experience. Had lunch there and great variety of food. Bought some fantastic tasting cheese. Good value.
41,Fantastic market,"The Adelaide Central Market is fantastic , loved going there for the fresh fruit and vegetables, delicatessen meats and produce , coffee , atmosphere. etc . Wish i could bring it home wirh me while i was in adelaide ."
