,title,text
0,A must visit for a history buff,One must definitely visit to see one of the best preserved forts of the Mughal era. It gives a glimpse into the lifestyle and the life of rulers as well as give context to what we have read in the textbooks while growing up.
1,Great Built,This is a lovely building to visit and the history really does give you a greater insight in to the Taj Mahal visit and the reasoning behind the build.  Fascinating history of family.
2,Stunning,Impressive fort in its own right  overlooking the Taj Mahal - needs to be visited to see the architecture and work that went into building it - stunning!
3,Not to be missed,Historic fort to be visited on your visit to Agra.  Amazing views and beautiful architecture.  Another must see in Agra.
4,Had an amazing time - IMPORTANT INFO ABOUT VISITING,Visiting here completes the whole story of why the Taj Mahal was built. Views from the fort are wonderful across to the TM. The grounds are very pleasant and supported by the local monkeys!! Very cheap to get in.
5,Awesome,Beautiful red sandstone fort - terrific stonework and carvings. Take a guide who will tell you the stories associated with this fort and especially the imprisonment of Shah Jahan (the builder of the Taj Mahal) by his son in a tower overlooking the mausoleum for his wife. A terrific view of the Taj across the river.
6,Marvellous like always,"The Agra Fort is an interesting tourist attraction, and on a good day you get an amazing view of the Taj Mahal, but unfortunately there was a lot of pollution when we went so the Taj was barely visible. Unfortunately only a small percentage of the fort can be visited as the rest is occupied."
7,A Must Visit in Agra,"Spent the morning at the Agra Fort and was amazed at the history and beauty of the structure. The structure is well preserved, allowing you to walk around and explore.  It was interesting to explore the area where Shah Jahan was kept prisoner by his son.  Such a beautiful white marble area.Agra Fort is a historical fort in the city of Agra in India. It was the main residence of the emperors of the Mughal Dynasty until 1638, when the capital was shifted from Agra to Delhi. Before capture by the British, the last Indian rulers to have occupied it were the Marathas. The fort is a walled city."
8,Agra tour,"worth a visit if you are in Agra - there is a rich history and you get to see the view of the Taj as did Shah Jehan from the room he was imprisoned in...interesting gate, and protected ramp walkway through the walled complex..."
9,stunning,"Agra Fort gives you a nice glimpse into life of Mughal Kings & their way of living. The Meena Bazar, Deewan-a-aam or Deewan-a-khas inside it, help you understand how the life was around 400 years ago. Take help of a guide available there, so that you can understand the history associated the fort. Must visit after the TAJ MAHAL :-)"
10,Worth a Visit,Agra Fort continues to be one of the best monuments reflecting the true glory of the Mughal empire. The Fort is under conservation and looks more beautiful now. The over all experience would be better if they sold a little Map of the area which guided the tourists from one room to the other. And provided Audio guide for the monument ! Parking is messy ! And toilets are inadequate !
11,Explore Agra: Agra Fort – Khas Mahal,AGRA FORT is the one of the must visit for travellers or local people.  You could enjoy the luxury of the palace and could see Taj Mahal from here.I am so impressive with the Palace of the King of India( in the past).
12,Very interesting and culturally pleasing,This fort is very impressive and worth a visit. I have visited both Red Fort in Delhi and Agra Fort I would recommend Agra fort over Red Fort Delhi both inside and out are impressive and much better than Delhi Red Fort this can be seen from outside and the inside is not so good.
13,Fort and palace of the Mughals,"The planning and architecture of the fort is awesome. It is must visit spot, if you are visiting Agra."
14,Fabulous View of Taj Mahal on a Clear Day,Agra Fort well preserves and still well maintained. You can see Taj Mahal from some of the windows and that's the best part of Agra Fort. Full of hidden history and lots of spots for pictures. Agra Fort have a lovely garden but please avoid to visit in summer from 12 am to 4 pm to hot. You have to walk a lot in Agra Fort. I suggest you need suficent time to visit this fort. This is one of the best forts I ever visited.
15,the Red Fort is a must if you are in Agra,Although in the shadow of other forts and the Taj Mahal this fort is worth doing. There are excellent view points to see the Taj Mahal and some excellent sites in the fort.
16,So much to see here before you visit the Taj,A very well preserved UNESCO world heritage site in excellent condition. If you are visiting the Taj Mahal you should include a visit to Agra Fort.
17,The City of Joy.,Hopefully if you see the Taj Mahal you also have enough time to see Fort Agra also. They are both very historic and well worth making the effort to see.
18,Worth a visit,Its a must visit place. What this fort looks even today makes you only wonder as to how this fort would have looked in its full glory. It makes you marvel at the brilliant architect and engineering.
19,Nice fort,This is a must visit attraction if you visit Agra. Only 20% of the fort is open to the public. The army occupies the rest of the fort. The history is fascinating. The buildings are magnificent and the interior would be even more so if the gold inlays had not been removed by the British when they ruled India. A good guide is helpful.
20,Wonderful,Agra Fort has been well preserved and when you see how the fort was built you understand how they must of used many men and animal labour to built such a fort.
21,Stunning Building,"We found this fort very interesting. It is huge and had wonderful views of the taj mahal and surrounding area. There is information in English which you can read, i wasnt offered to hire a audio headset ,not sure if they had them. Wasnt to busy first thing in the morning so was able to walk around and take photos easily."
22,An impressive show of strength.,This is an absolutely beautiful Fort in Agra - plenty to see and would definitely highly recommend! 5 Stars
23,God bless those Mughals,"It was a great day to tour Agra Fort.  The fort was amazing, such great history and a beautiful building."
24,Another Architectural Marvel,"What makes a visit here important, is it's connection to the history and story of the Taj Mahal. The Taj can be seen from the balcony that Shah Jahan used himself, to view his wife's monument.Recommend having a guide, as they will give you the history of the fort and ensure you see all that there is to see. Even though this is a fort, there is some beautifully decorative carving and inlay to be seen. This site should definitely be included on a visit to Agra."
25,An interesting and impressive red fortress!,Amazing Architekture from the Mogul era. 😎👍Its well Wörth a visit when in Agra 😀. Start early to avoid the crowd and the heath. We can strongly recommend this amazing piece of History.. dont miss it. 🙏🤔👍 We love this place 😎🇮🇳
