,title,text
0,Fantastic lagoon,"Had a wonderful afternoon here. Beautiful views of the water, it’s near the beach and cool water to swim in at the lagoon."
1,Great time,Great place to hang during the day and cool off in the beautiful water. Awesome view of the islands from the grass area too!
2,Great way to finish the day,It is a sheltered place with a clean beachfront and clear blue waters. A nice place for a casual walk by the beach and pathways are available too. There's a public swimming pool with lifeguards on duty as well as a playground nearby.
3,Really nice,"Went for a morning walk through the lagoon area, fantastic sunrise over the water. Atmosphere was very relaxing. Plenty of very kind people also enjoying morning walks, jogs, triathlons and yoga 🌞"
4,Excellent free facility,"A good place to beat the heat, have a swim without worry, children friendly, close to shops.  Will be back"
5,Lagoon pool,"Airlie Beach has a nice swimming lagoon to check out, Nice places to lay out, good swimming opportunity, even for swimming laps."
6,Very nicely done,A great place to take the kids for a splash and enjoy the sunshine. It’s clean and really well presented.
7,Great spot to relax and chill,"Great view, clean and inviting part of Airlie to walk and relax. The entire waterfront is lovely and recently renovated and a pleasure to enjoy."
8,Relax & Enjoy,"What a great place to relax in the water. Its clean, lifeguards on duty, depth of water varies and there is some shade in the shallows. Changing rooms and toilets, tables and grass areas and its free. Nice."
9,Nice lagoon,"Great place for a dip especially since you can’t swim in the sea during summer , lovely place.  Big spacious pool"
10,Great place ,"Great place for a relaxing play and swim. There are life guards on patrol, the lagoon is big enough so you don't feel like you're continuously swimming next to someone and the water is super clean! Easy walking distance from the shops."
11,Worth a visit ,The Lagoon Days were so relaxing and water was so clean! Really nice place. Plenty lifeguards too and kid safe.
12,Awesome waterside experience,Lovely place to relax and take in the views of Airlie Beach. Lovely clean well kept pool without the sand and saltwater. Had a few long days spent here. Good for all ages with a kids section with plenty of shade and good clean amenities.
13,Great location for the kids to play whilst parents enjoyed a coffee from a local cafe,Kids had a great time. Lots of shade and the lagoon was very big. Would recommend visiting and having a swim.
14,Lagoon looks great fun for young and old,"Those views are amazing, such a pretty part of the world to relax with the family over a swim and bbq. Shaded playground area for the kids and loved the shaded pool area to. Loved the relaxed atmosphere and the weather was perfect! Wasn’t even that busy which was great. Clean and tidy with great clean toilets and change room facilities. I’ll definitely be back."
15,Fabulous,"Lagoon is beautiful. Well supervised, lots of room. Good amenities. Needs more shaded spots to relax though."
16,Soak up the Sun,We loved the clean and well used Airlie  Beach Lagoon.  Lots of shade with a gradual  depth of the pool it was suitable for kids and adults  . Excellent change areas and  toilets.  Well done Airlie Beach on a magnificent free public swimming pool.
17,Very relaxing ,"The pool was beautiful, clean and had lifeguards. People are friendly. Water was nice and cool and refreshing from the warm weather."
18,Great for a free activity!,"Beautiful spot for all ages. We love heading down to the lagoon, plenty of shade, bbq areas, seating areas. A great playground for the little ones. Close to shops and lots of parking"
19,Safe for all,"Lovely location in the middle of Airlie. Great way spend a hot day, plenty of shade, grass & places to get good food. Thank you Airlie."
20,Beautiful spot,Nice and deep pool perfect to jump in after a walk along the boardwalk. Wasn’t too busy and water was a perfect temperature
21,Great Place to Relax,"Pleasant place where you can relax and swim. Suitable for adults, young and kids. Lot of restaurants around. bbq on site Must go"
22,Very nice,Wow just beautiful there. So relaxing n great weather. Lots of young families enjoying the water. Would’ve loved to go on helicopter maybe nxt time!
23,Great pool,"Great place to spend with kids and family on a warm summers day.Easy to get in and out of lagoon,safe and beautiful surrounds.."
24,Big pool in town,"A perfect spot to swim, and relax with the family.. nice shallow areas around the area with the man-made beach section as well as deeper areas for the adults/older kids. Despite being schoolies week, it was not crowded at all and plenty of shade. Nice and close to cafes to pick up a bite to eat, and a great place to sunbake if you so desire 👌🏻"
25,Great place for a dip while in town,Beautiful area to hang out with family or friends.  Clean an well maintained. Lagoon was very clean and large. Safe for small children.  Would recommend!
26,Beautiful set up,"Situated right on the front in Airlie Beach the lagoon is great place to chill out, have a dip and people watch."
27,"Pretty place, lots of families. ","Great place to just kick back sunbake and swim, with a lifeguard on duty the park is very family safe, a great kids lagoon is also located right on the same lagoon. And literaly 20 meters away there is the main restaraunt and shopping precinct of Airlie."
28,Airlie Beach Lagoon,It’s a nice walk if you can be there for the sunset and just relax and enjoy the peaceful atmosphere 👌
29,Airlie Lagoon - so Relaxing!,"Beautiful, clean lagoon. Great for a swim, paddle, or to play with the kids as different areas with different depths. Life guards on patrol in the day. Also grassy areas to sit down and relax. Changing cubicles and toilet facilities all really clean too. Right on the waterfront too if you did fancy a dip in the sea or wander to the shops."
30,Lagoon,Wonderful cooling swim at the beautiful Airlie Beach Lagoon. You can swim laps or just swan around! So easy to find right behind the Main Street shops and restaurants.
31,Airlie Beach Lagoon,A great area for swimming. There were a lot of people catching the sun. A very popular place amongst the young crowd. Also good for families. Fairly spacious.
32,Weekend away ,"Great place to swim safely and relax, plenty off space to sunbathe on the sand or grassy banks. Views off the sea and surrounding area. Great access to free barbecue, facilities for changing etc spotlessly clean. Nice cafes for drinks and food! Take something to lye on if your used to a sunbed!!"
33,Wonderful safe place to relax and cool-off in the heart of town!,This lagoon is right next to the beach with amazing ocean views. There are always shaded places to sit if you choose and the lagoon itself is really nice
34,"Very nice pool for families,adults ",great location and very nice swimming pools. Can also get drinks and food. best for all motels/lodges in the area.
35,"Great, safe place to swim during jellyfish mating season (ouch!)",Lovely spot for everyone especially young kids and families. Has lifeguards and both shallow and deep lagoon.
36,Bonza place,A nice family friendly area with a life guard. The pool is fantastic and there are lots of shade places to lie around either on the ocean side or the street side. Toilets and showers and lockers available.
37,Perfect,"Good alternative if you want a break from your hotel pool and when you can’t swim in the sea from November- March. Will be even better when the trees mature and they provide more shade. Whilst free, if you park in the nearest car park it is $3 for up to 2hrs. Payment via cash or card."
38,A surprise ,Had a very enjoyable afternoon relaxing. Great for a swim too. Lifeguards patrol the area which gives confidence to families.
39,Swimming lagoon ,"This lagoon is awesome for kids and adults alike. Its huge, clean, well appointed, close to parks, cafes and has friendly lifeguards on duty. There are bbq's around to use and lawn to chill out on."
40,Wonderful place for family with kids,Just a lovely spot to relax and soak up the sun. Nice gently sloping areas for kids with lots of shade available
41,Airlie beach whitsundays fishing A-one ,Very clean and well maintained. Kids had a ball going around all the lagoons. Unreal views. Lifeguards on duty for extra safety. Worth the visit for sure. Also it’s free!
42,Free and nice,"Great place to cool off and relax in safety. Totally free from the sea, this lagoon is surrounded but grassy areas and lots of great restaurants.  Safe for all the family and free."
43,lovely lagoonlike pool,Beautiful lagoon with water cooler then the hotel pools. Nice area for a swim with lovely views. Would be better if it had a shaded area though
44,Relaxing Heaven,Nice place to relax. The lagoon is nice and has clean toilets and showers. Also a lot of things for kids out there
45,relaxing,Beautiful man made lagoon for a swim. Has kids pool and adults allows for plenty of free areas to swim without being on top of each other.. set next to airlie beach and shops. Plenty parking near by aswel
46,Not Just a Town Pool,"Very clean picturesque spot to swim. Great for all ages, clean facilities (hand basin a little hard to find)."
47,Best public pool,It's about the best place to swim in the area and is a good place to relax.Lots of barbeque facilities and grass to sit on and sunbake. No risk of jellyfish stings here which is a problem during summer when the water temperature increases.
48,Nice,"The lagoon apparently the largest salt water pool of it's kind lovely spot to lay in the sun and swim . With all depts of water it's safe for everyone.  Has changerooms, toilets,out door shower to rinse,and fresh drinking water to refill your containers. We went on two occasions and never over crowded."
49,Nice and cool,"Wonderful spot for the kids to swim and play, especially during the stinger season. Separate pools and shallow areas for little ones and next to restaurants and eateries for adults with plenty of shade"
50,Very well done,"The Lagoon is a very pleasant place to be , the water is inviting and clean . there is plenty of trees and shady areas to sit and relax . the grass underfoot is a nice touch . they have BBQ's however we didn't use them. they had a drinking water fountain . toilets were available however a bit soiled . the pool/ lagoon  edge  had sandy areas . it was very big . lots of people so great [place to people watch ."
51,Great chill spot,"It is an amazing place to sped the holiday. It is very clean, and view is fantastic. I will come back soon"
52,"A beautiful public park with pools, grills and parking","The lagoon is a great concept, it provides an in town water option for families to enjoy the water without the risks that come with beaches in Nth Qld. The water varies in depths so it's great for kids of all ages and had change rooms and shaded areas to supervise children. The view of the beach makes it a great spot to relax in the cool water on a hot day whilst still having a great view of the beaches."
53,Great Spot,Great pool for young and old kids. Really refreshing and super facilities as well. Good shaded areas.
54,Super relaxing and clean! ,"Great swimming location, a large space. Great view near ocean. Caters for all in lap pool, kiddies area, deep and shallow. Bbq area. Woot of shady areas. Great to even have a sleep on the grass. Relaxing even thou it's busy. Life guards on duty."
55,Great place to relax.,Fantastic great lagoon in the centre of town and the perfect place to relax and soak up the sun or enjoy a picnic.  Beautiful water views of the bay.
56,Perfect spot to chill out with the family!,Beautiful. Big watery expanse. Life guards. Lots of picnic surrounds. Wonderful place to take the family.
57,Great Spot,A nice safe lagoon on the beach for lounging or sunbathing. The weather in the lagoon is just a couple feet deep so not for swimming unless your a toddler. Pretty place and very clean and safe.
58,Schoolies week,"In a beautiful place like Airlie Beach where the climate leads you to water most of the year, the lagoon is a much needed space for visitors and locals alike. Unable to swim in the ocean for most of the year due to the stingers, a public swimming spot like this is ideal. It is very clean and well kept, patrolled by lifeguards and safe for children. There are barbeques, changing rooms, drinking fountains and toilets. There is some play equipment and a special swing for kids with disabilities. It's a little taken over by the backpackers and their competing music but a fabulous spot and the fact that it's free makes it even better!"
59,An oasis,Great place to relax and chill and eat at the Cooks bar and grill for daily dinning and great atmosphere
60,Beautiful location,It was salt water but didn't feel overly clean not much shade but the smaller pool has shade over the pool .Great place for kids
61,Beautiful ,This is a great place for families to swim and cool off in the heat. It’s got life guards and is well patrolled.
62,Wonderfull place to do a pause from heat,"As swimming at the beach has its dangers the lagoon is a necessity.A great area for all ages with BBQs, seating deep and shallow for all abilities swimming or just a dip. Lots of undercover areas.Lifesavers are on hand (not sure of hours) and toilets and change area available.Close to the Main Street of Airlie Beach so you can go straight from the lagoon to a cafe and back.Parking is not free."
63,Beat the heat,"Many lazy days spent by the lagoon, it certainly has a chill during the 'winter' months however still very enjoyable once in! Great facilities and its free!!"
64,Great place to relax,"Lots of visitors come to hang out here. A great pool, very large and well set up for kids and adults. It is next to the local beach. Lots of local shops & cafes nearby at Airlie Beach central."
65,Beautiful,"The lagoon is clean with lifeguards, plenty of restaurants around for a bite. Definitely recommend to go with family or even just relax by the pool overlooking the coral sea with your partner."
66,Great place ,"Perfectly placed in between main street and the beach. Large area for all ages with varying depths, plenty of shade and area to throw down your towel and relax. Clean and lovely spot without needing to go to the beach but still have it in view."
67,Beautiful Facility,Beautiful holiday spot great base to experience the Whitsunday islands from with fantastic restaurants beautiful beaches many tours available
68,Relaxing Spot in the Mornings.,Had a great relaxing hour swim in the morning at the lagoon. Quite a few people in the water as well as a number of people sunbathing. The pool looks great after the recent repairs and upgrades and its also very family friendly. The water temperature  was also really nice.
69,Nice place to chill,"Really safe and nice lagoon. There is different level of deepness so for kids it's great as they can stay in the safe areas. It is crowdy but the lagoon is really big so it didn't bother us. There is a lot of space to lay down in the grass, and it's a minute walk to the restaurants and shops."
70,Beautiful ,"Child friendly spot for a swim. Clean & well presented area. My son swam here for hours why my wife & Daughter shopped in town. There are seats under cover to have lunch at & plenty of grass sections to sit & throw out a rug for a picnic. There were lots of people sun baking around the grounds as music played through the the speakers at a pleasant level to hear what was playing, but you could hear conversations as well. There were life guards on duty during the day that we saw & a security guard on at night when the area was closed for entry into the lagoon."
71,Great little lagoon for the kids,"lovely location, lots to do including shops and local cafes and restaurants. The views are beautiful and hands down the best vibe for night life I have ever encountered."
72,Free family fun,"This was the perfect spot to cool off, read a book & take in some sun. The lagoon is suitable for adults & children & has the added bonus of play equipment for the kids. The toilet facilities are clean & plenty of them. The location is perfect for wandering over the road for something to eat or an ice cream. A stroke of genius from the local authorities to complement Airlie Beach with these facilities. We swam in July which was refreshing but not too cold."
73,Really chilled out.,This place is clean and refreshing we swam everyday.The lagoon has lifeguards looking out for you.And its FREE
74,Brilliant!,Very good idea this pool for all swimmers away from the jelly fish and as all the amenities for getting changed and toilets. Perhaps have picnic or just pop to the bars  and restaurants.
75,Paradise ,Don't need a hotel with a pool if staying near the lagoon. The kids loved the lagoon. It seemed to be very clean. There are lifeguards there too during daylight hours which is good. Was very busy the day the cruise ship was in town but still heaps of room as it is such a big area.
76,Sensational facility ,Stayed across the road so we visited the lagoon several times during our stay. Great that it has big spaces of different water levels. Toddlers could walk around in the water without it being too deep.
77,Great way to beat the heat!!,Loved the zero depth entry and the shade. Sat and had a picnic while the kids splashed safely. Close to lots of different food outlets. Clean toilets.
78,Relax at Airlie Beach Lagoon.,A great idea across the foreshore. Free well laid out pools and picnic areas. Seemed to be very popular. The car park was used as a camping ground in the evenings mind.
79,RELAXING IN PARADISE,"Clean and accessible facilities with pockets if shade to enjoy if you're not lapping it up in the Lagoon.  Play ground for smaller children near lagoon too.  Lifeguards on patrol (school holidays), which we thought was a great service."
80,Beautiful lagoon and family space,"Good place to cool off and swim around, just in the middle of town, plenty of shops and restaurants. Public bathrooms seem very nice and clean."
81,Magical Space for all ages,Beautiful place to spend a lazy day in the sun by the wonderful pools lifeguards on duty so great for kids looking forward to seeing it again soon
82,Great place for a swim! ,"Fabulous place. Lots of different shops and activities. The beach is clean and the sea is clear. There are lots of eating places with a good variety for vegetarians. I liked the smoothie bars and juice bars that were easy to reach. Some of the soverneir shops were a bit “tacky” but lots of bargains to be had if you shopped around. Definitely recommend you visit if you can. Just be aware paying for parking by card, you only have to scan your card not put it onto the machine or you will have trouble getting it out!!!"
83,"Great, free spot for the whole family to enjoy",Beautiful crystal clear water big enough to swim laps and up to 2m deep. Surrounded by great landscapes on waterside. Beach is tidal so good option for swimming all day safely patroled by lifeguards.
84,Young lifeguard on a power trip otherwise great pool,"This lagoon is ideal for everyone to relax, chill, sunbathe and go in for a quick dip in the pool to cool off."
85,Holidays,"Super chilled and clean. As the beach isn't suitable for swimming most of the year, the lagoon is a great alternative."
86,Great lagoon for swimming and just chilling out by the pool,"Spent the day in this lovely spot.  Fantastic markets with sme great buys, great selection.  The lagoon is a beautiful spot to have a dip and just relax and have a picnic lunch.  Safe for kids."
87,A Nice Public Swimming Lagoon,This is a perfect venue for the children. Water warm and clean safe depths and life guards on duty.A very nice location too.
