,title,text
0,Not quite worth the trek,Amazing views of Alanya once you get there but there really isn’t much ‘castle’ to see at the very top. At least in terms of the inner courtyard ruins which you need to pay 30 lira to enter. The best bits are the battlements on the way up.Make sure you get the cable car or shuttle bus up to the top. It’s a much longer journey than it looks from the town and is quite torturous in the Turkish sun.
1,Great!,"The fortress makes Alanya special. While not much to see inside it is still most impressive and the views are stunning. There are new walkways around the inside making it wheelchair friendly. You can bus or taxi to the citadel gate, but the best way up has to be the new cable car from the Kleopatra Beach side. From the cable car station you can walk through the lower fortress and what remains of the old town to the fortress - new walkways are being installed making it easy to get around, but there are quite a few steps.Tip - go early or late when it’s cooler and you have the place to yourself."
2,Nice views and lot of history,"The fortress makes Alanya special. While not much to see inside it is still most impressive and the views are stunning. There are new walkways around the inside making it wheelchair friendly. You can bus or taxi to the citadel gate, but the best way up has to be the new cable car from the Kleopatra Beach side. From the cable car station you can walk through the lower fortress and what remains of the old town - definitely not a wheelchair friendly approach though.Tip - go early or late when it’s cooler and you have the place to yourself."
3,nice view,"The castle can be seen from anywhere in Alanya, so this place is a must to visit when staying in Alanya. Be warned that it's really warm here on a hot summer-day. Be sure to see the small museums there too. The view over the city is absolutely fantastic."
4,A good few hours,The view from the castle is amazing but it is not very exciting as there are very little information abput the castle and not much has been done to make itbexciting to visit
5,A view from on high,"Brilliant view of Alanya, the castle itself is small, there are plenty of places for photos and views are excellent."
6,Alanya Kalesi,When visiting Alanya a trip up to the top of the castle is a must as the views are great - now they have a cable car that takes you up for 18 lira (about £3:50) return.
7,Historical,"I spend a few hours visiting the the Alanya Castle and i like the site and the view of the city from the top. I also recommend to take an one hour bout trip around the peninsula and have a look of it from the sea. If you like history, a few hours spend at the castle will be a nice break in a hot summer day. Try do to it at the sunset!"
8,Sunset,A nice trip is to walk up to the castle and look at the fantastic view over Alanya. It needs some training and if you are no a sportsman it is better to take bus or taxi up and walk down to Alanya centrum. A lot of nice places to dine and a breakfast on the top is a wonderfull experience
9,Worth it for the views,The castle itself is worth going to as you’ve got to the top but the most spectacular thing about the whole experience is the views ! Worth doing at about 5.30pm so you can watch the sunset on the way down.
10,Amazing views,"I like the history in this area and from this place you can see well over the Alanya. Good place if you want to enjoy from sunset or even do some sport (jogging, walking)."
