,title,text
0,Good,Its a english time building beutifully crafted is now a museum. They have a 3000 year old mummy & many other things
1,Great,It's a British time museum. They have a mummy also. In evening it is illuminated with lights & looks amazing.
2,Albert Hall Museum,"The museum has a huge collection of ancient items. A must visit for the art lovers. They collection of anything and everything. From pottery, statue, painting, weapon, cloth, carpet and what not!!!!Its very well maintained one. Kids may not like it."
3,Excellent Museum- A Must Visit,"Its one of the best museum with best architecture building. A lot of there is in the museum related to history and everything, a history lover must visit it, also it has side which is famous for photography and feeding the pigeons. Pigeons, clouds, birds, sunset and sunrises make the place so beautiful. There is a garden also where you can walk play and hangout with friends and family."
4,Excellent museum,"We visited this museum as normal museum but it had a surprise for us. It is housed in a nice building with your usual museum stuff like clothes, arms, carpets, jewellery, books, coins etc. But the surprise was Egyptian mummy. In basement of building, there was Egyptian artifacts and we could see Egyptian mummy. I guess it was the only museum in India which has Egyptian mummy. So I and my son were delighted since wanted to see Egyptian mummy.Outside this museum there is yummy street food at Masala Chowk"
5,Superb Building and artifacts,"The museum has beautiful building storing items like carpets, clothes, utensils, weapons, etc. There is Egyptian mummy to our surprise at the basement. Photography is not prohibited. Lighting makes it more beautiful at night."
6,Great museum,"Located in heart of city , in an old building with excellent architecture. The exhibits are weapons, crockery, currency, paintings, Egyptian Mummy, brass handicrafts, marble carvings .. a unique antique collection .."
7,Spoiled by the pigeons...,"Albert Hall Museum is a very regular museum with weapons, pottery, ceramics, crystal ware, daily use items from olden days, statues, textile, paintings, coins from different eras. It has an Egyptian mummy too. The entire visit took about 1-2 hours. There was nothing spectacular about this museum. However, the museum lights up very beautifully after sunset. That pretty sight is a must see from Bapu Bazaar. It is visible from one of the gates there."
8,A good one,"It's good place to reach easily, i have taken  300rs ticket from the Alberto Museum itself, so v don't want to buy tickets for few other places under the archeological department,"
9,Beautifully lit up at night,"The museum has many nice collections of pottery, ceramics, textiles, weapons and many more of this region. The museum at night in varied colours is a treat to watch. Above all, this is unique for the collections from Egypt in a separate section at basement including the egypt mummy ..few thousand years old preserved here."
10,Couple of hours well spent amongst Maharaja class artefacts and collectibles,One of the best museum I have ever seen. It is having a mummy also there. It's a British time created museum.
11,The Well maintained museum,"The museum is based in an old building located in the heart of city. Historical weapons, crockery, clothing, art is on display. Main attraction is Mummy. Photography is not prohibited."
12,"Impressive, informative, too much repetition",Impressive building looking like a dove's cage. People selling food for the pigeons. This degrades completely the value of the exterior impression of this museum. I didn't enter.
13,Museum Visit,"A small museum. Artefacts, statutes, paintings and jewellery. It is a picturesque monument to be visited in evening ."
14,Looks majestic at night,This museum is probably the best of Rajasthan or at the very least Jaipur. There’s a rich collection of mainly Indian exhibits pretty much from the entirety of the history of the sub-continent. Though the star attraction seems to be a mummy from ancient EgyptWorth visiting in Jaipur
15,Interesting Building with nice history and exhibits,"This is one of the oldest museum in Rajasthan also known as  Government Central Museum . The building was designed by Sir Samuel S Jacob, assisted by Mir Tujumool Hoosein. It was opened for public  in 1887 .This museum has enormous collection includes folk arts, miniature paintings, textiles pottery, traditional costumes, marble carvings, coins , Mommy , musical instruments, ivory, and visual explanations of Indian culture and traditions. A must visit place . Photography is not restricted.If you are art and culture lover have sufficient time in hand and visit ."
16,Architectural wonder,All item inside cover with dust not maintained at all all very poor conditions you will not missed anything if you don’t go
