,title,text
0,Awesome,this was the main reason i came to san fran on vaction. i didnt really know what to expect but it exceeded my expectations. i had soo much fun
1,too scared,"When I visited San Francisco, I wasn’t that keen on going to Alcatraz but figured that it was something you “had” to do while there. I was surprised at how good the audio tour was, with sound effects and good voice acting. I really felt  like I was there. If would recommend dedicating most of the day to this, take some lunch and walk around the island if the weather is good enough. Seeing San Francisco over the water is a decent view."
2,"Terrible experience, dirty and disappointing","The reason we visited San Francisco was because my girlfriend has always wanted to go to Alcatraz.The island did not disappoint. After disembarking from the boat we had a talk from a park ranger, which was informative.I recommend the film, shown in the theatre, gives a lot of information on the early history of the island.Take the complimentary audio tour, you will learn much more with it. We were fortunate to catch a talk on the bird man, given by one of the rangers, in the dining hall, which was entertaining.From leaving pier 33 to returning took 5 hours for us, but we wanted to see everything. You could easily shave an hour and a half if time is an issue. My girlfriend is thrilled to have finally been on the rock."
3,Insightful,"Alcatraz was the first thing I booked (after flights) for our whole USA trip, you def have to book months in advance otherwise you will really miss out!It was one of the highlights of my whole trip, we absolutely loved it. We went on the first trip across, i would 100% recommend doing this as you are then the first on the island and don’t have to queue to start the tour! When we came out the queue to get in and get your headphones and pack for the tour was super long! The tour itself is fab, I love that it was self guided and told by former inmates, I learnt a lot and felt that nothing was missed.I would a million percent recommend visiting, but remember to bring a jumper and don’t wear shorts (even in summer as it’s chilly!!)"
4,Somewhat Disappointing,Alcatraz is a must see when in San Fran.We went in February so it was fairly quiet but the ferry service to Alcatraz was still busy. Recommend booking in advance for the allocated timeslots to leave for the island.Great audio tour is very atmospheric with Alcatraz being so much more than just the jail.
5,Cool but not nearly as interesting with the buildings closed.,"I had been to Alcatraz about 15 years ago but my partner had never been. I was fascinated at how much the tour and the grounds have changed since my last visit. The National Park Service is doing an amazing job at maintaining and appropriately reconstructing as they can and the educational experience (audio tour and signage) just continues to get better and tell more and more of the story. There was also an extra exhibit about the native people and their struggle with the government over Alcatraz over the decades. It's hard material, but I'm so glad the history isn't being white washed. The flowers and birds were also pretty impressive in March. I would highly recommend getting out there as early in the day as you can and spending as much  time as you need."
6,Alcatraz Awe,"An absolute must if visiting San Francisco. I bought my ticket online, quick and easy. I went alone and felt totally safe and had a great time. The trip itself was very informative as there was an audio guide. The prison itself is super eerie (and I went during the day) however I would recommend as you also get great views of SF & Golden Gate Bridge"
7,Overpriced Captive,We did the Alcatraz night tour. We found the tour the be very informative and highly recommend. Vey well organised.
8,Maybe next time,This was really cool tour of the old prison.  I cant say enough positive things about the process and facilities.  Really cool history.
9,Awesome Experience ,"I had made Alcatraz Tour reservations a couple months prior to the COVID pandemic and called the booking agency in mid-April 2020 to cancel due to obvious reasons.  I was informed that Hornblower Classic Cab, the operator, would be refunding the charge, however, City Info Experts, the marketer, was not so willing and elected to instead provide a credit (good for 5 years) for the next time I use their services.  In order to use this credit, I must call the company and let them know that I have it with them and, I assume, the original confirmation from the order to verify the transaction took place.  I have a feeling they are just hoping people forget they have the credit and just pocket the processing fee as I suspect most people will not remember having it or retain documentation to prove they have it, especially if it's another 3 years before they re-book the tour.  I'm a bit taken aback and disappointed that they wouldn't offer a refund and get a sense ownership lacks compassion even during a pandemic crisis.  That being said, I definitely will try to avoid using their services going forward."
10,Interesting ,"I booked a tour for 7/22. But because of the covid situation our travel had to be cancelled. So we cancelled on their website on 6/22. Nearly a month after (7/18) we still have not our money back. We contacted by email their customer service, they are always very quick to answer to say they don't know when we wil be paid back. Bad behavior !"
11,"Fascinating, and a great excursion","Quite an interesting tour that was well presented, except they take too many people and we all had to line up outside on the way back for quite some time in the cold."
12,So interesting. ,"I booked my tickets on line months before we cruised. When the cruise ships are in there are no spaces left to purchase tickets.  It was much cheaper to purchase tickets on line than through cruise ship.  When docked at the pier you are right next store to where you catch the Alcatraz ferry/boat.  You need at least 2 hours to visit Alcatraz with good walking shoes and it is all up hill.  Just remember if your ship is late docking you may have to forfit your tickets, so make it at the last sailing if this applies.  I found Alcatraz to be very interesting if you like historcal things.  There is a gift shop when finished with interesting trinkets."
13,Absolutely worth another visit!,"Well worth the bucks! We showed up early and got out to the island on an earlier tour, no problem. Found prices to be reasonable and didn't get ripped off on any merchandise."
14,MUST SEE,We really enjoyed the tour of Alcatraz.  We got there just in time to take the escape tour which was very educational.  The audio tour of the cell block is a must do.  I just wish they would lock tourist in a cell like they used to.  Plan on being there a while there is a lot to see and learn.
15,You MUST stop by this Island when you visit the Bay,"Booked this tour in advance online (90 days before) to ensure I got the day I wanted.  It is very well attended.  Price was £31 per person which includes the boat ride, tour of the prison, audio tour & access to the whole ""Rock"".  We took 3 hours so allow a morning or afternoon.  You book onto a tour starting time but can stay all day if you want.  The prison is very informative & definitely interesting.  The walk around the garden is enjoyable (even in January) If you are a history buff or enjoy films, you will enjoy this as it is very historical.  It is managed by the National Parks Service so well worth the money as you are paying to not only pay for its keep but to keep it maintained for generations to come."
16,Can not get a refund,"I went to Alcatraz in 1993, I loved it then and loved it this time too. We opted for the night tour. You get over early enough to take daytime pictures and then its into the cell house via the showers where inmates would have entered on their arrival at the Rock. The audio tour was good and its quite an eerie place to be during the day but night time ups the anti somewhat. You must book your tickets some time in advance to ensure you get tickets. Enjoy!!"
17,Alcatraz Island ,Visited Alcatraz with my family and truly enjoyed the Island. I was actually surprised at the knowledge that was provided. We all had a great time and are glad that we got to experience it. A must do if you are in San Francisco. We were visiting family from NC and would definitely go back again. Don’t miss this if you have the chance to go.
18,Loved it! ,"Well, after watching and loving the movie, p I had to go visit and tour the island when the opportunity presented itself. Definitely worth a few hours of your time and the $40 ferry ride. Self-guided audio tour is simply great and right to the point. Maybe 45 minutes or so. But You can stay as long as you like on Alcatraz island, but the last ferry leaves at 4:30pm. Definitely check it out if you are visiting San Fran."
19,Great visit,This was a great tour.  I learned many things that I would never have known.  The tour was an audio self guided which I really liked.  The island is actually very pretty and the ferry ride out was pleasant
20,Night Tour ,"Have always wanted to visit Alcatraz and was glad I did. It’s really really busy and lots of areas not open to the public but the information is good. We picked up an audio tour at the main prison and I think this is essential for an informative visit, you can pause and re-start it again as needed. Great attraction."
21,Informative tour--can't beat the view,We did not make the trip but viewed it from two different locations in town. We spent a lot of time reading about the history of the building and people. There were several great areas from which to view & photograph Alcatraz
22,"Amazing, Unique","I would highly recommend doing the Alcatraz Tour if your in San Francisco. It was well worth it, very interesting & informative. The ferry ride over is a beautiful way to see the city from a different perspective to."
23,Great tour and go at night if you can.,"We booked in advance to ensure we got the date & time we wanted. It was really well organised from collecting the tickets at the pier to boarding the boat. There’s a little buggy to take you up the hill. It’s a 15-20 minute steep walk up so if in doubt get the buggy. There’s signs to tell you what time the buggy goes back down & they will also let you preboard the boat should you need more time.Once you’re inside the prison it’s all pretty much on the flat apart from steps to go up but I’m sure I saw a sign for a lift.Everyone we came into contact with was polite & helpful. Do not delay, book today! You won’t regret it. Oh & definitely get the audio tour."
24,amazing experience,"This is not a “fun” visit but one which is thought provoking and emotional. Sure, many of the criminals kept in these atrocious conditions were terrible but there were also some who had committed minor crimes... And most likely there were also a few innocent victims... Overall with the help of an excellent introductory guide greeting the arriving tourists, an introductory film and a free audio guide the museum provides a very good insight into life at the prison when it was still used as such. Well worth a visit."
25,Fun to be in Jail ,"We took the Alcatraz tour, booked 3 months in advance, the prison is actually boring. The view of the city from the island is excellent, though. There are better things to do."
26,Must see trip! ,This was a great day trip to Alcatraz. Very informative audio tour. The Indian occupation exhibition was really informative. The boat trip over was great.
