,title,text
0,"Excellent place to visit solo, freinds and family.","Beautiful flower gardens, vallies, heavy fog, pleasent waterfalls  greenery, very tasty chicken called bongu chicken at reasonable price and will get tasty coffee.The culture of tribes and muesiem with all tribal life with highly safe methods.If any individual, visitor goes to vishakapatnam must visit the location."
1,One of the best valley of Eastern Ghats,The place is atop Hill. Shooting spot and leisure walk among waterfall and hills.Nice climate and full greenery
2,Full greenery place,Araku valley a huge beauty of nature. You can get the taste of araku catch kirondul passenger train at 6.50am from vishakhapattanam station. The vistadome coach is a better option otherwise another coach get down boraguhalu station 10.30am.Take a cab visit borraguha and other points of araku came araku station at 3pm catch down Kiron full passenger to came vishakhapattanam. But my opinion stay at araku one night teast bamboo chicken and next day morning the same kirondul passenger to jagdalpur. It was a lifetime experience. Stay night at araku. Next day morn take a car to visit the beautiful chitakote falls thirathgarh falls kutumsar cave.
3,A serene and quaint place.,"Ideal place to take rest, for honeymoon, to enjoy the valley everything. Signature dish is Bamboo Chicken. Don't miss it. Quite, peaceful place to visit must. You should be there at least for two nights otherwise you can't enjoy Aarakku."
4,Good but below expectations,"Simple hill station with great attractions.Tribal museum, botanical garden,water fall(chapa rayi), coffee plantations and very famous Borra caves are worth visiting. Try bamboo chicken(tribal dish)"
5,Take Kirandul Express and buy the Executive coach tickets,Most beautiful places in AP. The greenery around and the gati roads are cool. Best part is the droplets of rain falling and having a coffee on the way
6,Andhra Ooty araku vally,Araku valley is awesome only for nature's beauty. Sight seen -Padmapuran garden / araku botanical gardenTribal museumCoffee plantationShooting pointAnantagiriSome fallsAraku is awesome via train journey in the day time only.Only two passengers train available from vskp in a whole day.
7,Travel to Araku valley is pleasant!,"The Valley of Arakku is just min blowing, you can get a lash of greenery, hills, clouds, a long valley, beautiful roads, Waterfalls, Caves everything over here, just a excellent place. Try travelling by Kirandul passenger train from Vizag to get the magnificent views of the valley from Train passing through tunnels and while returning return by cab to get the road views above 3700 Feet from Sea Level. A really nice and great place to feast your eyes and to get a relaxed mind. Just for information till now Vodafone network does't work here however Airtel works perfectly, so if you are on vodafone network try carrying extra sim. A must place for visit all together.We visited in the month of September'2017"
8,Over- hyped place,"Very nice place to visit for nature lover. coffee plantation, water falls , scenic beauty and much more things to visit here."
9,Top hill station near vishakapatnam,"A very cool hilly station. If you like greenery, hills, waterfalls, coffee- this is an ideal place. There is rail and road route to Araku. I went by train ( glass coach )to enjoy the scenic beauty. There are lots of tunnel on the way. Its a 4 and a half hour journey. I stayed at HARITHA Valley Resort. Good resort with good food. From Araku I visited Shooting point, Botanical Garden, Tribal Museum, Coffee House in the first day. 2nd day I saw coffee plantation, a water falls, Borra Caves. 3rd day morning left for Vizag by Express Bus. The ideal time to visit Araku is November. You should taste the Bamboo Chicken.. Have a great stay and cool yourself.."
10,Overhyped,"Hilly terrain, deep caves with beautiful stalactites and stalagmites formations, dense forest and running water channels best describe Araku valley.  Araku valley is a rejuvenating place. More of a hill station, the natural beauty and coolness of this place attracts tourists from around India."
11,This is a valley rather than a hill station.,"One of the best way to enjoy a week-end. This valley consists 80% of all medicinal value trees. Burra Caves, Chapa-Rai, etc places are must-see."
12,Over rated,Excellent stay at Mayuri Hill . Morning fog and splendid sunrise. Coffee museum and tribal museum are added attractions. Tribal dance show is excellent.
13,Splendid views from train,Araku valley is located in a valley. It is an awesome scenic place to relax. The greenery will mesmerise the whole mind. Few numbers of waterfalls are seen around this place. The whole place is awesome and very lovely to watch. Must visit place.
14,Eco heaven,"Train journey though tunnels is very good.Ghat roads,Fog covered locations,coffee planatations,superb view points(Damku view point,Galikonda)"
15,Good in its own way,"The valley is clean and calm with options like coffee museum, tribal museum and a few waterfalls that one can enjoy. This trip is though not that exciting for kids as they cannot really enjoy such places. You don’t get much options for food on your trip as you will only find some fairly good restaurants. You may not like the vegetarian food here."
16,Awsome Araku,Nice View and Good Location For Tours and Enjoying the Life in Aruku good for healyh because no Pollution
17,Safety araku,Splendid and visual treat for eyes. The place is atop Hill. Shooting spot and leisure walk among waterfall and hills.
18,Y.n. Prasad ,"The valley is beautiful and ideal for a relaxing stay. While staying here don't miss bamboo chicken-a speciality of this place. Do visit Coffee museum, you won't regret."
19,Most Beautiful Place on the earth.,"Araku valley- a silent valley of flowers, trees and people. A day trip can be best for tourists. Vizag to araku road trip can be very attractive to tourists. View points are too beautiful."
20,Gud,Good place to visit if you like calm and silent nature. Nice roads with lots of greenery. Overall a good place to stay for a day or two
21,Wonderful valley surrounded by hills,A splendid Valley with an aura of its own. I was fortunate to get last phase of monsoon. It was heavenly
22,Best hill station nearby Vishakhapatnam,"good place to be for 1-2 days max..flowers, valleys, environment is soothing and there are 2- places near Araku to go for sightseeing.."
23,Aaraku Valley,Me and my friends. Enjoyed lot there there are many tourist places are there to see and three waterfalls and borra caves was excellent so you will also have fun there so you need to visit at least ones
24,The Eastern Ghat,"You can see clouds floating by in the morning. Still maintained almost virgin area with no commercial construtions.Peaceful and a good place to wind down. Have a waterfall, good valleys, fruit gardens,coffee plantation and more over a serene climate. Pollution free and must visit in the glass train from Vizag.Journey is too good."
25,Not at all worthy,One should visit such site seeing place. Both sides mountain and u enjoy the serpentine hourly passing through the valley. Stop at view points see the scenic beauty take snaps make memorable. Heart throbbing journey to reach the height. Should visit. Temperature varies.
26,Train journey ❤️,It's a scenic place with a good weather most of the year. Me and my friends. Enjoyed lot there there are many tourist places are there to see and three waterfalls and borra caves was excellent
27,Go green,weather was amazing when we went to see Araku valley and reach ed Coffee plantation. Try local filter coffee sold for Rs. 10 per glass. its refreshing and must for cold weather. Buy some local stuff to help the tribal ladies
28,Andhra khandala,Visit this place in winter by car. As you swirl around the ghat roads during cold days the flowers and aesthetic beauty of the place is going to amaze you. Must visit place at Visakhapatnam.
29,"Araku is blessed with enchanting beauty of the hills and greenery, interspersed with streams and rivulets.","Very far, very hot and humid area, hardly any tourist spot. Not recommended in Summers.  Few waterfalls in vicinity, only for rainy season"
30,All about araku,"Nice APTDC HARITHAHOTEL @ Araku Valley with nice view of the valley, rooms are nice. Restaurant average with very limited menu."
31,Ooty feel,Araku valley is one of the beautiful place there is greenery it excellent place most of shootings  well do here there is an Good food there is special for bamboo chicken   near by chap ray or burra caves is is excellent you must watch the burra caves there is snow is very good in morning it is pleasant place no pollution in this place good place
32,Araku valley,Araku in the months of Oct to Jan season is awesome.entire town and surrounding areas filled with picnics.paddy feilds in and around surrounding areas are very nice looking.weather is good at around 20 deg celcius.nice to visit near by water falls
33,super it is very intresting place,Visited by hired car. Train has no AC coach. So winter preferable. Good landscaped flower garden. An old sculpture garden.
34,Journey a bliss,yes its called valley of nature because you can see every end of nature. different culture of people and their habitat. never  miss the train journey through caves and be careful
35,Heaven on earth,Araku is a place to relax and enjoy nature. There are few tourist spots in Araku and they can be visited in two hours time. If you have time you can go ahead upto 15 KM to Chaparai to see the water passing over rocky slopes. If you are at Araku then you must see Borra caves.
36,Beautiful hill station,"Arakku Valley per say is quite a scenic piece of hills with colours of red, yellow and green hues. We took the Vistadome Train and loved the journey through 160 tunnels and 3 hrs from Vizag. However, we had a tough return journey as the train takes its own time to return and stops at every small station. Other trains are given preference over this one.The tribal museum is a must see and so are the tiny waterfalls around the place"
37,Hill station,Beautiful scenic beauty. a bit colder as compared to vizag city. a perfect picture of valley. must stay atleast for a day. surrounded with tribal people. staying at haritha mayuri resort of aptdc will be a good choice though the service of this resort is simply horrible but the view from here is wonderful.
38,Must Visit,"Returning from Bora caves we enjoyed the beauty of Araku Valley. Do not compare this valley with major hill station, but it has some own beauty. Good place to stay sometimes and some good views for photography."
39,queen of hills of Andhra....,I think only in rainy season one may enjoy the scenic beauty since in summer and other seasons its not pleasant
40,Coffee Growing Area near Vizag,"Whike the uphill to Arakku valley is scenic & lush green, there is nothing virtually up the hill to see.Triba musuem upkeep is ok but the real life like statues exhibiting the tribal way of living is worth an appreciation.The padma park is like any othet hill park. Notning unique.Government hotel Haritha food was good the day we had our lunch.Otherwise many small & roadsidr options for food. No major food chain with presence"
