,title,text
0,Upper canyon Bucket list trip ,"More than I could’ve imaginedThe guides were extremely helpful, fun and so knowledgeable Everyday was a new adventure Hiking, rafting and just hanging out Guides were always concerned for our safety and very encouraging and helpful for our 8 mile hike outAnd the food!!! Better than any camping trip I’ve been onChef quality menus And lots of itStaff was very good about the new covid cleaning/mask routines Never felt unsafeWould definitely recommend"
1,A Trip of a Lifetime,"Was the most fantastic trip of my life. The guides were superb-safe, fun, incredibly helpful. Food was great. One of the best things I have ever done for myself.Impossible to explain the life changing, heart-opening experience of a life time. Do it! and I think AZRA is the best company when it comes to safety, understanding the geology of the canyon and really going the extra mile.Went oct 22 to nov 6th. Best weather they had ever had late in the season. i loved avoiding the 110-120 degree summer days. Weather was great for hiking. Cold at night but i just put on a hat and gloves and snuggled down into my bag."
2,Hands down one of the best experiences of my life   Full canyon motorized raft,"Fantastic people run this amazing adventure.   I had never done anything like this and it far surpassed my expectations.    Adventure and enjoyment absolutely everywhere.  We ranted, hiked, explored and the food was supreme."
3,Upper Canyon Trip August 2020,"This trip was beyond amazing, exceeding our expectations in almost every way. The guides were amazing and knowledgeable, the food was great, the logistics extremely well executed. And of course the Grand Canyon is well worthy of its status as one of the seven wonders of the world. The only question to ask yourself is about how much hiking you want to do. On the 8 day trip, there is only limited time and the hikes are relatively short. I understand that the 10 day trip allows for more time to explore the canyon better on foot, which is a great perspective to add to the view from the river. AZRA did a TOP notch job from beginning to end."
4,Revitalization & renewal in an isolated pandemic bubble for my paddling family & friends,"The trip was fantastic.  Scenery unbelievable.  Guides were all very knowledgeable and capable and phenomenally hard-working.  Meals were first-rate and really hard to imagine that one could eat so well so many days into a trip.  They even created a special private dining area (complete with candle lights) for my wife and I on our 25th Anniversary which was Day 6 of the trip.Be aware though, this trip is not for the faint of heart.  The hike down Bright Angel Trail is a beast and you want to make sure you have given yourself the gift of training for it.  Every day you are up early breaking camp and setting up camp after a long day of rafting or hiking.  The silt is everywhere and though you get used to it, the chocolate colored river in the summer is a shock.  Bring clothes that you do not mind being trashed in the end.  Be prepared for all kinds of weather.  And be prepared for adventure.  It is a wondrous trip, and having the paddle boat as part of the trip was a real treat - you get to actually be a participant in the journey in the paddle boat, you are not just along for the ride."
5,Voluntary Social Distancing in the Grand Canyon,"Absolutely amazing experience with a great company employing stellar guides. Full days on the river and/or doing amazing side hikes (tailored to individual abilities of various group members) were always bookended with great breakfasts, nutritious hearty lunches, and amazing dinners. Really, it was crazy what they could pull off 13 days into a trip without a grocery store in sight. Really diverse guides allowed you to get a big workout in, chill and watch the Grand scenery go by, and/or really learn something about the history, legends, and geology of the place. Their preparation booklet is spot-on too, read it carefully. Go with this company."
6,Perfection in the Grand Canyon,"Awesome from start to finish!  Obviously the surroundings, but also excellent organization by the company and guides, entertaining and knowledgable commentary re history of exploration and geology of the canyon, outstanding food, exciting rapids, hikes up side canyons to idyllic pools and grottos, etc, etc, etc.  I felt I had been well prepared for the adventure by AzRA, thanks to  pre-trip information and gear lists they provided via their website, phone calls and emails answering all my questions, and an orientation meeting the evening before we put in at Lee's Ferry."
7,7 day upper Grand Canyon,"This was an amazing trip with a super professional group. It was, as many promised, a life changing experience. I wish I was back on the river right now!"
8,IF Grand Canyon THEN Arizona Raft Adventures,"Randy, Katie, and Somer are fabulous AZRA guides!  They all provided a safe and FUN adventure on the river. The food is fabulous and the friendship is even better!"
9,Great experience ,"Great guides, food, experience. I'd go again next week. Exciting, informative and a relaxed good time with friends without the intrusion of technology. Food was WAY beyond expectations when space, weight, etc. are considered for a 2 week excursion with no resupply."
