,title,text
0,Beautiful place,"A breathtaking mesmerizing experience! Worth a visit!Can picture why Raavn was shot in here? Clear waters, splendid scenery!"
1,Excellent waterfalls to see,Great Place to plan for a Family trip ! Myself and my whole family impressed by the beauty of this place and enjoyed the waterfalls . Wonderful place to spend a day . Forest area 
2,Waterfalls that are beyond beautiful.,"Nice place to hang out with family and friends. The waterfalls are mesmerising. Since the epic Bahubali was shot here, there is huge crowd. Now water is less but during monsoon, the place looks more beautiful with greenery everywhere."
3,A natural waterfall and amazing forest area. Bamboo forest is real attraction.,"It is natural gem, a beautiful ride towards the fall thorugh green surroundings. A luxurious treat to the eyes!"
4,A rejenuating experience,"What an experience. A must visit place, the nature en route as so refreshing. There are some hidden place where you can jump into and have a beautiful but challenging swim."
5,Beautiful water falls in Kerala,I have visited this waterfalls several times it is kind of awesome place to reclaim our energy... you can enjoy the pleasant forest...
6,Marriage of my son,Wonderfull location.  Nice ambience.  Best evening destination to chill with friends and buddies.  Loving this place a lotttt. 
7,A scenic and Mesmerizing View,A must visit place with family and friends. Very rejuvenating and relaxing.water fall is awesome and with great force.
8,One of the best waterfall in kerala,"Enjoyed every second at this wonderful location. Brilliant atmosphere, brilliant scenery.So many people enjoying this special place."
9,Kerala,"It’s a hidden treasure. If you are expecting a Niagra falls, not the right place but the falls are huge and beautiful. "
10,Popular spot for photos and swimming,"It's a beautiful location, not only for the public, film industry coming here for their shoot.this place is that much greeny. "
11,Beautiful place & lovely falls.,These are impressive waterfalls. However what is more impressive is the hotel we can view them from. From the brand new Samroha Hotel you can see the falls in each room. The falls are set in some great jungle scenery. 
12,Wow,"a must visit place for nature lovers,I think there is another route to access this waterfall without trekking down and i dont know why the government has banned that route,any way nice experience to view the falls."
13,One of the best waterfalls in Kerala,The weather was nice and the waterfall is mind blowing with clean water flowing down at high speeds it's a memorable place and mesmerizing the nature at its best and its a must visit place.
14,A day family trip to athirappilly waterfalls,One of the best waterfall I have ever visited.  The view is really awesome and highly recommended for the travellers who visits Kerala  
15,Athirappilly  WaterFalls,"This is by far the biggest and best water fall across India ! If you are planning a vacation in Munnar, include this water fall in you itinerary !  You can either visit it briefly on the way to Munnar from Kochi Airport or plan to stay overnight as good hotels are availavble nearby. Just stay by the water fall and enjoy the scenic view and beauty of the fall ! it takes about an hour and half to reach from Kochi Airport. If you are adventurous best time to visit is during monsoon, or just after the that. If you are on liesure trip with family, November to January is the best time of the year for the visit !!"
16,Athirappily Waterfalls ,"Well I had an amazing time....the experience of looking at the water roaring down with such force is indeed exhilarating. Athirapallly is the largest waterfall in Kerala, which stands tall at 80 feet. I visited this place mid July, due to heavy rains we were not allowed to go down but to stand above.... the waters kept roaring like a monster ☺. The best part is this place is plastic free!! The walk from the gate to the falls is steep and it will take you a moment to come face to face with the huge roaring falls. Just loved it, must visit!!! Definitely coming back next year..."
17,Great sight ,"Very scenic place, it is one of the best falls I have seen. However, it's over crowded. Try going in evening hours the place looks beautiful."
18,THE CASCADING FALLS.,I have visited this place so many times from my school days itself. One of the nostalgic places for me.. Because I have been there with my dad for some good time and memories.. Apart from my personal attachment this place is a heaven to watch and feel when you visit once the…
