,title,text
0,New Displays of Scarecrows This Month,New scarecrow displays.  Be sure to look for the Grim Reaper of lost trademarks!  Make a reservation as attendance is limited.  Suggest early morning timing.
1,Amazing experience,"Loved the creativity we saw during the Alice in Wonderland exhibit!  Easy to navigate around. No parking available on site though (lot full all day), had to walk through the giant adjacent park to get there and had only 2 hours until closing to visit.  Still worth it though."
2,Never disappoints ,Visited for thanksgiving and wow!  Simply breathtaking and a must see if you are ever visiting Atlanta!
3,Pretty but lacks customer service. ,"Made reservations on line for this event. Staff begin putting up lights a couple months ahead. There are places to stop for a hot drink or to make your own smores. The lights are stunning and digitally coordinated with the music. Creative displays. We arrived at dusk and enjoyed part of the exhibit in the diminished light. We retraced our steps later after dark and felt treated to a brand new display. Park staff clear all the visitors out at 4pm, and light patrons begin arriving at 5 pm.  Great for couples, and also fun for families with kids."
4,A Botanical Garden MUST SEE!,"Attended a work event here. Some very cool sculptures, and love the Alice in Wonderland displays - so detailed!"
5,Incredible plants and landscaping,The Atlanta  botanical garden was AMAZING!! Come early to beat the crowd and the best photos. You want be disappointed. There's plenty to see and alot of walking..
6,Beautiful Holiday Lights But Very Crowded,"Terrific In-Town destination.  Great walking trail, incredible plants and flowers and almost always a fun exhibit or display on-hand.  Very grown-up place but the very little ones will have fun running around."
7,Wonderful Experience,"The Garden Lights Holiday Nights display at the Botanical Garden is great. If you are in the area during the holidays do not miss it. Be sure to buy a s'mores kit, roast a marshmallow and enjoy this childhood memory. This outing is good for families and out-of-town guests. Food is also available. Plan on about 2 hours for this activity and arrive early as the line to get in and park starts to back up quickly."
8,Nice place for the whole family ,If you are in Atlanta during the holiday season ...you must go to the botanical gardens for the Christmas lights. It is by far the best holiday event (better than even NY tree lighting). It can get crowded  but there are so many things to see ...you can find a serene spot. It is a great activity for all in the family. We have been going now for 4/5 years.
9,Great escape outdoors ,Beautiful gardens with an Alice in Wonderland theme of flower sculptures from the book. Nice cafe to take a break in and beautiful tropical inside gardens. Canopy walk through part of the gardens!
10,Very disappointed ,"Beautiful facility, gardens and structures!! The details in the Alice in wonderland structures were amazing! Nice restaurant to grab a coffee or a bit to eat. Easy access for all ages."
11,No Covid 19 precautions enforced,We visited last year for imaginary worlds exhibits so we knew we couldn’t miss this years Alice in wonderland exhibit !!! It was Gorgeous!! The scarecrows from different businesses & groups were awesome too!! I can’t wait to see what’s next !!
12,Beautiful Experience,The gardens boasted the Alice in Wonderland living exhibit when we visited and they were fantastic! The gardens have something for all ages and is well worth a visit!
13,Unfortunate noise and air pollution,Parking and the admission desk is close by and the botanical garden is wonderful.  You can walk with your loved ones and really enjoy everything the garden has to offer.  Can be difficult for the elderly on hot days. Plan to return when the temperature is a bit cooler.
14,Beautiful gardens ,Took our teenage daughters to experience the Alice in Wonderland sculpt and we were pleasantly pleased. Hats off to the associates that put in the time to create these works of art. My wife was impressed by the hanging orchids. It is about a 60 to 90 minute tour to see the gardens. I feel that the admittance price was high in comparison to what is offered to the visitor.
15,Atlanta ,My adult daughter and I visited this beautiful garden. They have AAA discount so show your card at ticked booth to receive it. We went early - right when they opened and parking was also close. You pay to park but there is a cover garage which is nice. Staff was quite helpful. Grounds are handicap accessible- with wide paths to make wheelchairs easy to maneuver. The orchid building is something you should not miss. The Alice in wonderful sculptures are fantastic.
16,Must See in ATL,"Put this on your must visit list.Plan on at least 3-4 hours. The garden is beautifully laid out. The walkways are wide and well maintained. It is mostly wheelchair accessible though there are areas with steps or non-paved surfaces that might be a struggle.There are plenty of places to sit, many in shaded areas. There also restrooms conveniently located along with water fountains. Though the water pressure was a little lacking, many of these were also water bottle fill stations.I ate at the Quick Cafe which is INSIDE the Longleaf Restaurant. Probably the one thing not made clear on their garden map, nor is there great signage outside directing you to the direct entrance to the cafe. The food was fresh and priced reasonably."
17,Garden in the city,"The entire garden is lighted up for Christmas from November 16 to January 11. Book tickets online in advance as there are limited entries daily. However, we saw that tickets were available on site also but the queue was pretty long. For viewing the holiday lights, the entry starts at 5 PM. Parking is available inside but is limited so if you reach early parking will be available inside the garden. The park is very busy and the parking may take 20-30 minutes. Parking charges are 10 dollars. However if the car has four or more passengers, the parking charges are 5 dollars.  Regular parking rates don't apply for event parking.Entry ticket is priced at 39.95 dollars for adult and 36.95 dollars for child 3-12 years old.Movement is one way. Wheel chair friendly.Food and drink kiosk just after entry but difficult to carry food drink and camera as you walk as some areas have dim lighting.The whole park is beautifully lit and the scene is breathtaking with multiple lights all over.Central vista has musical lights. Sitting benches provided in the area of musical lights and the adjoining bridge. Few eating places inside the park. Snack bar serves drinks, sandwich and hot dog. The Long leaf restaurant has seating but the menu is limited.  Around 7.30 PM one has to wait for an hour for getting a seat. A cafe in the same hall serves only sandwiches and drinks.Smores available.at 3-5 dollarsDowntown view is very goodRainforest and Orchid garden worth a visit. Kiosk just outside the orchid garden serves beer/wine and nuts.Washroom in the orchid garden is clean and there is no queue. All other washrooms, especially the one at the entry/exit has long queue.Time required is approximately 2-3 hours."
18,Pleasant day at the gardens,"We visited the Christmas Lights at the Atlanta Botanical Gardens recently.I probably should not say “Christmas” lights sine there is very little of the many beautiful displays related to Christmas. All we saw in that regard were I think three camels and wisemen. Again, I think they were camels and wisemen! Nothing else that we saw of a Christmas nature! Maybe we were expecting it to be and maybe we should not have! But it’s not! But all the lights were very pretty.Was also very crowded but not to the degree of distracting - lines and crowds move smoothly. Was a very long wait in line of cars at entrance - it’s a popular place! And still was a couple of hours later waiting on a taxi. It’s a very popular and busy place! We also had reservations and ate at the Longleaf Restaurant - DO NOT recommend doing that. Very noisy. Very expensive - ($3 for bread!), no salad with expensive entrees. I had the salmon which was ok but over almost cold wild rice. A very limited menu. Use the other options of snack bars and “smores” booths! Again, a nice place to see lots of lights but not much related to Christmas and main dining facility a bit of a rip off. But do recommend a visit and probably a beautiful place in day time in spring, fall and summer just for the gardens. Not a “bah humbug” review, just an honest one!"
19,"Great place for singles, couples, families",Amazing place with awesome themed gardens! Very inspirational and calming place to stroll through and get gardening ideas!
20,Botanical Beauty,"My 7 yo dtr and I visited the Atlanta Botanical mid September while they had the Alice and the Wonderland Mosaic sculptures.  The sculptures were amazing and they were spread out over the garden like a treasure hunt. Even without the special exhibit,  the garden is fabulous.  The children's garden and play area was engaging for kids of various ages. The Earth Goddess is a permanent mosaic sculpture and not to be missed. The conservatory with the orchids was also a favorite."
21,Atlanta gardens,Awesome lights and cool effects. The green lasers in the hothouse withe frogs reminded me of what a dark rainforest must be like. Don’t get the 3D glasses. You’ll use them for 5 minutes. Do get the hot chocolate with kaluha.
22,Even on a humid day,"⭐️⭐️⭐️⭐️⭐️ A Must see for anyone who values and appreciates nature and living art. Atlanta Botanical Garden is Eye catching and has dozens of mesmerizing sculptures and colorful themes that everyone can appreciate. Definitely worth the price of admission and a great memory to share with friends, family or even by yourself. Peacefully therapeutic and relaxing environment throughout with a friendly and helpful staff. The restaurant was pretty good as well if you want to cool off and get a bite to eat. HIGHLY RECOMMEND ❤️"
23,Road trip ,"The holiday light show runs mid November  to early January. Adult tickets start at 29  (for members). But well worth it.We went as family this evening.  Went early (5pm opening) to start before sunset. It took us full two hours to see everything.  The section with lights and music synchronized was the highlight. They had staff all over to help with questions and directions.  They now added some one way sections for simplification . In at least two places they had staff set up to take pictures of you with your camera Dont buy the 3d glasses, only filtered lights into snow flakes or snowmen.  Smores were great. Whole family enjoyed the evening Parking may fill, so go early or wait 2+ hours for it to ease up. Back entrance to parking may be better."
24,"Great way to spend a few hours, but not in the dead of Winter!",Must see attraction. Great atmosphere. Drinks smores and amazing light shows. Definitely makes you feel that warm xmas feeling. Will be coming back.
25,"Pre-spring bloom just okay, but this is still an incredible place",The lights were amazing - especially the ones set to music. Parking can be hit or miss so be ready to park off site. A shuttle is available.
26,Atlanta botanical garden,"Worth visiting every season as the displays change. The Christmas light show is stunning, impressive and makes you smile."
27,Reciprocal Garden Member,"The Christmas exhibits, music was phenomenal.  A beautiful family experience. Great for children ages 4 and up"
28,Surprised!!!!,Go for great walk amongst beautiful trees and gardens. Attend the cooking show. Wrap up with the canopy walk.
29,An oasis in the city.,"Extremely nice gardens, staff, and service. Family and kid friendly. Great restaurants. Plenty of shaded areas with seating."
30,Never a BAd Time There,Enforce requirements that adults wear masks and social distance. I had a terrible experience today with lack of Covid Safety precautions and will not return until the pandemic is over. Multitude of children without masks running and screaming everywhere. Parents unconcerned.
31,Beautiful Flower Exhibition ,One of the few places open first week in July and it was absolutely worth the visit. Alice in Wonderland exhibit is amazing
32,Beautiful,"An amazing variety of flowers! Take the time to walk through all of the pathways and corridors so you dont miss anything.On a side note, be prepared for the heat during the summer and stay hydrated."
33,Canopy walk drew us here.,"Beautiful location, Nice neat gardens, pounds and green houses.Fall Halloween creative competition..  It is very nice experience specially at cool autumn weather.. GO with kids and they will have lots of fun!"
34,"Great place to visit, excellent volunteers","If you are a lover of holiday lights as well as botanical gardens, you will love this place, Not many people, so lots of opportunity for quiet, beautiful, holiday-fancy sights while strolling the gardens!  Beautiful gardening ideas abound!"
35,Relaxing and beautiful walk on a sunny weekday to view orchids,The Botanical Garden is beautiful all year round. This year is a special exhibit with Alice's Wonderland. Take a relaxing stroll through the gardens and definitely visit the Orchid House! Highly recommend.
36,Afternoon visit ,"Rush ... don’t wait...to see the wonderful exhibit of Alice in Wonderland topiary characters at the Atlanta Botanical Garden. With gracious reciprocity for my NYBG membership the entrance was free, but otherwise $25 and well worth it. Lovely winding paths, interesting suspended bridge trail, and orchids delight."
37,Great place to walk around,"The orchids display was simply amazing, and the poinsettia displays were 2nd to none!!  Wish I had gone back for the Christmas light display!"
38,"Beautiful, but hard to navigate.","This garden is huge! They constantly have a lot of cool different themes, so you’re not always seeing the same thing when you go. It’s also great for kids and lots of places to take really nice pictures. They also have a cool event every Thursday during the summer called drinks in the park, with a live band, and lots of drinks. What I love most about this place is that I was proposed to there in front of the Alice in wonderland queen of hearts exhibition!"
39,Lovely even in February,"The Botanical Gardens are just beautiful, year round.  The seasonal exhibits are beautiful, the Orchid Daze Show, the current Alice in Wonderland exhibit, the Christmas Lights.  All the topiaries are amazing.  The concerts during the summer are great.  It's well worth the membership fee!!"
40,Very Beautiful,This garden is absolutely beautiful and worth the slightly spendy entrance fee. Lots of diverse plant material and really interesting exhibits. Nice little cafe for a quick bite or beverage.
41,"A colorful experience, even in the winter","The gardens are incredible, being that I am a plant person I truly enjoyed every minute here! The Alice in Wonderland Installation was breathtaking, as well as all the other topiaries such as the dragon, mermaid and phoenix. If I lived in the Atlanta area I would definitely become a member. A must see if you visit Atlanta!"
42,Worth it every time!,"Brilliant displays at -Christmas--er, ""winter holiday"" times. Elevated walkways, sparkling lights. It's a great place to go to get in the holiday mood."
43,Peaceful and Serene,"We went to view the Holiday Lights with a large group.  Unfortunately, buses are required to drop off guests in the rear of the property.  The lights were lovely and definitely, ""Holiday"" not Christmas!  The music at one section by a DJ was not even holiday music, just modern beats not agreeable to these more mature ears."
