,title,text
0,"architecture is beautiful , but too crowded to experience the heritage",It was way too crowded to experience the heritage. this could have been manged properly by the  management. 
1,Time well spent,"This is historical place, but did not attract us much. Maintenance is not upto the mark. This is one time watch."
2,Folk dance,"This would have been a beautiful home but like so many, it has been let go. Now it is being refurbished but in my opinion they would do better to turn it into a beautiful boutique hotel."
3,Could not watch anything,It's a lovely haveli although i have seen better ones. The cultural programme is lovely. They fill up the place to the brim and in summers it becomes difficult to sit tightly packed for an hour or so.
4,Traditional Folk dance,Arrive early to get in and to find a decent seat - it gets very busy. This is a fine showcase of Rajastani culture. The commentator is good and the performers are skilled and enthusiastic. The show closes with a lovely 73 year old lady dancing with ever greater numbers of pots…
5,Top priority in Udaipur tour,"There is not much to explore in the museum. There were no guides when we went to heritage either, so we couldn't learn much about the culture or history. It's close to City Palace, so you can pay it a visit if you have time in hand but not a necessary visit. Hope this helped."
6,Interesting history,Read the reviews and thought I'd go along as its in the centre of town. Got there for the show (7-8pm) around 620pm which was good guidance as it was already very busy. Got a seat down the front and waited for the show.. I paid for the use of my camera phone as I'd read that…
7,Must Visit,The show is worth a visit - good light entertainment with some laughs too. It’s a regular performance which is often sold out so go early to ensure you get a seat.
8,Over hyped show,This is worth a look see just for the building alone it is still being restored in places but it is a wonderful place to see what some of the buildings looked like prior to being rescued.  The turban display is actually very educational this is a language all of its own &…
9,Cultural Show,Despite other bad reviews we visited the traditional show and we thought it was great. Very entertaining. It gets very busy so get there at least an half an hour before. Apparently the main lady has been 72 years old for a quite a few years but who cares she is super skilled. 
10,Dharohar dance ,We did not visit the museum but we attended a FANTASTIC evening cultural show. The show includes enormous information about the Rajasthani culture and presents the folk dance of all the regions of Rajasthan. The performance by artists were mindblowing.  Things to remember :  1.…
11,Glimpse of Rangeela Rajasthan through cultural show,"Went to see the dance show here, and it was amazing, really great value for money. The dancing was great, the stories behind each were explained (in English and Hindi) and even included some puppets. We bought our tickets online, and good job we did as when we arrived at 18:15…"
12,There are better places to visit,This is a  heritage Haveli as usual and inside renovation work is continue to make it attractive. You can see or skip it but there is spacial cultural show from 7 PM to 8 pm where artist perform traditional dance and Puppet Show. If you are in Udaipur you never miss it as worth…
13,Dharohar folk dance ,"Hi.  There is not much to see in the monuments just a arms museum, but cherry on cake is the folk art show priced at 90 rs per person .  Its shows traditional rajasthani folk dance with puppet show and star attraction is dance with 11 pots of head performed by 72 years old Lady…"
14,Evening cultural dance and puppet show,"We were very keen to catch the cultural show here and queued up very well in advance to score the tickets. People start flicking around an hour before the show and you should also try to get here soon as the tickets and the seating are available on first come, first serve basis.…"
15,Must see the folk dance show,A great show with a display of great talent. The place is nice and authentic though there is no AC so can be hot in summer. It didn't bother us though a it was a nice atmosphere/environment for the show. The dancers are very talented and the music is good. The seating is such…
16,The dance show was fantastic!,"It was a royal residence before but now Museum. There is a hall dedicated to puppets. It's beautiful. entire place will take max of 1 hr to visit.   There is a local cultural show that happens in the evening 7 pm, 90 rs ticket which will take your breath away. There are 4 shows,…"
17,Go for traditional show,"We went in with the assumption that this will be another of those boring ""musical fountain"" equivalents. But, we were proved so wrong, the show is fantastic and should not be missed at any cost. The traditional performances, music, compering (both in Hindi & English) make it a…"
18,Restored Haveli,"Didn't get back to tour the museum itself.  But we were able to see the wonderful dance show on a Saturday night!  Tried to buy tickets early in the day, but box office didn't open until something like 6:15 before the 7:00 pm show!  We didn't expect the huge crush that there…"
19,Beautiful Haweli,We only visited the museum during the day and did not go to the evening show (which other reviewers rate highly).All credit for the restoration which has been undertaken to this building but I was left disappointed. More information around the displays or better still an audio guide would have made the visit better. The wedding display was good and a good way to learn about the various rituals that form part of a hindu wedding. Would I visit the museum again? No; Would I recommend it? Only if you have spare time.
20,Really promoting our heritage ,"Nice museum showing some of the rooms in which the royalty used to live. It is great to see how the Mewars passed their time, the decoration of the house, the display of their items...  Also it was fun to try one of the turbans as they use in Rajasthan 👳"
21,Nothing great,Can’t fault the show as such. Traditional and with prelude descriptions of every dance. That said it wasn’t particularly entertaining except for the 74year old lady who you have to take your hat off to for her stacked pots act.  Bit of ‘camera’ police where you have to pay extra…
22,Ok,The visit experience at this haveli was great... It is a haveli converted into a museum with a lot of cultural richness... highly recommended for a visit
23,Do not miss the culture show,"The museum this haveli hauses does provide visitors  a quick glance of Rajasthani culture.  But the display, the explanation, the direction-line and even the custodial are far away from the caliber of a world class museum.  Having said that, the architecture of this haveli by itself is worth a visit.  It is a drastic change from the bustling old city outside during my visit as the first visitor on that morning.  Get your camera ready.   You can take many beautiful shots in the many courtyards and toward the lake."
24,Ok,This one is recommended for sure. We liked the dance enactments and the puppet show in the evening. The couple who manages it are doing a great job. One of the dancers almost 72 yrs old is highly appreciable.
25,The Cultural Program is a Must See,We went to see the folk dance here after hearing about it from several people. It is good value for money and you get to see some interesting styles of rajasthani dance. There are two people that provide the narrative in hindi and english. We bought our tickets after queuing for 30mins but you can book online for quicker entry. We had a good evening overall! …
