,title,text
0,Imambara,"Imambara is a very beautiful page in the history of Lucknow, in which artists have presented their artistry in a very beautiful way."
1,स्वच्छ भारत अभियान,Nice architectural building in old Lucknow. Its a beautiful place and a remembrance of the Awadh culture of the city. I had taken the services of the guide who explained the history very well.
2,Impressive architecture,"I have visited many historical sights in the nation. This place is grand and beautiful. It showcases the entire architecture pattern of that era. It must be visited along with Roomi Darwaza, chota imamabada and other historical.monuments nearby. It was a Sunday and whole lucknow poured in inspite of hot humid weather. The place is very il organised, needs renovation and restoration at many places. I request visitors not to spoil the walls and litter in the gardens. There is a requirement of water arrangements in the complex. The water bottles are sold with higher prices. If you are going with very small children avoid going to Bhool bhulaiya (Lybrenth) avoid it. It's humid and too small. Must Carry water with you. Guide system is corrupted and needs supervision."
3,"MY VISIT TO BADA IMAMBARA (ASAFI IMAMBARA), LUCKNOW",Its an awesome piece of architecture in Lucknow. Its made in such a way based on the concept of reflection that from inside you can see whats there outside but from outside the inside preview is not visible. It was made during Nawab period with a view that it will be used during wars with britishers
4,It's okay - didn't think it was amazing.,This is not just a building but this place is  proud for Lucknow as concerned to architecture and history. One can find many wow factors when visiting to this place. Bhul Bhulaiya and bouli is a must to see.
5,Amusing visit,"This imambara is a proud heritage of Lucknow city and one of the important places visited by tourists throughout the year.However, this majestic monument finds itself in despair with the walls spoilt by ignorant people scratching their names and other bad stuff on it. There are couple of places where you can see the stones and mud breaking and falling especially on top of this monument. Renovation and/or maintenance is of urgent priority and the tourists visiting there must need to understand the importance of this heritage and help protect it. There are lots of guides available for services ranging from Rs. 100-200 which would be useful especially if you are visiting for the first time. One should surely visit and know the history and architecture of this grand heritage when visiting Lucknow."
6,Excellent place to visit and get a glimpse of the past glory of India in full splendor,This is part of a large Islamic site in Lucknow.  An example of Mughal architecture it is amazing that in the late 1700's they were able to construct the large hall without any pillars.
7,Wonderful history,"Its a monument of an era where the generosity of rulers was tangible and real. The birthplace of biryani, its the ultimate solution to the conspiracies of royal courts!"
8,A good historical bulding,This place is what a Lucknow visit is all about. Very well maintained property and what an engineering marvel. With architects from Iran built in those days can beat modern engineering any day . Bhul bhulaiya is another gem in the place.
9,gud place,"Fantastic architecture of Imambara. I have shared the history of this imambada in my video ""Being Tourist channel "".The first floor of Imambada is Labyrinth which unique in India and many would need guide to have tour of it. It will take 1-2 hour to have complete tour of it. There is small bauli close to imambada which one should visit."
