,title,text
0,Nice Visit and views.,30-40 minute by driving from town.Very nice views of the whole mountain range.Small park otherwise nothing exceptional.But worth it if you are there.
1,Batasia Loop,Enjoyed a lot amidst of drizzling.Good scenic view. Better to visit in toy train.surrounding views are picturesque.
2, the gradient of the slope,A very good view of mountains and the greenery. You can go by road as well as toy train. Toy train take halt of 10 mins  at this place.
3,Interesting ,Only place in darjeeling which is neat and well maintained. Photo location. Though artificial nice to watch it on a foggy day. The train journey through Batasia loop is also amazing. Overall a nice experience. Strongly recommend this place to all who visit Darjeeling.
4,Stunning little garden with a view,Nothing much special about this place. You have good view of Darjeeling town. A small market offering photos in traditional dresses.
5,View point ,Very historical place and beautiful. Very beautiful landscaping. Wonderful experience when the toy train passes.
6,Decent Attraction,Well maintained and nice place to see marvel of railways plus memorial. Overall nice experience to visit.
7,War Memorial - Visit a Must,"Scenic beauty, well decorated Garden, Looking at train taking a loop around the garden is very pleasant."
8,Batasia Loop garden with beautiful view,"This is 2 km away from city, a nice and cool point to view. The heritage train takes a round from here after visiting ghoom station. That's why it is called batasia loop. Monks were awesome here.. Must try."
9,Morning visit ,One of the better spots to see in Darjeeling. Beautiful and well maintained. Beautiful view of the Kanchenjunga. Don’t bother using the binoculars. Tried it and didn’t think it was worth it. Looks beautiful to the naked eye from this spot. You can also dress up in the local attire for a reasonable price and take photographs.
10,beautiful backdrop,"We in our Darjeeling trip , we visited this place. Good small garden. Well maintained lawns , bit crowded place. View of kanjanjanga is great."
11,Great view,"A nice place with beautiful views. A memorial built for gallant soldiers. Entry fee is 15/-. The toy train goes through this loop.No parking, vehicles need to be parked on road alongside.Views with telescope available inside."
12,War Memorial,Must visit this place once. It gives panoramic view of the mountain peaks in in India and Nepal. Lovely place.
13,A memorable experience of steam engine times,"You can enjoy a beautiful view of the city,  local telescopes service will addon you a extra mile. But too much hawkers are creating a lot distractions to enjoy the place. You can enjoy the local snacks specially in the morning hours."
14,Lovely experience,"Good place to visit,entry is very nominal rs 20 and a good place for super view.war memorial in memory of our great soldiers,great thing to watch is toy train going through the park."
15,Mostly for the view,"had fun there, went in steam engine. nice place to take pictures among flowers and mountains. also try binoculars to view the hills"
16,Good memorial,its a memorial with toy train track . you can get good view here as well as good pictures. should visit in darjeeling
17,A nice experience in Darjeeling and photographer's place if weather permits you.,The place has abundance of greenery and multiple viewpoints which makes you feel good among the mountains.. The winding trains through the lopp gives you a nice experience
18,A lovely place to remember,It is maintained very nicely. Cleanliness 100 percent. View of mountains is also nice if the sky is clear. Toy train ride should be more frequent. You get the feeling of British period when you come here....I loved sitting for a while in the bench at the station shade.It is one of the famous Tourist attractions and 5 kms from Darjeeling and is below Ghoom. Here the DHR chugs along the entire garden. The garden and surroundings are very well maintained. There are large telescopes installed which could be hired at a cost. You can actually view the city from the top. There is no better place to get a 360 degree view of Darjeeling's landscape including the hill town and the snow covered peaks of the Eastern Himalayas with the majestic Kanchenjunga on one side.An ideal place for clicking photographs in different local traditional attires. The entrance ticket is 20/- per head. A visit is a must while you are in the beautiful hills of Darjeeling.
19,Beautiful train loop with a memorial ,It is maintained very nicely. Cleanliness 100 percent. View of mountains is also nice if the sky is clear. Toy train ride should be more frequent. You get the feeling of British period when you come here....I loved sitting for a while in the bench at the station shade.
20,This should not even class as an attraction,If you are lucky you can watch Toy train run by your side. very near to city center. Engineering fit of 19th century.
21,Train stop,Nothing much to say about this area. It's a small area to see the mountains around. Downhill from Darjelling. Good hotels in Darjelling gives you a better view.
22,Nice early morning garden to visit,"Great views of Kanchenjunga, Toy Train stops here. Nice garden to sit. Can spend an hour moving around."
23,Best point after tiger hill,Must visit place in Darjeeling. The war memorial and walk around it is good. Do plan to visit in morning when there is clear sky and good weather. The toy train also makes a stop here.
24,nice gardens,You can get the best view of toy train from this location. A good location for best panoramic views of Darjeeling and surrounding hills. A best location for photography enthusiasts.
25,Batasia loop,It is a loop in the route of Darjeeling toy train. Well maintained garden. Nice experience during the train journey
26,Good Experience,The loop is situated in the midst of the market and gives beautiful view of mountain sorroundings. one can see the toy train too taking round of the loop.
27,Good for a tour ,Good spot to spend the time and take photos especially when the toy train makes a halt nice view good
28,Visit to batasia Loop,Well maintained war monument. Really nice view of kanchenjunga from here. Also the DHR circle two time in this place.
29,Scenic,You would get to see the best possible view in Darjeeling. Toy train does a fool loop of this park while on its ride.
30,Joy Ride,Excellent place for clicking for some nice pictures. The traditional dresses are available on rent to take pictures.Outside park lot of local vendors selling local dishes which are fresh & delicious.
31,mESMERIZING tRIP,"The DHR joy ride took us to Batasia loop. A small garden with a view is all . Crowded & noisy .Unless one has any knowledge of brave Gurkhas & their contribution to the armed forces one doesn't understand the significance.Seen people shouting , running around ."
32,View point,This place can be visited if it is on the way. Nothing special. Just a loop of train track. View is ok
33,Beautiful,Best place to hang over with your partner or family with kids.Views are amazing take sufficient time to make photos.
34,good photo ops,Very nice place.. there is loop style railway track... There u can enjoy view of nature.. or u can also buy some clothes.. if u are visiting in winter u can get snow falls too..
35,loop,You get 15 minutes stop here in the toy train. Worth visiting. Names all heroes of Army.Good memorial
36,Spiral track - Darjeeling Himalayan Railway,"Definitely worth your visit in darjeeling. Very nice garden with train stoppage and matyrs statue. You can either take a you train to reach here or hire a taxi. It's near darjeeling and take about 20min to reach here. Beautiful scenes all around this place and very dramatic to see the train enter here, wait for few minutes and return back. Overall a nice experience for everyone when in darjeeling."
37,Offers Great views and UNESCO World Heritage Toy Train,Pleasant visit to this iconic spot.. it was warm with a lovely breeze blowing.. spent about 20 minutes looking around. Well maintained and clean
38,Toy Train,A scenic spot to click your pics with the Toy Trains in Darjeeling. Well maintained and can also have a joy ride in the trains. But need to buy your tickets from Darjeeling station was what I was told.
39,A small place to see the mountains.,A very well maintained place where you can see dargeeling through binoculars and dress up in tea garden attire and even. Pick up tea in some bushes planted there. Can do marketing and buy gift  items from nearby shops.
40,BEAUTIFUL VIEW,I have visited this place in last week of April.You have a beautiful scenery from this place.Actually it's a garden with beautiful flowers you can take pictures here in local costume.There is one memorial of Gorkha regiment of army.Must visit place in Darjeeling.
41,Batasia Loop & Eco Garden,The views from the park is spectacular. The shops sell local goodies. Overall must-see while in Darjeeling.
42,Darjeeling Himalayan railway,A beautiful place. You can see the kunchunjunga mountain range from here and that too sitting on the toy train .Too good
43,A must visit place,"The place is nice and one of the must see places from Darjeeling The place is traffic free and very well maintainedPlace has very good views like Valley and Mountains , The memorial it self, The train station at such a high altitude around the memorial One must pay homage to Brave , Loyal Gorkhas for their contribution for the country"
44,Little wonder.,A war memorial with small circular garden tracks surrounding it. As common in Darjeeling you can see a lot of small shops around garden. We spent 20 mins max. The views from here are stunning if you get a clear weather although similar views can be seen from other places.
45,Ok,Beautiful concept of the heritage train doing a ramp walk for her admirers. Basic safety measures are required in the park.
46,a place to remember and visit,Beautiful Place. Lovely Surroundings. We took joy ride of Darjeeling Himalayan Railways. Worth being there.
47,A loop and a war memorial with beautiful mountain views ,Do get off and enjoy the 10 minutes at Batasia loop in the gradens around the war memorial which are well kept
48,Beautiful loop,By toy train we reached. Visited the park. Nicely decorated. Toy train experience was awesome through this park
49,Over rated park,"We enjoyed the journey by toy train, we went with family so enjoyed a lot. Amazing view, best place for taking pics.  It's a must visit place."
50,"Nice, scenic","Very beautiful garden. Amazing view of sikkim, china & darjeeling mountains. Full of greenery. Very well sitting arrangements. Binoculars available @40 per head which gives you magnificient, though for a small span of time,view."
51,Good for quick visit,The toy train takes you around this memorial. This is a good spot for taking pics as it has nice forest cover in the background and beautiful flowers inside the park. You can find some maggi and momos stall around the place.
52,Awesome Place,"A Very clean stretch, this is a quick stop during the toy train ride. At a higher altitude, this place is known for its lush greenery and scenic beauty alongside its significance as a memorial ground."
53,A war memorial.,Amazing scenic view in this small place.one can hang out and enjoy food from local shops.very beautiful picnic spot.
54,A Nice Romantic Destination,"This is a nice view point and war memorial a short, pleasant walk from Ghum Station. The Darjeeling Heritage Railway train makes a loop within a short curve downwards and goes onwards to Darjeeling. The surrounding hills offer wonderful views on a clear day and there is a nice garden to sit and get some pictures to carry pleasant memories."
55,Historical,Worst place i have ever seen. No views.  Just traffic and pollution. Too much shop and very costly. I suggest all not to go at the place
56,Rarest engineering marvel,"Just a small loop for toy train to turn back to darjeeling.Although fees was charged to go inside but local sweater sellers and vendors have filled the entire area and made it disgusting..it would be nice if only park is maintained and no sellers are allowed, even the"" I ❤ Darjeeling"" board was occupied. They should preserve their beautiful spots."
57,Best View of the Mountain Range,Here is located a loop where the train goes around but it is also a war memorial and some gardens. Most come here as part of the sunrise tours to Tiger Hill. If you come by yourself try to avoid at that time and it will be much more serene.
58,batasia loop,"a TRIP ON THIS TRAIN WHICH IS RUNNING ALONGSIDE THE ROAD WITH SPEEDY CARS THAN THE TRAIN A VISUAL DELIGHT OF nATURE IN A NATURAL WAY OF SPPEED.Itis true that sometimes you are just elusive and can only enjoy the vastness of greenery  ,the trees and clouds then this ride is one which should be taken,though expensive nut definitely shall not be forgotten for a long long time.The loop is a 360 degrees rond and is quiet a visual."
59,Fantastic,The places offers a nice view of the hills and also offers options to get your pictures clicked in the traditional attire. Overall nice place to travel with kids.
60,Nice place. Quick round and leave,"this place is known for its view of mountain, photo in old tradition dress of locals, toy train ride. thats all you can do here. toy train ride is little over priced."
61,Train journey,It's a very beautiful place to visit as the scenic beauty of nature is mind blowing!Everyone should visit the place will travelling to Darjeeling!Entry fees is Rs 20 only per person!
62,A good point to Visit,"Good place to see , toy train passed through this place in a loop manner . You can spend an evening there watching great view of mountains and also can enjoy the toy train ride."
63,Fabulous views,Have a ride on Toy train running alon road and showing a few places of interest.Railway museum on other end of halt.
64,Nice spot in Darjeeling,"A midway stopover for the toy train. A nicely manicured garden of the top of a small hillock, before the toy train must travel in loops to climb for Ghoom. Nice spot for photography."
65,"10/10, would recommend.","Great short trip along narrow guage railway. Travelled past many dwellings, crossed several roads and waved to countless bystanders taking photos of the little train. Stopped at the loop for a while to take pictures. Enjoyable experience."
66,Nice spot ,Nice view . Binacular view of Kanchenjunga was very nice .you can see the ToyTrain haulted for a while .nice esperience . We visit late morning after 9 am so we found the ToyTrain. Early morning it's not possible as no trains comes then
67,Batasia Loop was exceptional,Nice location to watch the Kanchenjunga mountain range and see the Himalayan train from close vicinity
68,Excellent memorial,"This batasia loop is a tourist spot from where you can see Kanchanjangha clearly. Professional photographers are there to capture your pics on chargeable basis. Local shopping is also available there. If you take toy train joy ride,it gives 10 mins halt at batasia loop."
69,Very good,OK place Most people come to this while coming back from tiger hill. there is nothing to see also too crowded in morning
70,Great place with beautiful surroundings,"Great view of Kangchenjunga, beautiful spot, must visit as part of darjeeling tour. It's part of heritage railway."
71,A fine memorial,This is the place to get a 360 degree view of Darjeeling's landscape including the hill town and the snow covered peaks of the Eastern Himalayas with the majestic Kanchenjunga on one side. And all this from the middle of a lovely flowering garden around which the toy train track is laid. At the center of the Batasia Loop is the War Memorial. This was memory of the Gorkha soldiers of the Darjeeling Hills who sacrificed their lives in various wars after India's independence. At an elevated platform there is a  statue of a soldier paying homage...You can both enjoy the views standing on the garden and also the ride along the loop if you take the train.. This is the best maintained place in Darjeeling...
72,war memorial,It's a nice garden with a war memorial inside it where the toy train gives you a stoppage for around 10-15 minutes. Nice place to click photos and get a bird's eye view of the town from the loop. The local cab will also take you there if you go for morning trip to tiger hill and covers ghum monastery for the 3 point sight seeing package cab trip. But we had already booked toy train tickets so we enjoyed it via train only
73,Must visit place,Batasia Loop is always in mist. Toy train in which people can travel is really a major attraction as it rides through a mist which is very lovely to watch and to travel. Lovely green gardens make the mind very relaxed and peaceful. Must pay a visit as a family.
74,Quick stop off the train,Nice tourist spot in darjeeling to enjoy after a early morning trek to watch sunrise. U wl see a nice back drop of mt. Kanchenjunga behind batasia loop
75,World Heritage sight,"They make a big deal about that stop on the touristy points, it's fun to see the little train looping once, and the merchants around, but mostly a nice view of the mountains..."
76,Batasia loop,"We stopped at Batasia Loop for 10 minutes while riding the Toy Train. Nice monument, beautiful gardens, but really not enough time to sit and relax and take pictures, as the train will leave with or without you on board."
77,Loop the Loop,"Don't go as an outsider tourist. I understand it's all business and being a tourist spot Darjeeling has all of these, everywhere. You spend 20 bucks for ticket and then you see the same mountains and same flowers that you can see anywhere in Darjeeling. There's a monument to celebrate Gorkha fighters. You can take photos of yourself in local costumes by paying 70 rs. The best way to visit here is by toy train where the entrance fee is covered with the ticket price"
78,Very nice place,War memorial and Garden surrounded by the heritage rail track. One of the local site attraction in Darjeeling.
