,title,text
0,A great place for a picnic lunch,A beautiful place to have a picnic lunch! Sadly the swimming hole was closed so we could not swim. Apparently the levels were too low so there was a concern about bacteria.
1,AMAZING ! ,"A beautiful spot and we enjoyed a short walk, but as we are in wet season it was closed to swimming.....wished we had known that before we left Darwin.  However it is a beautiful spot but apparently in wet season the crocs may be in the water and the rock pools are closed off."
2,So beautiful fof a day teip,This is a great place to have a swim then enjoy a picnic/barbecue. It’s very warm but lots of grassy areas under the shade. The water is absolutely beautiful and picturesque.
3,great oasis for a swim,This was a beautiful place to go for a swim; there were lots of people but swimming hole was large enough to accommodate all. good carpark & toilet facilities
4,Best place to swim on a hot day,"The Berry Springs Nature Park has a beautiful pool but unfortunately the day I was there, the pool was closed due to a croc being seen there the day before. A shame as I would have stayed there."
5,Excellent waterhole swimming.,It’s lovely just a shame everyone brings their noodles! I felt very safe swimming there. An easy drive from Darwin.
6,Very Clean and beautiful,Such a beautiful and relaxing place to swim with plenty of swimming holes to choose from and grassed areas for lunches/picnics
7,Beautiful place,This is a lovely place for a swim but does get very crowded You can take the family here an spend the day there n have a pick nick lunch There are 3 swimming areas that are all linked up so you can swim from 1 to another It is a bit of a drive out of Darwin tho  but if you have the time an like swimming it’s well worth it
8,Clean and refreshing,"We had a great day travelling through Litchfield Park with our final stop being Berry Springs Pools. Great swimming hole, beautiful parklands well serviced by Rangers."
9,Closed for swimming in the wet,"A beautiful place to swim in crystal clear waters, very relaxing, would have went there everyday if we had time. We also feed the Archer fish & it was fascinating to watch them squirt us to get the food. I loved the sign at the front “If the car park is full, Berry Springs is crowded, please come back later”. Very Aussie. There were picnic tables, a kiosk & amenities."
10,It was closed to swimming,This was by far the best place for children and adults to use the water. The surrounds are beautiful and tons of room for BBQs and picnics. Must see place
11,A piece of paradise,Visited yesterday. After doing the Territory Wildlife Park  it was good to have a nice refreshing swim. We started at the top pool and worked our way to the bottom pool. Well worth the visit and it was free.
12,Good spot,"Enjoyed our visit here after travelling through Litchfield national park.  Was disappointed that we couldn’t swim as their was a sign advising against it, due to the water temperature and possible illness if you went swimming, which we didn’t want on a holiday.   The best bbq area and large spaces.  Would love to camp there"
