,title,text
0,great visit great guides.,Lovely to visit the type of houses my mom grew up in. Lovely bit of Brum history preserved. the guides are great. definitely worth a visit
1,Memories of my childhood,Easy to find and great tour of the buildings. Amazing to still have these kind of houses  to see and touch and feel. Terrific staff and worth the money. Hard to imagine how people lived back in the day. A hard life but very well put together.
2,Interesting,"I learned fascinating stories about the families who lived there.  Easy to get to and well laid out.  An unusual NT attraction, all about the poor rather than the wealthy"
3,Excellent  trip,Wonderful guided tour of the back to back houses. Gave you a real insight of times gone by brought to life by Jeff the excellent guide.
4,A fascinating trip through Birmingham's history,Great exhibition of old houses. Guide was amazing and the houses although small were a joy to visit. So much history and a great display on how life was through the ages. Fab for all ages. Staff very helpful and enthusiastic.
5,Even the kids enjoyed ,Book in advance. The kids loved it. Very good look in local Birmingham history and the way of life. Great guides. 5 stars!!!
6,A little Gem,Well worth a visit if you are in Birmingham..looking back at how people used to live! Good knowledge from enthusiactic guides
7,Last minute decision but great couple of hours,"Very interesting onsite on how people used to live in the back to back houses, my wife was brought up in a  back to back house and she thought these were a bit posh to what she lived in . Tour guide was very informative and very pleasant"
8,An excellent way to learn about some of the social history of Birmingham.,Wonderful glimpse into Birmingham’s past. Great guided trip with knowledgeable volunteer. A real sense of how Birmingham was the workshop of the world. Also how such harsh poverty was endured by the residents. Original buildings with steep staircases but the National Trust have added some rails to assist modern visitors!
9,2 days and 1 night stay in Birmingham,"Very interesting. Took me back to my grandmas house. Good funny guide, who really knew his stuff. Need to be fit as lots of stairs, some very steep."
10,Excellent,"What an interesting place. Full of memories of our childhood days, although we are not as old as the houses. Our guide, Jeff was very knowledgeable and backed that up with great humour. He made sure everyone was involved, especially the children. Thanks for a great 2 hours."
11,Captivating piece of history in a corner of Brum,"Fascinating insight into the once very abundant workers' cottages. Interesting to see their evolution from 1840 to 1970. Fantastic guide called Charles who provided just the right amount of information delivered with some nice humour. The tour included a tailor's workshop and a sweet shop, all this so close to the centre of Birmingham. The complex is an easy walk from New Street Station."
12,Enjoyable afternoon ,A great guide told us about the remarkable families who lived in these small back to back houses minus running water and sanitation and yet who prospered through hard work and support for each other. It is a fabulous National Trust building with timed visits able to be booked on the internet with speedy reply.
13,Back in time,"An excellent few hours learning about the lives of people who lived in these historic houses. Our small group were led through each room by our very knowledgeable guide, Jean, who could draw from stories told by her own ancestors. Fabulous that these houses were saved from the destructive town planners of the 1970s and 1980s and then restored by the National Trust for the benefit of us all and future generations. Book ahead to be sure of getting to see these next time you are in Birmingham. Thoroughly recommend to everyone"
14,Back to the 1800s ,"A lovely experience, history in a time capsule.  So much to see and to learn about the past in Birmingham, and how wonderful that the National Trust has managed to save and restore these properties.  Our guide Jeff was very informative, and had a vast fund of knowledge about the area and what life was like here.  Well worth a visit, one could spend hours remembering and imagining.  Many thanks."
15,Back to Backs,A very informative guided tour. The volunteer brought the story of the houses very much to life.  Time well spent.
16,Sunday visit,"A great place to visit and see how people lived in the past, so interesting. The tour lasted about two hours and well worth the entrance fee, seeing the different rooms through the ages and waking up and down the narrow stairs the people who lived there actually used was great. The tour guide Jennifer was so good, very friendly, really knew her stuff and really made the visit. A definite must see when visiting Birmingham"
17,Birmingham History,Been past heremany times and unaware it was here. Great piece of social history and well worth a visit
18,Backs,"A guided tour here is a real insight into life in Birmingham through the ages.  The back to back houses are an absolute gem and if you're fortunate enough to have Jeff as your guide you'll be entertained throughout by his stories and quips.  A fascinating experience for all ages so long as you can manage the narrow, twisting stairs."
19,Nan loved it ,"These houses are charmingly full of history and have been restored so well. You have to book in on a tour to visit but lady who took us round was amazing, full of knowledge, funny and answered any question thrown at her. Most rooms but the last few you are allowed to touch things, which my curiosity in how things were and worked was awesome. All the rooms were brimming with stories and items. There's also a sweet shop and a gift shop. If you're early they have a little room upstairs from the gift shop/reception which you can wander round in. Well worth a visit and losing yourself in time for a few hours. No cafe but lots and lots of places to eat. I'm only going to post one pic because it would spoil the surprises that lie in wait."
20,A Gem of a Place,Visited today Brum Back to Backs.. city central .. Easy to get to from train stations . Tour guide John  full of knowledge and made the tour so enjoyable. Booking essential as tours only and you can do this on National Trust website or APP..Takes about 1.5hrs..Very steep  spiral stairs so not suitable for wheelchairs as no lifts  .. Would recommend if you go to Brum to relive days gone by .. loved it .. Don’t forget to visit the little sweet shop there ..
21,Brilliant Birmingham Back-to-Backs,"Took an elderly friend that was born and lived in a back to back in Hurst Street. That plus an excellent guide made for a very special day. Visitors from all over the globe seemed enthralled with the stories, a must see for anyone visiting Birmingham, great trip for locals too."
22,Step back in time ,"Interesting tour, showing how the working-class used to live in the 1840s onwards. John was very knowledgable, answers questions, he was very witty. Very entertaining. Worth the visit when you go to Birmingham right at the city center. Although you have to make a booking though, we just got lucky people cancelled so we were accommodated"
23,Say what about Goesunder and throwing out babies in bath water....??🤪,Ggood trip to a interesting site to find out loads about Birmingham my family  is from Birmingham which is interesting
24,Loved it!,"Definitely  worth a visit, amazing insight into ordinary people's lives, and life in birmingham before it became the big city it is now."
25,"Very interesting tour, would reccommend it.","Wonderful slice of history, beautifully restored and presented,able to handle objects. Knowledgable guides who had a good rapport with the visitors, Alison and Jeff, thank you."
26,Fascinating,Very informative tour. More than expected. Rich in history with real stories told. Perhaps more time for questions but overall OK.
27,Fantastic museum,A great NationalTrust day out in the city centre! Well preserved courtyard of back to back houses from various points in history and lots of information from the guided tours. You need to book a timed slot though!
28,Social history at it's most interesting .,"Well worth the visit to this slice of life in Birmingham from the Victorian era to the 1970s. Our tour guide was Ross, who filled the tour with facts and anecdotes, really bringing it all to life. From the Levi’s to Mrs. Mekin and George Saunders... I could picture them all. The only thing I would say is think twice if you’re not good with stairs, or at least wear comfortable shoes. Loved it!!!"
29,Excellent,Really interesting from local guide who really knows his stuff. Excellent gave insight into how people lived and worked. Keep up the good work NT volunteers. We really appreciate it.
30,A trip back in time,Most National Trusts are grand homes. This was a great intro into Birmingham's past. Also my 8 yr old loved it.
31,Excellent,Amazed at how people lived in the not so distant past. My father lived in one of these with 8 brothers and sisters. How they survived I don't know. Tour led by a very knowledgeable lady who answered all our questions with such passion. Our next visitors to Birmingham will certainly be taken on the tour. Well with it.
32,Excellent fabulous Les !,"great visit to back to backs, shown round by tour guide John, who was fascinating.  My 9 and 6 year olds also really enjoyed it"
