,title,text
0,A most for historians,"Lucknow is a gem for history enthusiasts.  The town holds a very special place in the rise and eventual fall of British rule.  It is the scene of the 1857 mutiny where about 3000 people took refuge in the Residency.  The battle and siege continued for about 5 months and only about 1000 marched out at the time of surrender.The British Residency is a must see and a guide is a must to get the most from this incredible site.  The grounds inside the gated walls are immense and the buildings grand and infrastructure advanced.  The ruins still depict the great halls, living quarters, administration blocks and other buildings.  Some of the walls are riddled with holes from cannon shot and others bear the scars of fire damage.  The battles must have been ferocious but, prior to the siege, it was a grand existence and not difficult to see why the Europeans enjoyed their time and were reluctant to return home.Do visit the museum which has a scale model of the site and some historic exhibits.  Unfortunately it was partly closed on the day we visited.  It was a little sad to see this once great structure in this ruined state but it is not difficult to imagine how severe the fighting must have been.  This a must see historic site."
1,A piece of history,"This place tells you the history of Lucknow especially in the last 150 years. The  British Residency has within its walls, the graves of British soldiers who died in the Revolt of 1857. The people of Lucknow tell intriguing stories of the ruins. The British Residency of Lucknow serves as a government office. The Residency also has a museum that is well-maintained by the authorities. You’ll also find the tombs Sadat Ali Khan, who was the first Nawab of Awadh, Kaisarbagh Palace and an observatory built for Colonel Wilcox, who was a British astronomer.This place is spread across many acres. Be prepared to walk."
2,Lucknow as of now,"Steeped in the history of the 1857 uprising, this place is like a time capsule. The entire area is beautifully restored and maintained really well. Its a must visit"
3,A ruined Historical Building,It is a legacy of the times gone by and what Lucknow was prior to Independence. A must see for a tourist.British Residency is a must for those who want to know about First armed freedom movement of India in 1857. This place was used by Britishers to post their armed forces. Now most of the building are ruined and open places are covers with garden grass. Its history itself.symbol of resistance against oppression and struggle for freedom from British tyranny. Must visit if in Lucknow.
4,British Residency,"It is a legacy of the times gone by and what Lucknow was prior to Independence. A must see for a tourist. Don't be surprised if you catch a few ""love birds"" but that won't take away the magnificence of the place. Believed to be haunted. Not seen a ghost personally."
5,Well Maintained Ruinous State,The tales of 1857 revolve in Lucknow around this place  and it surprisingly is well kept in ruinous state still .It is a large place and requires walking  and one must have atleast two hours to see the place .
6,British Residency,The residency is a unique historical asset for Lucknow. The buildings that have remained are poignant reminders of the war during the British times that also led to the mutiny. Cannonball markers and shots clearly visible in the buildings. The museum well worth visiting. We felt that1) site was not well maintained while gardens seem good2) curation of the artifacts is done poorly3) lighting in the interior buildings is very poor so is access 4) can be made in a more powerful experience if the government took care.
7,Shadow of the atrocities of the colonial Era ,The place is really interesting to visit in lucknow.. British Residency- having its presence in the history books.. best place to history lovers...
8,Visit of Residency,"A story of 1857 revolt by our own freedom fighters, a must see place to understand the history of Lucknow during British regime. See the museum and go around to see the  architecture of building made by ""lakhori"" bricks, graveyards of the British who were killed during the coup. Best to read about British Residency before visiting there, and if possible get a Guide ,who will explain you in detail.Keep some time to see it."
9,Loved the history of the place,This place holds a significance in the Indian freedom struggle. This was the place where the Indian won their first battle and gheroed the British high officials. The light and sound show that takes place almost every evening is a must watch. It gives a detailed information. Very beautifully maintained. Must go.
10,Worth a visit ,"The Residency is an interesting part of Lucknow history with beautiful fusion of Nawabi and Colonial architecture. Residency is often overlooked by tourist, and usually most tour guides don't include it in their tour, but is definitely worth a visit.  The reason I have not rated it very high is due to the cleanliness and poor maintenance of this beautiful part of Lucknow."
11,Good place,The ruins of the residency are well worth seeing to see the difference in lifestyle of the British rulers to the average citizen.  It is in stark contrast to the average person who lives here.  The site is being upgraded but is wonderful shape.  All of the writings are in both English and Hindi.  You can take the place in on your own pace in a few hours.
12,Old decaying building,A must visit place for the history lovers. It’s a witness of the atrocities done by the British colonisers during The Revolt of 1857.
13,Where every brick tells a story,The ruins of the Residency remind us of the great uprising of 1857 in Lucknow. They are preserved in the same condition in which they came under central protection in the year 1920. It all began in 1774 AD when Nawab Shuja-ud-daulah first agreed on the proposal of keeping a British resident stationed in Awadh.
14,Worth visiting ,"Culture & history always speaks, you can feel it by visiting The British Residency in Lucknow.It has mostly the ruins of the great Indian Rebellion of 1857.It is a very unique photogenic heritage place.It has been declared a protected monument by The Archaeological Survey of India.It is very nice to see buildings without roof because they ruined during 1857."
15,good,"Perfect for both history buffs and general tourists, this vast remnant of the British Residency in Lucknow is definitely worth visiting, provided the weather doesn't get in the way.Lots of ruins of buildings to explore, plus the museum depicting scenes from the British Raj"
16,Cool!,"you can relive the past when Indians fought their first freedom struggle. Besides this, the residency wall has the mark of bullets at several paces, a lush green cover in the huge area and tranquil silence welcomes and envelops you."
17,Good place ,By the side of history Residency has a great significance.One would love roaming and seeing the remnants of the area where british officials once lived.The attraction is great.The only thing annoying is either lovers scratch their names or indulge in showing their love openly.The latter is a bit disgusting one must stop it.Otherwise it is a great attraction.
18,SITE OF FIRST FREEDOM STRUGGLE,"A witness of 1857 revolt, standing tall amidst city of Lucknow, is a historic monument where one can find traces of the  great war of Indian Independence. The building is in demolition phase still seeks attention of many history lover, but British Residency in the phase of renovation is a good place to know your past. Great building, gardens and there is a graveyard, exemplifying the fight put forwarded by the British soldiers. My reason for visit residency is somewhat different I love to watch the architect, beauty and excellence of construction from bygone days. While exploring and roaming around the building do not forget to visit museum well preserved by the authorities. When you are roaming inside the Residency you will found that this places has everything like Church, Graveyard, post office, jail and even school, but all are on the verge of devastating. Hope authority will take care of other buildings inside the British residency. Overall it s great escape from the city and traffic in mere 5 INR as an entry fee."
19,History preserved,"Despite the brutal legacy of the Mutiny (or The First War of Indian Independence), the people of Lucknow have respectfully maintained the old British residency, still marked with cannon and bullet holes. It's a quiet green space today. There's a small graveyard, the ruins of the garrison church, and a modest museum that includes a diorama of the cantonment circa 1857. It helps to come with some prior knowledge of the history of that struggle or with a guide because there aren't too many information points."
20,History teaches,The remains of the British residency have been preserved very well. The place is symbolic of the first war of independence in 1857 and some of the stories there relive the event. The small museum to is worth the visit  I feel one should allocate atleast around 1 hour at a non sunny time.
21,Residency still carrying wounds,Its an old heritage which still has marks of the war of 1857 also known as the first war of Indian Independence. A must visit is someone is coming to Lucknow.
22,Historical visit,Must see this when in Lucknow. The place is beautifully maintained and is a treat for history lovers.
23,Must see for historians,Scene of some of the most intense fighting during the First War of Independence / Indian Mutiny The Residency offers an oasis of peace in which to reflect on the wrongs inflicted during Britain's early acquisitive capitalist stage and the roots of colonialism.
24,Amazing ,This large complex of buildings now mostly stark ruins bears eloquent witness to the Indian Uprising of 1857 when the area was under prolonged siege and bombardment. The buildings are surrounded by well-maintained gardens.
25,Ghost town full of Romantic couples,This piece of history need few guides which are not there.it's a very important part of indian history but other than maintainace and cleaning no such good initiative has been taken by state govt.onle some destroyed building and few descriptive boards.before you go just Google the history of that place...it will create interest..
