,title,text
0,Great and informative,Well worth the admission price . Great displays with information in abundance. Fish all looked healthy and happy ( even the snakes did ) Very impressed with walk through tunnel under the Barrier Reef tank and the informative session I heard about sharks
1,Wonderful! Loved it!,"Excellent facilities, the displays were amazing. Easy access with pram and child. Lot’s to see. Well worth the trip"
2,Just awesome,This place is awesome. Amazing views of all sorts of sea life. Staff are very helpful too. Highly reccomend people check it out.
3,Cairns Aquarium Day,What a great facility. Fantastic displays ranging from wetlands through to the reef marine life. Very well set up and places to sit and take it all in.
4,Nice but costly,Really enjoyed the aquarium and got to see the show where the divers fed the rays and sharks.  Layout was well thought out and there are a lot of larger tanks.
5,Definitively worth a visit!,"Great reviews from TA Reviewers took us through the doors.No OAP discount on the tickets. Lots of different fishes etc to see in a very tourist friendly enviroment.The first Reef Fish Feed of the morning was spoilt for us by a not very good female presenter who finished every sentence with the ""OK""  and went into far toooooo much detail about the firmation of coral reefs. Us oldies know most of it and the kids were not interested.....we all wanted to see the fish bring fed.The second Shark/Rays Fish Feed was much better. Light, full of interesting facts and he did not drone on for 15/20 minutes about trivia.Enjoyed it all, except the lady presenters drone."
6,Check prices before entering,"Looks very new, was a wonderful place to visit.  So many fish to view over 2 levels.  Very impressed - a great place to take your children to."
7,Blown away with how fantastic this place is!,"Have some good sea life and reptiles for the kids to view. Some big tanks but do not expect massive or large sharks etc. This is not a large place but if you take your time you can spend two hours looking at everything from rays, to spiders, lizards and snakes. Worth taking the kids."
8,Great place on a cold windy day,"Lovely displays of different animals, but only lasted 45 minutes. Thought there would be more to see and discover (especially for the price)"
9,Long wait,"Great place to take the family. There was a huge variety of marine life, who all looked happy and well cared for which is lovely to see. My daughter loved seeing real Dory's and Nemo's :)"
10,Spectacular.A Must to do.,The aquarium covered shallow water including mangrove and deep water fish.  The exhibits were stunning  - so much better than we were expecting.  The displays of brightly coloured reef fish and coral were amazing.  The entrance fee was expensive but well worth it and of course the profits are plowed back into these wonderful exhibits.  Certainly a must see.  And the aquarium is air conditioned so is a welcome escape from the heat and humidity in Cairns.
11,Must-see Cairns attraction,Unfortunately no presentations due to COVID restrictions but a big variety of different fish to look at and find out a little bit about
12,Quite good,"Took 3 annual trips to Cairns to finally visit this amazing venue.  Really impressive displays of all forms of fish and aquatic life, with emphasis on the tropical species. Some of the tanks and displays were massive, with divers swimming with the sharks, rays etc., hand feeding as the opportunity arose.  Knowledgible staff were keen to describe unique species and in some cases allow people to touch and handle some of them.  Must have spent 4 hours there.  World class."
13,Good to view many types of fish,"the aquarium was interesting with some good displays but we were quite disappointed at the lack of hammerhead sharks as all advertising images we had seen showed hammerhead sharks which we thought very misleading.  We were very keen to see the turtle rehabilitation centre but when we asked about this on arrival we were told It was just the hospital (shown as ""3"" on our map.  When we got their there was nothing to be seen so we went and asked and were told there would only be turtles to see when a talk was happening - the final talk for the day happened to have been shortly after we arrived - it would have been nice to have been told on arrival when we asked about turtles (it wasn't a busy day so the ticketing staff could have been much more helpful).  Whilst we enjoyed our visit it was expensive in comparison to some other Australian aquariums."
14,Queue issues ,"A very cool experience with so much to see. The aquarium is very well laid out and has  lots of animals to see and enjoy, the shark tank was my favorite. Everything is very clean, the tanks, the enclosures and the facility in general. All the fish, reptiles and amphibians appear to be very well cared for. I also like the educational aspect too. There are several presentations through out the day and every tank or enclosure has an information placard next to it to tell you all about the awesome animals/fish. We're so glad we went and it's a must see while in Cairns."
15,Perfect morning out,Buy tickets online to save money. It's very informative and interesting. Many fish and creatures to see. The cafe is good too.
16,Awesome,"Beautiful aquarium. Very informative and lots of different species. We had a wonderful experience there; most enjoyable. Would highly recommend the admission & lunch combo at Dundee restaurant. The food, dessert and house white wine was sumptuous"
17,So worth the visit.,Was great to see lots of the different species of fish...big and small and other animals too. Loved the shark feeding.
18,Where are your opening times?,Excellent aquarium to see. Great watching the divers feed the large stingrays and sharks and also plenty of other things to see.
19,Great for all ages,Very impressed with the showcase.  A lot of fish to see and very informative.  Great for kids. Can get a bit crowded so weekdays should be best to visit.
20,Screaming Kids ruined it for us,"Lovely displays, beautiful creatures - great set out. I like the educational value of this facility, demonstrating the various ecosystems that are interconnected from the Billabong of the outback right through to the Barrier Reef. However, I don't know why but looking through the glass or whatever the material encompassing the displays made my eyes go 'wonky' and it was disorientating. It was also darker than I expected and made it harder to see. I didn't have this issue at the Townsville aquarium. I had a problem trying to get through the turnstile as well as it would not recognise my ticket which happened to a few of us. It was overcrowded and very noisy and overall, I did not enjoy the experience."
21,Informative look at north queensland,"We did not expect much to be honest but this place was awesome. Easy to get around, fish were displayed humanely and up close. Reptiles were easy to spot. Guides were interesting and informative. We recommend"
22,Great afternoon spent at the Aquarium,"Amazing attraction, great day well maintained and displayed. Not over crowded, good family fun. Knowledge staff."
23,A great way to spend an afternoon,Loved this. Great variety and selection. Loved the display of different colour reef fish. Never seen a shark egg before.
24,A wonderful experience,"Good views of many types of fish and interesting educational talks. Make sure you go to the talks as they help with knowledge. Lots of other creatures such as turtles, frogs, and snakes also to look at. Good family day out."
25,Underwater wonderland,Cairns aquarium trumps our melbourne aquarium. Kids loved it. Good individual displays and diver feeding show ok. Tall reef tank was particularly special as is wlk through tank.
26,"Never disappoints, worth repeat visits !",Beautiful new building and friendly and staff. The exhibits are very well done. Don't miss the living reef exhibit. Was amazing to see up close the live coral
27,Good day out ,"A wonderful collection of sea critters and lots of talks for those interested in learning more about specific animals like the sawfish or ecosystems like the Great Barrier Reef.  Walking through the tunnels was fun, especially when the huge 'smiling' stingrays glide over your head!  The  feeding sessions were fascinating too."
28,More than just an aquarium.,The exhibits in the aquarium were beautiful and informative but I found the entrance fee expensive for a place where you would only spend half a day.
29,Aquarium,Great explication by very friendly staff. Beautiful animals of all kind. We discovered species that we have never seen before.
30,Beautiful aquarium,Not hard to spend a couple of hours looking at the amazing variety of fish and other sea life.Passionate Talks and presentations with information about the barrier reef and other local attractions.
31,A must do in Cairns,"I had a great visit.  It included information and animals from the rainforest rivers through to the reef.  Well laid out, lots of easy to read information and active animals.  The presentations from staff were excellent.  Great staff who are very knowledgeable and passionate about sharing information.  I entered the aquarium at lunch time and had some time before the afternoon rush joined me."
32,Great family activity to do for a few hours in Cairns.,spent a few hours walking through the displays. loved the shark tank where they swim above you and the two level coral reef was mesmerising. the staff were helpful and as my partner is not mobile we took a wheel chair through. a nice touch which made it better for him. oh and the adjacent restaurant looked great...next time
33,Interesting,We enjoyed this instead of going to the barrier reef. Lots of very nice exhibits. Also a nice escape from the heat
