,title,text
0,Great Day A Lot To See,We enjoyed our morning here. If you're into gardens you will enjoy it. We couldn't find the Saltwater Lake but the rest was very good.
1,Beautiful,"A lovely day out. We explored several of the garden areas, but particularly enjoyed the butterfly house where your patience is rewarded by close flying butterflies - a magical experience. The walkways around the gardens vary - some are rougher than others, with steps etc, but there are also large well paved areas easy for everybody. Cafes and souvenir shops available with lovely art and treats to keep you going."
2,Stunning,"this was part of our city tour,it is a nice place to spend some time.we had a guide so was really helpful to get all information"
3,Great little playground and walking trails.,"We always visit Cairns botanic garden when we are here. It is a peaceful place with the orchid house conservatory a standout place to visit. The butterflys are relly exotic and you good close to them. One of the coolest places in Cairns. Free to visit Take a picnic and enjoy,"
4,Disappointing,"We visited these botanical gardens several times during our stay in Cairns. Fantastic paradise, with lots to see but the reason we went back and back were the volunteer talks - birds and botanicals! So much to hear about & so different to the rest of the world! Go and enjoy.... the cafes are good too!JW"
5,Highly Recommend,"I was disappointed by the gardens, specifically made the trip to see the Chinese Friendship garden but there's not much to it. The visitor centre closes early so make sure you check the times and lots of paths had half hearted attempts at signage to say they were closed... not sure why. Plenty of better things to spend your time at in Cairns."
6,Great place for a walk,It was a boiling day but when I went there I felt so relaxed because of the plants. You can find lots of kinds of tropical plants and it’ll definitely make you satisfied!
7,Green Visual Paradise.,We were staying at the Cairns colonial club which is within walking distance of these lovely gardens. You would need to visit on more than one occasion to see all of it but it is definitely worth the visit.The information centre is very helpful and the cafe next door has really lovely food and drinks.A very good day out that I would recommend and you can walk as much as you like or as little as you can.
8,Well worth a visit,One of our hilights during our Cairns stay.Was very lush on a rainy day and all the family enjoyed it. Take an umbrella each.
9,Wonderful heritage gardens,We went here twice during our recent 5 day stay and didn't see all of the aspects. The arrow walks make it a fitness and walking/hiking destination. The great coffee shop is a good place to stop and there are plenty of other features that we will need to visit in the future.
10,Beautiful,We visited for about a hour. It’s a lovely place and the highlight was the butterflies in the conservatory
11,So beautiful,"A well spent visit. So many beautiful plants. You will have green-envy! Be sure to visit the cafe, gift shop and Tank Gallery."
12,A must to do,"If you come from the southern states of Australia, you will find this botanical garden very different to what you have in your own state, it's so much greener, lusher, and colourful. So yes, visit this place ! The conservatory is just beautiful !"
13,Peaceful oasis in the city,Great way to experience local flora for free. Rainforest part when you walk in it - was the best! Don't miss the smaller part of the park - it is really beautiful too!
14,Situated in two different streets!,"This is an excellent free attraction and we were a little surprised that the Gardens do not feature more prominently on 'Things to Do in Cairns' listings. Fantastic collection of native and foreign tropical species, very well kept grounds, informative descriptions, themed areas, pleasant lawns, conservatory with butterflies and a handy cafe. Easy to combine with longer boardwalks through native forest and around lakes over the road. Plenty of parking just off the the main road turning, but not so much directly outside main entrance. Could maybe do with a few more posts housing the guided walk leaflets as these are very useful for numbered species descriptions."
15,Beautiful walks,"Visited Carins Botanic Gardens recently and just loved it. Also had lunch at the cafe. Before we realised, we spent hours at this place."
16,Absolutely stunning,We learned a lot here from our volunteer guide who pointed out many things about the plants and the garden. It’s on the spectacular side and easy to reach from town. Find the jade vine and go inside the conservatory.
17,Tropical paradise,We spent a couple of hours walking around the gardens. Excellent walks meandering through the plants. Photographers delight! Restaurant seemed busy. Small gift shop with well priced souvenirs.
18,Cairns' unsung hero for tourism,We decided to take a visit to the gardens and were really impressed by the lay out and facilities. There are multiple trails that are a joy to walk and a very good cafe for a good coffee or light meal and a glass of wine.
19,Excellent free attraction,"I highly recommend this place.There are various plants and I really enjoyed it.And also, I joined a tour and a tour guide has a lot of knowledge and he taught us story about plants.I had a very nice time."
20,What a beautiful place ,Spent a couple of hours walking the gardens-very enjoyable. Make sure you grab a map to guide you. Lunch at the cafe also enjoyable.
21,Great walks,This is a fantastic botanical garden. We came from Cairns city on the 130 bus and walked across through the rainforest to get to the visitors center. The gardens are a joy and you will need about 3 hours to get the most from the trip. You could spend all day as there is a good cafe. The best return bus is the 131 which is directly outside the gardens. Highly recommend.
22,“ Tell me and I forget; Teach me and I remember. Involve me and I learn”,"If you like something to do on your lazy Sunday, you definitely have to come to this botanic garden! They have plenty of little unpaved walk way that was fun to venture around!"
23,Terrific place to visit,We visit the gardens every time we are here. The celebration of tropical plants is a celebration. The gardens are well kept. The orchid house continues to delight. We love these gardens so much we got married there a few years ago. Definitely a favourite of ours.
24,Great Experience,"The Botanic Gardens are well laid out and delightful to stroll through.  Cafe is a wonderful bonus.  The staff was incredibly helpful when I stopped by to ask for a map of the hiking trails (Red, Yellow, Blue and Green Arrow Tracks) above the gardens.  I was given the map and detailed suggestions of the best routes.  Well worth a stop."
25,Beautifully maintained tropical gardens - Must see,Spent the day wandering around the beautiful Botanic Gardens. The flowers are just stunning! A must see if travelling through.
26,Jurassic Park with good coffee,"We visited twice and still didn't touch the sides of these BeautifulBotanical Gardens, there is so much to see and do, and the cafe is a welcome break before you indulge into the greenery again, the multitude of different species is astounding, The best idea is to bring a Picnic lunch to enjoy on the many seats and Lawns in this park.Congratulations  for a wonderful job to  All the Staff of the gardens that make this possible they do such a Demanding Passionate  job  of making us extremely happy after you visit this place of Beauty."
27,"Free to tourists, lovely place.",We had a great time riding around and having a look. It is a lovely gardens and the cafe was great too. Would recommend to anyone who wants to have a nice relaxing day looking around.
28,"Beauty, Beyond the i can see",This is well worth visiting if you like flowers and plants but make sure that you spray yourself with insect repellant if biters like you. The garden itself is well worth the trip but it is not within walking distance and you will need to take a taxi or the hourly bus that starts from the stop in between the Station and the Shopping Centre. You can spend several hours walking around and it is free so you can afford to say fares. Plenty of choice of food and drink is available.
29,Amazing nature contact,"Our visit was on the 4th August 2019. We spent many hours admiring the beautiful plants and exotic flowers. Very easy to walk around and a credit to the ground staff for the way it is presented.Saw Brush Turkeys building their nest, and orange -footed Fowls"
