,title,text
0,No swimming for us ☹️,"We couldn't have a swim as we had our dog with us and dogs aren't allowed at the lagoon. Travelers with dogs might be best to avoid Cairns as it is not very dog friendly. Dogs are also not allowed on the Esplanade, the botanic gardens or any part of the CBD of Cairns. We are grey nomads living permanently on the road so leaving our dog at home is not an option. Also most of the swimming spots and waterfalls are in national parks so obviously can't go there with your dog"
1,A gentle stroll along the boardwalk,"We just randomly walked into the lagoon and wasn’t prepared to swim but the kids were to excited and jumped into the pool with their underwear! It was lots of fun, not crowded and safe to play. The man-made beach was relaxing and beautiful. Had a great time before we headed to lunch nearby, convenient spot!"
2,Excellent,"We had been advised not to swim in the waters of Trinity Beach by a few locals and so we decided to visit The Lagoon at the Esplanade on two different occasions instead.  The Lagoon is a really nice place to visit while in Australia because it is a great place for kids to play, there are lots of shops and restaurants, it is family friendly, and FREE.  During the weekend you can even listen to some live entertainment.  My son enjoyed swimming, building sandcastles but more importantly he was happy to meet four nice friends while on holiday.  The kids played for at least two hours building sandcastles and just having fun.  The Lagoon is a wonderful place to visit for both kids and adults alike and should definitely be included on your list of activities specifically if you have children.  Remember to wear sunscreen, bring swimming goggles, and a beach towel.  Lockers are readily available and restrooms with changing facilities are near the Lagoon."
3,Great place for family visit ,"You can't go swimming in the sea in Cairns due to the crocodiles, so this is great place for families to go and cool down whilst having fun."
4,Relaxing,The lagoon is a huge pool with some water features and is free and open to the public. We didn’t actually swim but its right downtown with a view of the sea. The lagoon sits in a park setting so this would be a great place to spend a family day.
5,Swimming spot,We were there almost every day because for the ocean was some jellyfish alert. It is super clean and great. In near you can find a lot of BBQ facilities for free. Maybe they could add some more lockers for rent. Good job done by local community.
6,Enjoyable,We swam in the lagoon on the full moon just magical and free! You can use the lockers nearby... the water is filtered so no worries about jelly fish and sharks! Wonderful place and very romantic in the evening
7,Reaort style pool in a public park,"This is a great place for all the family of you are wanting a swim and a bbq in the park , their are life guards on duty, the water is warm , and it’s a great place if you have little kids . A must to do, we couldn’t stay too long as the day was very wet"
8,Lovely & relaxing.,This was a very nice and FREE activity for the family. The pool is ecellent and facilities are great.
9,Local,"My nephews loved the lagoon, it was clean and I noticed the life guards were fully aware of what was going on around them.Have used the BBQ in the past, ger there early so you can get a table."
10,Chilled out! ,"remember to bring the swim wear when visiting this place.  it is a great place for kids as they can spend hours on end here.  there are life guards there so it is pretty safe.  there is also a change room and a number of BBQ areas around the lagoon.  best thing about the Cairns Esplanade Lagoon is that it is free.  great for family outings.the weather was cool when we visited late August.if you did not bring anything to cook, the Cairns Night Markets is close by to grab a bite."
11,Refreshing,"My wife and I had a lovely swim at night in the lagoon. It's suitable for all, had two lifeguards and great fun."
12,Local sights,This is a great spot for a swim. We walked past after shopping and I wished I had my swimmers... I would have gone in but had to content myself with a paddle.
13,Good spot for breakfast ,This is a free area in Cairns. Lifeguards ok duty all the time. We did not actually swim when there (it was too cold and windy). But we loved the open space and the vibe. Would have spent more time there if weather was nicer. But do go. Great public place.
14,Brilliant pool in Cairns Esplanade ,"Spent several hours down at the lagoon, this place is great and the kids can run a muck... very clean and lots of seating and BBQ facilities"
15,Great place to spend the afternoon,This is one of my favorite lagoons that we have visited in recent times. Very much kid friendly with life guards on duty for everyone's safety.I might stand corrected but I think every Wednesday you can participate in group water aerobics and at the time of afternoon that the class is run the pool is packed which is a great sight to see.
16,A must visit to relax both day and night.,"I like to swim here, it is large and contains different depths that allow people of different heights to stand up in. A large sandy area that children and adults can play in, as well as fountains to play in. If children don't wish to use this area, try Muddy's playground just a bit further up. It seems like a fun waterpark."
17,Swim - Chill - Eat,"We didn't know how dangerous the beaches could be in Austraila so it was nice to play at a ""beach"" near the hotel.  The water wasn't too deep so didn't have to worry about the kids."
18,Cairns,Every place should have one of these for when it gets too hot you can just wander into the lagoon max depth is 1.5 mts it is well serviced with lifeguards and facilities
19,Use the Security Lockers,"Lovely lagoon to swim in, as you can’t swim in the sea in Cairns. They do free aqua aerobic classes here too."
20,Lagoon,This attraction is amazing. Who needs to swim in the beach? So safe for the kids as it is patrolled. Alongside it is a large park which is shady and attracts a lot of families. In the park there is also free entertainment by local bands and also a market with homemade merchandise. I highly recommend this area for all ages and I think it is great for families.
21,Be careful,"The lagoon is fabulous firstly because it is free!  It's very clean and has lifeguards on duty who were friendly and supervised diligently every time we visited.  It's quite large so that even on busy days it doesn't feel too crowded.  Although we only visited on weekdays in the school holidays - not on weekends.  There are toilets, showers and lockers available.  Definitely a great spot to while away a few hours."
22,Beautiful,"This is a truly awesome open pool with no entrance fee.The pool is located next to the (ugly) beach and can accommodate both kids and adults with enough ground for some sunbathing (although it can get crowded).The place is worth a visit during the day and evening alike, as it is open until 9PM.Nowadays, there's a nice Ferry wheel next to the lagoon.Highly recommended!"
23,A cool place to cool !!!,"We spent the day here today with our 9 year old and had the loveliest of days,  the lagoon is warm, there is shade though. Lifeguards all around. Toilets and cafes and restaurants nearby. Super safe and just perfect."
24,A fantastic pool beside the sea for everyone and it is free,Love the lagoon. It’s huge. Plenty of shade whilst your swimming if you want to get out of the sun. Great way to cool off. Open until late. Forget about booking a hotel with pool - you’re just going to want to swim here.
25,Great place for a swim,I visit lagoon with my kids every weekend and Kids always have fun playing and swimming on lagoon. Very well maintained and always under supervision of staff. I have 3 months old to 4 years old kids and I can have fun with all of them at one place 👍🏻
26,Great spot for the day! ,We had the best time at the end of the day swimming watching the sunset relaxing in this free lagoon! We loved it! Then went to dinner nearby. Highly recommend. There’s a place to change and use the restroom.
27,Nice place to cool off,"The lagoon is amazing best one we have seen by far, super clean, lifeguards on duty and police station with cameras right there. safe friendly and what a location location location, Cafes  near by, free BBQ's shade ,lights at night, right next to the boardwalk and magnificent large trees. 5 stars to Cairns."
28,Looks lovely and cool ,The kids loved it here. It was really relaxing and just a really nice place for the kids to swim & much around. Toilets close by (very handy for the kids) & super nice at sunset with buskers singing & playing music.
29,Beautifully refreshing,It's  basically a big free swimming pool. You don't have to worry about crocodiles or poisonous jelly fish in the summer time and they have life guards. The pool is mostly on a gradual slope with the shallower parts safe for kids. Sand around most if the edges gives a feeling if being at the beach and there is plenty of grass around to lay on as well.
30,Nice place to hang out,We love the pool lagoon. What a great concept. After our tours we would cool of at the pool. Relax and enjoy the surrounding.
31,"A spot in paradise, on a hot afternoon!",I really appreciate cairns built this beautiful swimming pool! Me and my wife swam in the morning. We admired nice atmosphere and place.
32,Amazing Logoon pool.,"This is a great place to come with the kids or even just on your own. Safe swimming with lifeguards on duty. Well graded lagoon from a depth scale, lovely outlook and relaxing atmosphere. And it’s free!! Full marks."
33,Beautiful lagune,"We visited this place a year ago and came back again today. It is a beautiful place, clean and family friendly. Best of all, it’s free entertainment!!"
34,Great for a chill,"We stopped by with a 4 year old later in the day, and it was lovely and warm, the pool was busy, lots of people strolling by which was fine, wasn't too keen on letting the toddler run around with the teens having some ""moments"" in the pool, but as a free experience, it was great."
35,Nice to cool off,Lovely clean water to swim in for free. You can sit on grass near the water and swim in shallow but cool water under sprinklers. Fun for kids as there’s sand running into the water. Great for this time of the year!
36,Perfect,"We had a really nice afternoon here relaxing after exploring the local area for a few days previously. The lagoon was clean, there was plenty of room, and it's obviously free which is a big bonus! Great to visit with kids too as it's safe and there's plenty of bits shallow enough for them."
37,Great swimming place,Cairns beachfront is really muddy and could have crocodiles or stingers. There is absolutely no way anyone could swim there. The local council has built this attractive big pool that even has a small sand beach. A lifesaver is also in daytime attendance. Very popular with locals and visitors
38,Australia adventure ,"Place was clean, had a lifeguard on, water was crystal clear and wonderful to swim in when you couldn’t swim in the Daintree river (crocodiles). Can get busy with children, but is a very nice sunspot for sunbathing too!"
39,"Perfect hangout place alone, with friends and family",The Lagoon in Cairns was fantastic. The water was lovely and warm and had different depths for swimming. There is a sandy beach leading onto the lagoon. It is surrounded by lovely parkland. Good cafeteria serving hot drinks and food . The toilets are very clean . Please note you will need 4 au dollars for the lockers. It is computerised so you Pre pay and digitally will be given a number to put on the computer. The lagoon leads to a nice walkway along the esplanade .
40,Great swim to cool us down.,"The lagoon is a good, safe place to be in the water, lots of different pools from babies to grownup kids.  A wonderful holiday atmosphere with places to bar-b-que, the fires/grills are there and free to use just bring your own food..... good day for families"
41,Good to spend the day,We always enjoy a visit to the Esplanade Lagoon but this time we found that it is actually a map of Queensland when looked at from above. Extra beautiful!
42,Mr,The lagoon is a great place for all ages. Kids will enjoy swimming in the shallow protected waters of the lagoon and there are plenty of excellent places around it for picnics.
43,Fabulous Free Facility,We loved this lagoon. It's very hot in January so grateful that the lagoon stays open til late..  9pm I think. We went swimming at about 7pm and water was lovely and warm and still lots of family  around. Lots of music playing on the street and the markets were across the road.. had dinner there. Excellent alternative to the beach especially since I've heard that crocs and jellyfish are common up north.  Lagoon was clean and lifesavers are visible from all areas of the lagoon.
44,Nice and all in,Its a shame that you cannot swim in most places along the coastline up north.  The lagoon is an epicentre of activity in Cairns City.
45,Awesome!,Everyone who was at the lagoon were having a great time. Great for parents with young babies as the can sit in the pool with them.
46,Bloomin lovely,Free the kids loved it top spot very family friendly great bbq area with life guards to help keep an eye on the kids
47,What a top spot,This water areas were pristine and fun to be at with a great ambiance created by the families and other people there.
48,Adventurebuddies42 goes swimming at Cairns Esplanade Lagoon,"The Cairns Lagoon pool is the best pool on the planet!  The lagoon area is muddy, dangerous with crocs swimming around and their is not a sandy beach area, as well!  The pool itself has a sandy beach style area on one side and the other is cemented.  There are all depths available if you have children.  They have life guards on each end and the police patrol the area well, since their is a police sub station on site. Outside of the pool area they  have recently added a ferris wheel, which gives you a scenic view of the area.  There are picnic tables and cook facilities for free, as long as you clean up when you are done.  There are public bathrooms with showers and baby changing areas.  There is also numerous shops, places to eat and drink, and the area is pretty safe."
49,A little piece of heaven and Great way to cool off,"Obviously, you cannot just swim in the sea around and the lagoon might seem like a good option,but I would not recommend it. Just 40 mins on the bus you have absolute pieces of paradice in Trinity beach and Palm Cove beach."
50,Great place and free,"This is a beautiful place to spend a few hours especially if you have children.  The lagoon is 4800 square metres of salt water with a very shallow end to a deeper end.  Lifeguards are present during normal hours of operation.  Very clean washrooms, lockers and even BBQs are nearby. Open year-round and close to restaurants and other attractions.The city have a lot of vision when they built this popular attraction!"
51,Great idea,"The lagoon is open most of the year, you can bring the family down for a refreshing dip in the hotter months or even join in to the free active living water activities on offer.  Little kids can enjoy splashing around in the water too in the shallower parts.  There is plenty of grassy shaded areas to sit and relax or read a good book, bbq areas, clean change rooms, lifeguards on duty, and a great little kiosk for an icecream."
