,title,text
0,Worth the walk up there,Nearly killed my husband walking from our accommodation!😂 Well worth it though as the views are amazing. Don’t do it in thongs!!!
1,Amazing view,"Always busy at the lighthouse and very limited parking so be prepared to park further away and enjoy the walk, its worth it!"
2,Great day activity ,"It is a quite steep climb but worth it! People were skydivers active also, really nice to see. You can walk further up to a viewing point but that is not really necessary."
3,Stunning Cape Byron Lighthouse,"Agree with what other fellow TA mentioned, it is simply beautiful.Don't drive all the way to the top as I can 99.99% guarantee that you won't be able to park there plus the fun is to walk your way up to the light house.Park at the bottom and leg it. It is a gentle easy walk. Enjoy the view there.Clean toilets. Cafe. Bring coins for parking 🅿. Be warned it is not cheap, but worth it."
4,Worth the walk,"It is a long walk, with many stairs but the view is so sure worth it. So a must do when in Byron Bay."
5,Best Views in Byron Bay,We came here late afternoon after a wedding renewal ceremony & it was just magical.  Beautiful views in all directions.  Whales breaching the ocean below the lighthouse.Great photo opportunities all around.  Don’t miss the spectacular Tallow Beach photo on the way back down from the road.Definitely worth a visit on a beautiful sunny day.
6,The icon of Byron Bay,Absolutely magical spot to go for a walk from the city centre. Steep climb but the views on the way up in the board walk and the views upon reaching are simply breathtaking. A must see if you’re anywhere close by!!
7,Just Magical ,Haven’t been here for years but it hasn’t disappointed the view is spectacular in all directions and it was a clear day nice place to stop and have a coffee and enjoy the view
8,Morning visit,Did the lighthouse walk with a friend one afternoon on a 3 day trip to Byron. Can highly recommend. It’s a hilly walk of course but very worth it and if you take the longer route its a nice wide clean path (the track through the woods is clear but messier so take sturdier shoes). You get wonderful views of whales breaching and of the bay from up there and it’s a great place to watch the sunset.
9,Amazing. ,Great walk with fantastic views. Cafe at the top is a bit crap - good for coffee and and ice cream thats about all. Better to eat at the one on the way up
10,Great views,This is certainly well worth the hike up to the lighthouse.... Amazing views and stood at the southern most point in Australia AWESOME !!!!!
11,Forever special,Lovely walk and view a must do. Take your runners and walk down to the most Eastern point! You have to pay for parking but you do everywhere
12,Awesome place,Nice to do the coastal walk up to the lighthouse! Make sure to catch the most eastern point of Australia’s mainland
13,A highlight of Byron Bay,"Don’t miss this place when visiting Byron Bay. Amazing views, lovely Cafe, nice walking tracks. A must go!"
14,Beautiful location! ,"Beautiful! If your in Byron , Cape Byron lighthouse is definitely worth visiting! Great views of the ocean and Byron :)"
15,Lovely spot with great views,Great to see don’t miss it! All buildings well looked after and easy walkways. Nice cafe with a view for lunch.
16,Great views,Walk up to light house moderately difficult but worth the effortGreat viewsWalking path from Byron all way down and around lighthousePerfect way to exercise for a few hours in the cooler weather
17,Magnificent view!,"We really enjoyed the views from the lighthouse! While it is quite the tourist attraction, it wasn’t too crowded and there’s an opportunity to take a great photo on every side of the lighthouse. The water is beautiful blue and, if you’re lucky, you may even catch dolphins or sea turtles."
18,Great views,We drove up for a sunset and walked up one morning (quite strenuous). Best views of Byron Bay and surrounds. We even saw whales blowing on their way south.
19,"Stunning views, great walk",Quite a hike up there if walking but well worth the view from up top bit of wildlife along the way nice little cafe up there as well can take a different route to come down which is a bit easier
20,You won’t be disappointed. It’s as good as it looks in photos,Visited Byron Bay Lighthouse which was being painted/restored but had one room for viewing. Great information inside.Decided to do the steps and walk down to the beach. Very easy walk down but a little tough on the way up being a rise of approx 95 metres. Well worth the effort and views.Would do it again.
21,Lighthouse ,The best view ever !You can watch all the turquoise water around the Cape !If you go to Gold Coast you can´t miss to visit there !
22,Stunning,A lovely place! Beautiful views and we got to see whales! Were really keen for the lighthouse tour (gold coin donation) however it was fully booked which was disappointing! Well worth a visit
23,Beautiful family walk,A bit difficult to achieve At the top as many other tourists are doing the same thing.Parking up the top was crowded and had to wait for a spot and pay $8.00. The alternative was a climb up the hill. The $8.00 is worthwhile. Parking attendant does a top job.The wander around the light house was good and yes there were whales.The small coffee shop on site is well overdue for a makeover to encourage visitors to stay awhile.
24,Worth the walk,The lighthouse is popular for good reason - it boasts the most beautiful view of Byron in my opinion. I must have walked up to the lighthouse trail a thousand times and still never get sick of the view. Sunrise and sunset are also great times to admire the sun rising above the ocean or setting below the mountains.
25,The beautiful Byron Lighthouse,"The Lighthouse visit was absolutely amazing! Would totally recommend to do the walk down to the cliffs and the beach, it's wonderful!"
26,Great,"This was an easy stroll with a couple of steep parts from Town of Byron Bay. Great views can be seen from the top. We also experienced sea turtles, rays, huge lizards and beautiful beaches on the way."
27,Best view of the coast,If you’re energetic you can hike to it. We drove. Worth the parking fee to see the fabulous views. There is a coffee shop so you can sit and relax taking in the views.
28,Nice and worth a look,Really nice walk around the lighthouse! Saw some whales! Make sure you bring bincoleours if you have them! Also don't miss the most western point of Australia!
29,Awesome,The views are stunning! But they do take some effort to obtain! Ensure you take a bottle of water and a hat. We took the scenic steps route on the way up and then the road on the way back down which was much much easier!
30,An energetic walk with a rewarding finish,"Not dog friendly. No point going. Too many backpackers! Hard to find parking. But, great view. Nothing more to say."
31,It is an icon - another one to tick off,Its worth the hike or drive up.Be very careful of traffic as road is very narrow and cars dont have much room to pass .
32,Ways Outstanding to Walk up,Just stunning. Well maintained and great history. Dissapointed the gift shop wasn't open though. But what a view of the east coast.
33,Australia most eastly point,I can’t rave on enough about Australia and the beautiful area sthe country has to offer. We did the Bryon bay lighthouse trail it’s absolutely tired us out so sensible shoes is a must. Very tiring and a lot of steps so not suitable for those with limited mobility or very young children unless your  to carry them for a while.
34,Amazing,Great walk along track but be warned the full walk is very demanding & feet were sore afterwards.Fantastic views from lookouts & lighthouse & great refreshing ice cream from the lighthouse cafe.A must do for the fit.
35,"Australia’s most easterly point - worth the walk, drive or ride with superb views in all directions ","What a spectacular view! However.... $8 to park for one hour only - if you’re lucky enough to find one. In that hour you can get a tour of the lighthouse... if there’s a volunteer available. The gift shop sells tacky and expensive souvenirs of questionable origin.However, those views are incredible and worthy of a 5 star rating except for the things previously mentioned."
36,A long climb but worth it,"My daughter and I walked up to the lighthouse, a little steep in places but the views are so worth the climb. You can choose to drive.Definitely worth a visit."
37,Amazing ,The lighthouse itself isnt anything to gawk at but the walk up is what you wanna hit! It will challenge you but worth it and theres plenty of vantage points for great snapshots!
38,Beautiful spot,Nice scenic walk to the lighthouse. The last part had lots of steps. I would recommend as a nice walk from Byron. I would advise 2 hours there and back.
39,Beautiful lighthouse and beautiful views,"The walk was lovely but if you have toddlers or seniors not accustom to walking you can drive up and park for $8 near the top, it does get full so you may have to wait a bit. The view was amazing from the top and the small lighthouse has some artifacts inside."
40,Simply stunning !,Was great for the kids the lighthouse tour is small but definitely worth it such a beautiful part of Australia to visit
41,Stunning views,"We did a couple of runs to the lighthouse early morning and late afternoon. Fabulous location and great to see the views on both sides into Byron , Julian Rocks and Tallows. The area around the lighthouse has plenty of space to sit and relax and enjoy the views. If you can get up go there to experience the sunrise. If you’re driving there’s a few parking spaces and an $8 fee. Also worth looking at the exhibition and history."
42,"Lovely tour, view, environment, everything! ","Beautiful views, got to see a pod of dolphins while we were there,a great walk to the point, can walk from the bottom or drive to the top and pay $8 parking, well worth it."
43,Wow what a view,Great walk and amazing view. Saw dolphins galore! Kids aged 9 and 5 loved it too. Would probably do it wearing closed shoes next time.
44,Absolutely stunning view!,Great views along the entire walk and once you get to the lighthouse. Bring sunblock and comfortable walking clothes/shoes.
45,Too crowded and not worth the price ,"Lovely day was had visiting the lighthouse. The crowds were light and there was plenty to see. It's a great end to walking the trail. Much better to walk the trail and end here than to just drive to the lighthouse. We enjoyed the small museum. Unfortunately, it was a day of youth tours, so we did not get a chance to see the views from the top of the lighthouse. Maybe next time. Since it doesn't cost anything, it's a good thing to do at least once while in Byron Bay."
46,View To Behold,I went up with my 5yr old and she and I really enjoyed the authentic tour. Was quick - not long winded and/ or too much info for kids! Then we walked around the top outside - views were beautiful!!
47,Spectacular.....but watch for parking inspector!! ,Cape Byron shows a stunning view of the coastline. Definitely worth a visit.Limited parking so you’ll have to hike a little to get to the top.
48,Great place to visit ,We didn't go in but the views are amazing - saw Dolphins and whales. It's a great walk - we went one way and back the other
49,Quite a hike!,Great walk from the town to the lighthouse around 5.30 am. Nice exercise and truly amazing sunrise !!!
50,Such a landmark ,"We have just got back from this walk and we are in our 60’s, it is a long walk of 5-6 kilometres or more. The walk is best with trainers on and if it is a hot day go by the tree lined walkway and steps on the right across the road as it is more shaded.  It is a long walk with lots of steps so beware as it is hard going.  We did it as we wanted to go to the most easterly point in Australia, it is where Captain Cook landed but named after his grandfather Lord Byron.  Good for historical buffs. Highly recommend if you are in the area as views are spectacular. There is car parks but you have to fight for a space as there is not that many and also not for anyone in a wheelchair."
51,Beautiful ,If you are in Byron this is a must do walk. We strolled along the beach from Byron and then up a path to the right and then just followed the track right round the headland. It’s steep in places so maybe wear trainers. The views along the way are wonderful. We saw plenty of whale spouts as we went too. There’s a cafe at the lighthouse and then the walk back follows a lovely ridge through the forest back to Byron. It’s about 5 miles / 8km though you can drive up there too - but leave the car and take a walk!
52,Brilliant views,walked to the lighthouse from central byron bay along the beach and then up the path/stairs.its quite hard going but worth it once you get there. the views are amazing!!
53,Unreal views,"This is the most easterly point of Australia and well worth the visit just for the views... simply stunning.  If you see dolphins and whales that's a bonus. Parking, if available, is $8 up at the lighthouse or there's metered parking on your way up. Tours inside the lighthouse give great insight into the life of a lighthouse keeper as well as the inner-workings of a lighthouse. Cafe on site serves great coffee."
54,Great lighthouse to visit,Rewarded with Fantastic views on a long climb to the lighthouse. Cafe at top then less structured path. Trainers advised.
55,To hot for a view at the top,Get up for sunrise well worth the visit. You could struggle for parking and if you park in the lower space you need to pay. Otherwise walk up
56,Really worth a visit,"As always, the sunrise view from the lighthouse is nothing by spectacular. Only issue was the parking, need to be there early in order to find a park!"
