,title,text
0,Interesting and nice views ,"We enjoyed our visit to the castle, interesting artefacts and information.Lovely views and well kept.My son particularly liked the peacocks and the cats wondering the grounds.We had a nice morning walking around."
1,Excellent,"We loved this place. Great views and a couple of open rooms of the underwater archeological finds. We’ll definitely come back again in another year or so since this is a ‘work in progress’ so more of the finds will be displayed, but for now, it’s a beautiful place to wander around and take in the breathtaking views of Bodrum and surroundings."
2,Castle of St Peter afternoon trip,"Lovely couple of hours spent wandering around the castle, very well kept, good informative museum, amazing views, has a cafe, clean toilets, we all enjoyed our visit here.  Shame the prison side was closed, so will just have to go back and revisit"
3,Main attraction of Bodrum,Excellent castle and museum with fantastic exhibitions. We spent nearly 3 hours with the kids. Unfortunately the ancient medical centre exhibition was closed. Some of the steps are very high; may not be suitable for very young children. We loved the English tower!
4,Best good castle 🏰,"Superb castle with great variety of things to see. My 14yr and 12yr old sons were a little skeptical at first, but became pretty impressed!Very good historical journey broken down into easy to assimilate, bit-size chunks via the various towers, different galleries and levels within the castle. Vast array of artefacts from old underwater civilizations and wrecks covering an excellent array of amphorae (covering numerous different civilizations and spanning many centuries), an impressive ancient glassware collection (one of the finest in the world), various coins, jewellery and gold. Superb views of Bodrum, sea, harbour and hills from the ramparts on almost all sides (I recall 3 but maybe the 4th as well).Lost of ups and downs, climbing and so forth, so not for elderly and less mobile.Allow minimum 90mins (otherwise you'll skim too much).Well worth a visit."
5,"Beautiful building, able to social distance easily. Don't believe it was worth the money to enter? ",A brilliant visit to the Castle at Bodrum. Some interesting artefacts and art exhibition. Really worth a visit.
6,"Great views and history, a must!",The castle is beautiful and very well kept!We're glad we visited whilst we were staying in gumbet.However! We do not believe it was worth the £38 we paid for 4 adults and 2 children.The toilet facilities were also not cleaned and looked like they hadn't been cleaned for some time.A few very suspicious looking marks wiped across the back of the toilet door and stains all over the walls that looked like they had not been cleaned for quite some time!Can they really warrant asking people to comply with covid guidelines or even charge the amount they are charging when they clearly have not deep cleaned the facilites since the pandemic?!
7,A favourite spot,"The castle itself was interesting to check out, well preserved and had a nice view. However, half of it is closed currently for renovation so not a ton to see"
8,Great cultural visit,"Great views and history, a must! Spend a few hours going around this magnificent castle, learning about Turkish history, overlooking the Bodrum marina. Very close to the city center."
9,"Hot, damn hot, but a great experience ","Beautiful , well looked after castle with the most amazing views. We had a very helpful tour guide who knew everything, so friendly and informative. Would definitely return."
10,Amazing ,Ok the titles a bit dramatic but I found the boat artefacts exhibit with the castle so interesting. Originally built by the crusaders it's an imposing sight from the Kos ferry and when you're within it's walls. There was an art exhibition when we visited but I have to say it didn't look that erm ...  competent
11,nice castle with a sea great view,The castle with its garden and ancient ruins has a very special atmosphere and energy. I really loved the variety of plants surrounding the ancient ruins.
12,Castle or museum?,An absolute glorious experience allowed to explore. Lots to see and the views are incredible. Thoroughly enjoyed visiting the historical sites of Bodrum.
13,A nice place to admire the view,"My husband and I visited the castle as part of a cruise excursion. It offers beautiful views of Bodrum and some interesting history. Give yourself between 1 to 2 hours to tour the castle. The many rooms displaying artifacts are quite small and get crowded with large cruise groups. The grounds are well-maintained with beautiful flowers. You may see a few peacocks roaming around as well. There are a significant number of steps and inclines to traverse, so wear good walking shoes. Some of the highlights include the ancient coins, jewelry, and glass gallery. Unlike others, we were underwhelmed by the reconstruction of a ship's hull. Overall, it was not an amazing excursion, but it gave us something to do in Bodrum.Tip: If you are cruising and arrive to the castle by boat, we recommend not taking the boat back.  My husband and I were able to take a leisurely walk back to the cruise ship port. The walk took us through the popular shopping area, where we were able to eat, buy souvenirs, and have afternoon tea."
14,A most interesting but somewhat largely unvisited building,I visited the castle and the museum 3 years ago and it was great. Unfortunately extensive refurbishment works are in progress now and could last till the end of next year 2019. No doubts it will be worth the visit.
