,title,text
0,Very interesting,"7 € entry fee. Very interesting, only a few place in the world are you able to have similar experience. About 30 minuts walk from city center. The highlight of my visit to Palermo."
1,Thought provoking experience.,It was easier to locate that we thought. For a 3 euro entrance fee you get an amazing experience. The catacombs are surprisingly peaceful and unscary. They are light and airy and you can wander about at will. The mummies are in various states of decay with some almost completely skeletal and others with clear features including facial hair. You are asked not to take photographs but there were people ignoring this request.
2,Must see in Palermo,Very powerful place to visit. Makes you really consider mortality. Absolutely fascinating. At only €3 for entry its well worth a visit. No photos allowed which is only right showing respect for the dead.
3,Very interesting ,"Weird tourist attraction!  However, for only 3 euros you can't really complain."
4,A very rare sight that you shouldn't miss! ,"Really peculiar place. Only 3€, and you walk around it in about 30 minutes. What I found interesting was the clothes on the mummies. Really gave an indication of the time period these people lived in. Eventually had to escape though for fresh air. The cemetery next door is fascinating with loads of beautiful Art Deco tombs."
5,Very interesting ,Interesting place to visit. Not to expensive to get in only €3.  Pretty amazing to see it all. Wouldn't recommending taking children there unless they are a bit more mature or able to show respect and be controlled. A shame about the people who disrespect things and take photo's even though there is signs and announcements saying NO PHOTO! It doesn't just mean not with flash like other places get it through your head! Would recommend a visit if you are into this stuff or after something different.
6,A long walk from the cathedral,3 euro in. It they don't really check tickets so u could sneak in About 2 km from centreVery good ounce you are not afraid of lots of dead bodiesVery well done No photos allowed but you can sneak a few but cameras everywhere
7,Not for thanatophobes.,The catacombs were a very different tourist experience. At €3 entry it was well worth it as there are not many attractions like it.
8,Don't know how to describe this place,"Very macabre, one time visit only and Good value for money @ 3€ each.Very interesting and thought provoking 😏😏😏Only downside of a local vagrant trying to charge for parking, and no need to do so."
9,Blown away,Very cheap to go in (€3) and just an odd place. Apparently you are not allowed to take photos but I saw several people doing it. I hope so don’t have weird dreams later tonight. Worth checking out - will take around 30-40 min to go through. There is no info provided at entry.
10,Really socking and marvellous experience. Only under 18. Really. ,Weird place which makes you think different.It is recommend to visit it but not for children. It is a  visit which stays in your mind.
11,Great experience!,Found this on a website of top things to do in Palermo so went along. Very interesting somber and different place to visit. Makes you think of your own mortality and not for everyone I would think and not for young children. One  feels that you need to be reverend and quiet on a visit.
12,A nice long walk from the Cathedral area.,Not as big as I thought it would be but very interesting and for 3 euros entrance fee really good value loved it
13,Wow,"Very interesting to see how they preserved there dead, made you feel very close, not creepy and very well worth the visit, I can imagine how I could now look if preserved and put to rest in a similar place rather than being cremated"
14,Catacombs,"The museum has the biggest selection of mummies in the world and you experience a different type of just a simple visit to a museum. The mummies are placed in a every single wall of the catacombs and are categorised according to the sex,age or social status. They wear their own clothes (even the cappucin monks) from 16th till 20th century. Don't forget to visit the room with the 2 year old girl that her body has remained almost intact from 1920! Sometimes it gets a bit scary but you won't regret it for sure. The ticket costs 4 euros."
15,Disrespect for the dead.,"Good to see, I have never seen so huge catacombs in my life. Entrance is €3 which is not too much. It's 25 minutes walk from Cathedral."
16,A bizarre but incredible visit.,"This is a very strange place to visit. Its quite creepy but it was a unique experiance. It takes around half an hour to walk around, longer if you stop to look 'people' in detail. It gives you an idea of how people wanted to be remembered in thier clothing, which is a fascinating snapshot of late c.18th and c.19th century, if you can get past looking at the skeleton in the clothing. It is a little morbid and sad, especially  the children, but you won't see this any where in England and I did not regret going."
17,well worth the visit,"This was a strange place but awesome !8000 dressed up corpses but not scary .€3 to get in......closed between 1pm and 3pmGo, it's worth it"
18,A creepy experience ,"This is an interesting place to visit ! Entrance is only €3. It is somewhat macabre to see all the skeletons dressed in clothes. 20 minutes is enough time to walk around. Just outside the entrance to the right is an unsigned entrance, and if you go through here you will find toilets."
19,Gruesome,This place is creepy but definitely worth to visit! You have to walk a bit to get there but its a good place to visit something you may have ever seen before. There is also a nice graveyard to have a little walk in shadow if its a hot day.
20,Not for everyone,Whilst in Palermo this is a must see. Very strange experience looking a dead people. Okay during the day but wouldn't like to be locked in at night!😄 Only thing that annoyed me was the amount of people disrespecting the notices everywhere not to take photos!
21,More interesting than expected ,Incredible collection of real bodies. It is worth a visit in order to lear how they used to trat bodies 400 years ago
22,Not for everybody,"An absolute must when in Sicily! The whole experience is eerie and intriguing. For just €3 is well worth it.  Is not very well signposted though, we walked along this never ending street looking at the map,asked a local and there it was,just 20 m in front of us."
23,Fascinating but a bit macabre and touristy,"This site is just a few euro to enter, and it is well preserved and managed. Expect to see literally hundreds of full skeletons in era dress. There is also a section of deceased children fully dressed in their age appropriate garb. We did not stay long here, as it was not our taste.  Given a second chance, I would have skipped it altogether.  Not in a particularly convenient area either, and cabs on exit were nonexistent."
24,FASCINATING IF MACABRE,"This ranks high on the sites to see in Palermo, quite odd and probably unique in the world. if you are scarred then don't go as an aerie feeling - however we all end up this way but not necessarily on view"
25,Surprisingly dull,Ii was very scary. I could not finish my tour. It is awesome for those who like scary staff. Taking pictures are not allowed.
26,Like a horror movie set only real,"In my opinion a must see whilst in Palermo. At only €3 per person this attraction also represents value for money. It is a fascinating journey back in time. Yes there are dead bodies down there but it is part of the cities history and is a fascinating glimpse into what people were like in the city. It became something of a status symbol to be interned in the tombs so ignore the macabre side of the tombs and look at what people are wearing and how they are positioned. Not much info in English in the place itself (like a lot of Sicilian historical sites) so have a read up about it before you visit.Yes some of the decaying cadavers are a little grotesque, but all the same it is an interesting place to visit if you enjoy history. We found it a little bit disrespectful in some ways, particularly the way some people persisted in taking photos when it is forbidden.Another recommendation - take a tuk tuk taxi like we did back down into the main city centre. The traffic is mad in Palermo but the tuk tuk drivers are even madder - a thrill a minute ride."
27,Museum of Cemetry,Very interesting place and a must see when in Palermo! I find it faszinating how good some corps are conserved and a bit spooky... Wouldn't want to stay there over night.
28,A bit macabre but absolutely fascinating,The view of thousands of skeletons is quite scarying and is not for everyone. The location is quite outside the city center. I got the negative impression that although it was not allowed to make photos inside ( because it is not appropriate to make photos of deceased people) they were selling postcards with skeletons and skulls outside.
