,title,text
0,Nothing to write home about,Had a quick look round - mostly because it was free and raining outside - and was mostly an empty shell.Little of the original remains due to large renovations over time but some lovely memorial stones.
1,Beautiful cathedral,"Visited with my husband whilst on a city break. Entry was free and there were plenty of sanitisers and a one way system in place to ensure Covid safety. The toilets, shop and cafe were also open.  The cathedral is beautiful inside and out with gorgeous grounds and well worthy of…"
2,Beautiful cathedral,Decent visit. It was free and worth a look around.  Beautiful cathedral. Friendly staff. Social distancing maintained.
3,Peaceful,Have visited a few cathedrals. This was free and lovely to walk round as part of visit to Chester but doesnt have the links some other famous cathedrals do so felt underwhelmed.
4,Touching,"Beautiful building lots to see and take in, COVID precautions followed well, track and trace. The Stain glass windows were amazing and the history of the Cathedral incredible well worth a visit if you in the City"
5,Imp spotting,"Visiting Chester for the day and had to stop in at the Cathedral. Covid measures in place, so track and trace details were taken on arrival. Staff at entryway friendly and helpful. A beautiful building to walk around at leisure, taking photos and reading the various information. It was very strange seeing the cathedral with the pews removed as it makes you realise how vast the space actually is! A beautiful place, we spent around 30 minutes wandering around and then visited the cute gift shop."
6,A must!,I had only ever visited Chester Cathedral on school trips and for my university graduation. Decided to pop in on a Saturday afternoon and I was very pleasently surprised. I really enjoyed admiring the historic architecture and building techniques of the cathedral as well as the art which was exhibited inside. A really interesting place to go!
7,A must see,Now open to visitors and I was the first of the day. Lovely cathedral with some stunning stained glass windows. Choir stalls and roof are magnificent. Very peaceful.
8,Gorgeous - must see ,Really enjoyed our visit to this beautiful church. Felt quiet and peaceful. A must visit sort of place.
9,Beautiful Cathedral. Great Gardens.,"Do not miss this if you're passing through Chester! Visited with my partner and young daugher and we had a fantastic time! The Cathedral is an amazing building which makes you stand and stare in absolute awe! The staff were all very friendly and helpful, and informed us of the hand sanitizer stations which were dotted around. Simply amazing building!"
10,Interesting to look around,"Amazing place to visit,Very well thought measures with how to deal with these COVID wary times.Nice shop as well and some nice bits and pieces 👍🏻"
11,A small gem of a cathedral,"Free to visit, beautiful cathedral, fantastic stained glass. Dropped in whilst walking the city walls. Interesting newish detached bell tower. Impressive and peaceful."
12,An oasis amongst the hub bub of the city.,We went here on 10/08/2020. Was lovely to walk about looking at all the old architecture and stained glass windows. There was no charge for entry but donations are appreciated. Covid precautions in place. Was a lovely way to spend a morning
13,Smaller than expected. ,"Beautiful building, incredible history and the architecture was stunning. Just a little put of by the constant ""donations"" boxes absolutely everywhere. We happily made a contribution when we entered but it was every 20feet or so and more please give us money boxes everywhere. Regardless of this it is a must see."
14,Amazing! ,"Looks majestic from the outside, not as impressive as some, but still, a pretty good looking Cathedral, we didnt visit it until after it closed, so werent able to look inside. For free, worth popping to have a look."
15,Wow!,"A lovely Cathedral,  stained glass windows are beautiful. During Covid well run and felt safe.  Plenty to see."
16,Beautiful cathedral,Went here whilst in chester to have a look at the cathedral. An amazing place with fantastic architecture. Easy to access and free. The current artist exhibition looked interesting as well. 
17,"Welcoming, well managed and of course beautiful architecture","We went in as it was open, free of charge (donation requested) and we had not visited it before. It was amazing! We wandered around for about an hour, the garden is also lovely in the centre and around outside. Definitely worth a visit if it's open."
18,Stunning,Worth popping in if you’re in the city centre to see the architecture and key points of interest inside.
19,History and spirituality,The cathedral is beautiful and at the moment its free entry so its a cheap day out .social distance is in place do safe to go
20,"Interesting, welcoming and well set out for visitors","A magnificent building, some beautiful stained glass. Religious history in bucket loads. Covid restrictions mean that all the seating has been removed. It makes the space quite bare. Social distancing was easy."
21,Wonderful Carol Service,What a stunning cathedral. We called in and spent an hour looking around. Really well managed and would say is a must if you visit this beautiful city.
22,Fabulous ,The doors opposite the altar are open now. Normally this is for royalty I was told. Christine Williams receptionist on the door was very welcoming. We had a chat about covid and lockdown. It was nice to speak to someone. My boys and I said a prayer and lit candles. Such a peaceful time
23,Worth a wonder around,"We were really excited to visit the beautiful gardens here while we had our stay in Chester, to find when we got there and went to enter the gates a staff member rushed over to us from the restaurant saying we couldn't have a look at the building unless we were getting food or drink."
24,Lovely Sunday Morning Service,Interesting cathedral worth spending an hour or so exploring. Some beautiful old memorials and religious interpretations. Also some modern art on display including a very unusual version of The Last SupperStaff were friendly and helpful making time to come and speak to visitors.Track and trace as you go in.
