,title,text
0,VERY BIG!! ,One day is not enough to see the whole place but it's not that interesting though...Unless you are into miniature works...its quite great....its like seeing the whole of China in one place...but fake miniature creations that are as tall as people or a bit higher....it has chinese opera shows...magic shows...and decent restaurants and a lot of street food style...One good thing is they have motorized bikes u can rent to go around the  whole place...because its big!!
1,Spring Fling,"There is a lot to see and do and one day, we found, was not enough. The 3 parks are together. We took 3 days and saw a few shows.which were amazing.  Like to go back one day."
2,Great memories,"To much to see and do for one day. The are 3 parks. Really saw a few shows, there are amazing. The Chinese folk culture village and splendid China for learning chinese culture. In the middle of the park fighting warriors. In the afternoon there is a nice lighting show, with dancing dragons and Chinese culture on the end a fireworks. On hollidays come early to get seats."
3,So so,"This place is like a miniature of china. Very huge park, if you got some energy to walk it'll take around 5-6hours to explore all the places do don't forget to bring drinking water. There's a bycycle or golf-cart for rent if you don't have enough time to explore all the places, but I'm not sure how much will it cost.Don't forget to bring your camera!"
4,China cultural village,"Plan one full day on the parkIt is a bigggg park and you will want to enjoy it without hassleThe scenery is beautiful and you can learn a lot of chinese history and culture.I enjoyed visiting the park and regretted that we cannot cover all of the park.One downside, most of the attractions is not included in the ticket. You will have to buy another tickets for some attractions.Food was good, with tourist price."
5,A microcosm of China. A must see if you are in SZ,Beautiful grounds and magical places. Really worth exploring. You will need a few hours to cover the entire place but well worth it.
6,a huge culture park,The park itself is huge but pretty old. Most of the sights and attractions are so so only but not a bad way to spend an afternoon if you don’t have anything else better to do. Ticket is very expensive at RMB200 per person.
7,Nice but not something worth a detour ,"1st time for my family to come to China... so what's best than to have a global overview of China's wonders and historical sites before choosing where to go ? Splendid China park is really one of the best i ever visit. 200rmb for adult or kids taller than 1,60m ... 100rmb for young kids ... it really worth it. You can spend 3-4h to visit it and enjoy perfect copies of the real ones ... from Beijing to GreatWall , from Longmen grottoes to Potala or from Tulous to Elephant hill ... you will enjoy all important sites. Drinks or food inside are better now than before and if you want to enjoy it go during weekdays ;)Do not forget to take the monorail for the global view. You can rent also electrical vehicle to less suffer under the sun (120rmb/hour for 2 + 500rmb for rental caution )A must in Shenzhen from 7 to 77years ;)"
8,Fun,"In my opinion this is not worth visiting or at most you should not spend there more than one hour. Spend more time in China Folk Village, just near Splendid China."
9,"Interesting, entertaining, worthwhile ","This is a nice place to visit and walk around for an afternoon. It's not the most exciting or thrilling place, but it's a relaxing trip. The translation of Chinese signs is a bit odd in most places. It's located very centrally so it's easy to get to and from from  most places in Shenzhen."
10,Lovely Attraction,"This place is Huge and you really need around 4-5 hours to explore this even more. See every single place. Must watch the Theatre Show. Walk along the Long river side and see the old villages miniatures along the River/Canal side. Walk till the end. When you enter you find the place smaller but if you will explore the full park, you will see different zones and you should see each and every zone.The wooden bridge and the Big Chinese bridge. The Hill top area and the water falls. This place will make you feel you are somewhere interior in Reginal China. It is worth spending a Full day."
11,Fun Place,"It is a great place to explore The country in a day, a lot number of live shows that we keep you enjoyed"
12,Good place for a day trip,"Why do a tour of China when you can see it all in one day...I have been here twice, it provided great respite from the relentless shopping of Shenzen.  Each time I go I am reminded that there is so much variety and diversity within China, that it highlights there is so much I don't know.  Having said that I am puzzled that Mongolia and Thailand appear to be included in the park, are they really China? Is this historical or aspirational??It's quirky, there are English broadcasts, despite the fact that both times I have been I have not seen any other foreigners.  It's a fun day out, give yourself time, and don't miss the Mongolian horse riding, by far my favourite show..."
13,Educational,"If you want to look at all Chinese marvels in a short time and in a cheap way this is exactly what you need. Mini copies of a lot of Chinese architecture ensembles, from the  famous Great Wall and Forbidden City and up to remote mountain villages and Buddha statues. I was surprised to recognize that China includes not only ""Chinese"" but also ""Muslim"", ""Mongolian"" and a lot of other cultures.The park consists of 2 parts: left from the gates is ""the mini-China"" and right side is Folk Culture Village with a lot of shows and entertainments during a day. Check the schedule on your entry booklet. Both parts are interesting and visit here can take a whole day."
14,Day trip long day,"This is a much better miniature park than window of the world. You get to see three fantastic shows for only 180 rmb as well as see all the famous miniatures of china. Make sure you time your visits accordingly, you will need a whole day here to see everything. Make sure you don't miss any of the three big shows, that's really where you will get your money's worth. The best one I seen so far is the horse riding show, where the battle lead Genghis Khan took place. The park is huge, so prepare to walk a lot. The food at this place is really good and for a fair price compare to some of the other theme parks."
15,Incredible interesting and amazing ,You can spend the hole day in the park and still a lot to be discovered .very nice live shows with horses and dancing
16,A great day and evening out,It's a nice enough way to spend an afternoon but the whole place could do with a bit of TLC. There are some good views of the surrounding city. It's a good place to visit but not at the top of my list of things to do in Shenzhen.
17,Get to know Chinese Culture better,I like this a lot!I know it's not like so real as it is a theme park but I think it is really well researched and well done. The cultures are all encompassed here and it's quite enlightening. I like it a lot!Don't miss the performances!
18,Nice one-stop shop to learn about China's minority groups,"It is a great place to visit. Frankly speaking, I expected sth a bit different, but it was still great to see all these miniatures from all over China, and not only. Although I liked the second part of the oart better, the one with the huts and tribes. It is open space, so please bring umbrellas with you( i got sunburnt) and water, as the prices are incredibly high there."
19,Great place,If you do not have the time to visit all the beautifull sites in China this is a good choice. Very nice park with nice detailed miniature houses/structures. You can easliy spend the whole afternoon there.
20,A great way to discover China's many cultures,Don't miss this amazing place. You have to walk a lot but you will be able to see not so miniature historical places and monuments from all China.
21,Nice place to learn about China ,"Start with hesitation but after spending 4 hours there I'm sure it is worthy to visit.  Don't forget put you on comfortable shoes, sunblock and water.  Hat would be nice preparation as well!"
22,Hidden Gem,"A must visit place if you want to see what the old China look like. Easy to reach by MTR. Ticket price is RMB 200 (adult), and half-price for children."
23,One of the few cultural areas of shenzhen,"We spent 3 hrs walking around this huge park which was really to short.. The park is an interesting collection of copies of cultural heritage of the different areas & people in China. They did also do performances on dances, stage shows etc.."
