,title,text
0,A M A Z I N G,"The church was erected in 1883 on the site where Emperor Alexander II was assassinated in March 1881 by the Romanov imperial family (""spilled blood"" refers to the murdered emperor). There's is an altar inside the church to mark the place.I'm seen many churches and cathedrals in Europe, including the Vatican, but never have I seen such a beautiful, decorated church. The richness and choice of colors and painting leaves you overwhelmed and in awe."
1,Worth seeing.  A really beautiful church.,The cathedral was built by order of Tsar Alexander III in 1883 on the exact place his father Tsar Alexander II was assassinated by anarchists in 1881. It was completed during the reign of Tsar Nicholas II in 1907.The mosaics inside the church are truly sensational & worth the visit alone. it is a great place of Russian Orthodox Christianity. There is a gift shop inside with everything you could want to remember your visit. It was the most beautiful cathedral I visited in Russia & a must visit attraction if you are in Saint Petersburg.
2,Absolutely Amazing,Built on the site of the assassination of Emperor Alexander II this is an ornate and beautiful church in the Russian style. It is centrally located in St Petersburg and well worth exploring.
3,Beautiful Church with incredible history,"Amazing architecture and history. The church was built on the site where Czar Alexander II was assassinated in 1881 & was undergoing external renovations when we visited in August 2019. The intricate and massive mosaic panels were created by leading artists of the time. The visit was extremely rushed and the inside was over crowded, as it is very popular with tourists, making it a rather unpleasant affair. We were warned not to take any valuables (including passports, wallets etc) inside by our guide as pickpockets frequent the site. Not to be missed when in St Petersburg but could have been a better experience."
4,Amazing architecture and history.,This church was erected on the site where a Czar was assassinated in the nineteenth century.  It is a beautiful building with especially lovely paintings and icons adorning the walls and ceilings.
5,Amazing!,"Magnificent church with outstanding mosaics throughout.  It was built over the site of Tsar Alexander's assassination.  The floor of the building was left open at the place of his death to expose the ground.  Hence the place was built on ""spilled blood"".  Although usually quite crowded, the building is an excellent reflection of the glory of God.  Take some time to reflect on the stories told in mosaic on the walls."
6,Spilled Blood Church,This church was built where Alexander II was assassinated by a bomb.  The inside of the church is covered with mosaics.  Never seen so many mosaics.  The outside is also beautiful.  Nice park behind the church to sit and relax.
7,Riot of Colors!,The church is built on the ground where Zcar Alexander Ii was assasinated ( and his blood was spilled). It is a memorial church which is now a museum with a fee . Closed on wednesdays.
8,Ms D,"This is one of the most beautiful architectural attractions of St. Petersburg. Tsar Alexander II was murdered in 1881 just before this majestic cathedral, which owes its popular name to this bloody historical event. The interiors are wonderful. This is really stunning  interior that is suggested by the even unique and colorful external quality of this worship space and place .  Mosaics inside are very impressive due to their color quantity. It essentially operates as a museum.  Nice access to the entire church along the Griboyedova channel. This is a place   which must not be missed when visiting the city."
9,Must visit,This church is built on the site where Alexander II was killed. It is a unique and phenomenal church. The outside architecture is unique and Russian. The inside is overwhelming with massive mosaics and truly unique Russian orthodox art . Highly recommended!!!
10,Good,This church is the place where blood was spilled of Tsar Alexander II by the revolutionary.Nice Russian art well depicted
11,Beautiful,"Not only built on the place of Alexander II's assassination, but it is a pristine place of historical significance and worship place that has survived in beautiful shape."
12,Beautiful orthodox church looking like a fairy tale,"One for the history buffs!  This beautiful church is built on the site where a much loved Czar (Alexander the second) was assassinated in the 1880's.  (the Finns adore this Czar, it was he who gave the Finns autonomy, they are proud to display a huge statue of him in one of Helsinki's main squares.  Surprisingly, I did not see any similar statue of him in Russia!).  The problem in visiting this church is that it is easily accessible and is so beautiful that it is very popular with tour groups.  That means huge crowds.  Plus, the area surrounding the church is filled with stalls selling all sorts of souvenirs and other knick-knacks.  These stalls add to the general confusion.  Everything about this church is so photogenic.  The inside, the outside, the floor, the ceilings, etc...etc...  Well worth a visit."
13,Viewed from the outside only,They actually have a canopy where Emperor Alexander II was mortally wounded.The religious mosaics are beautiful.
14,Picture Perfect!,"The Church of the Savior on the Spilled Blood is a magnificent structure that you should see while in St. Petersburg. The exterior of the building is dramatic, but the interior is even more so. The entire interior is mosaic, and the mosaics are beautiful. The church was erected on the site of the assassination on Emperor Alexander II, who was the victim of a bomb in 1881 as his carriage rode down the street. His son, Alexander III, had this church erected on the site of the slaying, hence the name. There is a special devotional area on the specific site where Alexander II died."
15,"A must go, if you don't, I don't know what to say","The Church of the Savior on Spilled Blood is where Alexander II was assassinated. It is a massive church with beautiful, intricate mosaic panels everywhere. Every inch of the interior is covered with the mosaics, and absolutely gorgeous blue & gold colors abound. It's very popular & very crowded, but oh, so worth a visit! Truly magnificent!"
