,title,text
0,Popular sightseeing,It's okay not so great or any different from other fort museum you may completely skip it. If you go without a guide you can complete everything in 15 mins with a guide the same will be 2 hour affair ofcourse they will enrich you with the facts and history
1,EXPENSIVE PLACE WITH LESS EXHIBITION,Visit the main entrance and the four gates .. nothing else there for normal tikit. You have to buy 3000rs or more of tikit to visit the blue room etc
2,Marvelous,Max you can go for 200 museum ticket. 1500 rs ticket to see royal darbar is complete waste and that too it does not include museum.. This royal family is opnly looting public by showing their old sofa set and few photos. Shameless family.. Yes eventually they will serve 1 glass juice.. I humbly request you to don't buy 1500 ticket.
3,Beautiful Palace of the Maharajas of Jaipur,If you have good time then take audio guide or go for normal guide.  Beaware of fake guides. Need atleast 2hours for photos and listen audio recording (40min) 
4,A Very beautiful Palace,The entry tickets are high and there is nothing on display. If you can spend 3000 buks more you can probably visit the living quarters of the royalty.
5,"It's Ok, but I think we just tried to squeeze too much in and we didn't enjoy it.",Good place to visit though the entre free is not worth. The Museum's give a feeling of the age and things are well preserved. Take a guide for better history. One time visit is good.
6,Great,"We pay the entrance fee including the guide.  In order to hope to see more personal and special parts  But the unprofessional service of the guide here makes us feel that it is not worth the money lost  The cleanliness of the palace makes us not believe that there are people who actually live.  Some areas have been arranged to be used for weddings.  The tourist management system, queuing before-after is not good.  Overall not impressed  Especially when the guide took us to the souvenir shop at the end of this trip  The more I feel bad  Souvenirs here.  Price and quality are no different from the outside."
7,Amazing Place,I used audio guide to see the two plazas and various museum exhibits. Was ok but not spectacular. Did not pay high price to enter palace. 
8,A great place to visit in Jaipur,"When compared to the entry fee pricing, the palace is not so much worthy. But you can visit the palace for its architecture and historical monuments. The museums dont allow you for pictures. If short of time, then this place can be skipped"
9,Tour Plus Shopping,Didn’t go in as 3500 for tourists to enter Not very impressive from outside  If you want to pay 45 euro entry  Enjoy
10,Magnificent Architecture and frescos ,"We visited with the 700INR foreigner museum ticket (so didn’t go inside) - beautiful palace and courtyards with plenty to see (also plenty to buy!) and the famous door from the front of the Lonely Planet India guide. Expensive, but a must-see if you’re in Jaipur."
11,SPEECHLESS VIEW!,"There are different types of tours you can take to see this palace but I recommend paying the money and taking the full royal tour because it takes you inside the palace and through many of the fabulously decorated rooms. We are not big tour guide people, mostly preferring to do things using our own research, but in this instance the extra access it gave us was worth the cost."
12,Good for a quick visit,"It's one of the places you are ""supposed"" to visit when in Jaipur but at 700Rs for the cheapest (foreigner) ticket I didn't feel I got my money's worth. There are some pretty parts (the lotus door is gorgeous for example) but there wasn't much to make it worth the price. The guards are all desperate for you to have your photo taken with them in the hope of a tip. I can't imagine paying the exorbitant price to see the extra rooms - save yourself a small fortune and look at the pictures online. Plenty of tourist tat shops in here too in case you didn't get enough outside the palace. Keep hold of your ticket as it can be used at a few other sights on the same day or the following day."
13,The place of artifacts,The entry tickets to city palace is 3000/- for complete tour. I feel that is too much for an Indian tourist. The palace is big and we decided to avoid it due to heavy entry charges.
14,Lovely Palace at Jaipur city center,It is in the pink city where many artifacts are placed ... also this is the place to must visit to get the though of the era of the kings and how they lived
15,So many beautiful doorways to admire with elegant staff to give information,We did the museum which is well worth a visit as there was so much to see. There is an option to visit the Palace rooms but this was very expensive and from what I read not really worth it. Give yourself a few hours if you want to see it all.
16,Interesting Complex,"This is a beautiful palace area with much to see.  Especially interesting we’re the armory and textile/clothing exhibits inside. Unfortunately, no photos are allowed as there are very interesting exhibits and some of the armory exhibits are unlike any we’ve seen anywhere else in the world.  Look for the two flags flying at the palace and you’ll know that the king is inside.  As with most sites we saw in this area, a guide is essential to getting the subtle details as you tour the palace."
17,A Palace in the city,Very busy and beautiful but I would recommend other places like the forts over here. It’s expensive entry.
18,Another magnificent Palace,The palace is amazing the only worst thing there is the shops in the palace when we take a guide they take us to the shops. Dont buy anything there they just loot the people in the name of maharaja and tells you every thing that outside these all things might be fake and they…
19,An interesting collection of textiles and arms,We took the splendour city palace tour and we were able to visit special rooms that you do not otherwise have access. The tickets are quite expensive 2000 for students.Nonetheless it was worthwhile. There are 7 floors.There is a blue room which is absolutely great to take pictures. Also the green and red golden room is made for royalty. It was gorgeous! Gold leaves were used all around the walls.At the end of the tour you receive some basic refreshments. We were very lucky to have and excellent guide M.S. mamohan) that explained everything and was very patient while we took thousands of pictures.Thank you so much.It is an expensive tour but it is worthwhile to see the beauty of Jaipur!
20,Lavish lifestyle of past Kings of India,The visit was really very educative and one sees lots of what one his read.The collection is unique and the place is full of visitors specially foreign tourists.  A must visit place on Jaipur trip
21,Beautiful Palace,"The Place was very good but Rs.200  ticket is more, we will have to hire guide to see all galaries inside other wise we do not understand any thing and just have a look and come out"
