,title,text
0,A beauty spot but.......,A little bit of paradise in North Goa but unregulated & very polluted.The government just does not care.The locals tell me of how the fish stock has been decimated since the last 20 years.What a shame.And the DOGS!
1,Coco beach,"Lovely part of Goa, kept clean and tidy and very up market. Water very clean and no sellers bothering you."
2,Day out trip,"Beautiful beach in North Goa, after Nerul. Roads are very narrow but the place is very scenic and lots of water sports are taking place"
3,OK OK beach,"Beautiful part of goa, surrounded by palms and the glittering sea, let down by huge amount of rubbish and debris both on the sands and water / not place to paddle barefoot and looked too filthy to swim - shame as the headland means the water is sheltered from the rolling waves. Usual collection of stalls selling tourist gear, and only one shack/restaurant open when i was there. The sand here is black as it is deposited by the river."
4,coco,Compare to other beaches in goa this beach is nothing and doesn't have that much of attractions other than street side shopping and a boat cruise which i avoid.
5,Small & Good beach!,"Access is bad, road is broken, Dolphin sighting is very rare and locals are very aggressive and crude.There are no restaurants near by neither there is any restroom facility, overall lots of seashells and lot of garbage.Better to miss it"
6,Dolphinnnnn spotting,Loads of sea Shells are there on this beach. Nice Quite beach. No shacks available. Might be much cleaner during season time.
7,Nothing special,This is a nice small beach in North Goa. The road leading to the beach is a bit confusing. The last stretch of road towards the beach is a narrow passage. There are many local operators who conduct dolphin safari from here which is similar to the one conducted from close to Fort Agauda.
8,Nice,Not a wow place if you are in Goa. Certainly people only come here to see dolphins and you get boat ride. I would prefer to be near another beach to enjoy better experience
9,Where is the beach ??,This beach is usually touted as a dolphin watch spot. There's garbage everywhere and poor maintenance. Access is also a little difficult
10,Beach for Boarding fairy for Dolphin trip,Went here a few days during our stay in Goa.There is a few sun beds but you have to get drinks there.We ate there a couple of times and the food is lovely.Nice and peaceful.
11,nice beach for dolphin sight,"The beach is very nice, even tough water is not very clean. I think it's something common in the area since water in other beaches was not more clean than here!"
12,dolphin ride coco beach,"Average beach, not a good place to relax, foodcourts are ok only, small market at the beach, water sports activities. But there are lot more better places for each of these activities."
13,Dolphin trips!,This beach is now a dirty strip of sand as it has got devastated after tsunami. Now used as afternoon lunch stop after dolphin tour. There are shops selling usual merchandise but as for the view there is nothing to see.
14,Boat trip to coco beach,"This actually is a very good place as such but very much not looked after and hence not clean, the water being black rather than clear"
15,The beach has got washed away due to tsunami,This beach is very crowded and commercial. However you get the best rates for Dolphin sighting than any other beaches.
16,Too comercial,Not so much a beach anymore but interesting river side location - good to see different aspect to Goa
17,Great for Dolphin sighting,"It was a fun day outing. We saw few dolphins. There is a lot of street food available like bhel, chat and maggi, but I would advise you to carry some good snacks yourself. The place is crowded on weekends."
18,5 in 1 TRIP,This beach is the worst among all I saw in North Goa. Reason being it is the halt point for all the boat tours and the sand and water here have literally turned black. The sea shore/beach are almost non-existent. The tour guy told us that the shore got washed away during Tsunami(not sure how true is that).
19,Just Dolphins ,Visited this place to go on a Dolphin watching tour. Beach is very small (& very dirty) and doesn't have many activities to do apart from Dolphin watching tour. I was fortunate enough to see several dolphins during my visit. Though the boats seem very risky. Would suggest them to have bigger boats for these tours.
20,Not a nice beach,"Probably the one of the worst beach of Goa. The place is known for base station for Boat trips Only nothing else.Small flee market along the beach, very dirty, single lane road access & smelly like fish house."
21,Amazing,Really great trip. I saw Dolphines less than 50 meters away. Never seen Dolphines in natural habitat free which was great experience.
22,Sadly changed,the atmosphere is good at all to walk through the beach and i found this beach as best ever beach in india.the rush of the foreigner is also very much
23,Dolphins!,beach not suitable for swimming too many tour and fishing boats  always very busy mostly for indian tourists
24,A rubbish dump! Why would anyone go there!!,"One of the dirty beaches in Goa, also it has very limited strech and conjusted.. Not worth visiting,.."
25,Dolphin Attraction,The beach is remote and isolated. The place is very nice. Beautiful Beach. There are very less shops and eatery. Cool waters.
26,Ya ya ya coco jumbo!!,"The village is fantastic, but the beach is not that good. As mentioned by others, its only used for boat rides. We went for dolphin sightings from this beach. Will recommend this only for getting a boat ride to watch dolphins, other than that there is nothing to do here."
27,Dissapointed,Coco beach is not big and so famous as like other beach of Goa yet small and beautifully maintained beach!
28,Coco beach ,Starting point for the Dolphin Tour. Good Nice clean beach but not recommended for swimming. Nice scenatic coconut trees at this beach. The way to this beach is so awesome. We paid approx INR 600 for the Dolphin Tour .
29,INDIAN. The real India?,"Calm waters but unfortunately the dolphin trips and fishermen have ruined this place which once used to have many beach shacks,only one remains now owned by Dominic and named after his daughters. Regulars still come as I said mainly because of the still waters ;perhaps one day someone will realize what they could actually achieve here and bring more tourist to the resort but at present the water is not that clean, the beach is not maintained to any standard"
30,not good,"Very dark sand from pollution.lots of boats in area.a handful of trinket stalls selling souvenirs.a few places to eat, not that any seem very good.mainly used by day trips and excursion company's for a stop off to eat."
31,A less popular Beach worth visiting,Beach. Too many boats for swimming. Only really a starting and departure pioint for dolphin spotting. Wouldn't go there otherwise
32,Pleasure,"vs the hustle and madness in baga and anjuna, coco beach is yet not very crowded and the water is calm, so was great"
33,Dire,"Access is bad, road full of potholes and dirt. Dont trust about the tall claims of dolphin sightings as, sighting is very rare and locals are quiet rude. There are no restaurants near by neither there is any restroom facility, overall lots of garbage. The place is not frequentred by travelers and is deserted most of the time. Anti social activities are also reported at times. Better to miss it"
34,Coco beach a boat pick up point,"We arrived on a boat trip which is part of the problems for the beach. The sea and sand are covered in oil pollution. The beach is dirty with glass on it, and rubbish.  There are several stallls with the normal hassle from them to buy there goods. On the boat trip your walked through the small beach to get to the eating area which means you are hassled Ali g the way. Not a nice place to vibist needs massive clean up"
35,Not what is used to be,Not a very lively beach during the monsoon season which is when i visited it. Beach is located deep inside and is beautiful.
36,Beach for Dolphin ride,It's a lovely quite beach we always go to India every year got to say we always visit coco beach and worth a visit.
37,Dolphin site,"The place is connected by a thin road. The place has ample parking place but it gets blocked during high tourist traffics. The whole coastline is filled with food n drink shops. A number of ferry operators operate boat rides for dolphin sightings (sometimes it felt like dolphin harassment, with 10-15 boats running behind those creatures).The beach has nothing like beach, just a coastline. If you like open air fried fishes, then you will have a good time here."
38,Dolphins not guaranteed!,Good to visit during morning time . Famous for dolphin trips and Grand Island trips from North Goa and many other water sports activities. white sand beach with lots of boats and coconut trees.
39,Filthy place,"Went here for the day but was disappointed,not much here and not very clean,a few stalls selling stuff and a few eating places,Winn stick to Candolim !!!!!!"
40,Rocky fishermen's cove,although it is very peaceful and beautiful beach but not much happening as calangute beach which is just 4-5 kms away..
41,Nice Beach,Not good unless going for boat trip from here which may be cheaper than other areas. Good yo travel on this route if you want to see fields and village on the way.
42,Dirty Smelly Coco Beach,"Nothing their to see, bad single way road which brings you to this place, dirty beach and really bad ( Black) water, they take you out for a boat ride and you get to see the fins at the most of dolphins 1/2 times if you lucky.Maybe kids can see it that too only once , spend your time and money else where, would be much better."
43,Nice family time,We could not visit the place...but we seen it during our boat trip. The beach looks calm & beautiful
