,title,text
0,Cuyabeno national park,"I booked the 4 day dshungel Tour and had a few absolut amazing days. The guide, Fabian, was very good informed about all the flora and fauna in the dshungle and showed and explained so much. Also he had a very sympathetic way to lead the group to understand more of the nature. I stayed in the dolphin lodge which was very clean and save. Under consideration that it is located in the middle of the dschungel it was a luxury stay, with two hot meals a day. Always whith fresh vegetables or fruits. Our driver from the lodge was also very good. He spotted a lot of animals which I would never have seen. So we saw a lot of apes, caimans, dolphins, spiders and snakes just to mention a few.  Only thing you have to know is that you are travelling in a group up to 12 people. So how good your stay is, may vary from group to group. Also the first and the last day are pretty much travel days. So I would recommend 4 days as minimum stay, because you only have two full days in the dshungle. If you want to stay longer it may be a possibility to move on to a second lodge more down the river.  If you want to have the nature all for your own, you may wanna go with a smaller group and paddle on your own down the river. Of course more expensive but its also offered by Fabian and you get for sure more in touch with nature.  I can absolut recommend the tour for exploring a part of the Ecuadorian natural diversity. Definitely even more recommendable for ""jungle beginners"" but also more experienced travellers should have their fun in this relaxing jungle adventure.…"
1,La foresta walking tour,I did the food tour and the Otavalo Day Tour. Both were really great and well organised. Would reccomend both for people who would like to discover Quito and the area around! Keep up the good work!
2,Fantastic Tour To Know Everything Quito,"I booked the cuyabeno jungle trip with them and spent 4 days in the dolphin lodge. I enjoyed my trip a lot, the only bad thing was that i had to leave after 4 days. The prices at that agency are the cheapest i have seen so far. They answered my mails very quickly amd were very…"
3,Cotopaxi tour,We booked our jungle trek in the Amazone by Community Adventures. Very good and fast service. Emily really took the time to explain everything we wanted to hear. If we come back to Ecuador we will come back here!
4,Great option for transportation to the Mitad del Mundo!,"Stumbled onto community adventures thru do the free walking tour - which was excellent!  But the full day tour of Quilotoa was superb and at a great price $50.  Also covered off a local market - corn fritters and cheese pretty delicious breakfast, and a canyon whose name escapes…"
5,Nice,We did a day trip to Alausi from Banos with Marco from community adventures! He recommended us this part of the Andean-highlands because of its unique and beautiful landscape. It was a amazing trip with a lots of nice memories:  After getting up early and a nice bus trip…
6,Good day trip to Mindo,"From Community Hostel I booked 3 day tours with the agency and all of them were excellent! The service is great, their on time and I find the prices to be cheap."
7,Must-do in Quito!,"I did the free walking tour, food tour and the 4 days 3 nights jungle trip with this agency and all of it was a fantastic experience!! The tours were very informativ and a lot of fun !! The Jungle trip was really well organized, the food was amazing and the hole trip was…"
8,Cuyabeno 4 days,Did a day trip to Otavalo Saturday market and I really enjoyed it. Our guide Romer had so much knowledge about the area and Ecuador as a whole. Great day! 
9,A very good tour,"I booked my trip to the amazon (stayed at pink dolphin lodge) with the helpful guys from Community hostel.  I liked the tour, we saw a lot (dolphins, snakes, spiders, sloths...) The afternoon break on day two was a bit to long.   But the hostel provided us with all stuff /…"
10,A delightful afternoon!,"We booked the 4 day/3 night amazon tour through community hostel. Firstly, the tour agency was great because they were hassle free and explained everything to us.  Secondly, it was so easy because we organised everything through email and they were more than happy to help. The…"
11,Amazon trip - 4 days/3 nights ,"My first night in Quito I joined the Food Tour! Ovi our guide was so cool, fun, friendly and informative and took us to a great selection of food stalls and restaurants! We tried loads of different local food which really set me up for the rest of my time in Quito! Most were…"
12,"Not so much of a tour, but a transportation service.","I spent 4 days 3 nights in the Dolphin lodge in Cuyabeno and had an amazing time. Our guide Galo spoke English and Spanish and we learned so many interesting things. He was always willing to fulfill our wishes so we went to watch the sunset, sunrise, bathing in the river and…"
13,Great Day in Quito,"i did a 4 day trip in guacamayo eco lodge at the end of november, booked through community hostel in quito, it was just amazing!! our guide was Jairo who was really fantastic, we just trusted him completely when he got us to swim in the amazon river, hold spiders, eat ants!!! i…"
14,The Middle of the World tour is not really a tour but a transportation service.,"Community Adventures helped set up a day trip to Baños for me and a group of friends which included transportation, lodging, and optional excursions. Had a great time, highly recommended."
15,Quilotoa volcano shared day trip,"My boyfriend and I had an excellent time on this tour!! The community hostel arranged it for us and all of the directions were clear and seamless! The tour guides  were knowledgeable, funny and friendly! The bus was comfortable. The hike was challenging but the view was…"
16,Free Historic District Walking Tour,"During my stay at Community Hostel I had the chance to do the amazon trip. I went in the jungle for three days and it was just an unforgetable experience. Driving on a boat through the great Amazonas, viewing the most beautiful nature, the incredible looking sky and just the…"
17,Middle of the world,"I went into the jungle with Community Adventures, I was staying at the hostel & the whole process couldn't have been easier!! Including getting to and from the National Park. The lodge was perfect & I can speak for all 4 of us that went, the food was a highlight!! Our guides…"
18,Great way to get a feel for Quito,"I did the Quilotoa day trip on a sunday. We had a very knowledgable and kind guide that showed us a lot of beautiful places on the way to Quilotoa. We were very lucky with the weather, the views were absolutely stunning! On the way you visit a local market and an indigenous…"
19,Middle of the World Half Day Tour,"I did a 5 day Amazon trip, the free walking tour, and the food tour of Quito. All were highlights of my trip. Everything was taken care of on the Amazon trip, and the lodge in the jungle was incredible. We did a lot of boat rides as well as hikes and swimming, and saw just about…"
