,title,text
0,Amazing,"Spent my birthday here, and done the cage of death dive with Wendell.... absolutely had the best experience ever, highly recommended.... love this park, will definitely do cage of death again"
1,Well worth it we did the VIP tour and it was Fantastic,"Had a great time visiting here and doing the cage of death with william was worth every dollar to get so up and close with the beasts and admire how lucky your behind the tank watching closely how they behave and act whilst in there getting fed etc!And lucky enough to get the photo package from the photographers to showcase it when i get home..The croc dive was a real highlight with packages for photos ranging from around $30 for one photo up to $115 for a choice of 3 pictures a usb with the entire photos and 360 degrees video included,i went for the $99.95 package which was the 3 pics printed out with all footage on a disc with about 271 photos in total and the video.and the picking of 3 photos out of 271 was hard enough as the photos all come out so good with the animal so it might take some time picking it out haha..you will be instructed about the procedure of the dive which is well explained about whats what it all and you will be in the water for about 15 minutes which was plenty of time in my opinionThe cost was $170 to do the crod dive which also includes all day entry to the park where your able to come and go wether you need to goto shops etc:.it is worth really checking out the session times of the park for feeding and other activities,the staff are pretty knowledgable when it comes to the crocs and the other animals,personally wish i did stay for most of it now but had a flight out that arvo so couldnt experience it after 2:30..i enjoyed watching and learning the feeding of the barramundis and the stingrays was really good seeing it up close aswell as getting chance of watching those squirting fish shooting the bugs out the clamps really fun doing that!.they also have plenty of other animals aswell as turtles and baby crocodiles to admire also,resturant is located on the 1st floor which offers all your hot food,icecreams,savourys etc if you get abit peckish and its worth checking out the souvineer shop on the way out great presents(if you have kids) to keep them enterained with some plush's clothing or even these cool eggs that hatch after leaving them in water."
2,"Foggy mask, not worth the $175!",Had a wonderful experience visiting Crocosaurus Cove. I also did the cage of death experience with the crocodiles and it was amazing! Highly favourable towards the staff and very professional. I would highly recommend visiting this while in Darwin. It is conveniently located right in the heart of the CBD.
3,Cage of death,Honestly all i can say is WOW! I had the best time at Crocosaurus Cove doing the Cage of Death. Staff are extremely well trained and very friendly and accommodating. All the animals are beautiful and all even the reptiles put on a great show! I cant wait to return!
4,So much fun,Was a great day out - feeding the crocs and my partner went into the cage of death - would definitely recommend :)
5,Amazing,"Had a fantastic experience at Crocosaurus Cove. The highlight was the Cage of Death - a truly exhilarating experience. The team at Croc Cove were professional, friendly and enthusiastic. A great day out."
6,Crocasaurus ,"An amazing experience in “The Cage of Death”. Diving with the Crocs a surreal experience. A great set up central in the CBD, the service from all staff was excellent and the Handlers very professional. The Crocs were amazing to see close up."
7,great experience,"We had such a nice time in the ""cage of death"". Really awsome experience and very helpfull staff. In total we did not find the rest of the Crocosaurus that interesting, but then agian, we dont think its fair to compare it to the cage of death :) We got the ""full photo package"" which had some nice pictures in it"
8,Great experience,I did the cage of death with crocs Will & Kate and thoroughly enjoyed the experience. One of the most exciting things I have done in a while & would do it again for sure. It also has one of the best reptile collections I've seen. Located in the middle of the main street so very easy to get there.
9,CAGE OF DEATH,"We went to Crocosaurus Cove for the Cage of Death. Would definitely recommend doing that experience, otherwise maybe a little small and light on offers.Photo packages for CoD etc. quite expensive; should be more inclusive of the experience; did a photo shot with a baby croc prior, wanted extra charge for those photos; I purchased the big photo package with USB stick and reckon those extra shots should have been included in this package.Crocosaurus Cove would only benefit from giving people more photos as they then share those pics on social media which increases their publicity."
10,Graham’s Crocosaurus Cove Day Visit,"Had an amazing experience doing the cage of death croc dive. The staff were very welcoming and knowledgable, they made me feel at ease regarding the croc’s happiness! Axel was an amazing croc to swim with, although it is mildly terrifying I couldn’t recommend it more !!"
11,Check out the Cage of Death!,"My daughter swum with the crocodile and said it was the highlight of her trip!!I did the VIP experience and found our young tour guide passionate, knowledgeable, friendly and really loved her job.My 2 yr old Grandson loved the Crocs & was able to pat a baby one and also the lizards as they were able to walk around with me on the tour.Probably not quite enough to do there for a full day but certainly filled a half day up nicely.Prices were reasonable & I was able to get a discount through being a member of NRMA."
12,Croc Cove,"Had a great day out with a mate of mine, went to Crocosaurus, watched people swimming with crocodiles in the tank, we held snakes and lizards, looked at a heap of snakes lizards and other reptiles in the tanks, saw the big Barramundi in there and the other fish in the tank, going to take my girlfriend back there to swim with the crocs can't wait, awesome...."
13,Cage of Death,Very cool place.  Family friendly.My partner and I experienced the Cage of Death. Highly recommend it!
14,Awesome,Highly recommend doing the Death Cage at Crocosaurus Cove. Amazing experience for one or two people. Incredible to be that up close to them and visually look at them in a safe environment!!
15,VIP tour.,"Amazing!! My husband & I did the cage of death & it was an unforgettable experience. Well worth what you pay. To get so up close with the crocodiles is incredible. In the water for 15 mins but feels so much longer, they feed them right in front of your face so your only cms away from their mouth. Face to face it’s unreal. Highly recommend on a trip to Darwin!"
16,VIP Tour,"Amazing Experience,Been lowered into the Water with the Wild Croc,I got William & KateScary at the introduction,Signing your Life To Something Wild"
17,Great experience for families & couples,"My husband and son (15yo) did Cage of Death, great experience, got the heart racing! I did the VIP experience with our daughter (12yo), this was awesome. Fantastic guide, very knowledgeable and amazing getting up close to the animals. Would highly recommend it."
18,You need to check this place out,"I went in the 'cage of death', swimming with a croc, and it was one of the coolest experiences of my life! Staff were professional and friendly. The experience of being in the water with a croc was simply amazing!!The rest of the park was ok but not super interesting for someone who has been to many Australian wildlife parks. BUT, the cage of death made it all worth it. Would do it again in a heart beat."
19,Crocosaurus Cove,"Enjoyed my experience, was happy to be put with Axel after requesting a big croc.  He put on a show and I loved how close he came, we virtually touched noses through the slits in the cage. Overall though it ended up being very expensive with the photo package! I believe the baby croc photos should be free to simply be placed on the usb after already purchasing the full photo package from the cage of death. Also especially considering the venue doesn't have its own designated parking either and the street requires pay. Also the cage could do with scratch repair or replacing, again considering how much money theyd make on these alone that happen throughout the whole day everyday. Glad I ticked this off my bucket list though"
20,Amazing!,"My husband an I did the cage of death, and what a bloody good experience getting up close with these amazing animals worth every cent spent, the rest of the park is good Also with shows running all the time not just the feeding of animals but learning about them to seeing how powerful a crocs bite is ect, food at the cafe was good as well, Only major down fall is parking horrible to find a park make sure you also have Change on you as the paid parking does not accept cards."
21,Croc swim,Crocosaurus Cove is a great family friendly place. The cage of death experience (adults) was fantastic! Was lucky to see Axle - a 900kg croc up close. It was fascinating.
22,AMAZING!!!!!!!!,"My wife and I did a couples cage dive with the two crocs William and Kate. The croc handlers were all very professional, understanding the behavior of the crocs to ensure a memorable experience for us. Huge thanks to all the staff at Crocosaurus Cove. Highly recommend."
23,Swimming with Crocs!,"Love crocodiles and did the cage of death, such a awesome experience and fun day! Would do it again for sure"
24,Great Family Day Out,We had a great time in the Cage of Death. Scary looking but very safe and fun. I didn't want to get out. Our chosen croc was 5mtrs long. The place itself need a complete make over but the experience was great.
25,Incredible,Loved it must do when your in Darwin we had heaps of fun in the cage of death  and got awsome pictures with the crocs
26,What a blast,My daughter and husband did the Cage of Death and it was an incredible experience.  They went in nervous and came out with smiles a mile wide and haven't stopped talking about it.  Crocosaurus Cove is a great place to visit.  The staff were lovely.
27,Stressful baby croc,We did the cage of death swimming with Crocodiles. A fun activitie on holidays . Bought the photo package with USB for souvenir. They were very professional and I felt safe all the time .
28,Excellent but..,"Hi,  some very good aspects but I’d swam with the croc and found the staff very poor.  The females (all female is ok but it is odd its all female) were young and with a poor knowledge.  Example i asked one as i got in the cage if the water was fresh or salt (basic i thought as these are salties) however she just could not answer it.  She had told me earlier how knowledgeable they were on the crocs.  I found the consuming by crocs of the string which they tied the meat on to be odd.  What’s it do to their digestion tract?  It’s 2019 not 1850 on animal care.  The photography team were a disgrace and i wish i had not paid them a penny.. rude, dismissive and unhelpful.  It’s all such a hassle when people pay you money and you might need to spend 5 minutes with them!  It’s a shame because i found the place informative and well set up in some ways.  Urgent management intervention required here."
29,Great Experience,"Overall we had a great time at Crocosaurus, the only down side was the baby crocodile. My kids were very excited to hold it but the croc was feisty and wiggly. The staff person explained that the croc was not used to be held, that's why it was struggling. .. We could see that the little baby croc was under a stressful situation as its body was tense and it was doing some noises. Hopefully we will get a better croc next time."
30,CROCOSAURUS COVE,"Awesome day, heaps to do and see. Very informative....but the crocodile tank OMG was fantastic. Highly recommend...."
31,Most Australian Experience!!,Did the cage of death experience which was definitely an experience not to miss when visiting Darwin. It is slightly overpriced and photos should be included. Overall the cove itself and the experience were really good and I would highly recommend to others.
32,Amazing,My husband did the cage of death experience. It was really good and we enjoyed it very much. The pictures they took of the experience were amazing and worth every penny 😊
33,Crocosaurus Cove,OMG !!!What a amazing Day ..Wendell is the second largest Croc 🐊 in captivity..OMG what a high we have been on the best experience ever ...
