,title,text
0,Green in the heart of the garden city!!,Green and lush place with a widespread layout of the trees and bushes over a wide variety. It indeed gives a refreshing experience once we visit. A must see place for a green lover!!
1,Beautiful gardening.. Nature. ,"Nice place in middle of busy City Centre. Its trees provide a nice shady canopy and squirrels are in abundance. I usually use this park for my early morning Run,"
2,Seclude in city,"This city is full of nature lovers parks, perfect climate and pink blossoms trees all throughout nothing less than Japanese cherry blossoms..  loved the weather the lovely scene walk through the park absolutely stunning ❤"
3,Beautiful but not organized,The place is very large filled with greenery and a must visit place to happily relax in the shade of tress.
4,Beautiful place.,It's a neat and clean area. Fully covered with big trees and plants.Beautiful place to walk and exercise in the morning or evening.
5,Nice park,"A peaceful place with full of trees, flowers, to define correctly it's a beautiful park where you can relax, go for a jog, spend time with your family and friends, can also do photoshoot. You can also find some snacks selling guys around like peanut. It is more like a picnic point, but please do not litter."
6,Nice,"This place is great for morning walks. lush green area , fresh air, the morning aroma is great here. Come and enjoy this place.."
7,Nice park ,"Located in heart of city Cubbon Park is filled with green colour. Big trees , greenery , large space to walk and relax. Nice for morning walk and also to sit relaxed and chat. Very well maintained. Very nice place to visit whenever in Bangalore."
8,Refreshing,"Good place to relax on any point of day. It is full of green with more than thousand varieties of plants and trees. Good for all ages. As I am a working professional, I prefer visiting this place during weekend mornings with my kid. You have many other places around cubbon park which you can cover like museum, toy train, mg road, aquarium etc..Kids can climb trees, play on the rocks.. Run around and visit library or tennis court."
9,Best public park,The park is well maintained with many vegetations up in the park..The park has also many different type.of birds..Best place for.morning walk..
10,Good place,"In Bangalore it's one if the central park to Bangalore and it has stretch of greenery and surrounded with happening place like stadium,mg road and other."
11,Nice public garden,A dog friendly park with lovely old trees. Has lots of lovely old tress and has a lot of area to walk and do your own thing.
12,Lovely park,Beautiful and different type of rare trees. Kids will enjoy the beauty. Calm place.  Near by Vidhanasoudha good to watch.
13,Nice but you can skip it if you have limited time ,Excellent place to relax woth family and friends. It is one among the nature hub within the city. A must visit place for a early morning walk and to enjoy the beauty of the nature🌻🦋
14,Cubbon Park,"Great green space in the middle of for city.  It has potential however as many things here need maintenance desperately.  Trees are overgrown, pathways mot kept, etc.  worth a visit"
15,It’s just a park,It is very good experience ti visit the cubbon park where we can feel peacefulness and full of greenary with long trees. Its a must and should place to visit .
