,title,text
0,Worth it if you avoid touristic spots,"If you want to visit the Spit, you really have to think through the logistics. If you're staying in Kaliningrad, you have two choices: you can try and catch an early bus straight from Kaliningrad to the Spit (with stops in Zelenogradsk and all three villages in the Spit) or you can go to Zelenogradsk first either by train or by bus and from there take a local bus 210 to the Spit and hop on and hop off where you want. The 210 bus has a fixed schedule but it doesn't run too often so make sure you have a plan (what you want to see, how you're gonna move from one spot to another) and a timing schedule (the Spit is 42 km long and you can't walk it in one day). The bus doesn't run after 6 pm. Taxi one way is about 1000 rubles. Entrance fee is 150 per person and 300 per car (you still have to pay for 150 rubles for each person in the car on top of 300 rubles). If you come by bicycle, make sure you have a lock, you won't be able to take it with you everywhere. It's an amazing place but the most popular spots are crowded with tourists and filled with dubious grill cafes and Amber stores. I didn't enjoy being there and regret wasting my time to get there. If you really want to be alone and enjoy the nature, I suggest you visit the Royal Forest (Korolevsky Bor) at the 6th kilometer and then the Swan Lake (Ozero Lebed) at the 42nd kilometer. These are beautiful, quiet spots with very little to zero people. You can further minimize your chances of being in a crowd by visiting on a weekday."
1,Amazing place,"If you visit Kaliningrad you have to visit the Curonian spit, and preferably with the excursion group, it is the easiest way.At the spit there is three main attractions to visit, the Efa height, the dancing forest and the beach. In the first one you will enjoy the view of the Baltic sea and the curonian bay from the same view point. As for the dancing forest it is very remarkable with its trees and personally I felt this area have some energy and high electromagnetic field."
2,Beautiful Landscape and Beaches,"It's quite a drive, but you get out of town to see see, basically, a nature park with sand dunes, nice woods/nature/birds etc. Interesting history of the building and the myths of the Spit."
3,Curonian spit ,"Peaceful though many people. Unique ecosystem. If you can, get a reservation to see the bird banding station that catches, bands and releases thousands of birds on their migratory flight"
4,The Curonian Spit an Nida Town in Lithuania,"Interesting that you have to take a ferry to reach it. There are paved roads and 4 settlements. You can not go into the Russian section. One settlement is a fishermans village. 3000 people live on the split. A very popular touristic place, full of nature. Suitable for biking."
5, Cycling,"You have to pass a checkpoint and buy a ticket. They might also check documents. After the checkpoint you have beautiful nature on both sites of the narrow road (drive carefully). It's worth to explore the Curonian Spit for at least one full day. If the weather is good, stay longer! Take a spray against ticks and mosquitos!"
6,Crowded in summer,you go for 60 kms and you hope soon to be in place where you will remain breatheless. sorry but this did not happen to me. nice long forest like the ones you find everywhere in the north. does not deserve a deviation for a visit.
7,Beautiful landscape with opportunities to hike or swim.,"I wasn't sure if I wanted to spend 5-6 hours on tour to the Curonian Split, but, boy, was I not disappointed! The tour bus company provided a good driver and a tourguide. The trip to the Split took just over an hour. On the way to the split we also stopped at the Zoological Institute of the Academy of Science ""Fringilla"" where we saw a demonstration of the researchers catching migrating birds and ""ringing"" themAnother quick ride and we had time to spend looking at the Baltic Sea shore and the dunes. It is a walk to the dunes - keep that in mind. Also, quite a few steps, so take it slow ) It didn't look handicap accessible. Another important point - stay on the trail, don't go into the dunes or forest. It is prohibited, and you will most certainly be fined and be talked to by security. On my trip I've witnessed 3 couples that got in trouble.I have thoroughly enjoyed most of the time on the beach of Baltic Sea. The sun was out, the wind wasn't too strong. It was about 45 degrees outside, but I still took shoes off and enjoyed a walk in the water. The sand is white and very fine. Would be a gorgeous place to visit in the summer!"
8,Excursion ,"Nice scenery with good weather, but the transportation facilities are not enough, solo traveler like me can only go to one trail. Trails are dispersed."
9,Wonderful National park,"I recommend the Curonian Spit anytime of year really, but if you take advantage of the short summer along the Baltic Sea you can find a paradise here in good, flat bike trails among conifer forests, good spots to watch birds, and wide, white sandy beaches."
10,"Interesting enough, if you have time","Wopnderful place, amazing nature. You can easily sped a few days there, walking on the beaches, through the woods, going up to the duna hill. Very particular ""dancing wood"". For those who loves to be with the nature, there is no a lot of entartainment there... Possibility to eat or buy something at the small village of Ribachy."
11,"Good view on the sea, sand mountains, very short time on excursion","So interesting and different nature. I recommend travel here for all day. Also you could rest at the beach, so don’t forget to take swimsuits."
12,The light,"I suppose in the summer it's hard to travel by bike by the single road without bike trails. But we were there in may, so the traffic was calm. The nature is beautiful, but I prefer mountains."
13,Took a day out,Surreal landscapes and great scenery. It's definetely worth going here - find out a little more about the history and weather before heading out. Lots of spots to get down and wander around before the final end of the Spit on the Russian side - plan ahead!
14,"World Heritage Site, difficult to decide what to see","You will need transport to reach the Curonian Spit but it well worth the effort, there plenty of hiking trails and it is possible to swim in the Baltic Sea, an invigorating experience, it is not recommended to swim in the Curonian lagoon due to pollution. There is wildlife to be seen, we saw a wild boar and her young, probably attracted by the tidbits offered by passing motorists. There is a charge for entering the area, and it does get popular with locals at the weekends. There are plenty of snack bars and restaurants some of them are on the beach."
15,ok,Really is a highlight if a trip around the Baltic. Amazing sand dunes. Very well maintained on the Lithuanian side. Really has to be experienced
16,Total must,"Any time if the year you may go there and come back with tens of photos, beautiful amber, smoked fish and - the most important- recharged batteries. That what nature does with our souls. Welcome to my world 🌎!!!"
17,"Great attraction, but tourist unfriendly","The Curonian Spit is a must-see destination for anyone going to Kaliningrad.  It is only an hour's drive away.  It's a combination of Sand Dunes, Pine Forests, the Baltic Sea on one side and the Curonian Gulf on the other side.  You can walk from one coast to the another in under 15 minutes because the Spit is a narrow line of land between the two bodies of water.  And do visit the Enchanted Forest with many twisted trees. It is definitely worth walking through the forest and feeling its magical energy.  :))"
18,"The place is wonderful, but I would just like to quote a joke : if you advertise for a""spit"", be prepared for the worst","Stayed at Ecolodge Zen in the village of Morskoye.Right off the lodge you can climb the facing hill and emerge in WWII history with Nazi Germany authentic bunker and coastal artillery, and see two seas simultaneously! Stroll through the magic woods and exit on the dune of Efa, the highest in Europe, with magnificent views.From there, cross the main road to cafe Vinland for breakfast, and then head south to the mysterious Dancing Forest, an utterly reinvigorating walk, then continue on to Rybachi village for a hearty fish meal at the famous Rybni Dvor.Life is complete))"
19,A bucket list destination if visiting Kaliningrad,This is an amazing natural structure. You get to it from Kleipeda using the 5-10 minute ferry. It is very popular with tourists. Nida is the main town with plenty of hotels and restaurants.
20,Amazing !!!,"A very long and narrow site and I assume the best place for the largest sand dunes is Epha's Height (at the 42 km mark). To see more than a  single place you need your own method of transport, public buses are not enough."
21,The Curonian Spit,I had a day's tour here and found it very interesting. We started at the bird ringing  centre and then moved on to the dunes and then the Dancing Forest. Being part of a group made the travel easy but I can imagine that if you were alone language could be a problem. There were quite a few Russian tourists also there at the time. If you enjoy the outdoors then this is the place to visit.
22,Desolate Paradise,"I have recently visited Kaliningrad and I managed to get a guide to drive me there, they charge 300 Roubles per car and if I can remember we started with Lesnoy village and ended with the swan lake, I absolutely love this place nice beaches, pine trees, the dancing forest everything, the only problem is that due to the nature of this place they cannot build proper toilets so they only have biological toilets or mobile toilets, with no flushing and they are very smelly and I was told that before they didn't even have those so people were just peeing and pooing anywhere.But otherwise it's a great place to be in specially at the top of the hill in the swan lake.I would also like to go to the Lithuanian part at some point."
23,Svetlogorsk and curonian spit,"Took a trip along the spit as way of familiarising myeslf with the region. The journey was interesting, passing many small settlements before arriving at Pillau. I drove to a car park on the coast and walked along the coast watching the very busy shipping canal into the Baltic which is the reason Kaliningrad was retained by Russia after the war. You can see the ferry go across the break in the spit which is a journey for another day. There could have been a hundred people fishing off the pier and the beach was also busy with beach-combers looking for Amber. A thouroughly beuatiful spot and well worth a visit."
24,InKalingrad tour of Curonian Spit and Svetlogorsk,"Long long way but very very nice view from the viewpoints! Don't be lazy ) u ll have a lot of nice pictures there) But be careful and don't step out from the wooden road,dangerous."
25,Great nature.,"That's a unique national resort totally worth some of your time. The nature is beautiful, there're places to see and the restaurants at this place are quite famous for their cuisine."
26,Nature and fresh air,"Such an interesting place, we certainly didn't expect to see a desert landscape next to the Baltic Sea. But within a 15 minute walk from west to east there we were strolling over a wooden walkway through a pine forest, and up to top of a rolling sand dune. The views were spectacular, looking out from a platform especially built to facilitate the need to snap as many pictures as possible was most welcome. Sadly we found little on the sad history of this location"
27,Time spent with nature,"Must see destination while visiting Kaliningrad. Better to take organized tour or go by car, transfer by public transport will make you tired. Clean beaches and sea are exciting. Nice place to stay for couple of days."
28,Worth a visit,"The Curonian Spit in the the Kaliningrad Oblast is a great place to visit. To get there from Kaliningrad city you go to the central bus station (next to the South railroad station) and take bus # 593. There are 4 buses going there eveyday, and the price is 120-140 rubles (September 2013), to one of the last two stops in the spit. It takes 2 hours to get there, but you travel in the countryside, which is beautiful.Once there, I managed to get lost in the forest, and then I finally found my way through the dunes. It is not allowed to step foot on the dunes, by for me it was to only way to get right on track to Morskoye and then take the bus back to Kaliningrad. The largest bit was nearly a 3km walk on the dunes, and some of them were higher than 30m.There are other attractions in the Curonian Spit, which you can get acquainted with at the friendly information office next to the Drama Theatre in Kaliningrad."
29,A place in heaven!,"I visited the spit as part of an organised tour on a coach, and really enjoyed it. Not because we saw something 'amazing' or 'special' but because we were outside in a beautiful natural habitat, surrounded by fresh air, pine trees and sandy beaches.It is a great place to wander around and just take in some scenery, and breathe some fresh air! Be aware of the weather though, as if it starts to rain it may get muddy. I'd recommend wearing long sleeve shirt or raincoat, and trousers with closed shoes in order to avoid picking up any forest insects (ticks) if you are going for a stroll into the 'dancing forest'. A beautiful place, but it is quite a long drive from Kaliningrad so be aware of this before setting off."
30,Do not forget to book this trip,"There is much to see and do on the Curonian Spit: Hill of Witches, amber hunting on the beach, restaurants, amber stores and hiking in the forest that covers most of the Spit. You can also see the Russian Kaliningrad from the huge sand dune at the southern most point by the huge sundial"
31,Amazing ezperiance,Worth a drive! Fascinating history and nice beach (I’m and Aussie is I have a high standard)... don’t annoy the border guards!
32,Unique nature attraction ,"Nice place, but not with such amount of holidaymakers from both sides. Good for crossing Russian border (quick)."
33,Unusual nature spot,"In the Russian part there is no seperate bicycle road, there is from Nida, but you have to search for it. We spend a night in Rybatsji, which was a nice experience and has a very nice Amber jewelry store and a good restaurant (next to the road)"
34,"Unique landscape, quiet and unspoilt.","The Curonian Spit is a beautiful place to walk around, see the dunes, the sand, the sea!Untouched corner. Be sure to take a trip there.There is a chance that you can see the animals."
35,Beautiful Natural Area,"This is the place, that everyone has to see! very nice atmosphere and picturesque scenery! here you can find a lot of interesting places, but for me it was a view on both the see and the bay!"
36,"Scenic, unique Russian culture",The beach was full of what I think was hoverflies so every time you were still for a second there were 10 of them on you. So relaxing at beach was not an option. There's a direct bus from Kaliningrad but not that many and no aircon and takes two hours. It can be pretty hard to find a bus back as well. The nature is quite nice but I wouldn't say it's worth the time if you're getting there by public.In hindsight booking with tour company is probably smarter.
37,wild,"Duna, forest, birds, see... You can enjoy just everything while you breathe in and breathe out. No time. No cities. Just you."
38,Красота !!Amazing!!! English -Russian review,"Beautiful national park, 150 entry per person (and 150 per car), so not really expensive (note: keep your ticket, they can check it inside the park at any time). Nice stops with hiking/walks, museum, bird station. Restaurant in Rybachi only, guesthouses are in the settlements, try Morskoye settlement (guesthouse Morskoe) small village, more quaint than the others and beautiful guesthouse, walking distance beach.Beaches are very clean, no garbage or dirt. Beautiful sand. Definitely worth to go on a day trip or even stay 1-2 nights to enjoy evenings. I would get a private car or driver, not a bus tour."
39,Unique,"The Curonian Spit gave us a chance to walk through the desert, bicycle through the forest and swim at the beach...all on one day!  Liking to eat fish might be a prerequisite, but life on the Curonian Spit must be pretty good!  Lithuanians appreciate the importance of a good cup of coffee more than other places:  our morning was rescued by a Lavazza barrista with her Smartcar kitted out with an espresso machine, and in the afternoon we enjoyed a perfect espresso served up from a bicycle-mounted Lavazza machine!  Life is good!"
40,Close to sea🌊,"No one should miss this place if you like the great outdoors, unspoilt  beaches and beautiful sceneries! The place is so charming you could think you are in a fairytale setting! Just get a bike and get lost in this great place!"
41,On a day trip from Kaliningrad by public transport,"I camped on the Russian side, It was insanely beautriful, a real gem of a place... as i watched thze sun go down you could hear russian military jets sonic booming as the broke the sound barrier overhead... super magical place..."
