,title,text
0,Take a little time,"There are some interesting things to do here, like get a painting class.  Watch Artisans at work.  But you have to spend a little time walking around and stopping in places.  Somethings are not so obvious at first glance."
1,A one of a kind (In the world I think?),"Nice experience to see the artists working in the streets,you can order your copy or buy pictures already done ,later they send them to your home or ship overseas . I saw guys copying from a picture sent by mobile.  You have a  big museum and also an old Chinese house refurbished  by an artist where you can sip a tea or coffee among works of art. We had a nice vegetarian lunch at the back of the village to the right, near a big brand supermarket,which was also a work of art because they reproduce exactly meat dishes and very tasty."
2,Great,A possibility to find beautiful artworks and see artists doing their work. Really a fascinating place to visit. We did not buy art during this visit but could definitely buy another time. Nice atmosphere.
3,Art lovers,Very colorful and interesting to watch the artists work. There are so msny varities of paintings. Give yourself a couple of hours to wander around. Its right off the metro line and easy to find.
4,Good activity,"Nice place to visit. A small village where u see painters everywhere painting imitation oil paintings. However, prices can defer greatly between different stores. Must compare prices before buying"
5,So.Much.Art! -- and art supplies!,Great place to come and check out stuff. Or to get artwork framed. Or even to buy some. But please make sure do not get ripped off here. Over priced. I mean 100% over price for some art work. So please make your selection wisely.If you want you can check Taobao and see how much they are asking for online. I saw couple i like and found it on Taobao. Exactly the same and price was around 70% cheaper. But i live in SHenzhen so i can wait for the shipping. If you really see something you like. Bargain doesn't hurt. A lot of artwork are not real. Some are printed. If you walk to the very end of some alleys you will see big printing machines there printing artwork. So make sure you know what your buying before you make a purchase.
6,Absolute must see,"great art, love geting lost in the little alley ways and all the artists.  We have our favorite spots that we have discovered and they paint amazing works for us - can't beat the price"
7,Awesome !,"A huge look into the world of the oil painters. Lot of small artist workshop where you can look at them during they work. Really interesting, there is also the possibility to purchase the paintings direct at the shops.Or you can give them a photo and they paint it into oil.They also deliver it worldwide...(they sayed so)!"
8,You Can Find Nice Original Art,"It was a good experience to see various paintings, styles, tools and techniques. Saw some artists at work. Relaxed day out. To avoid with kids as they will get bored and no time for parents to enjoy quietly the art works. Good Walmart supermarket also available for good and warm food."
9,Beautiful stroll,Best Place for Painting lovers.Great place to pick up art pieces.Here you can find a lot of 'copies' of well-known paintings and original art.accessible by Taxin Bus and Metro Subway Line 3.Near to Dafen Metro Station
10,Artists Galore,Go only if you are interested in buying articles and paintings. could find some copy of famous paintings and could buy at a better deal
11,The world mass production center of paintings,"We had a great day at the Dafen Oil Painting Village. Many artists, great people you meet and chat with, nice atmosphere. Prices vary a lot, but you can bargain and it's fun. Lots of nice cafés as well!"
12,A Must See,"A great place to spend between half day to one day. Went there a couple of times to help friends get paintings framed, buy art supplies (canvas, acrylic paint) and also to just explore the small galleries and alleys. Best way is taking the metro to Dafen station exit A1 from Longgang Line (blue one)"
13,Cool & beautiful works of art ,Had a wonderful day in this village -- seeing artists at work and never knowing what lies around the next corner.  The art supply shops were also very helpful.
14,Interesting experience,"Great place if you love art and decor. Creativity in abundance!Lots of walking so wear comfortable shoes. If you battle with paint fumes, wear a mask."
15,"Dafen Oil Painting Village, well worth a day trip!",The artists are amazing at painting!  It is fun to see the pictures being painted and the stores and collections.
16,Good way to spend an afternoon,Dafen is a great place to spend a day at. You will see a lot of galleries and artists who paint on the streets and are happy to talk to you about their way of living and art. I had such a great time there. <3
17,Fantastic Business trading Centre also a tourist attraction.,Many different master’s art have in there. If you really like arts. You should visit dafen oil paint. This place have a history in Shenzhen China. You will feel it when you go there.
18,Artist Village,I have been to this place several times and it is really nice to buy paintings and paiting utensils. I find this a real must go when in Shenzhen. The prices are also really good!
19,Nice Neighborhood Walk,"The 'village' is interesting, you can see artists painting a wide variety of things. Best part for me is the art supplies shops - there are a couple of them selling art supplies for half the price of in Hong Kong (and so other places, I imagine). Worth a trip if you want to stock up on paints, brushes etc, for kids or serious artists."
20,A Pure Joy,"most of the place is copy art... you can find great painters replicas and better to bargain. Also, have some studios of Chinese artists and I find that part of it more interesting. It's a good place for painting material shopping, also have a couple of good cafes. Altogether it is a good place to spend an afternoon  with friends or family."
21,One of the few places of culture in shenzhen,"This area is filled with cute cafes and beautiful art. You can wall around a window shop, buy cheap artwork or even make some yourself! The art museum is in the neighborhood as well and is free. The streets are small and cozy. It’s a nice peaceful way to spend a couple hours relaxing in Shenzhen."
22,An artistic tour,"We spend many hours here - really like the village and have found excellant artists to paint portraits and landscapes at very reasonable prices. There are many good frame shops to get your paintings framed inexpensivley.  Also lot sof art suppliers and shops for budding artist. Dafen can be reached by the metro, buss or taxi.  Also next to the Walmart if you need more than art to exist!"
23,"Loud, garish colours","If you want to have communication with local resident, you must come here. Talk about history and local food. They have coffee shop and chinesse best food"
24,Enjoyable afternoon looking at paintings.,This place is fun and well worth the trip even if you don’t want a painting. I have been a number of times and have been very satusfied with everything I’ve pirchased.
25,Long way to go.....,"You can get the stock paintings that they crank out all the time, and you can buy multiples and get a pretty good discount. I bought 5 and paid $100 USD total, so about $20/painting. I also bought a custom portrait painting of myself that turned out great. It took a couple of weeks, but when it was done I was thoroughly satisfied. The custom painting cost about $150 USD."
26,Amazing art & experience,"Dafen is where we go to relax,  to buy art and art supplies,  to walk,  to see artists in action,  to enjoy the architecture and the street vibe. There are art shops as far as the eye can see,  workshops that do framing,  printing and block mounting. The silk thread art is extraordinary but the oils and watercolors are why people go there. The original work is impressive but the reproductions are what make Dafen for me. Hand painted reproductions that are excellent but do not pretend to be anything other than reproductions."
27,Artistic cultural street,"This artist area of the city is so much fun to visit.  You can see copies of great master painters, originals, copies from photos or buy a range of art materials to use.  The little street are quaint but hot in the summer as every establishment is open to the street."
28,An art colony in shenzhen,Spent a few hours walking around and bought some nice art for good prices. Worth a visit if you are looking to buy some art!
29,Fun and interesting place!,"If you have an hour to spare and you like looking at art pieces or seeing artists as work, this might be a nice place to spend that hour.  The Dafen Art Museum is located in the village as well and entry is free."
