,title,text
0,Over rated place not for hindu,It's overrated place .. so many buggers inside and outside .. always demand money ..I don't understand why hindu visit this place ..
1,"Khawaja Garib Namaz Dargah, Hazrat Khawaja Moinuddin Chisti ( R.A.)",Very poor experience... every corner there is someone begging aka demanding money in a so called holy place. Disgusting to say the least that officials have no rules in place.
2,Theives,It's a great holly place...but too much crowded particularly on Saturday....lot of options are there for shopping.
3,Worth the efforts,Visited because it was in my bucket list..a very sacred place...I wish they maintain cleanliness and especially the approach road was c so crowdef..need to be careful if you have chosen along with you.not as commercialized as other places but needs to manage huge crowd.
4,"Difficult to get to, worth the effort",Must visit... very peaceful and relaxes the body... be careful of beggars and others who will ask for for every small thing...
5,Dargah Sharif ajmer,Dargah is good .But the people out side shops are really a thief .They refuse customer and doeanot talk properly to customer.I really feel very bad to see all this .
6,Not Islam!,"Like any town famous for religious pilgrimage,  Ajmer is crowded...and it gets more so as one approches the Dargah Sharif.  Car parking can be found about a kilometre away from the Dargah. Rickshaws ply to and fro from there to about less than half a km from the shrine.   From…"
7,A belief and An institution,"Beautiful dargah, peaceful place to go and pray .. all religious denomination people come here. if u are tourist ..  PLEASE NOTE -- Once inside lots of people try to con you to take you to people with registers and extract money from you. DONT GO TO THESE FOLKS, GO TO THE MAIN…"
8,Beautiful and peaceful,Not sure what to say or write.. absolutely shocked...no words...at every step you feel like entering a slaughter house where you are just a bakra (Goat) for shopkeepers...and unfortunately dargah is the end point...from door of the shrine till you came out of it no one will spare you on the name of Allah...they just want money...no one was allowed to drop money in donation box and everyone was threatening you on the name of Allah...Then I next visited Gurudwara (temple for Sikhs)...I realised that it is not a place where even Allah is staying but just a marketing propaganda to screw innocent tourists in the name of religion..Better stay away...
9,Horrible experience,"What can I say about this place..It has a very different energy, I mean nice vibes. The holy shrine is located in a very busy market area where you can find a lot of eating and shopping options. There are more than 8 gates which lead to the dargah but not all are open to the public entrance. A must visit for everyone, irrespective of which religion you follow!Thanks!!"
10,Review,"Once upon a time Khwaja rested here...but now it's polluted...polluted place and minds. You will find people tying threads and asking for money, covering your head with some silk cloth and asking for money...and there are groups. Looks like Puri Dham 25 years back. Each group…"
11,BEAUTIFUL ,"People of all religions go there.Its not a tourist spot, its a place of faith. Go there expecting that.Dress conservatively"
12,Very crowded place full of thugs,"This place is full of theives. So called terrorist scum bags. I recomend pleople not to go there. All the shopkeeper ,beggers, parking are joint venture of thieves."
13,Soul soothing place but very crowded,One of the best place always to visit you  You get peace mentally & you get every thing in kwaja's darbar
14,A place of worship and faith,Its really an amazing place. I have visited ever. Crowded but best holy place to visit peoples of all religion. I love to visit again.
15,Sufi Saint Dargah,The dargah is surrounded in a crowded place and it's difficult to find parking near by. By it's worth the effects to visit the place. Also it's surrounded by alot of shops serving some delicious non veg food and sweets.
16,this became a business area now with only middle man involved,Everything was good as per my experience but people are there thay are not good they always asked for Money on different ways.
17,Inside the crowd and mess- Dargah stays peaceful and calm,The path leading to this place is very narrow and dirty. parking is another issue. Very crowded. Requires special faith to visit.
18,calming  dargah,Its so cool.. please visit bravia and enjoy the bar.Best for family party also.Staff also good as well as bar manager mr. karan is very nice.
19,Peaceful,I visited in month of number.. Awesome experience.. If u want to visit I have one suggestion please arrive early in morning till 6 am for avoiding rush
20,Must visit but with some prior know how.,"Dargah Sharif is approximately kwaja __do not know full name. Sorry. This is a very best praying place by darshan & ask with heart, Definitely your's asked you will get it. So many visitors everyday visit here. Eventhough Actors & Actresses, Minister come here. Industrialist also come here for prayers. Really it is a miracle Dargah. Guide must be needed for long time Darshan & know about history. Private car parking is also available. Thanks with regards."
21,Great place could be kept that way !,ajmer dargah is totally under khadims aka cheaters hand they are liars never ever get into their trap as soon you enter the dargah with flowers and chaddar the khadim will be behind you like a stalker they will follow you everywhere around dargah they will ask you to go with them and they will take you to another khadim he will pray for you and in return he will ask money and the guy who brought devotees will get commission even the dargah committee people are involved in this they wont let you worship unless and until you are paid devotee believe me they are very clever they hide the donation box with chaddar and they will ask you put money on chaddar and the most disgusting part is the chaddar you offer to kgn is also sold by khadim to the shop in half of the price they dont have manners they dont know how to talk  when you argue with them and the langar money is also under khadim control they buy it for 1 crore inr from the trustee and they enjoy the full profit of langar even the food which is cooked from langar is sold for 5 to 10rs   shame right ? even this thing include commission the khadim will appoint a man and he will have plastic bags with him and when you enter the get food they'll say its over but if you pay this man 5 or 10 rs he will get you food like seriously are we that dumb ? i am done with this thing like i feel why they are looting us in the name of god i must say if you are going ajmer dargah make sure you dont waste your money on langar or to the dirty khadims instead donate it for a good cause they will try to captivate you but dont get into their traps
22,"Visit to Khawja Gareeb Nawaz, Ajmer",It's a heaven place on Aimer. Feel so blessed to come here. Spent maximum time at Dargah Sharif. Great...
23,Very pious place,hi frnds its a very good place for the Relaxation  its a indian Haven its pride Of India India Known by hes name (mere Khwaja Ka Hindustan) Really It was Amazing Guys Whatever You Want Just Ask Once At Bargahe Moin ( Dargah Sharif of Ajmer ) i belive u r never gone retern…
24,Shirne of sufi saint,Today we are visit that place the name of Suffi dargaha with my friends..That is a amazing place so many crowd and everyone for dargaha staff saying money that is big issue
