,title,text
0,Amazing della,It was a nice day. There are many activities for kids and adults as well.  Prasad was a good employing Della of archery The hospitality was excellent
1,Dogs in Small cages ,All the activities are very good. But land morning is like cherry on cake. All the staff is very generous especially gre sagar was very helpful.
2,Worth Visiting,Its Amazing Birthday experiences all the activities are top class must visit.The Archary is really good. Alok & Prasad are very cooperative
3,Good place for adventu,Hard Cricket is nice and people are very friendly. Nice place. A day spent well.. Alok Kumar and Team is very helpful...
4,Best place for adventure,It was really fun to visit this place. I really enjoyed cricket session and shooting. Rest of the activities were also fun. It was so nice of Mr. Alok Kumar to assist us during cricket session.
5,HAD A AMAZING TIME,The activity was pretty good and the behaviour of the staff was welcoming and friendly.kundan and kavita helped us through the whole experience
6,Nice,Della park adventure sports is amazing place to be. I recommend everyone to be here and enjoy. Prasad and Alok were amazing at cricket nets
7,Not Worth of Money Being Charged,"Virtual games were nice and enjoyable. We liked the ambience and the resort rooms also,they are well furnished .Staff here was very nice. All were aware of the product. Gre pradnya and nikhat guided me well in virtual activities. Will visit again"
8,Must visit,Awesome experience and activities. Food was also good. Prasad and Alok were good hosts for the activities.
9,It’s very costly,There was great environment. And we enjoyed alot.specially the cricket and archery was amazing. @alokkumarand prasad
10,very poor management,"Great ATV vehicles, and a lot of fun, do try it. Great and helpful staff as well. Kundan, Kavita, Vishal and team were very kind. Must try."
11,Great Fun,All over the della adventure park is awesome and I enjoyed shooting n cricket the most @ mr. prasad..
12,Dangling della adv park,This is a great place for adventure activities. We have done many activities and all were awesome and full of thrilling. All the staff was very polite and ready to help Mr TJ and gre kawsik were there to help us and guide us about the activities.great experience suggests everyone to visit
13,A zone Della,"Very friendly staff, they make the experience even better with their involvement in the activity. Specifically Kundan and Kavita, Vishal helped us undertake it and have a lot of fun"
14,Atv and dirtbikes,Park is very nice and Staff and guides are nice and cooperative.With friends it is very fun. Cricket etc . Prasad and Alok in staff are very cooperative.
15,ATV,Kundan was very helpful and clicks amazing pictures. There was lot of fun and enjoyed our ride. Must visit
16,Sport Bar.,"Good concept. Their Activities will keep you busy throughout. All their activities are for adults mostly. Very few of them for kids under 18. Good place to test someone's physical endurance.Just felt terribly sad about an activity. In the Dog Walking activity, you get to walk with a dog. There they have husky and other breeds of dogs that survive only in snowy areas. They keep them in an air conditioned cold room to cope up with that thing. How irony is that since their volunteers write, ""We love animals"". Atleast they should keep only those dog breeds that can withstand lonavala temperature without the need of air conditioners and similar synthetic situations. Let the huskies and similar breeds be freed."
17,Wonderful adventure acrivities,Nice and adventurous rides. Should experience atleast once.Kundan and kavita received us well and they guided till the end.
18,A zone Rocket izecter,Cricket was really very good adventure Wich is full of joy and njoying very well..Prasad is treating very well with all the customer.
19,Sports,I really enjoyed cricket. Staff is very supportive special alok was very awesome. Over all activities are very nice
20,ATV and Dirt Bike,Food quality delicious. All activities enjoyable. Really interesting activities. They have maintained all the safety.Thank to Prasad and Alok.
21,Great!,Staff is outstanding. I hope they continue and bring enjoyment to everybody . Kavita from ATV rides was very attentive towards guest hatts off to team Della . Suggest a jumbo pack for everyone if u visit della.
22,Amazing,"Best staff, very helping, very enthusiastic, Mr Tj and Sachin were very nice made the trip more fun, best adventure parkMust visit👌👌"
23,ATV,All the activities are very good and adventurous. Archery led by prasad and nirmal was very nice well guided and assisted.
24,ATV adventure ,"Loved the sports activities and the adventure, especially liked cricket and other shooting activities. It was fun. Shout out to Prasad."
25,Amazing experience,It’s been very wonderful experience doing the ATV bike ride and buggy ride where we started the activity first in the morning . Though we dint knew how to operate the staff team Kundan And Kavita helped us understand it and do trial rounds and than let us drive without any hesitation and multiples times in a day .. it’s been one of the joyous ride we had in Della Adventure park !! Kudos to the team !!
26,Atv,"Nice experience with the activities, especially the dirt bikes and Kundan and Kavita. Booking was a pain. Entry staff is not hospitable."
27,A zone rocket ejector,"All the games in sports bar was good and enjoyable..staff were so helpful,we enjoyed playing carrom,air hockey, darts and fuss ball.sports bar staff marshal lata and GRE pradnya was so polite and helpfull.Thank you would love to visit again and again."
28,Della Adventure Shooting,It was an DELIGHTFUL day with family. Atv was an awesome ride. Mr kundan treated us so well. Thanks for ur team effort.
29,Atv,All the activities where really good. Had gone on a Monday so less crowd and could do all the activities without waiting. Would recommend going on a weekday (except Friday). And if you want to have more fun take the jumbo pass. Water and food is very expensive inside.
30,Atv,"amazing experience , hospitality is so welcoming , archery is fun , prasad and alok were so helpful in archery session"
31,Atv,Mr TJ was really helpful in suggesting the best rides before we missed the best ones in the park especially swoop swing ride is a must do !
32,Della adventure. C zone,Nirmal Kumar trainer is very helpful and trained us well. It was fun to do the activity. He gave us coupon
33,Atv,It was an awesome experience with dirt bike... mr.Kundan and ms.kavita were very helpful.I would highly recommend
34,Della Adventure,Nice and wonderful  experience in this della adventure park.fullly enjoyed today.archery was best activity. Good hospitality.thanks to prasad and alok
35,Della shooting Range Adavanture 👍👍👍,"Very good service, activities liked cricket and indoor games. Our door was also good archery and shooting was marvellous. Fish pedicure was excellent the guy Mr T J looked after the activity quite well and also briefed the benefits of pedicure by fish. This was overall great experience in Della resort and will recommend to my friend and relatives. Good for family outing, next time we can try staying here and enjoying to the fullest."
36,ATV,It was amazing experience. More than 50+ activities and we could hardly manage 20. Full paisa wasool. Best experience was archery with helpful staff Alok kumar and Prasad. Cheers!! Keep rocking.
37,Della shooting,"This has been a great experience so far, Archery is a real excellent fun and Marshals Prasad and Pravin are very much helping"
