,title,text
0,An Oasis in the City,I love the Denver Botanic Gardens.  it's an oasis within the city to escape to if you love being in a natural environment instead of a concrete world. I enjoy the serenity and calmness I get when I visit there. Their exhibits change so I am constantly learning new things about plants. I am a member so I get to go as many times in a year that I want to.
1,Wow!,"I love learning about plants that grow nicely in the weather and altitude of Denver.  This is the place to do it!  Relaxing for an afternoon stroll.  Good for kids, but possibly a little boring for teens.  Since I live in Denver, I visit often so I can see the impact of the seasons."
2,Amazing,"Located in the middle of Denver, the garden is a true oasis. Quiet, lots to see, tropical garden of amazement. Unique art work scattered through out.  After walking for an hour and half found great cafe,next to pond. We were able to relax and regain our energy to continue on,still only saw about half in 4 hours. Great day or 1/2 day for all."
3,Worth seeing!,"We love botanic gardens! The Denver gardens are a special treat. No matter what the season, there is something interesting to see. The building that houses the tropical plants and rainforest is a one of a kind, must see, piece of architecture! Throughout the gardens are lovely sitting areas for a quiet moment of observation or a picnic. Two restaurants provide lovely food. During the summer months the Denver Botanic Gardens hosts some pretty big name outdoor concerts where you are welcome to bring your own picnic dinner and bottle of wine. It is just a very special place!"
4,Beautiful + a Chihuly,"The Denver Botanic Gardens is a beautiful gem in the middle of Denver.  In the winter the place is lit up for the holidays.  You can pay a little more and get glasses that change the look of the lights.  Great for kids too!  In the summer, you can take a stroll after dinner and walk off dessert.  The concert series sells out quickly as well as various other offerings throughout the year.  I've enjoyed the gardens dozens of times and highly recommend them.  Don't miss the Chihuly sculpture!"
5,Very Relaxing,"These botanical gardens are absolutely gorgeous!  Such a nice calm retreat from the busyness of Denver.  The children’s garden is ok for young children, but my 9 year old found it boring.  Otherwise we really enjoyed the sprawling grounds and meandering paths, I highly recommend it.  Also, the food in the cafes is delicious and I saw many gluten free options."
6,BEAUTIFUL,Whenever I go to the Denver Botanic Gardens I feel so relaxed and appreciate the stroll thru the garden. Make sure to take sun screen and wear good walking shoes. You dont want to burn out before you finish your time here. I also love a break at the outside restaurant. The food is above average and you will deserve the rest of sitting and still appreciate your surroundings. Its a great place to visit.
7,Enchanted Gardens,"Awesome peacefully place. Parking on site. If you need to enjoy a beautiful place right in the middle of the city, this it’s the place. Instantly favorite to me. A must tried."
8,Beautiful Place,"Simply put, a gorgeous place in the middle of the city. I really enjoyed strolling around this place. In the middle of august it’s hot but incredible. Just go there"
9,Wonderland,"The Denver Botanic Gardens are a beautiful place to visit any time of year. The gardens  are gorgeous in the summer of course, but around the winter holidays the Blossom of Lights is spectacular. We also enjoy attending outdoor concerts at the summer concert series. And the Chihuly Glass exhibit was amazing. There's always something worth seeing at the Denver Botanic Gardens."
10,Beautiful Grounds,"This is a favorite destination of mine while in Denver which is often now. The botanical gardens are spectacular; varied and well appointed.But so much more to do here. Summer evening concerts with top talent, art classes for young and old, tours, art installations in the main building and Halloween/ Christmas evening light show events. And a terrific gift shop.Top notch and one of the best around."
11,Beautiful Botanic Garden,Spending a few hours in the York St. gardens makes you forget you're in a city.  Open year round but particularly beautiful summer through early fall when everything is in bloom. Art and periodic exhibits add to the beauty and tranquility.  They also have concerts and classes.
12,Always a winner,"This is a ""must see"" while visiting Denver.  The beautiful array of flowers, winding trails, English and Japanese gardens, along with the most amazing lily pond, capture nature at its best.  Nourish your soul with the peace and tranquility of this botanical garden.  You will love it!"
13,Beautiful,"This place is WOW. If you have some time off in Denver, you gotta go here. Beautifully landscaped and great variety. Nicely laid out."
14,Beautiful and a delight,"The Denver Botanic Gardens are an absolute “must-see”!  If you want to view all the gardens give yourself 3 hours so you can experience everything. There are herb gardens, a stunning water lily area, an enormous vegetable garden, cacti, sensory gardens, grasses and more. The staff were very polite. There are also classes you can sign up for. They have a nice little food area that gives you a view of the water gardens while you sit back under the covered patio area.  As you finish exploring the gardens, stop by the gift shop. There are wonderful books and gifts if you’d like a memento of your visit. We left with a profound feeling of peace and well being."
15,Beautiful,The Denver Botanic Gardens are the perfect place for couples to go and check out on a date or families. They have great signage to help you identify many of the plants that they have.
16,Peaceful oasis within Denver,"My wife and I visit the botanic gardens in every major city we visit and we would rate Denver's with the best. We visited in mid July and flowers and bushes were blooming everywhere. There are great water features, a wonderful conservatory with two different tropical ecosystems, and all kinds of featured plantings around the paths. One thing I loved which is often lacking, is the seating. There are plenty of benches and sitting areas around the garden, usually shaded."
17,Walking path gardens,I live in Cleveland and this is the first botanical garden I have ever been to. The layout is easy to follow and the provided maps add to the ease of navigation. Lots of different themes and foliage make this an must when in Denver. The Japanese Garden is the best!
18,Very pretty :),A true gem in the heart of Denver. It’s a wonderful oasis and is wonderfully maintained. There are so many different garden “areas” I’m sure we missed some even though we were there for a little over 2 hours. I would love to go back at different times of the year to see the changes that I’m sure occur during the changing of seasons. Give yourself enough time when you visit so you don’t feel rushed – this space is much bigger than you think.
19,A top place to visit in Denver,This is a great place to spend a few hours while in Denver.  Many types of flowers and plants to enjoy.
20,One of the best I've been to in North America,"the denver botanic gardens was a must on my list while visiting denver! even though i went in january and it was freezing, the plans and flowers that were there were beautiful! i loved the asian garden and pond the most!"
21,Picnic at the Gardens,A wonderful place to take a few hours to walk and soak in the wonderful outside plant atmosphere.   It is a stress-reliever for me.
22,Fun place to walk around and look at nature. Adjacent to a big city park no shortage of things to do highly recommend yo,"The Denver Botanic Gardens are a lovely and peaceful place to spend the day and wander among the many exotic plants and flowers that make up these beautiful gardens. I happened to visit in late March, when the gardens were admittedly not quite as lush or green as one would expect during the summer months. However, I was very impressed with their indoor exhibits, such as the Tropical Conservatory, and the Orchid Showcase that was currently on display.The gardens are definitely one of the best spots in Denver to visit if you have several hours to spend, as there is plenty to see and experience!"
