,title,text
0,Expansive views... the famous Diamond Head,"I’ve heard that this is a great hike... but we didn’t hike up, we were on a tour and we were driven up.  Great views!"
1,"History, expansive views, excellent exercise....not to be missed","This ""hike"" (we are really only talking 1.6 miles total) is very pretty and views are gorgeous. But, it is one of the most popular hikes, so it is very crowded. Don't expect any serenity. The parking lot is small, so come early or take the available transit. Wear sneakers - even though you are on an island doesn't mean you should wear flip-flops as it can get quite slippery and it is fairly steep and definitely narrow. It is kid-friendly, especially as you can bribe with a delicious treat from the Dole truck at the bottom ;-)"
2,Great exercise and fantastic views,"It’s not as hard as we thought ! The hike to get there slowly goes uphill and you can stop along the way to catch your breath. There are steep steps towards the end  but walk at your own pace . There is a great food stand at the entrance of the park that I recommend ! Pure pineapple juice is delicious but unfortunately, it comes in a plastic cup. You can also purchase sweet pineapple slices separate . My daughter ordered dole whip and it was delicious ! They should use paper straws and  completely eliminate plastic containers .Prices could be better ."
3,Great view but come prepared,"The views are amazing! This was our first hike in Hawaii, and we did 2 hours after we landed. Crazy, but be wanted to wear ourselves out so we didn't nap and would adjust to the 5-hour time difference. And I am so glad that we did! We took a quick Lyft drive from our hotel on Waikiki beach, which is highly recommended since parking can be very limited. We were fortunate to have the ability to go on a Monday afternoon, which was way less crowded than usual. The fee is only $1 per person to enter. The hike for us for about 1.5-2 hours roundtrip with stops along the way and at the top. It was pretty east for the most part, rocky, but safe with fencing along. Some areas are pretty narrow so just be patient if people are coming the opposite direction. The entire way was just beautiful, lots of photo opportunities, but the views from the top are amazing -  all 360 degrees - mountains, ocean, city. Just wow. Bring water and a sweat rag. And there's some delicious treats at the bottom when you head. The pineapple whip with fresh pineapple was amazing. The fresh coconut juice was refreshing, but not sweet. This hike has left us a thirst for more to come!"
4,Spectacular!,Honestly this is a pretty easy hike for a person who does hikes :) and the view is spectacular! The only not fun part are the stairs (stair master time) and the short tunnel towards the top. I read a review to stop and take a breather before going through it so I also recommend. Catch your breath then head on through!  We took a Lyft there and jumped on a trolley back to Waikiki. Fresh coconut and pineapple juice at the bottom was a winner!
5,The Island's Icon,This is not an easy hike and we went a day after rain so there were some slippery parts. The steps are steep but it is so worth the view. We walked from Waikiki up to diamond head and it took about 2 hours all up but you can catch a bus to diamond head then just walk the crater.
6,The famous Diamond Head!,This was a great hike but I wish our tour guide and not said igt was only 800 steps to the top.....I think he meant to say 8000 steps.  It takes about 30  minute at a good pace to get to the top and some of the trail is a bit broken up.....so be careful....it would be easy to twist an ankle in some spots.  Once at the top the views are spectacular.
7,"Beautiful sunrise, but get there early!","We did the hike to the summit of Diamond Head.  It was a fabulous view.  The hike up is not bad,there are a lot of steps but I'm 65 and I had no issues.  Just take your time.  My husband has issues with his right leg and he made it; but we stopped to rest when we needed to.  It is not a huge distance but it is the number of steps."
8,Worth the Trip,"It is such a good hike, when you reach the top the views are beautiful. I didn't take the second set of stairs going straight up I took the easier stairs to the left. It took us half an hour to reach the top, but my daughter did it in 20 kinutes. Then after we decended there was a place to buy pineapple judce and dole ice cream"
9,Amazing Views,This was a quick fun hike. Definitely steep but it’s paved and has hand rails. The view is worth it (if you can get past the selfie sticks) and the dole pineapple truck at the bottom was a nice treat.
10,"Great hike, not too challenging, AMAZING views!",We have climbed several times and it’s not a hard hike but can be strenuous If you are not in shape ! This past time we climbed when it had rained the day before and the walk was slippery and dangerous in sections. Make sure to wear athletic sneakers or hiking shoes no sandals and be careful ! Arrive early so you can get parking !
11,A great walk with a great view.,"We hiked Diamond head on a cooler overcast day and we're so glad we did!  It's a pretty steep hike!  Easy to do, but definitely gets your heart pumping!  We took a trolley from our hotel and enjoyed our hike!"
12,Amazing views from the summit!,"We walked to the crater from our hotel in Waikiki and then did the crater walk. It is very popular but it is still comfortable on the track. The walk can be strenuous towards the top of the crater, but we saw people of all ages on the track. Take water and take sun protection. Looking out over Waikiki and Honolulu with the ocean beyond from the top is well worth the effort. Get yourself a pineapple on the way home."
13,A Must See Attraction,Visiting the Diamond Head Monument was no only a great hike to the top which little kids can complete.  There were good opportunities to see the wildlife and a great views from the top.
14,Well worth the effort to hike to the top.,I'm not a big fan of hiking and this trail was considered easy.  It was very safe and well indicated. But do not hike to the top around noon as the sun is way too intense. But the view is what decided me to hike up there.  It is worth it!
15,March 2020,"I was so looking forward to this hike but disappointed. There is one path up and down, so tight and there were literally thousands of people. Was a very slow go and the tunnels are just down right dangerous if you over 6' tall were a helmet. The lookouts are tiny and we were lined up just to squeeze in there for a few moments to snap some pictures. This needs some serious trail maintenance and maybe another trail head for the more advanced hikers."
16,Cheap and Great experience!,"Great visit. The hike is quite long, lots of steps but well maintained. Views were amazing. We took a taxi here but was very hard to get one on the way back as it had started raining."
17,Well worth the climb!,"It’s a quick hike, about 1.5 miles there and back, starts as a very slight slope and builds up to about 100 stairs to finish it off at the top.  I went at 730 am, any later and I may not have enjoyed it as the crowds were starting to show up and just one group of slow people can back it up pretty quickly."
18,Diamond Head visit ,This is a easy and rewarding hike for the whole family.  The views are spectacular and the kids didn't complain at all about the elevation change.
19,Wow,"Hike was fairly easy but the stairs were a little challenging but so worth it. We hiked with our 12, 9, and 6 year olds and they did great. Not a hike for people out of shape."
20,Great walk and wonderful views.,We actually walked from our hotel to Diamond Head via the coastal route which was beautiful but definitely a trek. Took the trolley back to our hotel which is a great option. The hike itself was a climb with lots of stairs towards the top but well worth the climb with amazing views. Cooler day so it wasn't bad.
21,Beautiful View and Historically Interesting,"Diamond Head is an amazing hike!! We tried to park in the parking lot, but it's so small that the lot was closed when we arrived at approx 7:30 am, so we had to park at a lot that was a 15 minute walk to the entry of Diamond Head. If you're walking in they charge $1 per person, if driving $5 per car. After paying the entry fee,  the hike begins with winding walkways, then you get to the uneven terrain and eventually the climb upwards and your journey through the tunnel. Once you get to the uneven terrain and stairs, the walkway is very tight. It's barely enough room for one person to walk. You will definitely get a good workout as you work your way to the top. The closer to the top you get, there are lookouts where you can rest and take gorgeous pictures. For the most part, everyone is moving at a steady rate. It took us 30 minutes once we started, to get to the top and it was definitely worth it!  The views from the top are amazing. It was very crowded at the top, but it was to be expected considering everyone was probably very tired and needed to rest. We stayed at the top at least 30 minutes. The sun was not fully blazing when we hiked, so hiking in early morning or late evening may help reduce fatigue.  Make sure to take some water and a towel (because you will be sweating).  Wear the appropriate shoes, especially since part of the hike is on slippery and broken up rocks.   Pace yourself....it will pay off in the end. Overall, I'm very glad I did the hike."
22,Nice hike!,"Really great way to spend the afternoon. The hike isn't too difficult, there were numerous people that didn't look to be in the greatest shape but they were doing fine. I would recommend wearing proper shoes."
23,Terrific views  and worth a visit...,"I have read reviews of this walk and most say if you have knee issues don’t do it. I have arthritis in one knee and really wanted to do it so set off. Some areas are steep, there are stairs also but mostly it’s a steady incline. I reached the top ok just taking my time and it was well worth it for the views and sense of achievement."
24,Beautiful Views,"Well worth the hike (trail and stairs ... nothing too difficult, but not for dress shoes and high heels).  Train has been improved from years past so it is much better for all.  Something to brag about when view the iconic Diamond Head pics.  You can point to the summit where you climbed to."
25,Great hike!,"This is a fantastic hike.  Its somewhat of a steep trail, but newly paved so much easier then it used to be.  Take water, wear a hat, Sun screen, and sturdy walking shoes, NO Sandles or flip flops! DAH !  You can use your cell pH as a flash lite in the tunnel.  This will be one of the most breathtaking panoramic views you will ever see in your life.  Its a must.  If you're a novice hiker just go slow, its so worth it!"
26,"Easy, well traveled, but great views","Even our kids loved the big monument. The sky seemed incredible! It’s a long walk, but worth it. I have arthritis in my knew but I still made it to the top! Yahoo!! Worth the trek! Great walk, and welcoming! I felt strong. Really made my day! Fantastic walk!"
27,Eh,....but didn’t climb to the top. The wife was concerned she couldn’t make it. So we stood at the bottom and looked up. Guess that will count?
28,Loved the hike but parking ;(,Great hike. Last bit was all stairs straight up. Took us about an hour but we were moving pretty quick and there weren’t any lines. I’d allocate and hour ... longer if it’s a busy season.
29,Worth the view!,"Beautiful, calm! Must do in Honolulu. I heard that hike was the easiest one! But took my breath away, in all meaning!"
