,title,text
0,Mesmerizing place for History & Archeology Lovers,"Though this place is a bit far from the main Abu town, it is one of the must visit site. Especially the stone carving work of these temples will make you say WOW. Photography inside this place is prohibited and a small token fee is charged to enter."
1,Architectural Marvel,One of the must visit places in Mount Abu. Amazing beautiful artistic work. It is easily accessible from any town or city of Rajasthan.  Dilwara Temple forms a famous pilgrimage of the followers of Jainism. In all 5 temples are in side and the guide explains the history with…
2,The Best,"Dilwara Jain temple is a must visit place while visiting mount Abu , this place is having historical background which is elaborated to you by a guide very nicely , inside temple art of stones scriptures are good but detoriating day by day due to aging effect for which…"
3,Dilwara temple,"The dilwara temple is most important place to visit in mount abu. The architecture of the temple is incredible ,you would have never seen such a clean and neat art work. The guide explains really well about the temple . Devrani and jethani temple is also one of the unique things…"
4,Great temple,This is a very old Jain temple in Mt Abu and considerd very holy. The exterior will fool tourist as a very simple plain temple but once you are inside you will be blown away by the mazing sculptures and architecture on pillow and roof. It a must visit if you are in this vincity. They do a great job of giving a good tour explain the history to visitors.
5,Beautiful architecture at Dilwara jain temple,this place is one the major attraction of the mount abu or the whole rajasthan.i have never seen this kind of small work in the marbles.such an pleasant view at every place.and yes don't forget to look upwards.its just amazing.only one thing i hate is the restriction of the…
6,Dilwara Temples (Architecture at its Best),"This temple with its ancient scriptures and sculptures is a must when in Abu. However, the entrance to this temple leaves much to be desired. Shoes and cameras not allowed. Has to be left outside which is not in proper safe keeping. You just have to trust."
7,MIND BLOWING CARVING HERE!,The temple complex is really nice and very rich for architectural point. It can be very very crowded during certain time of the years. Good Visit!
8,Immerse yourself in past glory !,Very good and well maintained place. Nice to see when in mount abu. It is a more than 1000 year old temple made by one Gujarati. Lovely place to watch micro handicraft technique on the white stone. Temple open after 12:00 hrs AN.
9,Impressive,Beautiful place with nice beautiful ancient carving made of marble   situated near mount Abu and is easily accessible 
10,Oldest Temple with finest carvings and sculptures,"Delwara jain temples are one of the best place to see in Abu. Five temples in campus with beautiful and unique carving, best to see. Its heritage of India. Its on the way feom abu town to guru shikar. It may take 1 hour to see. No mobile allowed. Mobile and luggage and shoes can…"
11,Beautiful carvings and amazing talent. ,"This temple is one of the most visited places in Mount Abu due to its fine art and sculpture. It is constructed in 1500 and still, the charm of this place is well maintained."
12,Jain temples,"Ancient Jain temple with nice carving. Must visit place in mount Abu. If you take the service of guide, it is more enjoyable. "
13,Very ancient caves,"This is one place you should visit when you go to Mount Abu, as the place is beautiful and should not be missed"
