,title,text
0,Lovely,I didn't go here this time round but I did five years ago I would think it's the same because it's a museum it's beautiful lots to see worth visiting.
1,Wonderful garden with a view to Bosphorus and amazing palace ,"it was a really nice place and a must seen place at Istanbul.you can feel you are travelling in history and there are many places to see , many equipment like closets , beds , ...also you can see the room which great Mustafa Kamal Ataturk the person who established modern turkey spent last hours of his life in.notes: have your passport or any national id card with yourself and at the entrance of the palace they give you some headset and audio guide(they are free ) which can be very helpful . it has several languages but they dont give you if you dont have your id card .the only problems about the place was :1- there was a very long queue and  you should wait at hot weather to enter the palace . if you have credit card with yourself you can avoid waiting in the queue.2- many places were closed and you could not visit . they were repairing these parts."
2,Worth seeing!,I’ve been lucky to have seen loads of palaces and their interiors but this one is best so far! ProIt’s breathtakingly beautiful. Each room nicely done and just so many times we said “wow” ConsCan’t take photos inside!!
3,Very beautiful palace,It is a copy of European palaces nothing exciting.If you have visited  one in Europe don't bother go to this one.ticket is 14 euros Feb 2020
4,Get the audio tour,I visited the place with my family. It was a nice place and had some really nice and antique collection. Worth going to the place!
5,"Beautiful, just stunningly beautiful.","I was skeptical about visiting yet another palace in Istanbul but went following the advise of many and definitely do not regret going. Its one of the best that I have seen, the gates to the Bosphorus feels like gates to heaven! The history of the place is very indicative of old Turkey. It has amazing architecture and design complimented by beautiful furniture. Must visit while cruising the area"
6,Visit this Palace even if you only have an hour!,Beat historical place with huge treasurable history this place the first thing i fall inlove with in turkey ❤️
7,A must do! ,If you are looking for a typical palace you have seen in other parts of Europe this is one of thoseHas a lot of French influence and many chandeliers and those are made by English It has a nice setting of a seaside and a landslide entrance and exits are on both sidesLooks more a European palace but do go most of it is in 1860 or something
8,Visit Topkapi Palace first - buy the Combo ticket,"Been in Istanbul so many times and this was the first time I visited Dolmabahce Palace. I like the tour altough somehow I expected more. Many corridors parts of Palace were under restauration and closed for visitors.I general Museum has a lot to offer, nice history and way of live in last century.Main remark- Toilets are not well maintained!"
9,Live like a sultan. ,"My wife and I have been to Istanbul four times before this trip and for one reason or another have only made it to the Dolmabahce Palace on this trip. It was worth the wait and anticipation. Fortunately it was a relatively quiet day without too many people but the setting in sunshine is great. We took the main palace and the harem, the interior is stunning."
10,Best sightseeing at Istanbul,"Finally visited this palace after 6 years of living in Istanbul, It's a nice place to visit if you don't know what to do on a weekend, but then again it's like any other royal palace. A bunch of rooms with royal sofas and chandeliers. The reason I gave it a 4/5 is that they didn't charge me the local student fee as I do have a Turkish residency here, but charged me as a foreigner. The museum card was also invalid."
11,Wonderful place,"Really enjoyed visiting here, did it with a guide as part of an organised experience. The great hall is a must see!"
12,Well kept Palace worth visiting ,"I visited the place during mid Feb 20, its truelly worth visiting place for those who love history, archtecture, decor etc etc.There are 3 different zones in the palace & you have to buy 3 seperate tickets for each I forgot names of sections but I do remember that for main palace from which sultan was taking care general adminstration affairs was prices 60 lira for entry ticket & other 2 zones were 90 & 40 respectively. for the adminstrative zone you dont need any tourist guides because with the ticket you will be given a gadget which gives audio guidence once you tap it to board in any of the room which have wifi sign on it. Audio's were so much in detail & infrom the detail history of almost all objects in the room. Photography are not allowed inside the palace. One more important thing, inorder to get a gadget you need to submit your passport at ticketing sections which you take back in return at exit otherwise they keep 200 lira per gadget as security deposit which is refundable at exit gate."
13,Dolmabahce Palace,"It is well worth the trip from the old city.  It is mostly European in style with some Islamic influence.  I also visited the Harem, which is good if y have the time, else you can skip it. The clock museum is not much of a museum, very little items and an be skipped if short on time."
14,"A must see of Ottoman Extravagance, Opulence and history at the Yildiz / Dolmabahçe Palace.",We loved seeing this but my favourite part were the gates leading out to the water (where the ancient ships used to dock).  They feel quite ethereal... I could have stayed there all day.
15,Feel like a royalty 👑,"Great place to visit , showing history in details as if you were living at that time, highly recommend"
16,Absolutely beautiful,"We've been to several palaces over the years, and this might have been our favourite besides Hampton Court Palace outside of London. The Grand Ceremony Hall literally took my breath away. I have never seen a more impressive room anywhere. There are some beautiful marks of craftsmanship throughout the palace with lovely floors, furniture, and even a 4.5 tonne crystal chandelier. You have to see the Crystal Staircase in person to appreciate how beautiful it is. Make time to see this if you go to Istanbul. One word of warning though, go at opening as the queue gets very, very long quickly."
17,"Truly superb, incredible and amazing","If you are a fun of the Ottoman empire style in architectural buildings and furniture, then this is the place to be! The palace is the largest in Turkey, and the most modern one ever built in the country, order to stand equally impressive next to the ones in Europe at the time it was constructed.Despite the heavy rain on the day of our visit, a lot of people were standing in line outside for an hour or so until they could enter. Both the outside and the inside of the palace are equally impressive, for the size of the building as well as the riches and the vibe of opulence in the air.Even if you don't have the time to stand in the line to see the inside, I would recommend to at least see the palace's main entrance when you happen to be in Besiktas area."
18,Well preserved historic building,This palace is well worth a visit . We had to queue a little and luckily we had cash . Inside is absolutely beautiful - you aren’t allowed to take photos inside which is a shame - although everyone sneaked a few including me ! It must be even nicer in summer with the gates onto the Bosphorus !
19,Very impressive ,"The staff there is rude, very rude...  I didn’t notice the there is sign of no photo inside when the sign of camera is not in solid black I used to see (in thin line).. I saw ppl taking photo and i took one out of nothing to do... there was a woman coming up to say no photo please.  I responded.  And then I heard another guy shouting at me “No photo, China”... you could still shout at me when I have responded to the woman,  but it’s no point to state my nationality.."
20,Full tour,"We did this tour last week and although it was a bit crowded, you were able to see everything and there was plenty to see. I think without a guide you really won't know too much about what you are seeing. Can't take photos inside, but I understand why. We loved it. The cafe there has excellent coffee too."
21,Dolmabahce Palace,"Beautiful Dolmabahçe is closed on Mondays and Thursday’s. We went on a Sunday and it was the only day available to us and the queues were very long. I would suggest going early in the morning if that day is your only choice. They only have three kiosk to buy tickets from. The tickets are to the Dolmabahçe palace and you would have to pay extra to visit the Harem which is where Attaturk died. There is also a clock Museum which has clocks made by Ottoman Mawlawi clock masters English and French crafted clocks. The Glazed Pavilion was being restored so we really couldn’t see. There is also an Aviary. The palace itself is very big and it gives you an insight to how the Sultan lived. The beautiful furniture, Art work, porcelain, crystal and gold and silver dinnerware sets are stunning. Beware they don’t like pictures taken inside. I only sneaked a couple a bought a book at the exit but that really doesn’t give it any justice. There are cafeteria on sight not to expensive."
22,Nice Palace - bad photo policy,"Try to reach early as  there can be a really long que for the entrance. It's was more beautiful than I expected it to be ,great history and architecture. One must take a guide or an Audio guide(available at the entrance, Id is a must if you want audio guide )to have a better understanding and experience"
23,Fantastic experience,"This was a pleasant surprise! Not many people when we visited and the palace and grounds a gorgeous! We didn't buy the harem add-on, clock tower was also nice and be sure to sit on one of the benches by the gates near the water, the views are magnificent!"
24,Largest Palace in Turkey - Dolmabahce....,"The price to visit was 90TL to see everything which I strongly recommend , its pricy but all worth it. The Palace is heavy guarded by Police and guards upon your arrival you are are instructed to take cover your shoes with plastic covers. It's highly maintained. The Palace shares a rich history of Sultan. It's a huge palace that shows you the Sultan empire and history, it also the home of were Ataturk former President of Turkey died. It boasts magnificent insides and it's stories unfortunately you are not allowed to take pictures inside the Palace. It also has a small gift shop were you can get some nice sourveneirs of the Palace. If you love history I would suggest you visit the Palace."
25,Amazing ,"This is my first time visiting this place, having no idea of what I was going to see.The nearest stop to the palace is Kabatas, either ferry across from Kadikoy or tram line T1 last stop.  We opted for the latter as not sure how choppy the waters were going to be. A short walk (less than 5 mins) from the tramline and we were there.  We got there quite early (about 10ish) so the queue was not too long for tickets. Ticket options are 60 tl for palace, 40 tl for harem or 90tl for both. We did not know he they only accept cash only, be prepared.Once inside the palace is very grand, ( oh yeah you are asked to put on plastic shoe covers before entering ) lots of chandelier, high ceiling, so many rooms and doors you could get lost. There was a section with blue and clear glass windows which overlooks the sea view.  There are selection of drink are, clocks, furnitures,etc.Amazing floors and ceilings in the palace, not so grand in the Harem except sultan quatersPhotography is forbidden inside the palace and harem. Toilets are available both outside and inside the palace.Definitely worth going to see"
26,Opulence !!,One of the best sites we have ever visited in istanbul. It was a big fault skipping dolmahce palace.Inside u have to wear some plastic bags in your feet and u cant take pictures its forbidden.the architecture is stunning especially the ceiling.Oustide there is a big garden with the sea under the fence.It is not crowded as much as topkapi.Very beautiful palace
