,title,text
0,Great experience,"I took the ferry from Key West to do the day trip over. The crossing is about 2 hours and ours was a bit rough. However it was completely worth it! Dry Tortugas is absolutely beautiful. It was raining when we arrived so I did the extended tour of the fort. Hollywood is an excellent tour guide and I found the tour to be fascinating.  The weather broke just as the tour was finished, I went to have lunch which was good ( they do have a vegetarian option). After lunch the sun came out so we were able to go swim and snorkel after all. The snorkeling was murky due to the rainstorms which was disappointing, but might be a reason to go back. All in all I would highly recommend this experience."
1,A great (all day) outing,"We took the American Freedom III ferry from Key West to Dry Tortugas - 2.5 hours each way. Boat is nice but if you get motion sick be prepared for popup storms. This is an amazing historic site - antebellum (1840s) fort that is HUGE! Great views from the top of the wall. The ferry crew give a great tour! Snorkeling is fun and there are lots of fish even in shallower waters. But if you can, swim to buoys, better coral out there. The water quality changes - our first day couldn’t see past our hands. Second day we could see 5-7 feet, third day 20+ all the way to bottom of coaling dock piers. Cross your fingers for clear water. We camped two nights, nice - especially Sunday night when much quieter without the party boaters. Recommend camping Sunday through Tuesday for less overnight population. Yes, rats are there - so definitely pack with solid cooler etc. Best advice is take an air mattress- ground in camping area is very compacted, like concrete. Otherwise a great location, beautiful sunrises and sunsets, a place to truly “unplug.”"
2,Real speechless paradise,"Fort Jefferson was a bucket list trip to Key West.  Checked this one off the list.  Went by ferry for the day and was worth every penny.  Snorkeling, swimming in aqua blue water and exploring the fort is what you do for the day.  Amazing views is all we can say."
3,Anticipation greater than realization.,"We took the ferry, Yankee Freedom III, to the Dry Tortugas. It’s was about a 2.5 hour trip both ways. They include a light breakfast and lunch, as well as having other drinks and food available for purchase. The Park was amazing, Hollywood gave a short tour and we walked in/around the Fort learning the history of its existence. We snorkeled and enjoyed the beach for a while before heading back to Key West. Beautiful blue water, saw sharks, parrot fish, barracuda, and so much more. Highly recommend, next time we will try to reserve one of the seven camping slots allowed."
4,Absolutely beautiful!,"Ferry was sold out so I spent the extra money for the 40 min seaplane to Dry Tortuga. Pilot, Kris, was awesome.It was worth it! Beautiful ride. Saw tons of sea turtles and sharks from the plane. Ride was very smooth. Snorkeling was beautiful by the old dock pilings, out by the buoy and along the moat wall. Saw lots of fish, including barracuda and pretty corals. Water was very clear. Didn't do a tour of the fort but we walked around and saw the beautiful views from the roof."
5,Dry Tortugas,"We visited the Dry Tortuga National Park via the ferry from Key West.  Other options include a flat plane but it is much more expensive.  When we visited, a storm had just passed through and the water was cloudy so snorkeling was not an option.  On the key, there is the fort which includes a small gift shop.  The tour offered by the crew of the ferry is excellent - about an hour and it gives a great overview of the history of the fort.  The tour was free although the guide had a tip jar in his hands as we exited the ferry at the end of the trip.  The ferry ride was smooth an reasonably priced.  They offer a buffet continental breakfast and also lunch on the ferry, and alcoholic beverages are available for purchase on the return trip.  We spend a couple of hours at the fort which was pretty worthwhile especially with the tour.  And we found a nice shirt at the gift shop.  This is a great way to visit the Dry Tortugas National Park and I would highly recommend it."
6,"Dry Tortugas Park, Key West Florida","Great day trip from Key West.  The trip aboard the Yankee Freedom is about 5 hour round trip for an approx. 4 hour time frame at the fort, but your only other options are a seaplane or to charter a boat.  The area was well worth the transportation time.  The ocean is beautiful and the water very clear the time we were there.  Hollywood, the tour guide, gave a great short history of the fort and its geographical and historical importance.  The food provide was adequate and there were plenty of food/drink to purchase on board. On the way back we saw sea turtles from deck."
7,So neat!,We took a trip over for the day on a big catamaran. It was a local company and snorkel gear was part of the trip we took.  They served a really nice picnic style lunch.  The beaches were super clean and the water was very warm.  We enjoyed the sheltered waters and saw lots and lots of fish.  The tour of the fort was very fun and informative without being boring.  I certainly would do it again if I ever go back to Key West.
8,Must go,"We opted for the 4 hour float plane trip to Dry Tortugas.  The flights themselves were worth the price - flying low over clear shallow waters allowed us to see lots of sea life.  The pilot communicated through very good headphones.We had a little over two hours at Fort Jefferson and the key.  Because we were the first plane out, the whole place felt very quiet - the 10 from our plane and a few campers.  We toured the Fort on our own - saw nobody there for most of the time inside.  Went snorkeling off the south side - water was clear, saw some interesting sea life and, as before, we were the only ones there.Got back in time to have lunch.  We debated staying for the 8 hour trip - that would be a good trip also except there is no shade there and the day we went it was cloudless and very warm; also, once the boat arrives there are a couple hundred more people around.  Not crowded but not as peaceful."
9,Amazing location and day trip!,"We booked the park ferry months in advance to go to this quiet National park.  It was a full day, but fun.  The seas were a little choppy and we were told that the snorkeling there would not be great.  We brought gear, but decided not to go swimming after others said there was not much to see.  We listened to the guides short lecture on the Fort and then walked around exploring it ourselves.  Had lunch on the boat and then spent more time walking and just sitting on the beach watching others and enjoying the sun and beautiful views. The excursion was a bit pricey but the staff on the boat were great.  The return trip was a little more than bumpy, but we had no issues with seas sickness or otherwise.  One more National park off our bucket list!"
