,title,text
0,Just amazing,"Easy path to follow with beautiful surroundings. What a stunning way to see the inlet . Boats , views , eateries , restaurants!"
1,Lovely Walk,"Great place to walk, see locals fishing and a variety of birds.  Lots of families enjoying the park area. Fun to watch the tide rolling in and out and all the crabs!!!   Great for riding bikes too!"
2,Great,"A beautiful long walk that offers stunning views of the bay, plenty of shady spots to stop and take in the atmosphere"
3,A great place to take a stroll and even listen to some buskers making music,Beautiful walk way! There are plenty of restaurants near by. The Lagoon is a perfect stay to take a swim. Everything very clean! And you can also do a BBQ as there a some BBQ places
4,Relaxing and enjoyable walking in Cairns,"That a beautiful boardwalk! The views are stunning and lots of opportunities along the way to stop for a coffee or a bite to eat... or for the kids to play at Muddy’s Playground or to have a swim of a sunbake at the lagoon which is AMAZING!! The artworks along the way, the Cairns Eye, the Pier with its fabulous restaurants ... wow!! It’s just the best and if you are there for a Sunrise  all the better"
5,coastal walk,"Great stroll along the boardwalk, many restaurants to dine at. viewing platforms to take photos. Good for morning walks and jogging."
6,good,"The boardwalk is a lovely way to get around Cairns. A great view out into the distance, fitness equipment along the side, and pelicans galore. But it is only a boardwalk. So much more to do in Cairns than just walk along here......."
7,Lovely place for a stroll,"Beautiful boardwalk by the water with lovely views of the ocean, wildlife and rain forest. Have a drink at buddy's and watch the world go by"
8,Good for exercising,"This place is a family oasis. What a water feature. Beautifully constructed. Awesome place to cool off, picnic, bbq or enjoy a walk. Lifeguard on duty until 9pm."
9,Well done Cairns,"What a great boardwalk, well built, an easy walk for anyone.  You walk passed cafes restaurants and further on you come to the outdoor pool and the sea views are great then the pelicans are always sitting in the one spot so very relaxing.  We got take away breakfast and just sat and watched the sea and the wild life.  It goes for a very long way, have exercise equipment, BBQ's plenty of shade and seating.  Very very good,"
10,Relaxing for a walk,"Nice for strolling. Public swimming pools, playground equipment, and easy access to many cafes and restaurants.  When in Cairns we spend most time here rather than the city streets, which can quickly become rather seedy."
11,Relaxing walk,"Lovely to walk along to see all the beautiful restaurants, and boats. very nice of a night time. so much to see."
12,Nice walk,"A great way to check out Cairns waterfront.  The boardwalk takes you past restaurants,  the marina, the lagoon, lots of bird life.   A very pleasant stroll."
13,Lovely area to stroll.,"Place was awesome, nice weather to walk the boardwalk. Nice shops across the road . Great place to play Pokémon :) , nice to stop at the lagoon near by for a swim."
14,Beautiful walk,"This is a great boardwalk area with a nice vibe and great view along the shoreline. It's clean and fun, with some displays along the way to add to the interesting feel. A popular place for joggers, moms with their kiddos and couples taking a romantic stroll."
15,Spectacular views and well maintained park,Great walk nice and long and loads to see. Plenty of playgrounds for kids and cocktail bars for the adults.
16,Lovely ,A great starting place to walk and get a feel of the city and what it has to offer. Lots of restaurants along the walk we took our 6 year old to the lagoon which she loved!
17,Fabulous walk,This is a pleasant walk with shady trees and water views. Shared traffic so watch out for others on bicycles and the like. Plenty of places to eat and drink close at hand.
18,Awesome,"Nice easy walking , from hotel by the water... see parks along the way, the lagoon, live music was playing by the Lagoon on Sunday afternoon"
19,Perfect strolling path,"What a lovely area to picnic, bbq or just take a leisurely stroll. Additionally the ‘pool lagoon’ provided the opportunity  to have a free swim until 11pm at night which is great as it can get so hot!"
20,Cairns waterfront,"Good spot to view and photograph migratory shorebirds, great new information plaques. Interesting to see airplanes taking off."
21,Boardwalk,Good walk along Bay. Interesting sculpture. Good view of Cairns and over Bay. Nothing special but nice to walk along.
22,World class,Lovely walk with a nice view. Lots of shops and cafes nearby and a short walk to the marina. Nice to visit early in the morning
23,Great place to relax,Fun walk beautiful ocean views quiet and clean. Great trees and sculptures.  Nice restaurants and gift shops along the street.
24,A delightful place to stroll any time of the day,Wonderful walkway along the oceanfront.  There are a number of placards along the route describing the wildlife.
25,Done well,"This pathway/boardwalk is great for a leisurely walk or a jog. Water on one side and the city or parkland on the other.Apart from monuments and plaques, it also has a fitness park and then there is the bay front water park and playground.  But wait, there are also many restaurants, cafes, helicopter rides and boat trips available from The Esplanade."
26,Very pleasant.,Nice stroll along the boardwalk &  foreshore. Lots to see & plenty of places to sit in the shade or exercise on the multi machines. It's a credit to Cairns council & it is certainly a safe environment for all to enjoy.
27,Holiday with Friends,"Have been here numerous times and always a pleasure to walk along the waterfront.The pool area is amazing.Good choice of restaurants and cafes, with lots of shopping outlets."
28,I'm a local and love it,"The Esplanade Boardwalk is a great place to walk and experience the water and the activities and wildlife around it. We used to walk on from our hotel , along the broadwalk, which is well maintained and has parks, stuff for children, cafes on the other side and migratory birds coming in . It’s a fabulous place to just sit back and relax and observe the sunrise"
29,So Much Changed,Great place to take a walk and enjoy the day.  Wonderful views.  A little history.  Places to sit and enjoy a snack or a cool drink or an ice cream.  No hurry.  No worries.
30,Pleasant stroll,"Wandering down this beautifully created esplanade boardwalk in the morning was so relaxing. Birds, wildlife, ocean and people taking the critters for morning walks too."
31,"Views, amenities, architecture, artwork, accessible to everyone",This is a great place to walk along and take in the scenery. The swimming pool is great and the shops across the road are good to browse through.
32,The view is not interesting,"This is a great walk along the coastline with access to park and pool area. You will meet many people here due to very popular for walking, jogging and other exercises. Just accross the road you find many restaurants and bars. It is not a beach."
33,Great view,Very nice and relaxing to walk along the Esplanade boardwalk. Also interesting to read about the history of the city.
34,Sunshiny Day,"Lovely place to visit and wander around. Great stretch for running! Also I've seen bird watchers there, so there are probably some neat faunas to watch if you've got binoculars."
35,Relaxing,"The boardwalk was a pleasure to stroll along so many different things going on. People exercising, walking there dogs, kids swimming in the lagoon and buskers entertaining. Oh and what a view."
36,Perfect morning walk,This is a lovely place to walk along and stop and have a refreshing swim in the lagoon. The views of the mountains across the water are stunning.
37,Breakfast with a view ,Lovely views from the boardwalk walk. We walked this early morning and also late evening. A lovely waterside walk and a nicely kept part of Cairns.
38,Great easy day option,A great public boardwalk so nicely designed and well kept. Very clean and you may watch and listen to hundreds of birds. At the same time you enjoy a view on the sea.Great place to relax.
39,Cairns Boardwalk,"The boardwalk provides a nice stroll along the water, showcasing fine dining places, wine bars and brewery."
40,Great walk or jog - any time of day,"Great place to visit if you want to enjoy a pleasant environment right on the water, and it is very well laid out with bike tracks as well as boardwalk. The tracks are sealed and are great for wheelchairs and mobility scooters. You can ride a good distance before you need to turn back. Very enjoyable."
41,Clean nice boardwalk walk,"Stunning walk for kilometres along the waterfront. On the land there are pools, barbeque areas, skate park, volleyball courts fantastic kids play areas and meticulously maintained lawns and gardens. Plenty of bird life including cockatoos, ibis, bin chickens, lorikeets and many more. In the sea, there is the ebb and low of the tides, pelicans, storks, ibis and all manner of sea birds. A truly beautiful landscape."
