,title,text
0,A must see location when visiting Boston.,"Whether you are a Red Sox fan or not, Fenway Park has same the feeling of historical gravity that many monuments or battlefields convey.  This could be considered the heart of Boston, since it is the oldest continuously used gathering spot for Bostonians of all sorts for over 108 years. Though the park has been updated and renovated a few times since it first opened, one still gets a sense of how it looked on the first day.  the tour will take you to the most public places as well as the lesser known behind the scenes areas, and give you more information than you could imagine about all the personalities and  events to which this park has played host.  On Game Day, the neighborhood around the park is full of human drama and human interest as people pour into the stadium from all sides for pre-game meals and drinks and celebrations.  A must see location when visiting Boston. Go Red Sox!"
1,Must do!,I am not a big sports fan but this is one of the iconic stadiums - fun to take in a Red Sox game. easy access from train.
2,Tour and Shop,"Whether you like baseball or not, booking a tour of the Red Sox stadium is well worth it. You get an extremely informative guide for an hour, enjoying access to the changing rooms, press box etc."
3,One of the best places to go in Boston,Just one of those places you have to see as a sports fan. The history of the Red Sox and its players through our history is amazing.
4,Must See Tour.,"If you are in Boston and a baseball fan, this is a don't miss attraction.  The history of the park comes alive and a visitor gets to see the view from all angles.  I'm not a Red Sox fan but am a fan of the game and this park is full of history.  We had a fantastic guide and her enthusiasm was contagious. The one criticism I have is that the gates are lettered but aren't in alphabetical order.  It's long walk for senior citizens to find the gate where the tour starts.  Once the tour started, there were elevators available for those needing them."
5,Historic ballpark that's a well oiled machine,"Brimming with history, Fenway is a must see ballpark. We got to see the park from every angle including the green monster, press box, and even inside the locker room. Just seeing the classic framed photos along the walls was worth the visit. The tour group leader, a retired fellow from Boston was awesome and authentic as the ballpark itself. Great info and enthusiasm!"
6,"love the Sox or not, this is an iconic sport venue, with really interesting stories","In all honesty baseball in boston is awesome. Fenway is one of the oldest stadium's with so much history however they have some great modern upgrades and options. As a yankee fan its hard to admit but fenway is definitely one of my favorite spots to catch a game at!! Came here during marathon week and caught a sunday day game. We sat in the sam adams section and had a great time. Beers were cold, sun was out, and the food was hot. Catching a game at fenway or even just taking a tour is a must when visiting the Boston area!!"
7,Boston trip,"Nothing beats the sounds, smell and atmosphere of Fenway Park.  A classic park you have to visit.  Whether you live in Boston or are visiting you have to try to get to a game.  Standing room only seats are affordable and my favorite place to watch the game is standing in back behind home plate (even with seats I still like to stand here!) You get to take it all in and is a great view"
8,Beautiful stadium ,"I'm a Sox fan. White Sox fan, but loved the historic atmosphere at Fenway. Get there early to enjoy the festivities and party around the stadium because being a dated place, there's not a lot to do inside but watch the game, and the way Boston played this year it wasn't very exciting. Still great to visit and recommended as part of any trip to Boston."
9,When in Rome,"If you are a sports fan, even if you don't like the Red Sox, you will enjoy this tour. The guide was knowledgeable, you get to see a lot of areas and different views of the stadium and you can feel the history. My only criticism is that the box office told us the next tour was startig in a few minutes and we were just in time. That was not accurate. A man did show us the areas that we missed, however, we didn't get to do everything on the tour because it had already started. He showed up the areas and an abbreviated description, but we were disappointed to find that the ticket office lied."
10,The Cathedral of Boston!,"I am not a beisball fan, but visiting Fenway Park was astonishing.    It was like a trip to the 60s because of the structure of the park, the museum is also a highly experience to visit.   We really love it."
11,Historic!,An hour well spent.  This tour was great even if you are not a Red Sox fan.  It is more about the history of the park with a little Red Sox info mixed in.
12,Lot's of history here,"one of only 2 original major league venues still in use, Fenway really has a tonne of history, inside jokes (really) and knowledge wrapped up in it.    The tour is interesting and amusing, and doesn't drag.  and you get to see parts of the ground you would never otherwise get the chance to see.  Tours start from inside the huge Red Sox merch store, so easy to meet and no weather issue."
13,An awesome place to enjoy baseball ,Fenway Park is one of the oldest baseball parks in the USA. The green monster was fantastic. Being there in person really make you appreciate the size and hright of the wall.
14,Love this place,America's oldest ballpark. There's something special about stepping through the gates of Fenway. So much history and passion in that park. Definitely check it out for a game or a tour.
15,Walking to Fenway,"Fenway is not just a baseball park, the entire experience there is amazing. You don't even have to love baseball to enjoy your time there. So much history.People are friendly, they offer a variety of food and drinks, oh and there may be a Red Sox game going on. The concerts there are also great because they are used to big crowds so the usual mayhem is avoided."
16,wonderful tour full of information,"Coming from St. Louis we are baseball people, seeing the well preserved history of baseball’s oldest park was really awesome. I wasn’t expecting to get up on the green monster or to get a view from the press room but that was all part of the basic tour. Would love to come back for a game during the season."
17,Fantastic!,"If you are in Boston, love baseball and have never been to Fenway Park then this is a must to do on your list of events."
