,title,text
0,Its a football ground,Good facilities and transport links .Not really too much more I can say . It is what it is  you go to watch  a game
1,Soccer World Cup German vs Sweden,Came here to see football during World Cup and I've nothing bad to say about the arena. Good atmosphere during the game and there is a roof over you head as long as you don't sit behind the goals on each side. Definitely worth a visit for any bigger arrangement
2,Beautiful Stadium - Especially if you get to watch CR7 score a hatrick at the World Cup,"This is just to say you were there and if you do the walk in the evening the dancing fountain show is quite good. It is a good place to ride bicycles, rollers, etc although from Sochi to Adler and Rosa Khutor there are many places to do this."
3,new and modern and well built,"Watched Portugel - Spain here. I was a great experience, great organization and incredible well located"
4,lovely setting,Came here for World Cup Germany v Sweden What a amazing stadium  has all great facilities food and drinks all reasonably priced I come from Melbourne were the mcg is the best ground in the world but this is right up there The seating was great. Could be any were and you would see everything The pitch was also amazing  And yes what a match
5,Spectacular Stadium,Had a great time watching the Olympics opening. Great technology - amazing projections of videos and pictures. Very well organized to find your place and to get out again.
6,Futuristic shape of the stadium,The Olympic Park is really amazing.. You can visit it for few hours with friends or kids.. It offers lots of indoor and outdoor activities
7,Great Mudinal game!,"An amazing modern venue, great viewing of the field, easy to get a drink, exudes atmosphere. Was functional to enter arena and the service was very good when dealing with ticket issues. Worth a visit"
8,Croatia vs Russia,"Visited during the World Cup 2018. Very modern stadium, easy to find your way around. Great atmosphere when full (and seeing the right game !)"
9,Amazing,Good new building with good stadumvery modern and well builtThere was about 45 thousands people watching Australia Peru in this stadium
10,Impressive,"We went there for a world championship football match. The bowl is tight so the visitors are sitting quite near to the pitch. We had good sight from the sixth level on the opposite stand. Restrooms, food & beverage booths are located throughout the different levels which is very convenient. The venue is equipped with a powerful WiFi. We were excited about the smooth entrance procedure although the stadium was almost sold out.It was a very enjoyable experience."
11,Sochi big stadium,this stadium looks like a spacecraft. the arrangements are wonderful. there are electric buggies from station or bus stop. broad ramps to access seats and upper floors. big service areas and toilets
12,The best experience ever!!!,The stadium was closed when i visited. Presumably they're getting ready for the World Cup. You can get a good view from the Olympic Park all around which is impressive in itself
13,Excellent,Very nice stadium. The confederations cup will be great here in June. I think the guys will do a great job.
14,Amazing watching game at Fisht Olympic Stadium,"we visited the onlympic installation, it was very quiet in June, not many people great installation but nothing happenning there, problem to get there by car only one road and it takes 4 hours at least to drive the last 200km"
15,Good for football,"Very nice stadium. Saw Spain vs Portugal there and boy, did we get our money's worth! As it is smaller, you can see the match properly. And of course, Ronaldo made every second worth it!"
16,Beautiful stadium,"Here for the WC for aust vs peru. Modern stadium, great pitch and perfect views of the play from anywhere on the ground. Only down sight is the long walk from the buses."
17,Modern Stadium,I worked here for 9 months for the opening ceremony of the Winter Olympics so I can't say I'm much of a fan of this place !
18,Its big,"It was 2017 Cup of Russia Finals.  I don't discuss Soviet style game organisation here. Very good game, but stadium, despite new, looks destroyed and not finished in the same time. Broken floors, extremely expensive catering, dirty and uncomfortable seats that may cause damage to your clothes or skin, dirty toilets, long fences around, transportation only by buses. To experience only the game, not the stadium."
19,Wonderful piece of art,Watched World Cup football match and stadium was great for this purpose. Approximately a 15 minute walk from the station.
20,Very good venue perfect organization ,huge and nice structure in a complex that include formula 1 road and some indoor winter sports nearby Olympic station and Azimut hotel.
21,Amazing ,"We visited a match in this stadium. Stadium is easily accesible thanks to personnel and number of gates, you can enter the stadium with minimum waiting time in the que. 5min max if all tickets to the stadium is sold"
22,World cup,"Great atmosphere! I was there for both the opening and the closing of the Paralympic Games and they were one of the greatest shows I've seen. The stadium had rails on top, so lots of performers and items were flying by. I don't know if it's still used as a stadium, but if it is it's worth a visit."
23,Great modern stadium,Went to the World Cup game between Australia and Peru at this stadium. It is very large and new. The precinct has lots of other sporting venues.
24,New and beatiful,Fisht Olympic Stadium is located along the sea and view from stadium is also great. Excellent facilities and we really enjoyed watching  FIFA world cup game in a great atmosphere here.
25,Nice,I like the shape of the stadium in the context of all the olimpic park. The stadium is a turned whale...View from each seat of the stadium is perfect and access to the stadium too
26,"good match, terrible stadium",Had a fantastic weekend in Sochi watching the world cup soccer game of Germany vs Sweden. The stadium is first class within great hotels nearby
