,title,text
0,You will fall in love with nature 🌿,"This place is just like a Heaven you won’t believe what I felt after visiting this place, This place is very close to Fort aguada I visited this place multiple time and I never regret. Attach pictures will give you exact explanation what I felt. This is just outstanding define lot of Greenery Rock and see all together."
1,Best place ,A perfect dream to live its a very old fort and the scenic beauty is a sight to experience A must see for all those coming here
2,Great view,This is one place with great view. More than the fort the view excited me.  The fort is decent enough.
3,Beautiful view,I had been to Goa many times but had never visited this place. I simply loved it. this place is  well maintained and is Scenic by the sea with beautiful view all across
4,450 years of INDO-PORTUGUESE RULE !!!,"Personally, there is nothing great that I could see at this place. One can get to see the view of the sea from the top. Again I see broken beer bottles on the rocks. Probably you can click a few pictures there and apart from it, I don't see any major attraction."
5,Nothing to see,"Nothing special about this fort, if you have visited forts at other places like rajasthan.It was hot day and I wasted 1 hour there. The only attraction is view of sea form top of the fort."
6,Seaside Fort.,If you are interested in fort and history then this place will definitely excite you.Its very peaceful place river view from the top is awesome.
7,on the beach,We have visited the Fort and this was really nice. Very old but we'll build. There is a nice view to nature and sea. Nice place.
8,Ridiculous fee,This is just an average place. Fort is not particularly artistic or beautiful. Only good thing is the view that it gives of the sea.
9,Ok ok,"The best time to visit this place is right now,  little breeze and romantic weather waking you up and the greenary calming your soul, mind will be in peace as it's sea shore. Awesome place to walk in nature, Love this place."
10,Majestic fort at the mouth of Mandovi river in North Goa,Its another Fort in India i understand it is nice but is it exceptional absolutely not so i would rate it as average and another fort which you can skip if you have been to Rajasthan.
11,Who did this?,I m extremely shocked that such a historic place with no maintenance and no guides available no information on sitesIt was my biggest mistake I wasted a day in Goa for this site Plz don't go thereThe route doesn't have  any directions to reach thereThe parking operators are taking 50/- for parking very high ratesThe entry ticket for Indians is 25/- and for outsiders 300/-When u enter it's just a unmaintained fort with all over heat of sunlight no information on points no guides availableMy recommendation is to not waste a day for it
12,Nice little hilltop seaside fort,Location is really breathtaking. Getting there was bit strenuous .. But once there it was really nice experience.  Too much food waste and garbage around. But still it a place worth visiting.
13,Fort Aguada - Historical place.,"This fort in Goa has so much to see. Starting from the lighthouse to the prison cells to the exquisite view of the Arabian sea, its simply beautiful. Although, what remains now are just unpainted remains of the rocks, it is an important place of visit to those who have keen interest for historical places."
14,Keep some time and Complete it slowly,We visited on a hot afternoon so probably did not enjoy the visit too much. It is an enormous fort and completely made out of the local laterite stone overlooking the ocean.It is filled with tourists so try to go during off season. It is definitely historic but can be missed if lacking time.
15,Underwhelming,"There are so many forts to visit in Goa and around, but this one was my favourite! Nice walk and view. Relatively well maintained and big enough to spend some nice time! Second favourite if I can include Mirjan fort near Gokarna (though this one is worth it mostly in rainy season when it's covered in greenery)."
16,"Poor Upkeep, Unexciting",If you are visiting Goa for the first time it is a good place to visit once. View from the fort is beautiful. Not for people with walking difficulties.
17,Fort,This place is magically beautiful.  Just right next to the fort there's a way which goes inside to the sunset point which is 5 minutes walk.  The scenic beauty is always hiding behind the fort from the point you can also see the whole beach area.
18,Worth a visit,This is a very old and famous fort of Goa. This was very near from our hotel. A historic place and good to visit with friends.
19,Overview of History,The view here is the most people love.. you will get the great of the sea and try to carry the water bottles.
20,Fort,This is lovely place and the air that blows here is so cool. The entry to lighthouse is not allowed but otherwise a good place to roam around and see beautiful view.
21,Amazing,Must see fort if you are in Goa.  One of the largest I have seen among Portuguese built forts in Goa.You can see beautiful view of Mandovi river on one side and a breathtaking view of Arabian sea on adjacent side...truly a sight to behold !
22,Nice place if you are in the area,No doubt this place is thriving with tourists it's a nice place to visit if you are interested in the history of Goa. It can get really hot and sunny so don't forget to put on a lot of sunblock lotion and wear your hat and sunglasses. It is advisable to wear comfy shoes as well if you intend to walk to all corners of the fort.
23,Glory of Portugese empire - Excellent Sight seeing,"We were staying at Taj fort so it is very near by and hence we visited the fort several times, the view is amazing from this place"
24,"Visit to upper Fort Aguada,Goa",The fort is about 100 metres inside the sea so its a good experience once you reach the end... the fort itself is not kept well at all and is quite dirty with beer bottles littered.. no provision for dustbins to avoid this
25,Interesting historical place ,We entered this place thirty mins before the shutdown. It’s a lovely fort with scenic views of the sea. The backdrop of the lighthouse provides for some good pics Instagrammable location !
26,Goa's iconic landmark,"Just an old fort, technically just the boundary of the fort exists. If one has visited Rajasthan, then this fort stands no where near. So, nothing special about it. Only good thing is the nice view of the ocean which provides a perfect background for taking pictures. Also, basic facilities need to be improved at the site.."
27,Terribel,"Worth a trip here when you're in Goa ,  the architecture is absolutely beautiful but the best of all is the view"
28,nice fort to click photos,"This place is just too beautiful. The fort is very ancient and it's structure is very massive. There is beach surrounding the fort and that's what looks amazing. Surrounded by greenary and beach, it is just not possible to miss this place."
29,Nice Small Sea facing Fort,It’s old and beautiful. It’s a perfect romantic spot and a fishing spot! You can take really fantastic pictures here cause the view from the fort is amazing. Extremely beautiful during sunrise and sunset.
30,Only visit if you have extra time ...!!!,"This is really different than the forts we are accostomed to seeing in North India, build by the Mughals or the Rajputs. It has a nice feel to it, though the maintenance could have been better."
31,Nice view from fort,Fort Aguada has some good breath taking views of the Ocean! It also offers one of the great Sunsets and is a tourist spot. One of the must site visits in North Goa!
32,Instagram worthy location ,I believe this place is highly hyped as being one of the best tourist attraction of Goa. We were bit disappointed with this place and though we could have given it a miss. Nothing much to see except you can click few selfies/ snaps. Please do avoid it on sunny day for sure.
33,Light house,"This is tourist place that is a must visit. Mainly because of the architecture and the surrounding that this fort was purpose built for. To provide fresh water to ships that docked hence the name ""aguada"" which means watering place in Portuguese.Visitors can park their vehicle in the designated parking area and take a nice walk to the fort. One can visit the lower levels and take the stairs to come near the lighthouse. Walk around the ramparts and get a sense of how this fort would have worked both as a lighthouse, a watering place and a storage for ammunition. Get scenic view of the Arabian Sea while overlooking the Sinquerim beach. There is nothing much to look at in this fort compound however the well-preserved fort is a welcome change to the numerous ruins of Portuguese forts that one get to witnesses. You can spend an hour easily in this fortified area and have a small picnic in the garden under the shade of the trees. And later visit the"
34,Old fort with nice view...,"There is nothing great or nor it’s a very huge fort , But it is quite famous in Goa for sightseeing . It will hardly take u 20-25 min including capturing the pictures to roam through the fort. So if time permits u can pay a visit there. To follow me on Instagram - @divyafoodaholic"
35,Old Fort,"This fort can be visited for its historical value. The place was crowded when we visited , may be because it is free. The place is not worth your time  if you are on a very short visit to Goa."
36,NO PROPER MAINTENANCE ,Amazing road trip to the fort and fantastic architecture...what a view..it was a great romantic place....I loved the trip...thru Mandovi riverside
37,Waste of money,I had visited in the afternoon. Had clear sky and the scenery was beautiful. It was a good place to visit with wife. Took lots of pics and enjoyed ourselves.
38,Portuguese Built Fort,Historically very interesting to know the reason the fort was built. Must try to understand the history behind it while visiting the fort. U will be able to appreciate the fort only then.
39,"Interesting, but nothing great","this is  the romantic part of goa sold.with the light house.in reality,this is nothing but a courtyard surrounded by a fort wall.the light house is off bounds.so is most of the fort which is under the defence forces."
40,Not a penny worth,You must visit this place if you are planning for goa trip as the fort is in very good condition and spread in very large area. Also the scenic beauty from the walls of the fort makes the visit worth. Also the fort is well maintained and cleaned with information about its history depicted clearly.
41,Needs maintenance,"Great Architectural Wonder, with History Embedded. Need time if you want to explore and hear stories from guide !! Ample Parking Space, Approach Road till fort is good..!! Last 50-100 meter which one need to walk can be improved. Must Visit.. Better than Chapora Fort.!!"
