,title,text
0,Nice Temple,"An ancient temple situated in the fort premises. Quite a trek to get to the temple, but worth seeing as you get to see the ruins of the wonderful fort. Definately worth a visit during your stay at Ranthambore."
1,Divine,An ancient temple of Ganesh within the Fort. A long walk from the entrance of the temple but well worth it with its lovely views of the National Park with crocodiles basking in the sun.
2,Ganpati Bappa Morya.....,Though the flight of steps leading up to the Ganesh Temple is tiring but visiting the ancient temple is worth the effort.
3,excellent views,"This is a must visit place at Ranthambore. Not very difficult to hike up to the Fort. This place has Hindu temples, Jain temples,Dargah, a beautiful garden. There is small Shiva temple tucked below a large structure near the entrance at the top of the hill, do not miss it. Offers wonderful panaromic views of zone 3 of the Ranthambore National Park. You can easily spend 2-3 hrs here. Great place to see, beware of monkeys and langurs here though.."
4,Worth a visit,"We visited here during visit to Ranthambore Fort. The temple is a rather long walk from the entrance and is part of the fort. The temple is nice, peaceful and calm, and the exterior walkways are hounded by tame monkeys. A must visit place if you are visiting the fort. It is said that the statue of deity here is completely natural."
5,Good experience,"It is up the Ranthambore fort- worth a visit for the enjoyable trek up the hill. The temple itself is nothing spectacular or unusual. Avoid carrying sweets or eatables as this can attract monkeys, although they dont do any harm usually."
6,Unique temple,"The temple is located in the heart of the Fort. You have to climb a lot to get to it. But, on the way, you will realize it is revered by locals. Bow your head & have the prasad. The outside of the temple has monkeys & langurs.If you've any kind of food in your hand, they'll try to snatch it from you. Right outside the temple, you can get refreshments as well as offerings for the deity."
7,In the Wild!,"Situated at the end of Ranthambore fort, it's a long hike to the temple. Surrounded by may be a ton of monkeys, they stare right at you, making a poker face. Try not to take any eatables in front of them, surely will get snatched. A peaceful place it is, being a hindu devotee it…"
8,Beautiful Temple,A heritage temple in the national park its about 1000 years old ...and a good place for trekking. With an amazing view from the top. Beware of monkeys..
9,Worth a visit,Pure gorgeous ruins within the fort. This one has a gorgeous and intricate gate. Best time to go is early morning.
10,Hindu temple,its a good experience to go on the top. most of the parts of fort not open for visitors. jain temple is also mid way. be careful of monkeys while going to temple. beautiful view from the top as well as in between.
11,Temple in the fort,"The Ganesh temple is a ordinary temple situated inside the Fort area and more of a attraction for the locals. The Langoors are a major nuisance too both the fort as well as the temple, wish the management could do something about it."
12,Sacred & Divine visit to Lord Ganesha,"The drive up the valley to the temple was lovely. The fort is very impressive, and there is a beautiful view at the top looking over the National Park."
13,Oldest hanuman temple ,Good place to visit on the top of the fort. It has great views and loads of langurs. You can get the prasad and flowers outside for offering.
14,God in Fort.,"Its a nice temple located just outside Ranthambore national park. You need to climb lot of stairs to reach the temple. Exhausting but worth it, if you are religious. But on the way you will find lot of monkeys beware of them and they snatch your cameras and wallets and food. Just keep on walking, don't look into their  eyes."
15,Nice place to be in Gangtok,Temple was situated on the hills after the ranthambore fort.  Good to many monkeys on the way.  Beware of monkeys when carrying food items with you. Enjoy the gypsy ride to the base of the temple. 
16,Attractive Temple,A vey nice temple located on the top of fort. You need to climb many stairs to reach at temple. An amazing location with many waterfall. Site of jungle can be seen from fort.
17,Jai Ganesh...,Temple located inside Ranthambore Fort at the Top... Good 3-4 km walk to reach here... Spiritual Place of Worship... Mostly crowded and lots of Monkeys here.... Best time to Visit is Morning's...
18,Temple visit,"The location is good inside the fort , the way to the temple is good. Enjoyed the fort more than the temple."
19,"Holy place, respect of tradition","It was a trekking for us. Had to climb a lot for Ganesh temple. The fort is surrounded with a lot of monkeys. Do not carry any food items along with you while climbing the fort. The darshan was good, we couldn’t eat the prasad As the monkeys took the entire ladoo box from our hand. While going back one monkey jumped on a car next to ours and broke the front glass of the car. Not recommended to take your private car to this place."
20,Ganesh Temple on Top of Fort,"The temple is said to be of ancient origin. A small temple but people seem to have immense faith in it. Crowded with langurs who are eager to snatch edibles from you.As you approach the temple, you will notice innumerous small small stone assemblies.. these are the structures people make here wishing for the materialisation of their house dreams..The surroundings for sure can be better maintained and cleaner."
21,lord ganesha,Very nice temple. It is situation in the fort. Requires some effort to reach though. About 250 steps and a long walk in the fort. Keep about 2 to 2.5 hours to so this leisurely. Also watch out for monkeys. They are everywhere and can snatch anything in hand. Gives great view of the tiger reserve from the top of the fortTemple is neat and clean with no fuss. Small stalls there to serve tea and snacks.
22,spiritual experience,"No access available, long walk but worth every step. The Siva temple and grounds outstanding. Ganesh temple a sight to behold, embrace the 3xperience wholehearedly."
23,Ganesh Temple at Fort,"the temple is inside the fort and one has to walk up around 200 stairs to reach the temple. Tempe is dedicated to Lord Ganesha who resides here as trinetra (three eyes) Ganesha.Its a must visit for all as fort gives a good glimpse of the park around, see numerous macaques and some very interesting beliefs of the peopleTips: Ensure not carrying lose bags in hand as macaques will snatch for it, have kachori/pakodi at the local tea stalls"
24,Beautiful temple ,"It is a lovely journey through the forested road to the base of the fort from where the climb up to the temple starts. The walk up the fort to the temple is amazing with beautiful views and the darshan of the Trinetra Ganeshji is unforgetable. Not to mention the lovely Kachoris,…"
25,Beautiful,Divine experience here .. must visit after your safari ... huge fort with the Divine Ganeshji Temple .. loads of monkeys .. fun trip
26,Memorable,"One of its kind. Must visit to seek blessings. The temple idol is very ancient and is linked to royalty and fort.Hire a guide for rs. 500, worth a walk to soak in history of India."
27,Holy Ganesha,This temple is located in the ranthambore fort. Around 1 km walk to reach the temple. Walk is a bit tiring. Lot of langurs on the way to reach the temple. Ranthambore fort is not in a good condition as there is no maintenance.
28,Beautiful  ganesh temple,The temple is situated in the fort. It takes half an hour to reach there by foot and there is no any option to go there by any vehicle but its worth it for such a holy place.
29,Memorable vist to fort,This temple is situated on top of Ranthambore fort and it is a 30-40 minute trek. Best time to do the trek is early morning or late evening as it was get really hot during the afternoon. 
