,title,text
0,Beautiful Divine experience,I visited the Harminder Sahib(Abode of God) known as golden temple in Amritsar.I always wanted to visit itand is a lifetime experience.Its more than a experience visiting this place you will be mesmerized with beauty of this place.It looks magnificent in the night when Golden temple shines in light and you can see its shadow in the lake around it. It is one of the most visited places in the world.The holy granth of Sikh religion is kept inside the temple.There is a vast history associated with this place.They serve meals round the clock 24 hours called as langar it is made out of organic vegetables grown im farms by the committee.You should miss visiting this place in night.Do ask for advice about timings from locals so that you can see palki of guru granthsahib.Also in morning you can have a very different experience of bhajans being sung and traditional instruments tabla being played.It is sorrounded with many famous eateries where you can enjoy delicious Amritsari kulchas.Must visit in lifetime!
1,Worth  to visit,"The Golden Temple (Harmandri Sahib) in Amritsar is a sight to behold. It is a huge complex of shrines, temples and other buildings in the heart of Amritsar. The Sikh temple is an incredible place of worship that feeds 40,000 people and up to 100000 people during festivals per day for free. The magnificent architecture is not only impressive during the day but also spectacular at night."
2,🙏🙏,"Shri Harmandir Sahib or Golden Temple is one of the major place of religious attraction in India and in amritsar, Its a sikh gurudwara surrounded by water on all sideswhich is a man made pool called Sarovar, over lakhs of people visit daily for worship, it has 4 entrances which says its open for all, a must visit place if you visitamritsar. It consists of a big langar hall which is open for all and gives free food to all the visitors.  You have to cover your head and wash your foots beforeentering the temple.  The average time taken is around 45 minutes to 2 hours for a visit."
3,Peace of mind,"Must visit the golden Temple, Amritsar. When I have entered the Golden Temple feel like a Swarg. Dhan guru Nanak"
4,Need no introduction,"Golden Temple also known as Sri Harminder Sahib Ji is the Sikhs` most holiest place, all are welcome. Even before entering the Gurudwara you feel blessed. As soon as you enter one of the four gates you feel blessed and all your tension just disappears. We were there at Diwali time and there were thousands of people there and you could sense the happiness and contentment just by looking at people."
5,Hygiene rooms ,No one can review God. Harmandir saheb gurudwara is the place to go in joy or sorrow alike. The tranquil water of the pond surrounding the main gurudwara gives peace. Do not forget to have Langar prasad
6,The beacon of peace and tranquility,"Golden Temple is a must visit Gurudwara in Amritsar. The holy place for peace and blessings. With the huge crowd the place is well managed, the Langer and Kada prasad is a must try. Enroute to Golden Temple there are many shops where one can buy punjabi dresses, indulge in great punjabi lassi etc."
7,experience it yourself,"Had visited this famous gurdwara in Amritsar a long back ago. It is a popular tourist attraction and is visited by tourists as well as devotees.This gurdwara is a holy place for the Sikhs. It is known as Harminder Sahib. The main Gurdwara is covered in gold leaf which gives it a golden look. There is a sacred pond which is used for ritual bathing. The gurdwara complex has religious centers, langar etc. Inside the main gurdwara, there were bhajan singers and a holy book known as the 'Granth Sahib' enclosed in the middle. Before entering the gurdwara complex, had to remove footwear. A code of conduct should be maintained. Women have to wear scarfs and men should tie a big handkerchief on & around the heads. Had got my head tied with a handkerchief by a man and admired the golden gurudwara as a school going child. It was so calm and peaceful.This gurdwara is an ideal holy place of worship for those who would like to seek blessings. It is a must visit and should not be missed when in Amritsar."
8,A MUST SEE!,"Sri Harmandir Sahib is the official name of the Golden Gurudwara. It is in the city of Amritsar, Punjab, India. The Gurudwara is surrounded by a sacred pool and group of buildings important to the Sikh religion. The complex is the most important pilgrimage site in Sikhism and it is also called Darbar Sahib.Maharaja Ranjit Singh had the upper half of the building built with approximately 400 kg of gold leaf. The Golden Temple is surrounded by a number of other famous temples like the Durgiana Temple. The fourth Guru of Sikhs, Guru Ram Das, who had initially constructed a pool here, founded Amritsar, which houses the Golden Temple or Harmandir Sahib. It is here that Sage Valmiki wrote the epic, Ramayana. Rama and Sita are believed to have spent their fourteen-year exile in Amritsar, the epicenter of Sikhism. To the south of the temple is a garden, and the tower of Baba Atal. The Central Sikh Museum is atop the Clock Tower. The ‘Guru Ka Langar’ offers free food to around 20,000 people every day. The number shoots up to 100,000 on special occasions. A visitor must cover his / her head before entering the temple premises. The Granth Sahib is kept in the Temple during the day and is kept in the Akal Takht or Eternal Throne in the night. The Akal Takht also houses the ancient weapons used by the Sikh warriors. Guru Hargobind established it. The rugged old Jubi Tree in the North West corner of the compound is believed to possess special powers. It was planted 450 years ago, by the Golden Temple’s first high priest, Baba Buddha. Guru-ka-Langar or the communal canteen is towards the eastern entrance of the temple complex, and it provides free food to all visitors, regardless of colour, creed, caste or gender. Visitors to the Golden Temple must remove their shoes and cover their heads before entering the temple. The temple is less crowded in the early mornings on weekends. The temple surroundings are immensely clean and kudos to the kar sevaks who make sure that the temple surroundings remain spic and span."
9,WONDERFUL SPIRITUAL EXPERIENCE WITH UTMOST PEACE OF MIND !,"Golden temple, also known as Harmandir Sahib is an incredibly divine place to visit. It is not only a delight to the eyes but has the devotional spirit and positive vibes flowing in there. It is so peaceful that You definitely feel connected to God. The hygiene practice at the temple is commendable- proper shoe lockers, cleanliness in the temple and around the temple and the system to enter the temple is so well managed. The Sikh people continuously volunteer to ensure that the temple is kept clean at all times. Very pleased with the management, and of course, felt divine and peaceful throughout the time spent there. In fact, with the divine spirit within, one can spend hours and hours inside, and yet not feel like leaving the temple premises."
