,title,text
0,no any washrooms or toilets,"do not visit , there is no any washrooms or toilets again.... do not visit , there is no any washrooms or toilets , after paying heavy entry fees looted by them"
1,Scenic beauty,At dizzying heights...Great place to take photographs.....Gets very crowded during holidays....Hire a bike to visit...
2,Beautiful photo shoot spot and meditation point,Not very far from mount abu ..best way is to hire 2 wheelers ...great drive. Pure environment.. u have to climb a few steps to reach the top..there is a dattariya temple also just below the top..great views..must go..windy most of the time.
3,Nice place at Height. Beauty lies at top here!,"Good view of mountains in the way .. less greenray,more rocks .. one has to climb on foot to reach the top .. no approach road upto top... Dattatreya mandir in the middle is very peaceful.. veiw from top is astonishing."
4,Seemed like the top of the world !,A normal temple visit with some 100-150 stairs ...a good steep walk   Place should be visited as one of the key locations and temple of the town 
5,Highest Point in Rajasthan,"top of the town.... cloudy atmosphere with sweetcorn....snake shaped roads...very nice view for photography,,, we enjoyed a lot..."
6,Gurushikhar,area where there isn't any self guidance provided or nothing much to view.  Hyped up lot so not worth a visit. still if want to explore the height and surroundings there may 
7,A good exercise and good view,yes this is on the top side .. so if you are visiting abu you better explore this too. All this is incredible india . if you are visiting 1st time to abu then you will like to watch  
8,Hike and enjoy view ,"The surrounding is dirty and is  full of litter, the moment you arrive there  you will get hounded by guides and people offering to carry you up to the temple.. They said its 700 steps.. Temple itself is nice but the surrounding area is bad.. "
9,Nice place ,A prfct sunrise if you manage to wake up early in the morning...a place not very crowded where you can enjoy the natural beauty...clouds moving around you Loved this place
10,Did not find it exciting ,At a very stiff height..One must be an expert driver if you are driving your own car ..Cool breezes welcomes you and the whole Mount Abu city is visible from there..
11,Highest Point in Mount Abu,Beautiful and Peaceful.Only thing lacking is there is no clean and proper washroom near this place.
12,"Peaceful, scenic, holy spot - Highest peak in the Aravalis!",Must visit place. Signature of Mount Abu. No need of any palki or anything else if you can climb some stairs. Its not much as told by the palki people.
13,Height ,they cheat you at the parking for taking old people and childrens up saying there are 500 steps which is not true. there are quite few steps but manageble. people who cannot climb can sit and wait at restaurants below. nothing to be missed on the top. the place is not managed…
14,ARAVALI MOUNTAIN,"This is the Highest point in Mount Abu. Never Miss this. Visit specially in Winters. Rent a Bullet and visit, It would great experience."
15,Quality time spend with friends ,"This is one place you should visit when you go to Mount Abu, as the place is beautiful and should not be missed"
16,Very good,"Hi All, If you are at mount abu, start your trip with guru shikar around 15km, it's one of the highest peak of mountains, the guru shikar is famous spiritual place. from the top of the hill you seen nature's beauty."
17,Excellent Views,it's a wonder to be on top of Guru Shikhar...looks gr8 from top..u can feel the clouds touching in winter...amazing experience...!!!
18,Excellent place to visit while you are in Abu,We visited there just 2 days back. We would recommend go by bike or scooty.. u get it on rent like goa. U will enjoy the amazing view n drive if ur going with ur partner.
19,The top of Aravalli range.,"beware of guides who are cheats. there is nothing much to see in this place except for nice aerial city view, for which you really do not need any guide. in general you will find cheats in mount abu and specially in guru shikhar."
20,Great Experience,"It is on the hill top, Can go by taxi, Scooter, Bike < Trekking Type Experience , Ride Scooter for around 20 KMS and then Stairs around 100"
21,Nice nature drive,Be ready to climb up quite a few stairs if you want to go there but you wont regret it.  the highest point of Aravalis is worth a visit.  
22,Beautiful place,Good place to visit ... ancient place of worship for Guru Dattatreya. You can experience peace & tranquillity here... gives a good view of Mount Abu and the beautiful lakes around. People with severe leg pain and arthritis will find it difficult to reach the top.
23,Holly place,It's not the ideal place for person who often go to hill stations you will not find anything interesting here. In fact there is nothing interesting.high problem of parking congested road only traffic and not even a single restaurant or good eating point where you can sit and have some thing to eat when with family. Only few vendors selling boiled corn .. at all not good place for people who had travelled to other hill stations like shimla manali or Jammu .....
24,Best views,Totally Avoidable unless your agenda is to visit the small temple at the top .. the way up is surrounded by small vendors so no beauty there and nothing very special at the top also
25,Visit for Great Views,Its further above Mt Abu - around 25 kms more and 1000 feet higher ... good drive with green rocky Aravlis Hills.... a typical Monument of Lord Shiva 
26,Nice views,It is the highest point where you have to climb the stairs which I counted to be 256 on one side. A must visit in Mount Abu
27,Guru Shikhar ,Good place to visit. At height. Need to climb about 500 plus steps to reach. Good scenic beauty. Amazing scenes of natural beauty. Will see clouds going below from the top.
28,Family visit,"Highest peak of Mt Abu...On top there is temple of God Dattatraya...Enjoy the journey...Nothing much to do, except taking selfies and drinking chhas on the way."
29,At an elevation of about 3000 ft – “Shikhar”!! Must Visit,"We rented a bike in mount about and we travel from Mount abu to Guru Shikhar, its not so far fbut the drive was really wonderful and the place is also beautiful."
30,Amazing,"We went there with family. At the peak there is a temple that one can go to. It is good 700-800 steps up the hill. During January month the views are more or less the same through the climb. Hence, we would advise one to go up to Lover's point which is about 1.5 kms below the temple point. The observatory had better views but they have stopped tourists to go beyond a certain point. You can instead go to Achalgarh Jain temple on the opposite mountain to get the valley views. If you reach the top of the highest temple there then you can get to see a majestic sunset as well."
31,Shikhar,"This  is around 15-18 kms from Mount Abu Bus Stand and  I would recommend to travel by your own vehicle. You will really be amazed and feel pleasant while travelling on roads climbing the mountain and seeing the world around  us getting smaller. The temple is at the top of Mountain so when you reach there you will really enjoy cool winds, top mountain view and Guru's Darshan. Outside the temple you can click some great photos with mountain and height view. Again while going down from the mountain by roads will be an amazing journey with bike. I recommend to start early in the morning as in afternoon there will be hot sun on the head and it will become a tiring journey."
32,Guru Shikhar,It is exciting place to visit those who love adventure.... the top view from guru shikhar is fabulous and feels on top of world. 
