,title,text
0,Temple in between dense forest,The Hidimba Devi Temple is dedicated to Hidimba who was wife of Bhim from the epic Mahabharat. The template was built 1553 by Maharaja Bahadur Sing surrounding the cave where Hidimba performed meditation. The temple is surrounded by dence Cedar Forest all around. It's a must visit place having importance since Mahabharat era.
1,Past meets the present,"The temple is dedicated Hidimbi Devi, wife of Bhima, a figure in the Indian epic Mahābhārata. The temple is surrounded by a cedar forest called Dhungiri Van Vihar at the foot of the Himālayas.To reach this place one has to take autos or taxis which normally ply easily but stuck in traffic jams.Surrounding is nice but there will be queue to visit inside the temple."
2,A nice calm place,"Hidimba Devi temple is for Mahabharat era wife of Bheem and mother of Ghatotkach. Beautiful surrounding, ancient structure. Many options of photography,  traditional outfits available for photos, Yaks available for riding or photography."
3,Serene!!,"Hidimba is wife of Ghatotkach from Mahabharata son of Bhima. The temple is old structure with roof like most of the houses in Manali. There is nothing much to do except Yak ride in small ground near temple itself, but what worth is old structure of the temple which is why it is to be visited."
4,A must visit place as a part of MANALI LOCAL SIGHTSEEING,"Very old temple in Manali ,Hidimba was mother of ghatotkch and wife of Pandava Bheem ,it’s a very peaceful places but not a must visit place  you can skip if you are not much interested in temple and you have not come for a peaceful or spiritual trip , it’s just one of the sightseeing,not liked much.."
5,Hostorical Place,"This is a unique temple one only in India worshipping an Asura princess, Hidimba wife of Bhima of Mahabharat and mother of warrior Gatotkacha. Amazing place in green in heart of Manali near main market."
6,Tripping,"Its a famous temple of Hidimba Devi wife of Bhim one of the Pandavs, Its made as cave temple where supposedly the demon queen used to mediate ?"
7,Iconic and old temple,This places closely associated with Mahabharat. One of the character beams wife Hidimba is worshipped as goddess in this place.
8,Shoot place of 'YJHD',"This temple is an ancient one built almost 500 years back. dedicated to Hidimba,who is Bhimas wife in Mahabharata.it is worshiped in the form of rock as shakthi. situated among pine forest."
9,Ancient temple,"Goddess hidimba finds mention in the epic - Mahabharata, hence this temple was of great historical significance for me and my friends. Interesting stories associated with the origin of temple."
10,Iconic temple,"Visited Hidimba Devi Temple with friends group in September 2018. Temple is a unique shrine dedicated to Hadimba Mata, who was the wife of Bhima (Character of The Mahabhaata). It is very peaceful place. Temple is located in center of Manali city & in the forest area. Small entry point, seating area, & small Footpath to Hidimba Temple and last Small temple. Temple made by timber with beautiful art work on wall. It is known as a temple but not feel like temple. During our visit, winter is not come, so we miss the snow fall in Manali. Vehicle are available to visit this place. Food is not available here. No Parking, have to park your vehicle on the road.It was a great experience to visit this Hidimba Temple with friends."
11,Temple,"Locals call this as Hadimba Devi. Hidimba devi is the mother of a super human named Ghatothkacha. This is from Hindu epic 'Mahabharatha' Ghatothkacha helps 'Pandavas' in famous 'Kurukshetra' war agains 'Kauravas' the evils. Gatothkacha sacrifices his life to protect Pandavas in the war. The temple is built in honor of Hidimba devi and a tree is there to symbolize ghatothkacha. The temple is fully wooden construction and has foot imprint of Hidimba Devi. There are many attractions in the vicinity such as museum, Yalk ride, traditional dress, flee market selling Himalayan spices"
12,Peaceful Place,Probably the only temple after Hidimba - a character in Mahabharatha. There is a small trek up the hill through pine woods. Vendors ask you to pose with the yak or rabbit. The temple per se is quite small
13,Good place,Very simple n different temple of Hedimba devi who has a historical relation to Mahabharat.She was a wife of Bheem (one of the five Pandavas of mahabharat). Temple is surrounded by very tall trees called Deodar (Himalayan Cedar).
14,Good view,"Great landmark and must visit temple whilst in Manali. Believe, Hidimba Devi is the local guardian / goddess of Manali. Best part about this place is that it's not commercialized at all. Calm and serenity whilst you visit this temple."
15,Picturesque ,The temple is located with dense trees around. The hidimba temple has relation to Mahabharat. There is small shopping market outside the temple. You can enjoy yak ride here. Do not buy Kesar or Shilajit from anyone. They will fool you
16,It's another temple ,"Hidimba Devi temple located near the city amidst forest is an ancient temple built in the 16th century. Built in wood with sloped roof on all the sides. Surrounded by pine tree forest,  quiet and serene  environment makes this place special. A must see tourist place."
17,Ancient Temple nestled in beautiful forest,A must visit in Manali. Hidimba Devi Temple and Ghatotkacha Temple is situated at walking distance from each other.
18,Temple with Scenic Beauty,Very nice and beautiful temple situated in manali the view was amazing and this temple is dedicated to goddess Hadimba Devi.you can sit and enjoy the beauty of nature
19,Local sightseeing in Manali,"Excellent sacred Place at Manali,infact Manali is famous for Hidimba devi Temple.Temple is maintained in a Excellent way.Apart from tourism points it has its own midas touch.Took blessings in Mandir.Each one should definitely bow head at mandir in manali Rgds"
20,Maa Hadimba devi Temple!!,"Hidimba Devi is a Roop of Kali mata they said. Very Ancient Temple. Soo peaceful place. Temple is located in a big Area with lots of Trees. One can spend good time clicking images with Rabbits , In Himachali Dresses , eat Snacks and Roaming around."
21,Ancient temple,"It is Hidimba Devi temple Veer Bhima' s. The temple is admist tall and deodar trees. These trees are very old but strong. U will be mesmerised by surrounding  scenic beauty. The temple is ancient and monastery like architecture as it receives heavy snowfall, so as to save the wood from getting spoiled. It is near market. Nearby this temple is temple of warrior Ghatotkatch. People who read mythology and love ancient temples should definitely visit this place."
