,title,text
0,Impressive castle,"Himeji Castle is an impressive castle. It's huge, with lots of alleys, towers, small rivers and vegetation. It wasn't really touched by bombs during WWII. Even though, they reconstructed it and it is astonishing. However, from the inside it's quite empty. There are not many memories of what it used to be from the inside. Everything is quite new.It's one of the main reasons to visit Himeji and you won't be disapointed."
1,The most spectacular castle we got to witness!,"I have been to several castles in Japan and the Himeji Castle is really huge, beautiful well maintained and managed.The outer was beautifully white and details well kept. There was just enough (not too much) information to let you know the background and characteristics of the castle. Very impressive.Bonus: there were some cats in the park (part of the castle). So lucky to have seen them!"
2,The White Heron Castle - largely original and wholly impressive,"If you go to Himeji you have to visit the castle.  It’s a fairytale building and so photogenic.  We went in late November and got straight in but I’ve read that they restrict numbers on busy days - you should that out in advance to avoid disappointment.  There are steep steps inside the building (about seven staircases, more like ladders actually) but they are short and not a problem.I recommend visiting the castle."
3,Fantastic Architecture,"The castle is spectacular, one of the most see sights if you are near Himeji. The city is literally based around this castle and you can see that there is a lot of history in this place. There is a moat around the place when you first enter. The walls surround this place like... what you would expect for a castle. There is a nice little gift shop before you enter the castle. Once you enter the castle, you can see the interiors of the individual buildings such as the guard towers. The smell of tatami is strong in this place, especially near Senhime's room. The castle itself is windier than expected. Also, the amount of assassin hiding places. There is a story about the stones of Himeji, that they didn't have enough stones to build the fortress. So an old lady donated a stone to the castle. This prompted civilians from across the country to donate stones to build the castle. The wood of the castle comes from Taiwan. During world war 2, this was used as a garrison, but it was never touched during the bombings. Anyway, visit this place, this castle has so much history."
4,A whole new culture,"Himeji Castle is historic and one of the well-known castle in Japan.  A large castle with a long but scenic walk up to the castle.  At the top, there are great views of the surrounding area.  From Himeji train station follow the main boulevard north towards the castle.  Highly recommend to visit."
5,Wow.,"Such an impressive and imposing structure. Really interesting massive stone walls and moat surround the castle. The entry to the castle casts an intriguing tale, with twists, turns and tricks to keep out unwanted invaders. Spot the cross symbol on a roof near castle entry - highly unusual for this period... authentic mystery or contemporary prank? Be prepared to climb steep stairs over 5-7 floors within the castle itself, all in low light. 360 degree view of Himeji from the top makes the climb worthwhile."
6,"Himeji Castle, Japan.","This castle with its brilliant white exterior is very striking in appearance. It is the top attraction in Himeji and you can walk up to it from the station though we took the bus There are huge castle grounds from where you can get various views of the castle from different angles There were originally three moats but only the inner one has remained. There are six floors though one is a hidden floor ( from the outside) You enter the keep and take off your shoes and they give you a plastic bag to carry your shoes inThe stairs are quite steep and you have to mind your head as you climb the stairsAlthough the rooms are unfurnished there are many things to see including the huge long beams of wood needed to construct this building, nail covers, slits in the walls to attack the enemy , various trapdoors which were used to pour boiling water onto the enemy, places where weapons were stored and the view from the top shows the castle roofs and the fish shaped ornament ( fire protection symbol) on the roof. There’s also a model made of wood of the castle and you can appreciate the castle construction from this. The model was made so that they could understand the building in order to carry out renovations We found it very interesting"
7,A Must visit castle,"This is an amazing castle high up on a hill in the center of this small city. It is about five blocks north of Himeji Station. If it is raining, there is a parallel street going to the Castle one block east which is totally covered and wonderful for shopping.Definitely leave your stroller at the bottom because there are over 100 stairs to climb as you tour through the castle. You are required to remove your shoes, but they give you bags to hold them. I would definitely download the free Himeji Castle app which gives you an augmented reality experience of some parts of the castle."
8,Basic to Japan History,Travelled from Kyoto to Himeji to visit this beautiful castle. Certainly well worth it. Huge grounds with well maintained garden. Walked up all the way to top floor. Had a good view of surrounding area. Castle very well kept despite all the history. Note stairs inside castle can be steeped
9,Impressive castle,"It is said that Himeji castle is #1 castle and the most beautiful castle in Japan. I have visited some other castle in Japan, now I understand why it is said that. I recommend coming here if you like historical stuff and walking. Also, recommend visiting shrines nearby and that eating sea eel and Oden which are local food there. You will feel Japanese old days."
10,Typical Japanese castle,"We spent half a day wandering around Himeji castle and it’s surrounding grounds. Absolutely stunning. You can see the castle all the way from the JR station. It’s an easy 10 minute walk from the station. We visited in Autumn so the park surrounding the castle were in full colour, plus we even saw done late blooming cherry blossoms. You are able to go up inside the castle for a small fee. It’s worth climbing the 7 or so floors just for the view from the top. It was interesting to read about the history of the castle. The perfect day trip from Osaka!"
11,Astoundingly beautiful castle,"Claimed to be the most beautiful castle in Japan, it really is stunningly beautiful on a sunny day with a blue sky background. The inside visit was disappointing: there are very little artefacts and furniture inside, and the inevitable crowds make it all rather fraught as you shuffle round, up steep and slippery wooden stairs into the narrowing floors as you go to the top, then back down again for relief from the confined and crowded spaces. Don't miss the adjacent Kokoen gardens, which are a blaze of colours in the autumn."
12,Well worth the visit ,"I enjoyed my visit to Himeji Castle, there is a lot of history in it. To enter the castle, you need to take off the shoes. There is no elevator inside, and the stairs are pretty steep."
13,3 ways for a gaijin to apppreciate the castle,"You cannot have visited Japanese castles unless you have seen Himeji. An amazing building from the outside and so glad we went in it. The downside is there really is nothing to see inside apart from the fabulous architecture of how the castle was constructed. It is a shame that period furniture is not put in some rooms to give an idea of scale and time period. Hemji Castle  is also called the white heron castle as the exterior is suppose to resemble a white heron taking flight.Be aware that, as with most Japanese buildings, you remove your shoes and walk throughout in socks. The floors are uneven and wooden and therefore can be very slippery particularly when walking up/down the wooden staircases of which there are quite a few."
14,Excellent ,"When we came to Himeji, on the road to the castle we found next to station big naturally  looks restaurant with cascade levels for sitting. At the every level was tree, bourn. Few steps closer to castle we found Sega club, yes, its Japan´s game club, you can play just for 0,10Y, front of club they have many toys of Pokemons. When we came to castle, we saw many of Koi fishses in river under temple, walk through the park to castle was amazing, we didnt catch the time for visit it, we came little late for last visit, becouse we made stop in every corner, we only walk around, its really big area park, quietly and perfect for relax. I recommend this so much!"
15,We lost sense of time it was so awesome!,"This is one of the best and the most beautiful castle in Japan. If you visit this palace, you dont need to stop by another one."
16,Family trip with a 7 month old baby,"Hemeji Castle is the most beautiful castle of the many famous ones we visited during our two weeks in Japan.  If you just visit one castle, this should be the one.  You really don’t need to go inside, as that would be recommended for the young at heart.  The stairs are many and narrow, and the lines are long.  Even my 16 year old grandson didn’t think it was worth the money nor time.  The grounds are beautiful, and you can get some great photos by just walking along the outside of the moat."
