,title,text
0,Excellent exploring,Winding streets and colonial architecture make for a stimulating heritage adventure - with plenty of cafes etc to take a break
1,MUST SEE no-1 in Macau,"The place can get crowded but the European architecture and the Chinese culture make for a very interesting venue and, if you're into history, this is a fascinating place to visit"
2,"Take your time to visit, don't book a rushed tour",If in Macau you should find the time to walk the Historic Centre. Lots of shops and restaurants. It’s a busy location so watch your valuables.
3,"Day 1, KLIA-Macau",Very picturesque and full of sights and sounds. Shopping everywhere and historical monuments. I really enjoyed my day in this area. Come early in the morning less people and not as hot!
4,How could you not come here?? It is a must-come place,"It is crowded and a shopping haven but it is also the best place to see the old buildings preserved, and in use, instead of just being devoted as museums, as is usually done. I go there primarily for the currency exchange, as they usually have higher rates compared to those near the Lisboa area. There is also the yummiest pork bun in one of the alleys leading to the St Paul ruins."
5,Lovely buildings,really enjoyable time walking down the tiny streets full of well maintained old fashion Portuguese style houses. Vibrant business and commerce offering almost unlimited kind of products. Great restaurants and lots of shops to buy traditional souvenirs.
6,A bit of Portugal in China,"This area is always very busy, but there are many shops and historic attractions to see, which makes it a must visit when you come to Macau. There is some very good street food in this area as well."
7,Nice to look around,"the street is really bussy and crowded with many people, but insteresting for exploring. walking around this place is very fun"
8,so crowded!,"It's an easy walk wherein you can find restaurants, boutiques, old churches.  It's clean, safe, although in some occasions like when we went there there was a festival, so there were many people around and like any place you just have to watch your personal belongings."
9,Interesting Area,"Macau is not only cazinos! The all area is ideal for a walk, there are a lot of old european buildings, stone streets and you can enjoy the serenity and the architecture. The best way to learn about this -ex portugal colony- city. Don;t miss it!"
10,I do not understand the Unesco,the portuguese origins. Charming and historical buildings. Some interesting museums in between.Attracts me more than all this artificial and crowded casino area
11,Ditch the casino and come here!,"Wonderful juxtaposition of the Portuguese buildings with the Asian, really different and interesting to visit. Lots of shops selling traditional food and wares."
12,A Beautiful Facade,All part of visiting Macau and seeing the buildings and side markets. Hub of activity on a Saturday and lots of shopping opportunities
13,Just the front of the church,This is a must win on Macau to walk around the cobblestone streets and enjoy the mixture of styles of architecture. Definitely stop to see the ruins of Saint Pauls Cathedral. There are many shops to look in.
