,title,text
0,Indian navy Great,The difficluty faced by indian navy is shown here;Their sacrifice their love for mother india.Must visit place in vizag.Its just on rk beach.very convient to go
1,Oldest Submarine is now Museum,Common people can not have such a actual view of naval submarine. Must visit this play to tribute to all pride soldiers & know them well & there performance for our nation.One can able to imagine how our soldiers living there life hard to save our nation as well as safeguard to us!
2,Must visit,The way they explain gives a complete idea about how our Navy lives in. Salute to INA and  sailors. Jai Hind.
3,INS KURSURA- THE ONE THAT TRAVELLED MORE THAN THE EARTH'S DIAMETER,INS Kurusura..a glorified memory of Indo-pak war and victory of India. Must see bucket list in Vizag. Enormous efforts made to bring to shore and keep as museum. The museum employees lack patience.
4,life under the water,submarine gives insight of sailors sacrifices and modern under water hightech.warships to protect the unlimited boundaries. there is an enterance fee.
5,Great experience.,"This is our pride and should be thankful to Indian navy for taking their life at risk to save our country. This is the museum inside the real submarine. After you enter inside the submarine, you will realize how difficult is the life of our soldier. It's very difficult to stand straight and walk inside the submarine. In this situation Indian navy is taking care of our country. The museum is great. Guide will explain you the details once you enter the museum. It's must see museum."
6,War Memorial,The submarine is historic ! It’s shows how navy people spend thr time in such narrow place battling the enemies and protecting our people ! Basic entry fee and not much time consuming ! Close to RK beach !
7,Review,Must see when in Vishkapatanam. Salute to Indian Navy. Cannot think of living in such constrained space even for a day. Very tough job.
8,Visit to submarine museum,Really its an amazing experience where you can feel how the brave soldiers and officers of navy lives under the water in this types of capsule submarines !!
9,INS Kurusura - A must visit place in Vizag to experience the life of our Indian Navy in the submarine :),"Review is just not about the submarine or the organized museum but understated life of countrys National Heroes who are willing to keep international shores safe at the peril of their lives. Life inside there is guess no less to a jail. Living in space crunching environment with limited access to food, sleep, limited supply of oxygen, having no idea when you get hit by technology driven enemy.  Salute by heart to all those unsung heroes!!"
10,INS Kurusura served the Indian Navy for 31 years and then turned into a museum in 2001,"To see the living of Navy people under sea, this is the best example. They have compartments demonstrating their daily routine and sailing process"
11,Lives up to the expectations ,ProsIt's a real submarine used in indo pak warSubmarine converted to museumComplex mechanism can be viewedGuided tour availableMust for childrenJust for proud indianThere are two more museums in vicinity But this one is Priority one in listingLocated on beautiful RK beachAmul Icecream vendor was available outside..***Amul is renowned brand in India and offers high quality non allergen products...ConsGuided tour gives less descriptionSo READ WIKIPEDIA page before visitingQueue was big on sunday
12,INS Kursura ,"Super exposure of Submarine and Naval life esp to growing kids. INS Kurusura even have narrator to brief, such a joyful knowledgeable exposure. Cheers"
13,Excellent ,Again Indian Navy and VMDA has done a wonderful job in putting on display a decommissioned Submarine for the citizens of Vizag  and Tourist to have a first hand experience of life in a Submarine. Another must visit place
14,Informative,"you have to visit and admire this icon of Indian Navy,now retired and present at RK Beach.only place in INDIA one can see the Submarine.The tour guides are little bored and seem to not enjoying there work.Story of Govt. controlled tourist places"
15,Visit to Submarine museum near RK beach,Submarines are not just a wild fantasy to be explored in photos or movies. Indian Navy has given a tremendous opportunity to all those who really look forward to be explore a real submarine in detail. Enough has been done inside it to expect how its inhabitants would live inside deep depths of sea.
16,Must Visit!,Unique submarine museum mesmerizing us of victory during 1972 war. Submarine was preserved with all internal details. Must watch for everyone visiting Vizag.
17,First of its kind museum,"It’s a place to understand and respect our naval forces,there efforts and dedication to safe guard waters"
18,Immerse yourself in our history,"Great depiction of an submarine and life aboard it. Must visit with family, great source of history..Combo visit to submarine with Air Force museum should be on cards for all visitors"
19,Doctor,its nice in inside every indian must watch it nd see the beachhjgjh gdcybhjkb fchjgbfcbytfgjygyfvukygyt6
20,Visit to Kurusura Submarine,Ins karusura museum is in ymca which is near to marine department andhra university we had visited so many times
21,Submarine museum,Wonderful experience of visiting a naval submarine. Situated on R K beach. Must see in Vizag. People with technical background will enjoy more.
22,Thrilled to know the engineering behind submarines,"Breathtaking experience to witness the insight of the real submarines. INS Kursura, bought from Russia, participated in India-Pakistan war and India won. There is guide alongside who imparts the such key insights about the submarine. One gets to see a real torpedo. Tickets cost Rs 40 per person. Additional 50 is changer in case in wants pictures inside. If you are patriotic you will just love it. Go for it :)"
23,Great place to visit,A part of Indian Naval history. Submarine which participated in the 1971 war against Pakistan. The guides were a bit quick though rushing through some of the compartments.
24,Submarine history,"It is an actual submarine that was used in the war and sunk the Pakistani sub Ghazi, very helpful guides in the submarine, gives you a feel of what are navy personnel go through for us"
25,Informative visit,It takes war place where you can so many things that ever seen before and the maintainance is up to keep.
26,Real Submarine in RK Beach,Good filling vizag is good place nice wandarfull place I'm comeback at vizag Beach thanks vizag friends
27,"Kurusura Submarine Museum, Visakhapatnam",It's only place I see in India where you can see the submarine & go into it & see the systems & machinery .
28,An interesting museum!,"Situated in RK beach, opposite to Aircraft museum.Maintained by Navy,hence it's excellent.The sub is air conditioned,so it's a pleasant submarine tour experience.One needs to.climb the steps, no lifts,hence not suggested for people with walking difficulties.Ticket was <100 per person."
29,Great time to gain knowledge about submarine,"Went to see this museum during an afternoon, One gets a real insights of a submarine and life of a sailor. could have been made more interesting by adding few stories or a better presentation. The whole trip does not take more than 15 mins."
30,INS Kurusura Submarine,Did you see a ghazi movie? then you will be wondered seeing this submarine (Kursura). You will be awed with the different compartments in the Submarine and understand how difficult to built this. So simply visit this and feel it. It's a history!!!
31,Must Visit for All Indians,It was truly an experience to visit this n understand how r soldiers live in such compact space Very informative n must take children to c n sensitise them about r defence forces
