,title,text
0,A peaceful place ,"A peaceful place in this busy environment in Bangalore. Say everyone hare Rama hare Rama, Rama Rama hare hare."
1,soulful place,Krishna temple -hare ram hare krishna -such a peaceful place as this place allows me to think peacefully that god is there . The best tjme to visit ISKON mandir is in evening time when aarti is going on .
2,Beautiful.. ,"Must visit place, love this place, big temple in temple in Bangalore, crowded place but holy, love to see the inside the temple"
3,Awsome,Really nice temple to visit in Bangalore.it is so divine and peaceful.we went for evening pooja.it happened for almost an hour.
4,Spritual place,"Lord Krishna's blessings for Bangalore crowd .Love the place, food and ambience. Every corner is filled with holy wishes of Krishna. Hare Ram Hare Krishna everywhere.You can buy cool souvenirs."
5,Wonderful temple,Peaceful and serene combined with divine spiritual feeling in the chants of 'Hare Ram Hare Krishna' Must visit place .
6,Impressed with cleanliness and sumptuous food,The temple shrine is very memorable on janmashtmi..I love going here to get peace and happiness..It makes your stress and mind light..
7,Iskon temple,"A serene place to visit which gives you a happy vibes by enchanting ""hare krishna mantra"" with a yummy prasadam. They have many stalls related to fast food, worship material and much more. It looks way more beautiful in evening and morning. I would recommend everyone to visit…"
8,Great interesting temple,"This a very spiritually vibrant place. a place of worship, chanting and remembering god. Devotees here are good and inspiring. Prasad quality is very good, one can even take to full stomach with some donations.  I would suggest that one goes there, he/she should buy Bhagawat…"
9,Modern temples ,Very nice and peaceful place. I love this place to visit again. You feel the presence of lords Krishna
10,A must see in bangalore,Yeah iskcon temple is very very peaceful for young people and old people and very near to orien mall 
11,Majestic temple - worth a visit.,"What a remarkable Har Krishna Temple in Bangalore, India! On our drive to this great temple there were 7 cows who owned the road by crossing to the other side on their own sweet time! Cows are revered as sacred animals in this country and as I was patiently waiting, I thought how cool for these sacred cows to pass by as I'm on my way to the temple! When we arrived, we had to remove socks and shoes before entering. It does cost a small amount of money to enter, so my guide lead me all the way! I needed to wash my face, hands and feet! Then we began taking the steps up to the entrance. I counted each one. At different times we went into small areas to pray, as I watched and said my own prayers, I watched, then asked why he did certain movements such as hands, laying on the ground, placing his forehead on the wall, etc. My guide explained everything to me. I was curious about everything, but never minded me asking. We went up more steps, then more prayers. Then pictures of the outside of this beautiful building made if concrete, marble and gold! After the 120 step, we entered an amazingly large room with men and women in prayer giving respect. No pictures were allowed to be taken inside. So I refrained out of due respect. I saw Beautiful paintings, art in gold, and so many statues. We followed a line of people and I gave money as if I were in church giving my tigths to God. I received coupons at entrance to purchase a book, which was in English. They have in several languages. The book I chose to purchase was a vegetarian cookbook! After this we were given a spoon of water to drink. Then we went into other rooms like a small museum, gift shops, and foods to purchase. They gave as a gift some homemade desserts! At the final end, we were offered a free meal to eat. This was an amazing visit to learn and understand another's culture and religion. I felt very content when I left. Was extremely grateful for the guide I had. I recommend all open minded people to try learning different cultures and faiths and you can at this very beautiful ISKCON Temple! 🙏"
12,Soothing place,"Like all ISKON temples Bangalore Iskon is also a place to visit , it gives immense pleasure and peace to listen chanting of ""Harray Rama Harray Krishna"", Its a great place to visit."
13,A very spiritual experience,"Best temple in Bangalore. Beautiful very calm, clean and holy place must visited place for new comer to bangalore"
14,Best temple I have visited!! ,"It is a temple of Krishna where you can observe a peaceful environment and the people all over the world . You can get all types of vegetarian food , snacks and all .. and also you can get a lot of toys , books , things to buy ..."
15,Peace of mind ,One place which is a must visit if you are coming to bangalore It’s a Lord krishna’s templeIt’s so soothing to be here!!
