,title,text
0,Most popular Turkey Aegean beach,"Ilica beach is a terrific long beach on the northern part of Cesme peninsula. It's very popular with locals so it might get crowded.Fine white sand stretches for miles with both free and private parts belonging to hotels. Water's warm and really pleasant to swim in. Many water sports with reasonable prices. In side streets are several shops, eateries and restaurants."
1,Nice ,"Ilica beach is a very nice beach close to the city of Cesme (about 3km). It is easy accessible, if you use the local liitle buses (dolmus), it takes 5-10 min. and you need 3 TL to get there. The water is very clean, you can enjoy swimming and there are a lot of sunbeds and cafe-restaurants on the beach. You can choose from a big number of hotels, starting from cheap appartements to luxury big hotels."
2,best puplic beach on çeşme,This beach is the most famous one among all the beaches of Cesme and Alacati. We had a short visit here while going to Cesme. Everything was OK.
3,Ilica beach,"This is the famous sandy beach of Ilica, Cesme. If you go weekends or a holiday times,it would be very crowded.The only problem might be the organisation of the sunbeds and sun-umbrellas, there might be different prices which you mat not find adequate.Please find out from your friends or hotel how it works."
4,Sometimes the natural untouched public beach is best!,"It is a large and sandy beach at Ilica. Cheaper than other beach clubs at Cesme and Alacati. It may be a little bit hotter at mid summer because of not enough shelter around. You can find cheap shower, simple food and beverages at around. Since it is not getting deep for meters, good for playing, not for swimming."
5,Cool Beach,It's a public beach but the water and the sand is the best one in çeşme area. It's center of Ilıca and near by all restaurants & shops.
6,A decent stretch of beach with longers available.,"this beach is the warmest on the whole cesme penninsula. best visited in the mornings as it can get crowded. amazing clear water, mostly flat and shallow - ideal for children."
7,Good enough for public beach,I believe Ilica beach is one of the most attractive coast in the Europe and if you come to cesme or izmir you must see such a beautiful scene!
8,A nice day at the beach,"This famous long sandy beach is located on the crystal clean waters of Ilica area. When the wind is strong it's a perfect place for playing with the waves, when it's calm the water quality is absolutely perfect. The only thing is that it's overcrowded during the high season."
9,clean and friendly,"This is the biggest public area at Cesme Peninsula with long sandy beach. Sea is shallow and good for small kids. Sand is gold colour, easy to play. It becomes very crowded at weekends, not good for those looking some trianqulity."
10,Very good and busy,"The beach in Ilica is lovely and sandy and the sea is delightfully warm. It is particularly good for families as the  sea is shallow for a long way out. The beach was a little crowded this year, and unfortunately the sea was not as clean as usual.It is expensive to hire a sunbed and umbrella,nut given the heat in August it is absolutely necessary. Be careful - you don;t always notice how hot it is because there is always a refreshing wind."
