,title,text
0,Jama Masjid,Beautiful place to visit.   Steeped in history.  You will take your shoes off to get in.  Watch having to give tips as the minimum tends to be 100 rupees or be prepared for them to give it back to you!!!There are capes you can buy but honestly you don’t need them.
1,Very Interesting Mosque.,No restrictions on your religion to visit this place. Yet another beautiful structure left by history to us. Admire this beauty
2,Jama,"Must see while in Agra! Go with a tour guide or read about the history of this mosque prior, it will be more worth your visit. You have to pay to take your camera in. Go early or late when the sun isn't beating down on you. Recommended."
3,Mosque,"A very beautiful mosque and complex.  Worth a visit.  You have to be covered up, arms and legs or they give you a dress to wear.  Very calming place with birds flocking overhead.  Peaceful contemplating place.  Definitely worth a visit."
4,Good,"Climb the steep steps to the oldest mosque in Delhi.  Remove your shoes and leave them with the attendant. Pay the 300 rupee fee supposedly for cameras, but cell phones count as well. Then take your time strolling in the compound and viewing the people pray, socialize and form community. Only Muslims are allowed deep inside, but all can walk along the outer temple. Pay the nice man who watched your shoes 50 rupee on the way out."
5,You may Visit this Mosque.,A nice place to visit if you are in Delhi. Covered clothing is mandatory and can be borrowed. 30 min is enough for a visit.
6,Great architecture,this was the first site visited in India. Great open space and view to the city below. You have to take your shoes off before entering.
7,Jama Masjid,"A nice old Mughal style mosque, well preserved. One must remove their shoes at the entrance. and beware the ground could get hot! A nice quiet place to spend some time and take few photos in between the hustle and bustle of the city."
8,Tomb of the king,"This was a nice visit.  Know that you will have to remove your shoes, but you can put them in a backpack if you have one with you.  We expected to remove our shoes, but did not consider how very hot the ground would be walking around.  Our visit was short because, even walking along the mats, our feet could simple not take the heat.  However, the mosque is beautiful  and certainly worth a stop in Delhi."
9,Nice visit,"Excellent architecture. Very clean. You take off your shoes at the gate. When you leave, your shoes is there. They give you outfit to wear to cover your body since it’s a mosque. You can pray if you’re a Muslim. There’s water, like a big pool of water in the middle of the compound. It’s clean. A must see!"
10,Not a popluar tour destionation,"Very Crowded area,but if you want to taste the local food,this is the place.You can also try the Chai(tea) .It took 6 years to make this mosque & with 5000 workers.Made of Redstone & Marbles.Opposite the Red Fort & the Old Agra fort railway station,where you will get trains goingto Lucknow,Calcutta.Also towards, Udaipur,Jaipur & Jodhpur.In the winters be wary of the time table as the trains are late most of the time.As a student of Architecture good to study the Architecture."
11,Worth a visit,"Not much to see, especially if you opt not to pay and go inside which according to our guide was ""nothing much"". The building is supposed to be the biggest Masjid hence the interest in seeing it. Lovely colour and large but that is it."
