,title,text
0,Interesting Finds,A must see. Very interesting to see inventions of years ago. Reasonable entry fee. Takes about an hour to view.
1,World Heritage Site,"Mind boggling ,Simply amazing Its a must see when in Jaipur .First visit the interpretation center for a small documentary.and exhibition of miniature of all instruments kept .If you want to understand the detailed explanation then hire a guide . "
2,The real jaipur,"A very well kept attraction, beautifully displaying the time keeping methods used. Well worth a visit."
3,A surprisingly interesting and educational  experience!!,World Heritage Site. Your tour wont get complete without visit to JANTAR MAHAR. about 300 Years old Observatory. Created by Royals of JAIPUR
4,Great,A most incredible place  to visit as we had a friendly guide .Nice to know about old way of calculating time.
5,Fantastic experience of early science.,It's a wonderful experience to see the beautiful indian architecture of scientific nature. Great work. This view is from Hawa mahal.
6,Interesting but 'not my cup of tea',A must see for anyone who loves science and art.  Built in 1726 this is a beautiful display of both abstract  sculpture and accurate astronomy measuring devices.  A remarkable synthesis of art and science
7,Educational,"Must see while in Jaipur.  A good guide is essential.  Historic, unique observatory with the world's largest sundial.  A gopd guide is essential to understand how earth of the observatory instruments work."
8,Jantramantra,Very cool museum that focuses on astronomical instruments. Go when the sun creates shadows. Hire a guide as they’ll give you stories behind each instrument.
9,An Astrological Marvelous Place,"A very very fascinating place to visit even if you are not the interested in astronomy. Best seen with a guide. You can at least look geeky in your photos if you take a selfie by the Samrat Yantra, which is the ""World's Largest Sundial"" <3"
10,Astronomy & Astrology,Incredible sundials and quite a Park. Well worth a visit. Loved all the cool displays   Early science is fascinating for sure
11,An impressive collection of Astrological Instruments.,"Great way to spend an hour. This site is unique. It explores the equipment constructed by the ruler to get accurate time, and to create horoscopes by accurately tracking the stars. You need a good guide who knows about maths and astronomy to get the fill wonder of these…"
12,Unexpected interest,Its an amazing place for Science enthusiasts. Can't image that this was built 100s of years ago by a King! So much of detail has been taken into account. But do not expect that you can try out any of the science experiments (Except for a very few) as you do in any other science centers in India. This is only for seeing the instruments and information about it. Still its worth visiting.This place hosts the worlds largest sun dial with such a precision! Must experience.Read about the place and instruments in the place before you go or take a guide to get a most out of your visit. You can skip this place if you don't have any interest in science.
13,Unlike anything I have seen before,"Its a good place to see and learn the early science used by people for time and planetary studies, very good place for kids, everything seems like we are living the books we read."
14,An impressive collection of astrological instruments.,One of the must-see in Jaipur.Local guide would be helpful for people with interest in Astronomy.Not much information on display at JM.
15,glorious afternoon,If you are a science student its a must to visit place in Jaipur. Quite informative and really amazing science. Take a guide to understand.
16,Excellent place,Loved the place. It is well maintained and beautiful. You can actually check current time. This surprised me most
17,For the budding astrologist,"This site is a must when you are in Jaipur but do take a tour otherwise it is near impossible to understand the complexities and science of the site. It is the largest observatory in India. We were expecting to see telescopes but the area is dedicated to shadows and movements of the sun and stars with shadows cast as the sun moves around at various times of the day indeed months and year. It is amazing how the early Indian scientists, going back 300 years, were able to document and predict times and locations based on the solar system. Horoscopes are catered for and all the astrological signs are there. To look at the park it appears more of an amusement or architectural centre until one has the explanations  about the geometry and lines of shadows and light. Quite amazing. A modest entry fee applies and we took a pre-booked tour which lasted around an hour. It is also worth buying the guidebook which explains more about the science and history of the observatory."
18,A great place to visit.,"A must see, the structures are mesmerising and mind-boggling. Fully recommend hiring a guide on arrival. They are very informative and helpful, without a guide it's hard to understand and appreciate the intelligence of the structures. Very well preserved site. If you have seen…"
19,Amazing place,An astrological park near to the City Palace with loads of weird shaped stone structures. Very unusual and worth a visit. Not very large and can be seen in less than one hour.
20,Astronomy,A most interesting place to visit particularly as we had a very friendly knowledgeable guide. Very interesting instruments in the observatory. A must to visit.
21,A True Marvel,This place is wonderful to visit with young children and awe inspiring to see the Indian astronomy was practiced in old days  Definitely a guide is must as the plaques aren't enough to convey the meaning of the structures  The guide charges are nearly written and unlike many…
22,Best city,"Interesting location, better understood with a guide.When I visited it was crowded with Indian and foreign tourists."
23,For all you horoscope lovers,"Interesting attraction, could spend an hour or so here. Helpful staff, were willing to give us some more information about the sculptures without wanting anything in return."
24,Group visit,A very good place for students as one can learn how time calculation was done in the earlier times using the instruments kept at Jantar Mantar.
25,Proud of our Heritage,Very impressive. Do take a guided tour to truly understand how incredible this place really is. The sundial and various other instruments that were built centuries ago and work with accuracy will date. A delight for science and astronomy enthusiasts.  It is within walking…
26,Go with a guide who knows,One can visit this place to enjoy its locality and speciality. Tickets at this place are cheap. We enjoyed it.
27,Mind blowing,This is an amazing place to explore the Jyotish vidhya. For first time visitor it is must to have a Guide accompanied during visit..
28,An interesting masonry observatory,"Go there around mid day to see the solar clock. Other instruments look fascinating but nothing is explained here. Solar clock’s working can be understood, but rest of the devices are not explained at all.Clean restrooms. Having a guide helps but they also do not know too much."
29,Even if you're not interested in astronomy this place is mind blowing!,"I would definitely recommend to visit this place. There you will get a clear picture about the history, culture and science of ancient India. It’s so incredible, so unbelievable that this observation was having capability to measure the time of day, correct to half a second and…"
30,Marvel the ingenuity of old,"Worth a visit .we felt proud visiting this place .Observatory,Sun dial which still tells u correct time and lots of other equipment which I couldn't understand but one thing is sure u come out of this place satisfied and proud of our strong scientific heritage . In my opinion …"
31,Just an amazing place,"This is an unique, historical monument. Science at the age of beliefs. The architecture is also quite remarkable"
32,Feat of science,An extraordinary collection of fascinating astronomical instruments that just uses sunlight. Many examples shown us by our very knowledgeable local guide - we could read off all sorts of times etc.  Would it have found out so much detail without our local guide.
