,title,text
0,Good cheap shopping ,"Old bazar offers variety products from handbags, shoes, clothing to spices in very attractive prices. Unfortunately do to covid19 restrictions not many tourists shopping around- shopkeepers are desperate for business."
1,Nice location ,"It's an excellent place to visit. It contains very old and beautiful buildings,some beautiful bazaar,s for shopping and a little downstairs you can enjoy traveling on boats."
2,Very Pretty,"This is historical place surrounded by old houses and walls. Mostly you can see pubs, restaurants, clubs and meyhane (turkish style bar with live turkish traditional music). For this place was one of the most interesting places especially in summer at sight times. You can find almost all social youth there. This place has it is own, special, zest. There is restaurant near the port which is 15-20 metres high from the sea level with very nice view. I would highly recommend to everybody visit Kaleici for adding flower in your vocation. Enjoy 😉😊"
3,nice place with history,Very nice beautiful old buildings around there.You can find plenty of bazar and markets for the tourists people.It has a pathway what takes you down to the harbour where you can have amazing food and go for boat ride.
4,Beautiful and peaceful escape from the main city centre,"Fabulous little shops selling amazing Turkish tea, picturesque restaurants, Efes draught beer, cobbled roads , can’t think of a prettier place for a chilled and fun night out in Antalya with friends!"
5,Surprisingly good ,Visited this town recently and the views are amazing n and well worth visiting . Lots of shops and restaurants in the vicinity and you can also get boat trips from the marina.
6,Beautiful place,This was built around 150 AD and is like a fort which now houses various Hotels and night clubs and a market place. It's part of the old town of Antalya. This place is a must visit if you are in Antalya. You could also stay in one of the hotels located within the fort
7,Old town,"they have shops in a walking street ,no cars and the old bazaar. very nice view and lots of restaurants"
8,kaleci old town,"Kaleici is a fine place, there are resturants and bars there in the streets but the place is more attractive in pictures compared to the original"
9,Walk through the old town.🌹,"The narrow road, old buildings, pavement walkway, glooming flowers in locals garden, are what make this place really beautiful. Many shops, restaurants (mostly seafood and western menu), and local travel agencies here. What makes this place really beautiful is the seaport at the very south of Kaleici."
10,Stunning and a must,"This place and the whole area around is beautiful and the architecture is second to none. Its worth visiting and admire the beautiful Bazaar, shops etc"
11,Beautiful ,Extremely lovely area where you can pass few days with your loved ones.It has pubs restaurants beaches. Very authentic place and no much cars and no disturbance. Excellent for relaxing.
12,Sweet sweet old town,"Ancient history hand to hand with modern city. People are very open, helpful. More than 100 small hotels. You can choose based on your interests. If you prefer to be closer to bars, restaurants- closer to Hadrian Gates."
13,Nice place,"This is a very interesting old town - full of attractions (museums/mosques), shops, restaurants, and bars. The streets are maze-like but after the first day, things began to look familiar. It was all very walkable. We were surprised that they allow vehicles to drive in the narrow streets. Most of the restaurants/bars have bi-lingual menus (Turkish/English), and the waiters commonly spoke some English."
14, Beautiful ,Very nice location and great for shopping and restaurants.Lots of shops selling usual tourist stuff and nice marina.
15,Nice hamlet,"We stayed in a hotel located in the heart of Kaleici. This place is famous for its seafood, bars and shops selling touristy stuff. We enjoyed the panoramic views in the area during sunset."
16,Lovely little town worth a visit,"A must for anyone visiting Antalya as it gives a real feel for Turkish lifestyle. Hundreds are cake and coffee shops, clothing shops including wedding dress shops. Easy to use bus service. Lovely harbour to visit and beautiful views"
17,Afternoon out ,"It is a lovely old town in the city , lanes ,by lanes all are beautiful. It is a must do in Antalya. The streets of town are beautiful and I loved to get lost in streets. All houses are converted into guest houses and cafe s . Small shops and cafeterias were good."
18,Hearth Of The World,Its an amazing old town with beautiful narrow streets and lined with numerous shops and restaurants. You can keep walking for hours and still don't get tired. This place comes to life at night with all musicians performing live on streets and restaurants.
19,Excellent Harbour and Old Town,"A beautiful old town with numerous side streets, lovely mosque and ancient buildings. There is also a lovely harbour where you can book many boat trips and grab a drink in one of the harbour restaurants.  There are lots and lots of shops and bizarres here, but be prepared to haggle with prices and be hassled. Definitely worth a visit ❤️"
20,Gorgeous!!,"At least one day for visiting this place. Very nice, peaceful, good atmosphere, tasty food and nice ambiance."
21,Old town ,"Old place that have varieties of shops and restaurants, also have a nice view on the sea. You can visit the Masjid (mosque) that have been built 700 year ago during the Saljoki sultan Alaa Deen Kekobat period. Of course on the same day you have to visit the marine part and take a boat trip (they have three types of trips). N.B. The weather as expected was very hot during June."
22,Best and cheep,Historic city centre.  All tourists have to visit this must see place in Antalya.  Its quaint locations is very easy to find. Very nice shop's and you can buy good quality materials for good bargain.  Most of shops have fixed rates but you can bargain in some
23,Lovely place to visit,Very beautiful location tui hang out.  In day or night.  Though it is busier at night. Many good places to dine and have delicious meals
24,Best place in Antalya,"Visited the old town on a day trip from Lara beach resort, 75 lira in a taxi . This place is gorgeous,  lovely old town with harbour and nice eating places overlooking harbour.  Long walk down to harbour but if u walk along there is a lift that will take u up and down   also taxis for a few lira.  Well worth a visit"
25,A walk through coziness ,"Wandering around the little streets of Kaleici is very relaxing. There are plenty of bars and restaurants in lovely courtyard settings, where you can sit in the shade surrounded by greenery."
26,Nice charming sea town.,"Our hotel stay was in kaleici old town. Nice area only pedestrian, narrow streets with many hotels, pubs and restaurants overlooking the old marina and amazing sea view. Always crowded day and night. Many gift shops. Close to a big park and minarat place also Hadrian Gate (historic place)"
