,title,text
0,Fascinating Local History Artifacts,We came across this gem purely by chance - having no plans on a lazy afternoon..  The museum is housed in an architecturally classic building of three floors wherein all the rooms and even the hallways are replete with numerous artifacts ranging from masks to ancient armaments.  A must see!!  …
1,Visiting for new memory making,I discovered that museum yesterday and I spent a couple of hours there. It is a private Art collection dedicated to the South of India. It is what I call eclectic and an old type of Museology. I mean by that an incredible diverse collection but to many things in such a small…
2,Must-see gem in Kerala.,"This place is recommended by a taxi driver, and we felt disappointed. It’s just a massive collection, not organized at all, you can even feel like you’re visiting his warehouse. And the ticket is 200 per person, it’s not worthy."
3,"Awesome collection, must see","This was not on our itinery but gratitude to our driver for suggesting it after a disappointing trek to the government controlled, dilapidated Hill Palace and Dutch museum earlier. We were overwhelmed with the collection of artifacts and hats off to the passion of this family…"
4,Fantastic collection of ancient artifacts,It was a good place to start if you’re looking at local artefacts & history...the place is generally well taken of & informative. The washrooms are less desired but then it was a holiday when we went (more people than usual). A must see!!
5,Very Interesting and definitely worth a trip,This museum was visited by Charles and Camilla apparently and i can see why it would have been on their itinerary. Stuffed full of interesting artefacts and wonderful ceilings. Lots of religious items.
6,A perfect insight to the Keralan way of life,We visited the museum on 22/10/17.  The museum building itself has the antique feel and is appropriate for the display of such artefacts. The display is mostly related to culture of kerela in the earlier centuries. But it is worth the visit though entry charge is Rs 100/- per…
7,A Museum of Passion,"This is well worth your support as this museum was born from the passion of a private collector with a love of local culture. We allowed a couple of hours and were held fascinated by the immense, diverse and comprehensive collection of art and artefacts of all ages and from all…"
8,Historical background knowledge,"They have a good collection . But not placed in very interactive or interesting way . I expected more from here. I would have preferred they have a lift , walkie talkie to explain or small movie as introduction to know more about the musuem. With my kid she was bored , usually…"
9,Nothing too magnificent and probably a bit overhyped,We went there as it was part of our trip itinerary. It is recommended only for those who have keen interest in historical art collection 20000+ art effects collected by a private collector. Good collection of sarees to but from on reasonable price.
10,A must see ,Not mentioned by our tour company it was by chance our driver took us here to while away some time on our last day before travelling to the airport.   What a treasure!  Artefacts from all cultures crammed in together - it would have been possible to spend hours here.  Also there…
11,Best  Folklore Museum,"Although it was a fairly good collection of items on three floors of the building , our experience was totally ruined by the dark fat lady at the counter who was rude and behaved as if the museum belonged to her.   Otherwise , there are a lot of items belonging to the last few…"
12,The Best Event of our visit,We went to this museum as it was a must see in Lonely Planet.  They were absolutely correct.  There were treasures everywhere and one was more beautiful than the next.  It is easy to get their from Fort Kochi.  It was well worth the trip on the ferry
13,"Museum with potential, problem with crowd control","The artifacts on display is simply great. Was told that one person has collected all these huge number of artifacts, displayed in three stories of the building. The guide explained in detail about each artifact. Must visit if interested in history of the South India."
14,A great place to visit for people who love art & history in one,"We very much enjoyed our visit to the Kerala Folklore Museum, although it is a museum unlike any other, full of eclectic items from Kerala’s history. There was so much to look at and it was arranged in a very interesting style, and the guides were very helpful, definitely worth…"
15,Too much in one place,"I just checked in a Sunday noon to have an insight and explore the exhibits in the Kerala Folklore musem, own and managed by a private curator the building architecture itself is so authentic traditional with intricate details of the Kerala Architecture. The exhibits of antiques…"
16,Crammed with items collected by one family,This was not on our itinerary but we were delighted our driver suggested stopping. A huge private collection very well displayed and interesting in a fascinating building with amazing woodwork. Strongly recommend a visit
17,Brilliant history collection ,"We, a spanish family, were in this wonderful museum some days ago and was an astonishing experience due to the huge number of items in display (also the house is wonderful). We were very lucky because we met the widow and the son of Mr. George who took their time to explain the…"
18,Its all about history,temple.   Our day trip in Kochi took us to the Kerala Folklore Museum . To our astonishment we found over a thousand years of culture preserved so perfectly in midst of the city. We were enchanted  by the collections in this three storied building and were ushered by…
19,Packed with amazing artefacts,This is a private museum. Hats of to the founder of this place. So much of history in one place. Government should help generously to preserve this beautiful museum.We really like place. Entry fee is on the higher side. The place can be made affordable to general public with the…
20,Amazing collection,"I visited this museum around lunchtime on a Sunday and it was quiet. It was 300INR to enter including the use of cameras. This translates to about £3 so it was a bargain! The museum was absolutely packed of fascinating history! The staff were incredibly helpful, very kind and…"
21,A hidden treasure ,A local person recommend this museum to me. It is full of artefacts which were collected over many years by one person.  It cost 200 rupees plus a ticket for taking photos. Well worth a visit. Please note as usual you have to leave your shoes outside. There are also 3 flights of…
22,A must visit!,"This is a must visit for anyone interested in history, culture.  Nothing about the kings and rulers of this region, but an amazing display of people's way of life, their rich culture and colours in Kerala, Being a diverse cultural state, Kerala has many things of interest and…"
23,Culture ,"This is an interesting museum..which kids n elders both would enjoy. Not very big but its maintained well and gives a glimpse on the history...There are 3 floors in all. There are stores inside selling imitation jewellery, sarees and artefacts."
24,Small and Beautiful ,Situated right next to our hotel we spent two lovely hour browsing through the museum. So much to see what an amazing collection. The staff where helpful and informative. A delightful stroll in the history of Indian artefacts and other eclectic stuff. The building is also fabulous.
25,Had one of the best time here,Been here during the noon time. Must visit if you are interested in knowing historical artefacts of south india. 3 floors. Wooden steps. Takes about 45mins for total tour. 100 rs entry fee. Visit this place if you stay at kochi for 1 day.
26,Great visit to Kerala museum,"I'm often highly suspicious of so-called folklore museums as they often comprise a collection of miscellaneous junk .... not so with the Kerala Folklore Museum (which was not on our visit programme), and which fascinated and delighted us.  Generally well laid out over several…"
27,Kerala Folklore Museum - Glimpses of Kerala Architectural Styles.,This museum is fascinating and beautiful - a must-see while in Kochi. I could have taken hours here happily. 
28,A great informative visit,"We'd had the folklore museum recommended during our stay in Kochi - it's outside Fort Kochi if you stay there but well worth a visit. 20,000 items on display over three floors, organised by different areas of Kerala and even the room furnishings are exhibits including a 63 tonne…"
29,Excellent.  One man's collection shown over 4 floors ,I have been to multiple museums the world over.. and always felt we could do so much more in India... After seeing the really well curated collection at the folklore museum... I should say it would really grow to be a great museum showcasing the best of Kerala and India.  Really…
30,A must see!,If you are looking for history of kerala and south india then this is a place for you. This privately owned museum is well built and organised and has vast number of historical items which define the culture and history of kerala and south India.
31,A Little Hidden Gem,The place has a very big collection...  But it is just dumped in a very small place.  The entry per person is 100 but there is no air conditioning or fans in the ground floor rooms...  Difficult to breathe also in the hot weather of kochi.  If you have small kids the place can…
32,Terrible & Pathetic Museum.,We started our visit to Kerala at the museum and it introduced us to the culture of the South.A guide took us round and she was very informative and helpful.For a first overview of the Country it is worth a visit has it explains a lot of other things you will encounter during…
33,Lot of artifacts,This is one of the most incredible places we have ever been- it is a vast collection of Indian artifacts collected by a single private collector who has unselfishly built this museum so that the general public can benefit. It is run largely by his beautiful family and the entry…
34,A good museum with 10 to 20th century artefacts,"I appreciate the effort put to collect and preserve the artifacts/antiques, indeed they have a good collections. This place needs good support from people and government.  Thanks Ramesh KJ"
35,awesome collection!!,"This is a great place - a sanctuary away from the bustling streets of Kochi.  A really interesting collection of artefacts from many ages (11th century to the present day) fro, I believe, a local collector (and only opened in 2009).  What I liked about it was the intimacy of…"
36,Beautiful museum ,Very interesting for both architectural style of the building itself and the various collections inside.  I look forward to going there again.
37,Lots and lots of exhibits,"The museum is packed with so much to see. U will only find a small path cleared to walk through. It was mix of ancient and few mid times antiques for us to see. Based on crafts & Folk art, there is a variety of artifacts to get mesmerized. The architecture of this authentic Kerala style building keeps it in flavour. The building itself speaks on realistic wooden carpentry of Kerala. A must visit spot learn about the various ancient art forms of Kerala."
38,A treasure trove of antiques,"Was not overly impressed with most of the museums we saw in Kochi, but this was a pleasant exception.  The building was jam packed with artifacts that brought much of the history and culture we heard about to life.  The first floor hostess did a marvelous job explaining the…"
39,Interesting museum / antiques shop,"Three floors, packed with artifacts from southern India, in a beautiful building.  We spent about an hour here and thoroughly enjoyed it.  It is true that the objects do not have detailed explanations, but they are beautiful to look at, and most of the objects have dates and…"
40,Really good,It was probably the most interesting and informative place I visited in Cochin. I went discovering the past centuries of art and folk history! A private effort of Annie and George Thaliath! Great venture to restore antiques and recreate the past.  I bought almost all my…
41,Beautiful compact place !,"Great museum , and given a lovely guided tour ... great place to visit ... caught the ferry from Fort Kochi to Ernakulam "
42,gateway to folklore,"Considering that the Museum's collection is private, my family was astounded by its breadth and depth. It feels like a large museum has been packed with considerable forethought toward display and design into a temple. I can not help but feel that I could have easily spent…"
43,Visit to the Kerala Folklore Museum,"This was the most overwhelming collection of South Indian artifacts we had seen up to this point of our three week trip. The building itself is quite something, with multiple floors and fun to explore. There is a lot to see without much context or available information on…"
44,Worth a visit!,"Though there are amazing Articrafts displayed here, it is basicaly what looks like a private collection. Our driver took us to this place as one of the attractions in Kochi. Entry fees was Rs 100 plus Rs 100 if one wants to take photographs, just a bit too much though It certainly has an impressive collection of artifacts by a private collectorKerala Folklore Museum has various antiques that showcase the history, tradition and culture. There are costumes of dance forms like Mohiniattam and Theyyam, antique properties,Old writings instruments, antique chairs etc.This museum houses a priceless collection of artefacts and covers three architectural styles: Malabar, Kochi/Portuguese and Travancore across three floors.Ground,1st & 2nd)"
45,3 floors of ancient Indian artifacts,Very welcoming and helpful staff. This place is stuffed to capacity with ancient artifacts. Well worth a visit.
