,title,text
0,Who doesn't love Kings Park ?!,"I try to go each spring to look at the amazing wildflowers. If you don't have time to drive hundreds of km's to find them, just do a day trip to Kings Park! At other times of the year, I love to walk around, ride my bike around and the view never ceases to amaze. Take a picnic, take a book, definitely take your camera!"
1,Overlooking the city,"Spring is the best time to visit with the abundant wildflowers, but really it's a wonderful place at any time of year. Either to sit and look at the views across the Swan River and Perth's CBD skyline or explore the botanical gardens full of native plants to WA, or wander through trails. There are cafes and playgrounds and so much more."
2,Excellent views.,We advise to go in the botanic garden through spring season because you've got all the famous desert flowers at this time of the year.You can enjoy a barbecue with your familly. There is a part for kids.
3,Absolutely amazing,"Every time you go to Kings Park, there are always new things to see, as far as new flowers blooming, the view of the City is forever changing, and there are different functions on for every season. Open Air Theatre. The ANZAC Dawn Service is always a very big attraction. Don't forget the Fuction Centre, my son had his wedding reception there, many years ago. I went up there in January just for a bucket of chips and a cup of coffee, a very relaxing place for the whole family, spend as little or as long as you like there?"
4,Beautiful historic old trees with pretty city view,We visited this botanical garden in the morning and we did a couple of hikes to explore some particular trees and plants.The botanical garden is very interesting and it's also free!
5,Most see this place! beautiful greens! lovely winds! memorable vibes!,Whenever we have visitors from overseas or interstate we always enjoy a walk through Kings Park We never tire of the views or scenery
6,A division of bushland minutes from the city,"There are lots of walking trails at Kings Park and Botanic Gardens.  As you walk you can learn about the flora and flowers as there are signs.  There is also an off leash area for the dogs.  Within the gardens there are also many other gardens to see.  Such as Water Garden, Roe Garden, and Banksia to name a few.  There is a walkway called the Lotterywest Federation Walkway.  It takes about 20 minutes to walk on the walkway each way.  The walkway is a pathway , elevated walkway and has a veiwing bridge.  Bring a hat and wear good shoes"
7,If you love nature then this is it,Don’t miss out on a chance to visit Kings Park and the Botanical Gardens - gorgeous native flowers and amazing views over Perth.  Such majestic tall trees and a really moving war memorial overlooking Perth.  Such a treat to have had the chance to visit  as the walks are really worth the trip.
8,Perfect Park!,"Spent a morning strolling around this beautiful park admiring the Perth skyline. It’s great for taking photos and enjoying the lovely plants, statues and views. The cafe is good for ice creams at the end of it, the salted caramel and macadamia nut Connoisseur choc bars are to die for!"
9,Iconic views,"Best view in town. Get exercise in the calm of nature. Free walking tours three times a day. Or lay on the lawn and do nothing. Even has had a place for a bit of shopping therapy ,great cafes and restaurants. And its free."
10,"Wonderful park, wonderful views","The Kings Park with its Botanical Garden is so big and rich in sights that one could spend hours in here, coming again on another day. Unfortunately I didn't have much time, so I just had a glimpse of it. At the Tourist Information Centre I got a leaflet with a map of the 'Western Australian Botanic Garden'. Several hikes are shown on it like the 'Cliff Walk', the 'Law Walk', the 'Lotterywest Federation Walkway', the 'Bushland Nature Trail' and the Botanic Garden Paths.On my rather short visit I got the chance to see the State War Memorial, the Queen Victoria Statue, surrounded by cannons, and the 'Gija Jumulu', a boab tree that had been brought here from 3200km away. An information board by the thick tree tells about it. Very enjoyable, besides all the nature, are the great views towards Perth CBD with its skyscrapers, towards Perth Water and the Narrows Bridge leading to South Perth."
11,turn on more lights at night,"Worth having a walk around the gardens and views are magnificent, try and make the time to view, you will not be disappointed.  Great café to sit and take it all in."
12,A most amazing place.,Absolutely beautiful! The gardens are fantastic for a stroll and to learn about the local flora. Plus the history behind the memorial site makes for a very nice outing.  Great for a picnic or the food at any of the cafes.
13,Most beautiful views,"We saw this park twice. It should not be missed on any visit. It was wonderful, so clean and lovely."
14,Don’t do it - absolute disgrace. ,The gardens are beautiful and well worth the long walk around them. You can walk from the city but it can be strenuous. Taking the free bus (route 935) is the less adventurous option
15,Definitely worth a visit,"We live in Perth and we always love to come visit this park. Great to have picnics, strolls, exercise and just to see the views of Swan river and Perth CBD and surrounds."
16,refresh,"Had family over from Canada and spent the day walking around Kings park. Lots of fun, yabbies in the ponds, playground for the kids, great views from the whole site."
17,Every day awesome ,I love greens and a lot of space. So it is one of my favorite places around there!you can have a picnic or take a long walk to explore the place!Natural wonderland and a lot of good vibes ! You can find a nice place to have a breakfast around there as well!Family trips - romantic dates - friends gatherings!have a good day everyone!
18,Stunning Stunning Stunning !,Whether its looking at the wildflowers and shrubs or diversity of birdlife Kings Park has it for you. Great photo ops of Perth and the river and enjoy refreshing cool as the Fremantle Doctor blows by in the arvo. Lots of History too as you wander and read the monuments scattered through the Park. Of course a climb up the DNA viewing platform and a stroll across the glass bridge is not to be missed. For those inclined there are plenty of Pokemon about. A great place to wander about.
19,Forgotten how beautiful it was,"Don't forget the excellent Botanical Garden, of the gift shop! You need at least half a day to appreciate this Park."
20,Enjoyable Morning at Kings Park,"A great place to visit, wonderful views of Perth.You can easyly spend a full day in the park.I'd recommend a picnic in the park watching the sun go down.A must  see in Perth."
21,Simply a stunning place!,"Had a half day at the end of a vacation and decided to wander.  This is one of the most amazing city parks I have ever seen.  Even in the summer with over 37 degree temps and bright sun, it is amazing.  The views of Perth and Fremantle are incredible. Plant selection is perfect. There are plenty of water fountains to keep you hydrated in the summer, but wear sunscreen and a hat.Shop and Cafe were great little places.  Staff very helpful,  this is definitely a must do on any visit to Perth,  even if it’s your tenth time traveling here.  You will never tire of the beauty."
22,Remommend! In the comment some tips,The gift shop has lovely momentos to purchase. The park well kept. We were on a tour with a person who had been there once before and she definitely wanted to go back.  There are sloping hills in the park. Plants are well labed. It is worth a look if you love plants and the environment. There is lots of parking for cars near by and tour bus parking as well.
23,Best place for an evening run!,Very nice gardens with lots of big trees and space for a picnic. You’ll find groups of friends or families enjoying themselves on the shade under the trees or playing on the green lawn. Lots to see and easy walks. Early evening is perfect to see the city of Perth lights! Breathtaking views!
24,The pride of Perth,"Love the vast space in the park and the different sections in the garden. We heard so much from the passionate guide Helen during the 10am - 11.30am guided walk of the garden although there was intermittent rain throughout the walk and chilly with the winds. She continued to share with us the different types of flora etc despite the rain, also lent her umbrella to follow walkers in the group. An amazing learning walk there. Lotteywest federation walkway (May be closed when raining / strong winds) and the city skyline view around the park are certainly recommended. Very welcoming place for a morning walk after breakfast and getting off a flight  and getting close to greenery."
25,very nice place to walk and relax,"We visited early morning, had a delicious breakfast and then walked around the Park visiting different exhibits.The Botanical Gardens were excellent set out in different regions.The tree walk was great showing wonderful views of the city."
26,Biodiversity at its best,Went here for a relaxing picnic close to the Zamia cafe.The grounds are amazingly manicured and plenty of shade.We have no children but was still able to find a relative secluded spot to enjoy the day.Toilets close and also Zamia cafe if you feel like a formal meal.
27,Enjoy a stroll through the well maintained park,I visited this park on a hot day at the end of February. Beautiful and relaxing place. Fabulous views on the river. Excellent information centre and very helpful staff. One of the best things is that an entry to the park is free and a free red CAT bus can take you there. I will certainly return !
28,Beautiful....a must do!,"Twice on our little minivacation in Perth, we went for a run to Kings Park. Love the open spaces and the topography makes our run that more challenging."
29,Peaceful,"Such a relaxing place to wander, lie down amongst the trees and take various walks to learn some history. We didn't have long in the gardens but they were very lovely to see.There is a memorial drive too which is very picturesque, and would be nice to ride bikes down so you can stop and read the plaques of the departed soldiers."
30,Great views,I did not get to go to this big beautiful park during thee day or even all of it but the view at night was amazing and well worth it. The view at night is beautiful. You get to see the whole city lit up. I got to see the flame that never goes out and had some friends tell a bit about everything. I wish I got to see more of this large park but to just see the over view of the city at night was well worth it.
31,Free bus to the garden and park,"We were lucky enough to visit and see the wild flowers, in particular the kangaroo paw which came in a variety of sizes and colours including black.   Easy to access on the free Perth bus, great view of the Swan basin."
32,Fabulous Park with spectacular City Views,"Good walk around.Lots of plants and trees.Beautifully kept.Walked along the glass bridge, its not very long. Great views of the city.Enjoyed our vist."
33,Perth is Beautiful,"Took my overseas cousins here and they loved it, especially all the sections of plants from different areas of australia, the gallery is superb and highlights the talents of the local artisians, many things to see and do here and the most fantastic view of the city"
34,Fantastic views,"Went for a long afternoon walk in Kings Park. Truly a tranquil experience. The park is beautifully done, with spectacular views of Perth. They truly pay proper homage to the veterans at the war memorial located in the park. In Perth this is a must see."
35,my fav place in perth,"During our extended holiday to Australia, we visited the King’s Park Botanical Garden in Perth. This is one of the largest botanical gardens in the world with large lawns and a fantastic view across the Swan River. The park exhibits an amazing large variety of Australian flora. The large lawns are ideal for a family picnic and very clean gas burners are available free of charge to prepare a barbecue. A wonderful experience!"
36,Highly recommended,"Visited Kings Park and was not disappointed. The gardens were beautiful. The gift shop had lots of nice goodies to buy, which we did. Drove all around the entire park. It was on a Sunday and a perfect day had by all."
37,Sensational views and parkland,"Kings park is one of my favorite places in perth.you can quite easily spend a full day & evening here.lots to see,views,memorials,food places & to do walking,history & of course food.or jus take your own picnic.its such a vast area you never get fed up of it.we went at night this time,the city view with all the lights is wonderful made better this year as we visited at christmas.good for young & not so young.5* rating from us.you can also get the free bus up there from the city ,which is a great bonus.thoroughly reccomend a visit to kings park."
38,A NICE PLACE TO CHILL OUT,"Spent the morning looking around the park, unfortunately it to big to see it all in one day. It’s a must for anyone visiting Perth."
39,A must visit if in Perth,Walked a very small portion Kings Park Botanical Gardens. The walk ways are very excess-able for every one no matter your age. The views overlooking Perth's city skyline and beyond are stunning. The Swan river so beautiful.  Free walking tours with guides to explain the different flora. Loved the big Boab tree. Lots of rest areas to sit and relax. There is a walk bridge to see even more stunning views.
40,Lovely open space for everyone.,Always love going up to King's Park.  beautiful scenery and stunning views of the city of Perth. I wish I could get my lawns looking this nice.
41,Beautiful gardens with equally stunnning views,"Wish I could have spent more time here, stunning views of the harbor. The gardens and flowers were gorgeous."
42,Another oasis of calm in a busy city,The garden is spectacular and we visited it 4 times during our stay in Perth. It is a wonderful place to learn about the flora and fauna and around every corner is something new to discover. The views of the city and the waterways are a nice addition.
43,Great Day Out,It is worth a visit here for the view. The gardens are well looked after and you can spend hours just wandering about. Plenty of seats around when you need a rest. You can take a picnic or there is a cafe.The cat bus drops off at the entrance.
44,Well Manicured Park With Stunning Views,"Before visiting, I thought it would be more like an oversized botanic garden, like in Melbourne.  I was a bit disappointed that most of it is wild bushland, with some gardens around the edge.  Whilst it is great to have this in a city area, it was not what I expected.  It does though have magnificent views of Perth city and the Swan River."
45,Big Beautiful Park,"Simply an awesome display of wildflowers is a parkland setting that is easy to walk, ride or run through"
46,Amazing park with all kinds of walking trails and flowers,"Lovely place to come visit if you are staying in Perth, especially if the weather is nice. They have free toilet blocks around the park and multiple drinking fountains."
47,Beautiful botanic garden  in Perth.,"Like the glass bridge and the relax atmosphere : people having a picnic, jogging and walking with the whole family.  Quite a lot of unusual plants to see as well. Should have a clearer signage. We walked in a hot day and have difficulties of finding the exit. There’s also no waiting area for Uber. A bit difficult to leave the location for Uber driver to pick us up."
48,Soo lovely!,If you visit one location in Perth it has to be Kings Park!There are views across the Swan River which are truly stunning.Great for a picnic or just a stroll.Perth has a free bus service so to get to Kings Park costs you nothing!
49,Beautiful gardens,One of my favourite places on the planet. By day or night I love it.Lots to see and amazing views over Perth and the bay.
50,Lots to see and do here and all free,Great day on a Sunday in spring. There were lots of families everywhere. We walked around several areas of the park for an hour or two. There are bush trails for cycling and walking and then more curated areas typical of a botanical garden. The glass bridge is great and the ANZAC lawn has panoramic views of Perth and the swan river. A nice day out.We walked back to the mall in the city and it took about 30 mins. We also walked to the park earlier in the day from west Leederville station. Took about 30 mins but saved parking which looked a nightmare while wildflower festival was on.
51,Tranquility and beauty in central Perth,We walked through this park and was very impressed with some of the views you could see from it. The grass was absolutely immaculately well done and to see so many varieties of plants was very interesting. It is a very popular place as there were lots of people walking around enjoying it. They even had a concert happening in it the night we were there.
52,So well worth worth a visit for the wonderful views and the plants & trees,Loved this park. So many gorgeous gardens and points of interest. Nice cafe. Would recommend for families couples or singles. It has stunning views over the river at several points.
53,Relaxing Time,Can have a beautiful view of Perth from here. The park is beautiful and have lots of green trees.A good place to have a picnic while enjoying the spectacular view.
54,Beautiful space,"Whether you're looking to see Perth from a good angle, find a park to have a picnic or kick a ball with a kid, or go for a walk and read all the signs about the fauna and flaura, KP has it all. Enjoy. Free parking too. Also a number of restaurants to get something to eat or drink if necessary. Plenty of restrooms and shade too."
55,Beautiful oasis in heart of city,"Today was overcast and a little humid, but Kings Park always offers something. The birds were out in flocks savouring the flowers, and the view, magnificent as usual!I had scrambled eggs, presented with spinach and herbs...a very large serving, too big for me! The coffee was nice, having my fav. Hazelnut Latte.Good company, good food and amazing views mixed with nature. ( Kookaburras hunting for their own breakfast under the trees)"
56,Stroll through Park.,Beautiful gardens to visit on a sunny day and enjoy to views overlooking the city of Perth. Able to drive around or walk. May different species of plants.
57,beautiful,"Great views from Fraser Avenue over the City and Perth Water. Don’t miss it if you are visiting Perth - the locals already know how lovely it is. Walkable from the city ... just go up the hill westward on St George’s Terrace and turn left at the roundabout at the top. There are buses as well, of course, if the hill is too steep."
58,Gorgeous manicured gardens and lovely walks,Very well kept park. Fantastic views over the city. Botanically interesting for those who are interested and for the others a nice walk in a beautiful environment!
59,Early morning walk around Kings Park,"It was great to walk through Kings park, kids running around all over the playground, birds flying around, overall was so amazing. Loved the restaurants and I thought everything was great. Definitly recommend for everyone to come down to this amazing enviroment."
60,Beautiful place for a walk and to take in city views,It is a very big park with plenty to see and many pathways. Beautiful native flowers and many views of Perth and the Swan River. Tips:Take plenty of water and fly repellent.
61,Night is best,We drove nearly the entire park on bicycle and enjoyed the views of the Swan River and the downtown.  The parks are lovely with fantastic play escapes for children and plenty of places to relax in the shade.
62,Great tree top walk,We went for a leisurely walk in Kings Park recently with our dog. It's fantastic that dogs are allowed on leash in this reserve. Lots of reserves have total dog bans so this is exceptional that you can enjoy the beauty of the park and walk down the many trails and just enjoy the scenery. It was pretty hot this day so the grassed areas were a safe option for walking the dog when not walking along shaded pathways.There were lots of people with their furry friends as well as families and visitors.
63,Kings Park View,"We came here in 2010 and I really loved the bush lands around and all the lovely local flowers which were so different from the term flowers is usually associated with. This time it was no different. Very well kept, very interesting place especially in the cool weather we had. Do take a walk around and spend time to view the many plants and flowers!"
64,Just the Sunset,"Walking in the shaded areas on a hot day , Fantastic. The views are spectacular , the grounds are clean, my kid of place."
65,Fantastic Park and Gardens ,Caught the free bus (excellent) to the park then spent several hours walking around this marvellous park and gardens. Great views out across Perth & river too. A brilliant introduction to the plants & birds of Western Australia.
66,Beautiful spot ,"A huge park with a great scenery, we can enjoy the city skyline of Perth and Swan River. It gives a sense of leisure and very relaxing while walking along the trails. Not to be missed if you love nature."
67,A must see,Beautiful park and some amazing walks.  The city views from the park are incredible.   Definitely recommend anyone visiting Perth to walk through.
68,Beautiful!,"A very beautiful place to visit and walking distance from Perth CBD. The flowers are beautiful, the bushes that summon all the birds to happily play in them are Devine. It is close to the city and has brilliant views of the Swan River. There is even a bridge for the daring and adventurist to walk across while marveling at  the surrounding unique plants and trees.Thee is a Coffe shop and eatery very close and I recommend all visitors to Perth wester Australia to come and see with their own eyes the magnificent Kings Park and Botanical gardens"
69,Great views of Perth CBD and gorgeous relaxing place to be.,"Kings Park has everything for a relaxing day out.  The view of Perth and the river below are amazing.  Spring is my favourite time, showing the amazing wildflowers of WA is a true delight.Families enjoy picnics and BBQs in nature’s playground. Visitors to Perth, be it for a day or more, put this wonderful park on your list of things to see and do.Guaranteed you won’t be disappointed."
70,A spacious park and delightful botanic gardens,"This park exceeded all my expectations. Beautiful park, with beautiful views of the city. I couldn’t speak  more highly enough of it."
71,Gloriously varied,A wonderful public space check out the amazing views and the amazing Botanical Gardens. Challenging but enjoyable climb up Jacobs Ladder.
72,Fantabulous,"Worth to visit, beautiful scenery with the city view and lake. Came in February, nice weather and windy."
73,"Unbeatable viewpoint Perth City, King’s Park","Have been to Kings Park numerous times, every time the Gardens are impeccable. The restaurant located at Kings Park is also a feature, over looking the gardens. But overall nice peaceful place to relax."
74,Garden,"What a great park. You have the plants, the views, the walkways, the visitors centre. So much to do. Well thought out and well maintained. Loved it. Make sure you get a map and work out where you want to explore, take your time."
75,** Lovely place to spend a day **,The largest park within a City anywhere in the World. You need a whole afternoon minimum. Great conservation programmes.  Many endangered species of plant. Well described. A must for any visitor
76,Kings Park Native Wonderland,"Visited on Sunday 17th November. We always enjoy visiting Kings Park, there is so much to see and do and the views of Perth CBD are great."
77,A Park with Amazing Views,"Their Park was beautiful and had fantastic views of the area.  We were there in the tallish time so blooms were minimal, but it was still beautiful."
