,title,text
0,Pretty,Really loved the beach here but we went when it was windy so umbrellas were flying everywhere and the sea was too choppy to go in as the waves were too high. We found a lovely cafe near the beach and the staff running our hotels section were really nice. We also bought watermelon for £5 off a man on the beach
1,Relaxed experience,"Beautiful beach with a lot of activities, I went during January but the weather was pleasant for walking and jogging - they have fountains around and nice coffee shops ... beautiful laid highly recommend this place while in Alanya"
2,"Beautiful beach, clear water 💦","We loved to visit Kleopatra Beach. We were there in march, it was warm and lovely and almost had the place for ourself."
3,Best beach ever!,This beach has very nice potential but the sea was very dirty when we visited. The were chicken bones swimming on the surface and some more waste swimming along. People around the beach pointed the visiting tour boats disposing their waste to the sea. It will be great if municipality addresses this issue.
4,Beautiful!,"We really loved this beach. Beautiful mountains, sunsest and waves. It can be a little bit difficult to get in and out the water though, because of the waves. The water fastly gets deeper also. But the water is refreshing, not too cold, and the beach is wonderfully. Very clean and a lot of places to get drinks and cocktails. We loved it here."
5,The most beautiful beach,We really enjoyed the stay on that beach. The sea was clean and trasnparent but the beach is not with sand.
6,Nice beach ,"The scenaries are amazing but the sea had lots of sea weed and the wave were really rough, it's not easy to get in and out of the sea , I have bruises on my legs from the waves tossing me around and on the stony beach"
7,Perfect,"Nice clean beach, When we went water very choppy but kids enjoyed it. Little pebbles mixed with sand."
8,Holiday ,"Lots said how lovely this beach is. It truly is. Soft sand. The sea is clear and was still really warm in september. We used beach 10 and 11 but all looked lovely. Sunbeds were very reasonably, but fine to just put towels down on the sand. Even though busy,it was quiet and serene.very relaxing. Definitely recommend"
9,Alanya,"Beautiful scenery all round. The beach is stunning, the sea was easy to get in and out of. We did a bit of snorkelling which wasnt brilliant but ok. Food and drink was reasonably priced. We were at no 14 beach location and the guys which serviced that bit of beach were friendly and funny, do try out their beach bar/cafe the food was good."
10,Stones,"Very nice beach with lovely clear water and wasn’t over crowded, but we went there about 4pm.Ended the day trip to Alanya with a lovely swim in warm water"
11,It’s a must,This is a beautiful place too visit.The sand is golden and we went at a nice time and got to walk along the beach. Think it's the best ever beach I've ever been too
12,Love it.,"Huge waves, not able to come out of water, one day it was very dirty and horrible No more sand inside, some huge rock is now inside and it is deep! The moment you walk in water you're in deep! It's okay, bit it's not very safe for children, red flag is always up, I hope next year or soon, it will get better. But still nice comfortable sunbeds, and nice place to enjoy"
13,Superb Beach,Stayed Alanya in October. Weather still over 30 c.Went beach every afternoon. We chose beach 3 because it was closest to hotel.Didnt bother renting a sun lounger .Just put a towel on the sand. You can get right down to the sea with a towel.Sun beds are set well back.Great location. Very clean.Just a warning as you get into the water for about 10 foot sea has smooth very slippery rocks.If your not expecting it you will take a fall.Once you clear the rocks it goes deep quickly. Same problem getting out very slippery. But its a great beach. Highly recommended. We spent every afternoon at kleopatra beach.
14,Sandy toes ,My stay in Alanya was great and the beach was right next to my hotel so that was good aswel. But people understand very little English which kinda sucks tbh..
15,Beautiful ,"We loved this beach, great waves plenty of beds, gorgeous fresh juices and corn on the cob lovely restaurants around it"
