,title,text
0,Nice trip in the mountains. ,"Everything is new, the gondols was nice and not to many people. It was a warm day and beautiful view 360*We had a good lunch almost on the top. Nice to see after use, after the Olympics. Great place, love to come back."
1,Stunning,"There was no snow but yey it worth the visite, there is easy to reach and it was nice to be in the nature, towards the left you have the snowy peak of the mountains and to the right the beach."
2,Out in the open,"This place is best for winter time and for ski and snowboard lovers, but we visited in summer and very very happy about it. No lines, no crowds, fresh air, wonderful views, mountains, walks, bikes, horses, it was quite enough ) if you in a area it is a must see!"
3,OMG !,"Indeed a wonderful place to visit and enjoy the nature, especially in summer its most attractive with freshness of the nature around. Exiting vacation point and love to spend time around with family or friends."
4,Gorki Gorod Cluster cable car,"You will see one of the best places ever.Wonderful nature,tremendous mountains,feeling of flying. Besides, beautiful buildings seem like from some european city."
5,Shouldn’t be missed,"The place worth to visit while you are in Sochi. Wonderful buidlings, spectacle view and a lot of place to walk and sport."
6,Amazing trekking on the mountains,"It's absolutely worth seeing! 7 years ago there were just empty mountain slopes and today you can enjoy newest cable roads, cosy stylish hotels, walking areas and shops. The view from the height of  2400 meters opens a captivating panorama of the beautiful Caucasus. The road is very comfortable - it's only 30 mini tunes from the airport and Olympic park."
7,Very Amazing Place and Great location,"Beautiful mountains, stunning views, great food and drink. The cable car ride up,the mountain was stunning. Can only imagine what it is like in the winter!"
8,You are about to touch the clouds ,"Great place to visit as it is where the 2014 Olympic games were hosted.Very popular even in summer and quite busy.Lovely wildflowers,snow in the distant mountains,cattle grazing on the summit and a horse saddled but no riding just taking photos.Took three enclosed cable cars to reach the top.Can purchase food and souvenirs at the top.I would highly recommend using Sergei from Kopeika taxi company +89182086201.He was the only taxi driver to use a meter the entire time I was in Russia for one month and he even waited 2 hours til I finished without charging waiting time."
9,Rose Valleys' tourist attraction,"it's a beautiful place. But now we do not nature - Putin cut down all the trees and destroyed Mzymta River - there is no more fish. The village is dirty, a lot of construction equipment and a lot of people. I do not recommend it to rest. Very expensive."
10,Good view and virgin nature,"A trip to Krasnaya Polyana is interesting here mountains, clear mountain air, crystal clear water of the rivers, flora and fauna, but the animals I was not able to see and photograph them on camera. All the animals live here in the mountains far from people and construction of various facilities for the Olympic Games. In the mountains I climbed to an altitude of 1500 meters above sea level. Animal I have not seen here only plants and trees. Guide in the mountains was a resident at an army jeep, which suggested to me by my guide, for an additional fee. Do not forget to specify when ordering on a tour of what you see and what will be a stop on the road in the meadow. Great choice of routes, as well as travel agencies in Sochi. I ordered a hike in the mountains with a guide, cableway, lunch, and stops at tourist attractions. The purpose of my trip here to take pictures of mountains and attractions. First stop was the viewing platform overlooking the gorge Ahtsu, beautiful mountain views and even fly helicopters here along the gorge. At the second stop called ""Bear Corner"" all the tourists drinking seltzer water healing, here is the mineral springs of water. Water from this source was to the taste pleasant and invigorating, I felt that it might even sweet. Take a 1.5 liter bottle to fill it with water, which I did in the absence of packaging. Before entering into the source of the locals sell honey which is extracted industrious bees in the vicinity of the Caucasus Reserve. The third stop was at the waterfall ""Girls tears"", where you can take pictures of waterfalls and mountain views. Here we are at Krasnaya Polyana, in a wine tasting and honey from a local resident. After the tasting we were brought to the restaurant where we dined. Everything was tasty and inexpensive here. At the exit from the restaurant we waited for a local guide in the mountains at an army jeep, which took us, me and three people from the group in the mountains, but only to places where there is snow, because it was impossible to drive farther, and we walked through the snow up. For this trip bring athletic shoes, but you can not take it, because you can even sunbathe here at the height of the mountains, and the form of snow happy it's warm here. There is also a beautiful view of the Krasnaya Polyana at the foot of the mountain Aibga where you can photograph the panorama of the mountain range with snow-capped peaks. After a trip into the mountains brought us to the cableway, where we waited for a part of our group. There is also a good view of mountains and rivers, which resemble snakes, and of course the fresh mountain air. I really liked it here, especially the mountains. Skiers do not have here, as the ski season ends in mid-May, but tourists are always here a lot. I know what draws them here, the mountains."
11,unforgettable ,"Breathtaking scenery with spacious cablecars.  This will be the setting of the 2014 Olympics Winter Sports.  The place is still obviously going through massive work in building resorts and facilities.  I beleive in about 2 years the place will be simply amazing. You have to keep in mind that Sochi's climate is a bit humid due to the Black Sea, so you have to check to see how the weather is at the time and that the snow has not melted yet. Sadly I visited the area in June and there was no snow at all in the skiing area."
12,Wonderful trip,"Just spent 4 days at the Rosa Khutor resort, and the skiing was Great. Tons of snow, especially near the top.  Unfortunately only about 60% of the runs are open due to avalanche danger, which concentrates the crowds on the gondolas. But all in all a great ski experience."
13,Just visite it,"The most wonderful experience to live with the whole family. The views, the weather, the attractions and the possibilities to spend a magical day are endless. We will definitely return. This is the NUMBER ONE!"
14,The magnificant landscape,"Need to take 4 cableway to reach 2500 meter, fresh air and incredible view, strongly recommended. don't fofget the sunblock cream in case of sunshine day/"
15,Cable car to the summit is a must do,Beautiful in the winter with snow. A must is the journey up the mountain. Limited activities outside of skiing and snowboarding. Ice skating is available.
16,Worth to see,"We went to the winter park for a day tour in early october , there was no snow but it was a great tour around and up on the hils, it must be super in the winter time for the snow lovers."
