,title,text
0,Gorgeous building day and night,This may be a new mosque compared to others around the world but it's still beautiful. Took photos day and night. The interior is also impressive and its good to spend some quiet time in there when prayers are beung held. One of the symbols of kazan .
1,Very good place!!!,"I saw a lot of mosques in UAE, Turkey, Kazakhstan, but this mosque anyway looks different. It's better to visit in evening time due to the booster light."
2,Kul Sharif - one of the most magnificent mosques,"The largest mosque in all of Europe, this is definitely worth seeing.  The inside is so light.  Plus, it's free!"
3,Beautifull,"The Mosque looks amazing from the outside and just as impressive inside. The Islam museum underneath was a little bit boring, but still worth visiting. The observation deck lets you view the floor where people pray, which was a bit strange, but allows you to see even more of the interior etc. Well worth a visit"
4,Kul Sharif Mosque,A beautiful brand new mosque in the heart of the city. It's colourful and bright. Inside you can visit a Museum of the History of Islam and an exhibition of the Islamic calligraphy and broidery. The entrance is free
5,"A beautiful, must-see place in Kazan","Seems people are divided on this one, but for me it's one of the most beautiful mosques I've seen, particularly outside, day and night. Very photogenic in my eyes and ideally situated within the Kremlin."
6,One and only,"This mosque and its surroundings are just incredible. The construction itself is out of this world, but so is the view from next to it. And the area and buildings around it are really nice. Best place to visit in Kazan!"
7,Fantastic Mosque,One of the most beautiful mosques I've ever seen! The inside of the mosque is worth a visit as well. I found the people working at the mosque to be very friendly and kind to visitors. It was fascinating to see the reading of the Koran being done (happening 24 hours a day since January 2015).
8,Glorious,It’s very beautiful. The most beautiful mosque in Russia. We stayed very near to the Kyle Sharif Mosque
9,Sure its the best-looking Mosque in the World,It looks fantastic from outside.  The mosque is surrounded by other historical structures.  A great place to walk around.  There is not much to see inside the Mosque.  A small museum is located at the basement. The entrance fee is 100 Ruble; it is not interesting to me since I do not understand Russian.
10,don't miss this beautiful mosque,"Definitely one of the most beautiful mosques I have seen in a while. Lots of historical tidbits available for showcase inside the mosque. The interior design, too, is amazing. Probably not the most populated mosque in Kazan since it is far from the centre but definitely worth a visit."
11,Russia's most iconic Mosque,"Not sure who chose to build this here, it seems out of place. Although it is a nice enough mosque, I just wonder why!"
12,A Kazan highlight,It's an amazing place to witness the great architecture of Islamic Art. You have to bring your camera cause this great mosque have lots of details that should be realized. Ps: bring your own bottles of water and snacks as they are sold in a very high price in the places near the mosque and Kremlin.
13,all together,"This was the only mosque we visited in russia,so it was an interesting experience and a nice change from all the churches and cathedrals"
14,Kul sharif mosque ,"One of the most beautiful places I have been to, it's architecture is an amazing mixture of the Iranian, ottoman and middle eastern style.."
15,A really beautiful building!,"you cant miss this mosque it is a modern mosque built within the kremlin  ,it certainly very eyecatching."
