,title,text
0,Castle walk,Me and my mam when for a look round on. A Sunday it's was OK but once you've been would be going again a nice look out over sea
1,NICE PIECE OF LOCAL HISTORY,We did go to see but was closed for renervation but looked lovely  we did walk round castle  on the outside x
2,Have a nice shot for Instagram :),Great grounds and we'll looked after the history is all there to read and the views around are greatIn side the fort is a whale the skeleton of one that is well worth the walk up to it there are shop at the entrance where you can get a ice cream afterwards take water as it is warm up on the top
3,Lovely place ,"Lovley for a walk out when the sun is shining nice place to visit, also a little place you can stop off for a drink whilst admiring the views."
4,Great views,"been coming to Kusadasi for years, Bird island use to be excellent every evening we went up there with are children we could sit at the cafe in there and watch the sunset and fishermen, ther used to be bunnies that hopped all over and the children could play, there was also a resturant and gift shop near the entrance, this place use to be good we went there this year first time for a few years and was shocked, it still a nice place but couls do with the cafe on there and the other bits aswell it is a lovely place just sit and relax and watch the world go by"
5,Lovely day out,"very busy evening watching the splendid show which is on most nights,good value food was average,drink ok miss the whisky as its fire water."
6,Relaxing,Gorgeous place ! Well worth a look. Wee seen it while paragliding so did not actually go in but it looked beautiful
7,The best place for relax downtown,"Looks good but its just a locked building site, nothing there to see really. Such a shame...................."
8,Tentative World Heritage Site.,this is in town centre they now have some market stalls inside It is a lovely building and i am glad it is being used
9,Worth a Visit,"Took a walk to the castle after lunch. Its worth a look only takes about half an hour to walk around, there's a whale skeleton inside the castle it's self and some caged pigeons, hense the name pigeon island and peacock's that have seen better days."
10,Visit to the castle ,Turkis night is well worth  it here Any time really  is good great food loads of entertainment and fantastic  staff.this place has loads of room spotless clean and great food and service. the atmosphere  is great  would recommend it no bother. once visited you will return.
11,Good Visit Short Walk Out Town,waited ages for food and not what really what ordered so waste of money the only good thing to me personally entainement
12,Nice discover ,Just saw it from the outside as it looked there was not much left off it but just helped to tick the box and learnt a brief history of it.
13,Visit if you're in the neighbourhood,i enjoyed the view specially at nights and got some nice fotos. recommended to get there at sunset. didnt have time to visitinside the castle.
14,A castle on a small island with lovely walk and great views - 4.5,"Seems expensive when you book (can't remember but about £30) but the buffet was excellent, all wine (unlimited) and soft drinks included, the setting is amazing and the show extraordinary. If you don't enjoy this night out I just don't know what to say!"
15,Pigeon Island Kusadasi,"This place has free entry so after a bit of a walk , was nice to see a cafe. Walk round the castle walls and there are some fantastic views and photographic opportunities. Very quiet as end of season ."
16,Worth the walk from Kusadasi,Really lovely place to see very cheap on local buses or cabs its a nice day out and there is boat rides as well so a good time out
17,Worth a visit,"Family of 5 with children aged 13, 11 and 9.  Ok so it's not a day trip but it's worth a visit when mixed into a shopping trip.  Aim to get their before the heat of the day and shop in the shade in the afternoon.It's not a big castle, but pleasant and well kept with great views of the surrounding area.  Being keen to explore I was disappointed to find out that the stairs to the top of the tower was closed off.  Small bits of information on trees and birds as you walk round.  Short enough to stop the kids from getting board.If your a KFC fan then head back through security at the main port. It's similar prices to the UK so expensive for turkeys standards but not an issue if it's what your used to spending.  Oh and there are free clean toilets!!"
18,Castle,Clean and cute place in the middle of centre! Not much to do inside but view is pretty and walking is relaxing
19,Wonderful island experience,this castle was a free thing to do very lovely was suprised at how nice it was there are things inside a lovely walk round but once is enough
20,Castle vist,"Lovely walk some parts are steep, but if your looking for some good pictures you can capture beautiful ones here, but of history and nature all rolled into one. It’s also free entry."
21,Wander round Kuşadası ,"in a lovely location but I have been to far bigger and better for a fraction of the price, I wouldn't waste the time or money on this one I'm afraid"
