,title,text
0,Climbing Le Morne,"It was a great experience to climb le Morne. It was hard but with the great view, it is worth a trip to go for. 😊"
1,Great experience,"Amazing hike and experience.Great view and definately worth it.It is very rewarding to hike up a tricky path and know what awaits you as soon as you reach the very top.Must go with a guide,it is obligatory and don't be afraid to spend the money. We highly recommend our guide who's name is Devin who is originally from the Island and is a great personality."
2,Great view when you've reach the top.,"What a great experience! The climb to the top does make few muscles to feel the burn, but the views you have to see for yourself. Sitting on the top of Barbant, birds are flying beneath you, it is truly spectacular!Our guide Henri made sure everyone is happy all the way up, going at the pace to suit everyone in our group, giving us helpful tips to the less experienced hikers on how to manage certain areas a bit easier.You have to be relatively fit to make it all the way to the top. Good views before the tougher climb too, so even if you don't reach the top, it is still well worth the go. In places nearer the top, you do need to be able to support your weight with your upper body as well as stepping up, to hoist yourself over some of the rocks. This would not be easy for the couch potato kind folks.I don't have a good head for heights, but didn't get vertigo at any point, despite the heights you get to and when looking down on the views.Bring 1L of water per person, water will be offered to you to take in your bag by the guides at the starting point if you didn't bring enough. Energy bar, sugar source, apple or whatever fuel of your choice would be a good idea to bring too. Most important, wear good shoes for the job. Go for it and enjoy it!"
3,Hiking at Le Morne,Booked this with yanature and was a great tour. The views from the top are stunning and the hike/climb is challenging enough that you feel like you achieved something great when reaching the top.
4,Once in a lifetime view,"Le Morne hike is amazing, the climb it's self is tricky in places and not for people who are afraid of heights as some parts you feel like it just drops away but the view is amazing even from just below the top part, where there are benches to sit and take in the sights. We climbed it without a guide, my partner has done it twice now, just remember to take plenty of water and start early before it gets to warm. The day we went there were heaps of colourful butterflies around which added to the beautiful scenery."
5,Early birds,We went on an excursion to Le Morne mountain. The view from the top is beautiful. It took us 1 hour and 45 minutes to climb only. But it was worth it.
6,Hiking,"Although we didn't do the full climb, just getting to the halfway point provides wonderful views and is certainly far up enough to go in the heat! We did find it difficult to get to the carpark, and the road to it is not in the best condition, but once there it really is a treat!"
7,Hard but worth it,"The easier climb not to the very top! Nevertheless beautiful and worth doing!Our guide was amazing and told us a lot of interesting facts about Mauritius, it's history and all the plants and trees on our way up!"
8,Amazing view,Hiking le morne brabant was a great achievement. You need a good guide who knows the path well as it gets very steep near the top.One needs to be fit and wear good shoes for this climb.
9,So worth the sweat!,Nice trek (and quite challenging the last bit of it) but worth seeing the bay from the top! Very interesting history too.
10,Must visit for adventurers!,"Hiking at Le Morne is easy anyone and do it, but getting to the top that is really something else. If you can make it to the top you will not be disappointed by the breathtaking view your eyes will catch."
11,Too dangerous ,"We are not skilled hikers, so we reached the first point! Nice ride! I am happy that I was able to follow up the rest of the (skilled) group, the paths sometimes have quite an inclination! Better not carry too many things with you...!"
12,nice mountain,The concierge at the hotel said the hike was easy but in reality it's a challenging climb in the latter part of your journey to the top.We found the challenge well worth it. The views throughout the hike were amazing and it was great to see Mauritius outside the posh hotels.Our guide was friendly and knowledgeable.I highly recommend doing this trip if you are not scared of heights and open to a little physical challenge.
13,Mountain Hiking ,Climbing this heritage of Mauritius was an honour and the view at the very top is amazingly breath taking.  i highly recommend people to go there at least once in their life.
14,Couple with 6 month old,"The climb has the perfect balance of fun and challenges along the way, we certainly enjoyed it very much. We climbed with my 7 month old baby in a carrier and we had the best time! Wear appropriate shoes, take water and sunscreen."
15,Morning hike up La Morne ,"The area and views are fantastic, and the climb to the cross is worth it.  The climb to the top is not difficult, you just need to be careful.  I would rate it a challenging beginner.   Wear shoes with adequate ankle support and gloves for your hands.  The top at the cross gets windy in the afternoon. If you have trouble with balance or heights, do not attempt the climb.  On my climb, I have seen native mauritian teenagers do the climb barefoot and navigate the rocks like graceful mountain goats. Do not attempt to replicate their feats."
16,A way ti discover Le Morne,I couldn't do the trekking but the approach and surrounding areas are beautiful. One must undertake this hike if possible. This mountain is deeply attached to the heritage and history of Mauritius.
17,"Le Morne Brabant, is a UNESCO World Heritage site. The world symbol of the fight of the slaves for survival.","Le morne brabant...worlds end, stunning place with an incredible view.  The climb is quite rough so be prepared. Carry plenty of water and make sure to wear good hiking shoes.All the look out are out of this world.  Heaven was truly copied after mauritius was created:)"
18,All You Need to Know about Hiking Le Morne,"It's a fairly hard going walk.  I was really sweating!  But it was fun and the views were stunning.  We did the walk with Yanature who have the rights to take you up to the top (there's a locked gate so most independent walkers can only go half way up, I think).  They were very good and I recommend them.  The walk took about 3 hours from start to finish.  My kids (14 and 12) found it pretty easy!"
19,Great hike with stunning views,The hike to Le Morne Brabant was one of the best experiences in Mauritius. The place offers breathtaking views along the trail and at the top. The trip was well organised by our guide Alan who was helpful and motivating all throughout. It was definitely an unforgettable experience.
20,Life Long Memory,"The hike was beautiful and breathtaking. However, with no ropes for those who are scared of heights the sharp drop-offs may be too daunting. However, if I can overcome my fear than so car you. The summit it great, cool, and relaxing."
21,One of the best experiences on the island ,"The mountain is a nice straight forward hike until you reach the green gates, after thats it involves a degree of climbing. If your expecting a sedate morning of walking then this wouldn't be suitable at all. you need to be quite fit and able to make it to the top!"
22,Great hike!,"It was quite a challenge getting to the very top, however it was completely worth it, the views are stunning and the sense of achievement is fantastic.You don't need to be an expert climber, but you do really need to be switched on and aware - a lady on our excursion slipped and went over on her ankle, ultimately making it extremely hard climbing down.I would recommend going early before the sun is at it's hottest. Also take plenty of water, a decent pair of shoes (with good grip and won't rub) and obviously a camera.It was probably the hardest climb I've ever done, but probably the highlight of my vacationLastly, you need a tour guide to actually access the very top. If you go alone, there is a locked gate and no way through. We booked through mauritiusattractions and the guide, Alex, was experienced, helpful and could speak English and French."
23,Beautiful Views,"Climbing this mountain is a fantastic experience - not only are the views awesome, but the sense of achievement is a great feeling. Regarding the difficulty - here is my take on it:- I am not very fit - i would be classed as average fit in some countries, and certainly below average in other countries like Netherlands etc. - I found that the climbing did not test me physically much - at no point did i struggle with the strength or stamina needed to climb - partly as the guides mostly are happy to wait and take breaks. - What was difficult was how treacherous the rocks are to climb in the steep areas - you need to be careful about where to put your feet, and often ignore the fact that you are pretty high up a steep, 70 degree wall. - Towards the top, some of the paths are narrow - someone suffering from vertigo may struggle with some of this, but not a problem for others. - Go with a guide - you can do it without but with the steepness and complexity of the rocks, i would go with a guide, atleast the first time. - Make sure you have good grippy shoes for this - i had them and climbing up teh steep rocks was significantly more comfortable with them. So all in all, unless you are pretty unfit, u wont be stretched physically - you will however be stretched mentally and with your balance and stability as you climb up the rock portions. Absolutely worth a try though - if you cannot do it, you can always turn down and wait for the guide at the previous waiting point."
24,Great CLIMB,"Just back from hike with Nicholas and Henri, they were great guides and the route is beautiful. Would recommend..........."
25,Adventurous walk/ climb,"It is worth getting off the beach and hiking up Le Morne not only for the spectacular views but to remember a unhappy period on what now, thankfully, seems to be a very happy island."
26,"Great hike, awesome guides",...to the top of the mountain. Not quite easy but worth the effort! You have a wonderful view over the south of the island. Highly recommended to anyone visiting Mauritius.
27,Amazing views,"Climb to the top can be a tiring and for some even scaring experience, but the view on the top is worth every drop of sweat!Unforgettable."
28,The most amazing views - well worth the hard work,"Amazing view on top!You can simply not miss this hike. It is fairly easy and can be done in 3 hours.It did request some climbing to reach the top, but that was part of the adventure.No need for any guide, as the trail is clear and well set up. Just make sure you're not very  far from from people (if you're going there alone), so that in case you feel lost/tired, someone can give you a hand.Very worth it.Mother nature..."
29,Nice Walk Up Le Morne,"We hiked up to the top of Le Morne with Bryn from Explorers Mauritius, he was a great guide. The views were spectacular and it was very worthwhile. I would not recommend going to the top without a guide unless you are very experienced and have appropriate mountain insurance"
30,A hike worth doing! ,"It was a tiring climb - my friends and I took 4 hours to complete the hiking and took lots of photos! We did not follow a guide. All we had to do was to sign in (log book at the entrance for your safety) and off we went! The gate was unlocked the day we went so all was fine. I would suggest wearing long pants as almost immediately past the gate, you start climbing with your hands and legs - somewhat like bouldering. If you're not confident, I  would suggest getting  a guide to help you with your feet and hands placement. The views made the climb all worth it!"
31,"If visiting Mauritius, this is a must visit.","Beautiful views! Most of the hike is a comfortable walk. You can walk most of it without being an experienced climber. But to get to the top needs closed shoes with a very  good grip and perhaps some rock climbing experience. I would recommend caution (or avoidance) for the rocky bit (right at the top). Also recommend pants that cover knees if you plan to get to the top as the route turns from being a hike to a rock climb where you need to get on your knees to get up and again to get down.You can still enjoy the hike and the views by doing only the ""comfortable walk up"" without doing the caged off area. The walk is best on a dry sunny day. If there is any sort of moisture, do not touch the rock bit as it is slippery and dangerous. I recommend you carry some water and drink it slowly as there are no vendors along the route. Also ask your driver to drive into the park, right up to  the point where you need to sign-in in order to avoid a 1.5km walk just to get to the start."
32,Highly dangerous. Don't do it,"It's a beautiful trek overlooking the le Morne lagoon and the views from the top(not the actual top) are fantastic. The route to the top is officially blocked due to safety reasons. It was difficult to stop at the barrier, wanted to jump it and go on. Important to access this trek from the official entrance which is past the kite lagoon if you are coming from the north. The other entrance is through private property and you might land up being harassed or having to pay. The trek is free and you do not need a guide."
33,Amazing views!,"We went up with Matthieu from yanature and it was an amazing hike! Hard, some serious climbing bits (which are a lot of fun) but we felt safe and looked after the whole time. Matt did everything to keep us safe and have us plenty of rest breaks. So worth the view!"
34,Memorable,"The hike was one of the best ones I have ever done, with the view all along the way amazing. The view at the top is 360degrees and is worth every muscle ache at the end. Yan, our guide was super nice and really helpful. Definitely recommend doing it again, but not for the unfit! The last third is all scrambling on rock. But still really fun. We did it in 3hrs return."
35,A work out but worth it for the views and the history,"The hike to the gate was relatively easy, although it is a steady climb which might be challenging for people who are not physically fit. The climb to the top includes some scrambling/climbing and previous experience and attention would be recommended. Worth it for the amazing views!"
36,Very thought provoking,"The place has a great history to tell. Impressive to be there..Nice scenery also, and from the beach on the othere side (Le Morne Beach) you can get some impressive views and fotos."
37,Not an easy climb but well worth the views! Not for the faint hearted!,This is an amazing Hike. A 2 hour hike with some challenging vertical climbs. Although definitely reachable for an amateur.The views all the way up are simply breathtaking. You see the whole South Coast and I would recommend stopping at each of the look out points to take in the different views which are beautiful.And the view upon reaching the top is well worth the wait!!!
38,Rough Road to the Le Morne Brabant Parking Lot,ask Allan to take you on a hike up le morne Brabant. it was challenging but well worth the views from the top.  Take hiking boots - trainers are slippery as we encountered a few times.  Something very worthwhile doing.
39,Heritage,"It’s a great hike for people who are experienced in steep and technically-challenging hike. I would compare it to the Skeleton Gorge trail up Table Mountain in Cape Town, so a medium-to-difficult level hike. Don’t do it if you’re an inexperienced hiker, it’s not a inclined stroll. The first part is easy, but once you get to the signpost warning of dangerous terrain ahead, it becomes much more difficult. You can still stop there and still get a good view, it’s worth it."
40,Nature!,"This trip was definitely worth the money and time, we are not experienced climbers, but our guide was superb in helping us up and down the steep climb, the views are breathtaking from the top, but this trip is not for the faint hearted,,,,but push yourselves and you will be amazed what you can achieve !!"
41,Excellent,"This is a definite must if you stay in Le Morne, the views are amazing from the top !!!  You feel a real sense of achievement if you decide to go up the top section which I would describe as a rock climb more than I hike!We were picked up at 5.45 to start the hike at 6.00, we are so glad it was an early start as it was a lot cooler,  I do not think I could of done this hike in the mid day heat as the top part of the hike has no shade!!!Lots of water required and sensible shoes, our trainers were adequate !It took us 3.5 hours to get to the top and back down in a group, we used a guide (I would recommend using a guide not only for safety but for their knowledge and stories of the mountain) we used Yanature and our guide was Zak (who made the hike look easy, he probably could of run up and down it in less than an hour !)The trip cost 1500 Mauritian rupees!  Well worth it for the views!!!"
42,You gotta earn it!,"What a climb and what a view. Great experience and quite a physical one as well. Went up two times and both had its own charm. But remember to bring a lot of water, you will need it."
43,Amazing hike,"I am not going to write how amazing hike it is and how spectacular view is from the top - there are plenty of other people assuring you of that.  Instead, I will tell you briefly how to get there.  As my boyfriend and I stayed in the hotel up north, it was difficult for us to get to the peninsula early in the morning  to do it with the guide.  We arrived around midday.  As you drive around the peninsula take a turn into unpaved road to horse riding centre.  Pass the centre and carry on driving for about 1 km still on unpaved road till you see the red arrow on one of the trees on your left.  That's the place to start.  You will see the gate.  Cross it over.  Walk. Gate.  Cross it over.  Turn left into the wood.  Follow the trail- it's quite easy to see it. Use your common sense if there is a fork on the road.  You will pass one more gate but there will be the ladder to cross it. The trail  at first is through the meadow. It changes later into more difficult to alter completely into climbing almost upright.  Don't be put off.  We managed to get there and we have never done anything like that before. The finish point is were the metal cross is located.  Comfortable shoes,  lots of water is a must. It took us 5 hours to climb, rest, take photos and get back to the red arrow.  Do not park your car by the first gate after passing the red arrow.  Park it close to the surf kiting site and walk from there.  I know I wrote to  drive for 1 km but forgot to mention one thing. If you are going without the guide, you don't pay anything to anyone.  Some people will not be happy about it.  We found our car with the two wheels without the air.  We changed one wheel and  the second one was pumped at horse riding centre.  We were lucky it was open and people  helped us. Fortunately the "" bad guys "" were kind enough just to deflate the tyre note to damaged it. ☺☺☺ overall - fantastic experience ☺☺☺"
44,Not to be missed!,"Wonderful Trek.It was a challenging hike but worth it... It took 2.5 hours to get right uptop-  500 M above sea level and another hour or so to get back down with a guide from Yanature. It's not for the faint of heart. No helmets, no fancy climbing gear just hands and feet. The funny thing is that I'm really bad at fake wall climbing (my fingers go numb and it really hurts) but this stuff I can do! I'm not a pro but it's really cool and rewarding and most people can manage it if in in good health and willing to just do it!Go. It's such an important natural monument to the history of Maroonage (escaped slaves) in Mauritius. If you are a history buff get a historical tour and take your mind off the steepness of the cliff faces. It's well worth the climb to get the breath-taking view."
45,The best beach on Mauritius ;),"Climbing LE MORNE is an experience that is hard to put into words. You are in a beautiful environment and, when you reach the top, you feel incredible with the unbelivable view of Mauritius."
46,Nice hike great view,"A picture says more than 100 words. It was not an easy climb but with a positive attitude, you will nail it! The view on the top of the mountain is breathtakingly gorgeous and we had a great time learning all the new plants our guide showed us. I can not recommend it enough. Climbing with a guide is a must on your to do list if you are in this area. A tip: use both hands and feet for the second part of climbing!"
47,Unesco site,"Very rewarding. Hot but manageable walk gets you very close to the summit, with incredible views. Both guides were very helpful and informative."
48,Enchanting area with great hikes,We only went to the first viewpoint at 260m. There is a beautiful view and it only takes 25min to go up there. Not a difficult walk.
