,title,text
0,Don't expect too much,People who love scenic beauty and similar surroundings will like this place.  Though there is nothing much to see. In the monsoon season it looks better.
1,Nature at its best.,"Lions point : There is nothing too great about this place , i wonder why so many Tourist visit this place , maybe it is on the way and you get some tit bits to eat and drink , plus the Valley view ."
2,Enjoying place,The place is very beautiful and food for people who treks and the view point is amazing and blissful
3,Lion’s point ,Scenery around this place is superb.Local People were selling Items at double price.You can spend some time here enjoying the valley and taking photos.
4,Looks beautiful,"If you are a sunset person, you should definitely visit this place as it offers a magnificent view. It’s on top of a mountain and offers a great view of the entire valley beneath.try going on clear with to get the best view. It was a bit hazy when we went so the view wasn’t that clear but still it was good."
5,Good view,"If you go thinking you will find something amazing, this might not be a perfect place.This place is a serene place which in between lush mountains."
6,Not worth at all,The view here is beautiful and very similar to tiger point. The food is not so great though.They have ATV here but it is a waste of money.
7,Wow point,"Its an amazing place which offers excellent view of the valley and mountains. But its disheartening to see the bad management, litter everywhere, railing broken in many places, crowds of young guys doing hookahs and drugs openly. Don't feel much at peace if you are with family.Need some guards or police patrolling in the area."
8,Nice 1,"If you want to enjoy a cloud surrounding place in lonavala, then this is the place you will feel like a child in the lap of nature. Not much to do except enjoying corn bajiya prepared by local people."
9,Nature and Views,Would be extremely exciting and stunning views in the monsoon. One can enjoy the natural beauty at this point. Must Visit at point of Lonawala.
10,Beautiful views,"Wonderful place for enjoying scenery.Nice time spent with family.It is crowded place,This is a nice place for photography."
11,Amazing Experience,"This point in Lonavala is soothing to the eye. You will find many stalls around serving maggi, tea and other refreshments.One can just sit back and enjoy the view and fresh air while relishing a hot plate of bhajiya/onion pakoras and tea."
12,NIce Place,Superb location with fantastic view. Must visit this location in Lonavala. Having many local food outlets there to enjoy location.
13,Lions point,A point from one can see lush green and beautiful mountain and valley on hills near Mumbai. A nice place particularly in rainy season as told by locals.
14,Indian grand canyon!,Best place to visit with friends and family in Monsoon season.The view is epic with fog and awesome rainfall. Drive carefully as the place is situated at the top of the mountain. Must visit place if you go to Lonavala. Approx 8kms from Lonavala main market area.Preferable if you have a car.
15,Awesome view.,"Wjhile in Lonavala, One must visit this place for its scenic beauty. It is very peaceful here and lovely views of nature to enjoy."
16,Enjoy The Great View,This place is a must visit for everyone if you are visiting Lonavala! This place offers some spectacular view of the sunset on the mountains. The drive to the point is also equally scenic!Enjoy this place with family and friends :)
17,Needs Amenities,Awesome scenic beauty. A must visit if you are in Lonavala. Sunset and sunrise views are Truly mesmerizing.
18,Lion’s Point and Bhushi Dam Lonavala ,Awesome view of the hills and valleys.A little dangerous place since no fencing.Food can be bought there or taken along. No entry fee
19,Must go or only go in Lonavala ,"Slightly away from the Lonavala city but the road and ride are good and enjoying. Adequate parking, fast food and snacks kiosks are at the venue, while there is enough choice of restaurants en-route for a major meal.The view from the point is beautiful and mesmerizing. But DO TAKE CARE while clicking photos and selfies as the barricading has been broken and also visitors tend to cross it to take a better shot. one wrong step could be your last step!"
20,Ok-2 place...one time go place,It's a good place to chill with your friends and family with photogenic scenery. Also you get some mouth-watering pakkodas there.
21,Beautiful hills,"It is a good place to spend evenings, little away from the lonavala city but the ride to this place is amazing. Good parking and snacks are worth. You can see entire valley and the town from here. Camel and horse rides are available."
22,Wow ! Mesmerising View of Ghats during Monsoons!!,A great place to sit and enjoy the beautiful view of the mountains and valley. The hot and fresh corn pakodas is the signature dish to have. The place needs more responsibility from the tourists who visit there as you can see plastic all over. otherwise is good for a one time visit with family and enjoy the relaxed evening.
23,Nice View,Nice experience of viewing the nature from such a height... You can get Guide if you want to see 5 more places from telescope...
24,Panoramic views,This is the only place in entire town which actually gives you a hill station feeling since the remaining town is already crowded and markets are flooded. Its almost 30 mins drive from the main market and its a hill top which offers a nice view coupled with various  amusement and food outlets which has come up with time. Best time to visit this place during the day is in the evening or morning sunrise.
25,Good View & Stunning Weather,A must stop point while you visit to the lonavala. view from this point is awesome and one can see the valley as well.
26,A place to see,Nice peaceful place despite people being around. Nice views of Lonavala and plenty of places to take great photos.
27,In the sky,Do visit this place during rainy season as it offers superb view and an ambiance to relish.Eateries are also okay sorts.
28,location,This place is the USP of lonavala. The view is breathtaking and you will get a amazing view. On weekends it become very crowdy but still worth the visit. It also have Tiger's point / Tiger's Leap near by to it which also has similar type of view. So must to visit during monsoon in Lonavala.
29,Trespassing,"At this point, you can enjoy the amazing view of Lonawala. You can see the real beauty with awesome weather. Enjoy different snacks over there."
30,Not much to see here!,"The place has extremely good view of the valley but is ruined by the tourists. There is garbage all around and a lot of vendors selling tea, pakodas, corn etc. It gets extremely crowded over the weekend and we expected little less people over a weekday but that was not the case. It can be better avoided if you have other places shortlisted for visit."
31,A must visit,It is very famous for its scenic view. This  should look gorgeous during monsoon. Worth visit. Place needs to be clean.
32,Awesome Experience,The view is nice if visited during the rains . Tends to get pretty dirty due to the huge influx of people. Must visit in in Lonavala though.
33,Amazing scenes of Nature ,"It is a good place, but try to visit this only in months of rains or winters. Even during springs the day is too hot and you won't find any shade there apart from small restaurants that are opened there."
34,Stunning weather and dashing view,It is a point with nice views of mountains.Local food points are there on the site.Good place for photography.
35,Good view but no parking space,This is one of the famous scenic points all visitors to Lonavala usually visit.You get lovely views of the mountains and the valley down below.
36,Lions Point amazing valley,Very polluted and littered.  Try and find a quieter place to enjoy the view from a quieter place.  There seem to be a lot of trails around that you could use to get away from the crowds.
37,Sights and scenes ,"One of the few beautiful places to see in Lonavala. The view is totally mesmerizing. Get a beautiful view of sunset from this point. You can see the sunset here better, with ample space, compared to the so called sunset point on road side. While you watch, you can enjoy roasted corn, Maggi, pakoras etc. Beware of monkeys! Recommended to visit during monsoon."
38,Nice place with excellent view,Nice place. SceNic view. Must eat corn bhajji and tea. Nice view of the valley and the place is too windy. They take parking charges of 50rs.
39,Don't follow Google maps,"The views from this point is beautiful. Specially in the monsoon, this place just converts into another level. Lush green mountains and waterfalls are visible. A must visit spot when you are in Lonavala."
40,Main attraction of Lonavala,The view is amazing and we spent some time at this place which has sufficient car parking. The are couple of food stall and staff keep pursuing you for snacks / tea and beverage. They have also put up chairs and table just aside the boundary of mountain which is dangerous.Visitors kept going ahead towards the edge which was scary despite many incidents of tourist falling and losing their life While the place is good to visit but with caution.Cheers
41,"An amazing place, poorly maintained spoils the whole charm.","This place is wonderful for taking pics and enjoying with the spouse. There are a lot of thela valas who come to you from the moment you stop, and they are very costly too. A pure half lemon and water would cost you 50 bucks. you can have a lot of peace by just sitting there and enjoying the breeze."
42,Scenic place in Lonavala,"You will get the breath taking view of the hilly areas here. The place is really worth seeing. Also it will be a very long walk, please ensure you wearing the right kind of shoes."
43,Awesome view,"It's a nice windy place to be, the hot pakodas and the awesome sunset is a view that one can't miss."
44,Stunning view,This is another good view point in the Lonavala Khandala space.One can get some breathtaking views of the ghats and the green cover all around. Nice place to visit early morning as well as during the day.
45,Exploration trek,It is the most adventurous place in Lonavala and the high tourist attraction.. anyone who visits Lonavla goes to this place as it is very renowned so it is at a very good height and if you look down the view is really very dangerous but I really enjoyed a lot a lot of cars that come in and play music the best thing that you could do is eat cheese pakoda and hot tea
46,Nice view of  valley,The magic of nature! After rainy days the whole scene is transferred to a  awesome green valley. Spend some time and you will fill clouds passing and you can feel the  changing the atmosphere. Best in rainy season.
47,First time visit to Lonavala,Had visited along with my family members ..a special view point where we can see a stone in the shape of lions head from some particular angle..can spend here for one hour with seeing view point places and can have nice food with near by small eatery shops
48,Tourist place ,You can see the valley and Lonavala town though view was not very clear. It is okay ..not that great
49,Amazing Bhajiya n Chai,Good place to visit in evening. Great views of ghat in evenings. You will get some eating options also but best avoidable....not very clean place also
50,Only place in Lonavala for the hill views,Once to Visit. Soo much fog and soo much air is there. One can enjoy the atmosphere of here.One can visit the place for once only.
51,Beautiful in Summer too,"Offers a stunning view of the plateau below. Ample parking. Expect a huge crowd with loads of stalls, camel rides, selfie people...but once you tune them out you can just enjoy a very relaxing breathtaking view of the countryside."
52,Most awesome place,One can view the lion shaped plateaus which resemble that lion is watching you and the greenery takes you to the nature's depth and also the curvy route nice. One must enjoy the Hot 🌽 corn bhajji's on the top.
53,Lions point ,"Located at beautiful top , the journey from town is amazing with good location. But you can enjoy the view when there is fog. There was full of fog when we visited so could not enjoy the view. Otherwise nice place to visit."
54,Best Time to Visit during Sunset ,"The place is nice, a bit far from Lonavala main city. Good views and it becomes more beautiful during sunset. Lots of varities of bhajiyas available and all are superb. Must go for to spend a relaxing time"
55,good sunset point,"This is the highest point in Lonavala and view from here is superb, a must visit point in Lonavala especially during monsoon"
56,Not safe for families. ,"Lion's point is the Highest point in Lonavala and you can enjoy the beautiful view of Waterfalls and hills from this Point. you can either hire a taxi from your hotel or drive your own car to reach here. Auto is a Bad Idea as it cannot go up the Slopes.Also, Weather here is very unpredictable so always carry umbrella or raincoats. There are few local eating shops here, serving maggie, pakora's etc. Beware of Monkeys though as there are many.I think it has a paid parking, which is not much, but if you take Taxi, the parking fee is taken care by driver."
57,Sun set point,Best in rainy season for couples. Find a cab or auto to reach this place. Fun if you go in groups like friends and family.
58,Excellent Mountain view,Wonderful view of natural mountain formations.The area needs to be cleaned up a lot and tourism needs to be regulated. The set up seemed to be very primitive with plastic snd other waste creating a dore eye all through
59,NOT VERY IMPRESSED,It's a nice place at the top of the hill and giving very good aerial view of the area with complete natural surroundings
60,Love the Cheese bhajjis,"best place to go  i recommend this place strongly. The place is large, clean.unforgettable experience"
61,Closes at Sunset,"We have visited the Lions and Tiger point are nearby places ,both points have nature beauty..top of the hill...but you can enjoy more in monsoon season.If you like nature beauty of mountains then must visit.It required 1-2 hours for place to visit."
62,Point with nice views,Best place and lovely view from near and far away. A must place to visit and take awesome view. Lovely view.
63,Good view point,"This place is now like a hub during the monsoons. It is definitely a must visit if you're in or near Lonavla, especially during the monsoons. Its foggy, breezy and pleasant. It is ahead of Bushi dam. Pay and parking available at a couple of places. Things to eat here: Corn bhaji, Maggi, Chai, Kanda Bhaji.*Beware of the monkeys*"
64,Lion's Point,One of the best places to visit during monsoon time. I love to have hot chai ☕️ and enjoy my motorcycle ride to this place. While location is scenic sometime extra crowd spoils the essence of the location ..
65,Beautiful views,"Very nice place. Awesome climate. Beware of monkeys. Good view. For vehicle parking, they are charging 50rs.Visitors should maintain this place, as noticed most of them are throwing covers, food, and waste there itself. Soon this place will spoil if people will not maintain hygiene."
66,Very poor amenities,One of the highest point in the area. A god view of the surrounding mountains & valley. A must visit point in Lonavala.
67,Lovely views,"Excellent view point of lonavala hill station and surrounding hills. Good spot for photos. Would spend about 30 mins here. Be sure to go up-hill to the 2nd viewing area, it’s less busy there."
68,Stop for the view,"The view is beautiful in summer & rainy season, that's the only good thing about it. Better if you visit this place after 4pm. It's accessible through road, no entry fee except parking fee which is not even organized. People park anywhere they please. Constant pestering by retailers & no cleanliness. It's better if you avoid to eat or drink from any stall as very unhygienic."
69,Nice place to visit in Lonavla,They now charge money for parking etc. but the view in itself is beautiful. Highly recommended! Camel rides also available.
70,Lions point,One must visit this place all the time clouds surrounding this place excellent view u can enjoy with Maggi & pakora
71,nice beauty of nature,Nice scenic hilly views all around. But you need to visit after rains to see more lush greenery. Also too many stalls and vendors makes it noisy and resulting in trash
72,Amazing place to visit but in monsoon,"Visiting Lion’s Point on the outskirts of Lonavala is a must for any tourist, when visiting Lonavala. It is within a short driving distance from Lonavala. Parking could be challenging. The natural scenery all around is flabbergasting and one can get some awesome views of the changing sky colors just before sunset. The best thing is that it is free."
